"Postal code area","Aged 18 or over, total, 2013 (HR)","Average income of inhabitants, 2013 (HR)","Median income of inhabitants, 2013 (HR)","Inhabintants belonging to the lowest income category, 2013 (HR)","Inhabitants belonging to the middle income category, 2013 (HR)","Inhabintants belonging to the highest income category, 2013 (HR)","Accumulated purchasing power of inhabitants, 2013 (HR)"
"02140 Laajalahti-Friisinmäki   (Espoo )",2720,33936,28504,423,1060,1237,92307223
"02150 Otaniemi   (Espoo )",3598,12307,10608,2152,1259,187,44279270
"02160 Westend   (Espoo )",2368,69445,34973,392,615,1361,164446162
"02170 Haukilahti   (Espoo )",4570,39759,28871,766,1687,2117,181700628
"02180 Mankkaa   (Espoo )",4700,41025,31583,704,1549,2447,192818367
"02200 Niittykumpu   (Espoo )",7409,31308,26970,1119,3306,2984,231960985
"02210 Olari-Kuitinmäki   (Espoo )",9055,28062,24863,1542,4311,3202,254098661
"02230 Matinkylä   (Espoo )",15699,28739,23024,2885,8027,4787,451174900
"02240 Friisilä   (Espoo )",1480,43010,33062,214,456,810,63655270
"02260 Iivisniemi   (Espoo )",2810,72057,25403,476,1294,1040,202480132
"02270 Suomenoja   (Espoo )",1617,36360,29379,247,602,768,58794148
"02280 Puolarmetsä   (Espoo )",3153,28178,25947,478,1537,1138,88844507
"02290 Puolarmetsän sairaala   (Espoo )",19,..,..,..,..,..,..
"02300 Nöykkiö   (Espoo )",1796,37607,31059,280,596,920,67541371
"02320 Kivenlahti   (Espoo )",13032,25924,23119,2167,7107,3758,337837389
"02330 Kattilalaakso   (Espoo )",5930,33948,27925,883,2462,2585,201310282
"02340 Latokaski   (Espoo )",3506,30594,27882,480,1546,1480,107263715
"02360 Espoonlahti   (Espoo )",7357,33847,24208,1234,3639,2484,249014386
"02380 Suvisaaristo   (Espoo )",481,52062,28233,99,164,218,25041737
"02400 Kirkkonummi Keskus   (Kirkkonummi )",9356,26494,23778,1396,5117,2843,247880859
"02410 Gesterby   (Kirkkonummi )",1794,21239,19948,312,1189,293,38102988
"02420 Jorvas   (Kirkkonummi )",1330,34000,28165,202,528,600,45220116
"02430 Masala   (Kirkkonummi )",2932,25498,24137,435,1658,839,74759885
"02440 Luoma   (Kirkkonummi )",489,34487,26381,90,196,203,16864233
"02450 Sundsberg   (Kirkkonummi )",1073,39715,33024,113,352,608,42614578
"02460 Kantvik   (Kirkkonummi )",1270,28854,25726,186,606,478,36644695
"02470 Upinniemi   (Kirkkonummi )",298,23892,23758,37,191,70,7119757
"02480 Porkkala   (Kirkkonummi )",2992,29808,27165,444,1336,1212,89185360
"02490 Pikkala   (Siuntio )",262,25930,25007,42,150,70,6793665
"02510 Oitmäki   (Kirkkonummi )",380,27550,23441,69,196,115,10469151
"02520 Lapinkylä   (Kirkkonummi )",625,30339,24272,99,329,197,18961928
"02540 Kylmälä   (Kirkkonummi )",501,38459,25524,83,246,172,19268149
"02550 Evitskog   (Kirkkonummi )",673,27018,23508,130,341,202,18183312
"02570 Siuntio Kirkonkylä   (Siuntio )",1040,24517,22745,194,563,283,25497201
"02580 Siuntio Asemanseutu   (Siuntio )",2464,27482,24245,346,1332,786,67716159
"02590 Lappers   (Siuntio )",173,28159,24266,27,88,58,4871501
"02600 Etelä-Leppävaara   (Espoo )",8457,26211,23537,1426,4543,2488,221665321
"02610 Kilo   (Espoo )",4392,25741,22966,944,2129,1319,113053409
"02620 Karakallio   (Espoo )",6099,27527,24124,924,3265,1910,167888135
"02630 Nihtisilta   (Espoo )",2197,29633,25911,334,1019,844,65102759
"02650 Pohjois-Leppävaara   (Espoo )",8327,25635,23523,1382,4486,2459,213459973
