"Postal code area","Households, total, 2016 (TR)","Average income of households, 2016 (TR)","Median income of households, 2016 (TR)","Households belonging to the lowest income category, 2016 (TR)","Households belonging to the middle income category, 2016 (TR)","Households belonging to the highest income category, 2016 (TR)","Accumulated purchasing power of households, 2016 (TR)"
"02490 Pikkala   (Siuntio )",164,41086,34650,24,96,44,6738057
"02510 Oitmäki   (Kirkkonummi )",206,58506,46087,34,100,72,12052302
"02520 Lapinkylä   (Kirkkonummi )",314,57644,49219,46,162,106,18100257
"02540 Kylmälä   (Kirkkonummi )",255,65082,50692,32,128,95,16595792
"02550 Evitskog   (Kirkkonummi )",341,56018,49064,48,180,113,19102143
"02570 Siuntio Kirkonkylä   (Siuntio )",544,47066,43670,95,287,162,25604052
"02580 Siuntio Asemanseutu   (Siuntio )",1413,50213,43856,234,776,403,70950630
"02590 Lappers   (Siuntio )",90,55948,56241,9,50,31,5035342
"02600 Etelä-Leppävaara   (Espoo )",5434,43218,35507,962,3002,1470,234845457
"02610 Kilo   (Espoo )",2646,45566,36166,633,1304,709,120567891
"02620 Karakallio   (Espoo )",3581,48561,39756,522,2010,1049,173895628
"02630 Nihtisilta   (Espoo )",1510,49957,41572,227,780,503,75434802
"02650 Pohjois-Leppävaara   (Espoo )",5592,42048,34801,1039,2892,1661,235132422
"02660 Lintuvaara   (Espoo )",2217,63033,55909,316,951,950,139744008
"02680 Uusmäki   (Espoo )",1049,55024,48612,108,521,420,57719741
"02700 Kauniainen   (Kauniainen )",3812,100474,58818,403,1340,2069,383007103
"02710 Viherlaakso   (Espoo )",2813,49659,40043,447,1432,934,139690290
"02720 Lähderanta   (Espoo )",1346,50871,41365,201,707,438,68472257
"02730 Jupperi   (Espoo )",1618,81578,71024,55,574,989,131992891
"02740 Bemböle-Pakankylä   (Espoo )",1234,55626,47689,136,698,400,68641903
"02750 Sepänkylä-Kuurinniitty   (Espoo )",2482,63449,48525,324,1134,1024,157481508
"02760 Tuomarila-Suvela   (Espoo )",6422,43466,36602,1289,3624,1509,279140610
"02770 Espoon Keskus   (Espoo )",4853,41486,32627,1164,2635,1054,201333952
"02780 Kauklahti   (Espoo )",4003,54244,44103,628,2091,1284,217139583
"02810 Gumböle-Karhusuo   (Espoo )",578,64750,58427,37,299,242,37425229
"02820 Nupuri-Nuuksio   (Espoo )",560,65253,55838,53,264,243,36541619
"02860 Siikajärvi   (Espoo )",263,55081,48831,26,146,91,14486345
"02880 Veikkola   (Kirkkonummi )",2149,60570,54098,204,1119,826,130165673
"02920 Niipperi   (Espoo )",1822,62153,56965,170,937,715,113242429
"02940 Lippajärvi-Järvenperä   (Espoo )",4250,53482,46585,559,2173,1518,227298535
"02970 Kalajärvi   (Espoo )",1379,58221,52310,162,714,503,80286995
"02980 Lakisto   (Espoo )",176,49635,30723,22,118,36,8735692
"03100 Nummela   (Vihti )",7058,42500,36069,1410,4050,1598,299964402
"03150 Huhmari   (Vihti )",325,51527,48529,37,167,121,16746316
"03220 Tervalampi   (Vihti )",248,55296,51737,28,130,90,13713318
"03250 Ojakkala   (Vihti )",738,58014,51052,68,423,247,42814626
"03300 Otalampi   (Vihti )",913,51039,49064,101,532,280,46598433
"03320 Selki   (Vihti )",139,48425,47344,23,73,43,6731143
"03400 Vihti Kirkonkylä   (Vihti )",2733,45631,41488,491,1602,640,124708818
"03430 Jokikunta   (Vihti )",207,46371,44130,38,119,50,9598798
"03600 Karkkila Keskus   (Karkkila )",3179,36807,31783,810,1938,431,117010000
"03620 Polari   (Karkkila )",974,39061,33048,224,605,145,38045047
"03710 Uusitalo   (Karkkila )",79,45057,39985,19,46,14,3559523
"03790 Vihtijärvi   (Vihti )",214,52110,47690,28,120,66,11151497
"03810 Ikkala   (Lohja )",282,38370,33751,63,180,39,10820268
"03850 Pusula   (Lohja )",774,38787,32542,209,443,122,30020924
"03870 Hyönölä   (Lohja )",89,43782,40856,19,47,23,3896602
"04130 Sipoo   (Sipoo )",3133,47651,40400,481,1825,827,149291129
"04150 Martinkylä   (Sipoo )",252,54702,48156,24,144,84,13784866
"04170 Paippinen   (Sipoo )",484,53779,51757,54,268,162,26029216
"04200 Kerava Keskus   (Kerava )",6162,38434,31320,1198,3689,1275,236832348
"04220 Ahjo-Kaskela   (Kerava )",2261,46312,39797,387,1299,575,104711113
"04230 Pihkaniitty   (Kerava )",3330,47520,43489,376,2058,896,158241934
"04240 Talma   (Sipoo )",472,56260,54427,44,265,163,26554552
"04250 Alikerava   (Kerava )",2448,36379,31976,493,1562,393,89055417
"04260 Savio   (Kerava )",3048,41431,34941,561,1896,591,126280759
"04300 Hyrylä   (Tuusula )",4720,47998,39108,685,2748,1287,226548682
"04310 Tuusula Keskus   (Tuusula )",1041,60482,52061,100,500,441,62962053
"04320 Riihikallio   (Tuusula )",2213,46669,40552,276,1353,584,103278026
"04330 Lahela   (Tuusula )",817,64003,60804,39,408,370,52290286
"04340 Mattila   (Tuusula )",979,50233,43625,127,552,300,49177778
"04350 Nahkela   (Tuusula )",197,61585,57830,18,95,84,12132170
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",478,55468,49850,55,264,159,26513542
"04370 Rusutjärvi   (Tuusula )",299,70426,55288,28,159,112,21057508
"04380 Tuomala   (Tuusula )",228,59654,52673,23,122,83,13601137
"04390 Jäniksenlinna   (Tuusula )",184,53754,50643,20,100,64,9890671
"04400 Loutti   (Järvenpää )",5376,39651,32279,1036,3122,1218,213166254
"04410 Järvenpää Keskus   (Järvenpää )",5173,38964,33633,1011,3152,1010,201562818
"04420 Kyrölä   (Järvenpää )",1635,49704,46405,133,992,510,81266198
"04430 Kinnari-Mikonkorpi   (Järvenpää )",3869,50736,45978,410,2220,1239,196296260
"04440 Jamppa   (Järvenpää )",2376,35180,27757,691,1316,369,83587656
"04460 Nummenkylä   (Tuusula )",796,50107,46560,103,442,251,39885067
"04480 Haarajoki   (Mäntsälä )",814,59025,55706,74,471,269,48046045
"04500 Kellokoski   (Tuusula )",2389,47864,44799,351,1448,590,114348099
"04530 Ohkola   (Mäntsälä )",343,50834,47717,49,201,93,17436085
"04600 Mäntsälä Keskus   (Mäntsälä )",4424,38937,32935,995,2689,740,172255326
"04620 Kaunismäki   (Mäntsälä )",738,53266,50721,88,439,211,39310464
"04630 Sääksjärvi   (Mäntsälä )",343,47067,42799,69,194,80,16143836
"04660 Numminen   (Mäntsälä )",646,50280,48265,94,388,164,32481051
"04680 Hirvihaara   (Mäntsälä )",253,48324,45600,42,145,66,12225933
"04740 Sälinkää   (Mäntsälä )",477,42910,40208,101,291,85,20468029
"04770 Sahakylä   (Mäntsälä )",85,41845,38478,16,53,16,3556783
"04820 Kaukalampi   (Mäntsälä )",115,53926,50494,18,58,39,6201520
"04840 Hautjärvi   (Mäntsälä )",110,48233,40589,20,64,26,5305605
"04920 Saarentaus   (Mäntsälä )",146,42793,39182,26,88,32,6247807
"04940 Levanto   (Mäntsälä )",122,44640,41750,31,65,26,5446086
"05100 Röykkä   (Nurmijärvi )",901,49973,47389,120,537,244,45025251
"05200 Rajamäki   (Nurmijärvi )",2776,46392,43441,404,1701,671,128782892
"05250 Kiljava   (Nurmijärvi )",77,44257,41449,10,52,15,3407812
"05400 Jokela   (Tuusula )",2727,46938,43055,392,1670,665,128000361
"05430 Nuppulinna   (Tuusula )",399,52691,48896,40,239,120,21023832
"05440 Hyvinkää   (Hyvinkää )",162,63520,63252,7,86,69,10290208
"05450 Nukari   (Nurmijärvi )",404,51384,47864,66,230,108,20759278
"05460 Hakalanmäki-Hakala   (Hyvinkää )",1556,40982,37316,237,996,323,63768700
"05470 Palopuro   (Hyvinkää )",135,45986,40253,23,76,36,6208049
"05510 Päivärinta   (Hyvinkää )",221,40093,33204,44,133,44,8860556
"05620 Noppo   (Hyvinkää )",492,54785,53596,47,277,168,26954416
"05720 Kytäjä   (Hyvinkää )",219,55873,52151,40,96,83,12236218
"05800 Hyvinkää Keskus   (Hyvinkää )",5654,33987,27010,1505,3291,858,192165136
"05810 Martti   (Hyvinkää )",2191,51003,46460,364,1231,596,111746497
"05820 Mustamännistö   (Hyvinkää )",2279,45834,38076,466,1334,479,104454632
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",3570,42235,35343,648,2098,824,150777649
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",1725,43373,35845,347,1032,346,74818549
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,0,0,0,0,0,0
"05860 Talvisilta   (Hyvinkää )",675,39745,35972,126,422,127,26828200
"05880 Paavola-Vaivero   (Hyvinkää )",1838,31684,27027,594,1052,192,58235875
"05900 Vieremä   (Hyvinkää )",2141,37062,29868,508,1223,410,79348913
"05950 Ridasjärvi   (Hyvinkää )",167,44932,41512,23,100,44,7503610
"06100 Porvoo Keskus   (Porvoo )",9348,42310,33750,1898,5156,2294,395509379
"06150 Kevätkumpu   (Porvoo )",2883,38128,32125,678,1741,464,109923983
"06200 Porvoo itäinen   (Porvoo )",1076,49219,45090,162,625,289,52959533
"06400 Gammelbacka   (Porvoo )",3434,40939,34770,762,1914,758,140586239
"06450 Eestinmäki-Ernestas   (Porvoo )",938,46909,41141,145,519,274,44000385
"06500 Saksala-Suomenkylä   (Porvoo )",854,53537,49065,99,489,266,45720386
"06530 Kerkkoo   (Porvoo )",319,50921,47526,28,201,90,16243870
"06650 Hamari   (Porvoo )",614,50419,45544,79,338,197,30957354
"06750 Tolkkinen   (Porvoo )",674,53635,51021,58,395,221,36149785
"06830 Kulloonkylä   (Porvoo )",413,55786,51680,43,236,134,23039809
"06850 Kulloo   (Porvoo )",9,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",151,52153,46399,20,75,56,7875101
"06950 Emäsalo   (Porvoo )",184,44892,41274,37,91,56,8260200
"07110 Hinthaara   (Porvoo )",558,54711,51185,72,329,157,30528689
"07130 Anttila   (Porvoo )",260,48182,44888,40,150,70,12527396
"07150 Laukkoski   (Pornainen )",368,50932,45628,64,202,102,18743128
"07170 Keski-Pornainen   (Pornainen )",953,47648,44682,160,559,234,45408286
"07190 Halkia   (Pornainen )",535,50010,48778,83,305,147,26755265
"07220 Kaarenkylä   (Porvoo )",137,44874,43182,25,76,36,6147771
"07230 Monninkylä   (Askola )",663,45343,40044,115,423,125,30062522
"07280 Ilola   (Porvoo )",359,47460,44755,55,216,88,17038028
"07310 Sannainen   (Porvoo )",150,52935,49492,18,90,42,7940233
"07320 Jakari-Sannäs   (Porvoo )",186,48716,46078,29,108,49,9061214
"07350 Gäddrag   (Porvoo )",37,43994,38276,7,19,11,1627765
"07360 Tirmo   (Porvoo )",21,..,..,..,..,..,..
"07370 Pellinki   (Porvoo )",66,39691,31890,14,39,13,2619617
"07390 Suurpellinki   (Porvoo )",48,41636,34795,13,27,8,1998526
"07410 Kråkö   (Porvoo )",146,47937,41891,25,79,42,6998730
"07450 Voolahti   (Porvoo )",171,66056,45969,20,101,50,11295597
"07500 Askola Kirkonkylä   (Askola )",468,43974,39228,80,295,93,20579609
"07510 Vakkola   (Askola )",285,46875,44401,54,155,76,13359490
"07530 Onkimaa   (Askola )",140,44892,39041,35,70,35,6284946
"07550 Torpinkylä   (Pukkila )",122,44491,39652,24,76,22,5427945
"07560 Pukkila Keskus   (Pukkila )",624,39628,33964,152,358,114,24727836
"07565 Kantele   (Pukkila )",115,43786,36858,34,50,31,5035374
"07580 Tiilää   (Askola )",34,46520,37561,6,19,9,1581679
"07590 Huuvari-Tiilää   (Askola )",253,46667,44848,40,145,68,11806650
"07600 Myrskylä Keskus   (Myrskylä )",787,37786,32956,206,474,107,29737309
"07680 Juornaankylä   (Askola )",226,42837,37753,53,130,43,9681239
"07690 Kankkila   (Myrskylä )",64,40051,34834,17,39,8,2563259
"07700 Koskenkylän saha-alue   (Loviisa )",546,41698,37779,100,338,108,22767316
"07720 Malmgård   (Loviisa )",38,38065,35623,13,16,9,1446461
"07740 Gammelby   (Loviisa )",186,45471,43276,36,101,49,8457632
"07750 Isnäs   (Loviisa )",262,37791,33023,77,137,48,9901303
"07780 Härkäpää   (Loviisa )",92,38260,28443,29,38,25,3519926
"07800 Lapinjärvi Keskus   (Lapinjärvi )",456,33036,28325,134,272,50,15064321
"07810 Ingermaninkylä   (Lapinjärvi )",132,38610,33268,31,84,17,5096521
"07820 Porlammi   (Lapinjärvi )",257,40808,28477,84,135,38,10487718
"07830 Pukaro   (Lapinjärvi )",128,46895,33633,30,78,20,6002607
"07840 Lindkoski   (Lapinjärvi )",91,44013,33432,25,48,18,4005206
"07850 Heikinkylä   (Lapinjärvi )",131,42929,38318,39,66,26,5623674
"07870 Skinnarby   (Loviisa )",191,44701,40841,39,108,44,8537977
"07880 Liljendal Keskus   (Loviisa )",465,40374,33880,134,257,74,18773876
"07890 Mickelspiltom   (Loviisa )",89,42312,35245,20,53,16,3765731
"07900 Loviisa Keskus   (Loviisa )",2270,34034,27573,658,1265,347,77257856
"07910 Valko   (Loviisa )",571,35966,30861,143,351,77,20536402
"07920 Etelä-Harju   (Loviisa )",696,41046,35672,140,418,138,28567989
"07930 Pernaja Kirkonkylä   (Loviisa )",293,41245,35438,67,170,56,12084651
"07940 Määrlahti   (Loviisa )",554,30807,23750,208,287,59,17066922
"07945 Kuggom   (Loviisa )",218,43097,37383,48,127,43,9395156
"07955 Tesjoki   (Loviisa )",534,40428,36774,106,323,105,21588578
"07960 Ahvenkoski   (Loviisa )",61,39830,32152,12,33,16,2429614
"07970 Ruotsinpyhtää Keskus   (Loviisa )",292,35471,31053,65,184,43,10357645
"07980 Kuninkaankylä   (Loviisa )",153,33512,28989,46,87,20,5127349
"07990 Ruotsinkylä-Koskisto   (Loviisa )",127,43308,34692,31,77,19,5500139
"08100 Lohja Keskus   (Lohja )",4459,36521,28853,1079,2591,789,162846120
"08150 Keskilohja   (Lohja )",2212,47334,42831,335,1330,547,104703493
"08200 Ojamo   (Lohja )",2008,32621,28308,531,1260,217,65503931
