"Postal code area","Free-time residences, 2013 (RA)","Buildings, total, 2013 (RA)","Other buildings, 2013 (RA)","Residential buildings, 2013 (RA)","Dwellings, 2013 (RA)","Average floor area, 2013 (RA)","Dwellings in small houses, 2013 (RA)","Dwellings in blocks of flats, 2013 (RA)"
"02570 Siuntio Kirkonkylä  (Siuntio)",419,676,96,580,605,114.5,598,7
"02580 Siuntio Asemanseutu  (Siuntio)",234,1310,188,1122,1467,117.4,1344,123
"02590 Lappers  (Siuntio)",9,117,11,106,105,135.7,105,0
"02600 Etelä-Leppävaara  (Espoo)",2,609,122,487,5677,64.4,496,5181
"02610 Kilo  (Espoo)",1,606,90,516,2537,71.5,786,1751
"02620 Karakallio  (Espoo)",3,947,49,898,3627,78.7,1202,2425
"02630 Nihtisilta  (Espoo)",1,494,92,402,1279,78.2,665,614
"02650 Pohjois-Leppävaara  (Espoo)",0,544,108,436,5777,62.0,425,5352
"02660 Lintuvaara  (Espoo)",3,1301,64,1237,2496,90.2,1609,887
"02680 Uusmäki  (Espoo)",0,218,6,212,324,99.1,294,30
"02700 Suur-Kauniainen  (Kauniainen)",0,1396,80,1316,3963,113.7,2123,1840
"02710 Viherlaakso  (Espoo)",2,914,75,839,2915,78.3,1268,1647
"02720 Laaksolahti-Lähderanta  (Espoo)",2,391,25,366,1317,81.0,693,624
"02730 Laaksolahti  (Espoo)",22,1407,50,1357,1661,125.6,1635,26
"02740 Karvasmäki-Kunnarla  (Espoo)",104,725,155,570,1186,92.2,781,405
"02750 Sepänkylä  (Espoo)",5,991,37,954,2505,86.2,1358,1147
"02760 Espoon Keskus Itäinen  (Espoo)",0,1148,73,1075,6854,70.2,2158,4696
"02770 Espoon Keskus Läntinen  (Espoo)",1,1447,174,1273,4710,71.8,1815,2895
"02780 Kauklahti  (Espoo)",56,1810,175,1635,3495,92.8,2176,1319
"02810 Kumpyöli-Karhusuo  (Espoo)",6,467,25,442,658,104.1,583,75
"02820 Nupuri-Nuuksio  (Espoo)",346,715,130,585,576,125.4,576,0
"02860 Siikajärvi  (Espoo)",292,319,24,295,307,105.2,307,0
"02880 Veikkola  (Kirkkonummi)",295,1700,108,1592,2215,111.9,2151,64
"02920 Niipperi  (Espoo)",43,1429,208,1221,1848,101.2,1707,141
"02940 Lippajärvi  (Espoo)",67,1894,100,1794,4324,87.1,2991,1333
"02970 Kalajärvi  (Espoo)",59,1156,84,1072,1434,102.4,1289,145
"02980 Lakisto  (Espoo)",89,134,47,87,426,58.9,83,343
"03100 Nummela  (Vihti)",406,3160,446,2714,7216,84.8,4741,2475
"03150 Huhmari  (Vihti)",172,397,36,361,355,118.7,355,0
"03220 Tervalampi  (Vihti)",285,339,66,273,281,117.7,281,0
"03250 Ojakkala  (Vihti)",159,714,81,633,747,118.2,741,6
"03300 Otalampi  (Vihti)",246,1047,81,966,979,114.6,973,6
"03320 Selki  (Vihti)",17,169,23,146,150,111.7,143,7
"03400 Vihti Kirkonkylä  (Vihti)",643,2263,155,2108,2935,99.5,2553,382
"03430 Jokikunta  (Vihti)",191,235,12,223,220,116.7,219,1
"03600 Karkkila Keskus  (Karkkila)",692,2306,326,1980,3487,80.9,2278,1209
"03620 Polari  (Karkkila)",176,781,76,705,1123,86.9,856,267
"03710 Uusitalo  (Karkkila)",107,119,17,102,92,111.9,92,0
"03790 Vihtijärvi  (Vihti)",378,258,21,237,232,114.3,231,1
"03810 Ikkala  (Lohja)",180,294,34,260,321,95.0,320,1
"03850 Pusula  (Lohja)",1498,829,100,729,878,94.3,875,3
"03870 Hyönölä  (Lohja)",74,117,15,102,100,110.3,98,2
"04130 Nikkilä  (Sipoo)",170,2358,409,1949,3310,94.1,2168,1142
"04150 Martinkylä  (Sipoo)",28,351,67,284,264,115.6,264,0
"04170 Paippinen  (Sipoo)",42,609,74,535,512,115.4,512,0
"04200 Kerava Keskus  (Kerava)",4,1435,177,1258,6434,69.5,1548,4886
"04220 Ahjo-Kaskela  (Kerava)",1,1019,120,899,2139,84.5,1144,995
"04230 Pihkaniitty  (Kerava)",0,1419,52,1367,3344,89.0,2132,1212
"04240 Talma  (Sipoo)",29,602,87,515,509,115.3,509,0
"04250 Alikerava  (Kerava)",11,573,217,356,2537,65.7,543,1994
"04260 Savio  (Kerava)",9,1168,98,1070,3013,75.9,1400,1613
"04300 Hyrylä  (Tuusula)",90,2495,560,1935,4773,87.4,2804,1969
"04310 Tuusula Keskus  (Tuusula)",20,802,120,682,1080,106.0,911,169
"04320 Riihikallio  (Tuusula)",3,880,59,821,2068,86.2,1214,854
"04330 Lahela  (Tuusula)",11,709,63,646,813,117.7,795,18
"04340 Mattila  (Tuusula)",4,569,44,525,1041,89.2,650,391
"04350 Nahkela  (Tuusula)",24,259,39,220,222,128.6,222,0
"04360 Ruotsinkylä-Kiilinmäki  (Tuusula)",36,681,191,490,506,113.1,506,0
"04370 Rusutjärvi  (Tuusula)",165,375,53,322,320,118.8,320,0
"04380 Tuomala  (Tuusula)",11,277,42,235,244,130.7,241,3
"04390 Jäniksenlinna  (Tuusula)",46,220,21,199,200,117.2,200,0
"04400 Loutti  (Järvenpää)",6,1402,182,1220,5327,72.2,1609,3718
"04410 Järvenpää Keskus  (Järvenpää)",3,1637,164,1473,4870,75.4,2337,2533
"04420 Kyrölä  (Järvenpää)",3,835,43,792,1779,85.4,1535,244
"04430 Kinnari-Mikonkorpi  (Järvenpää)",18,2125,179,1946,3896,91.1,3194,702
"04440 Jamppa  (Järvenpää)",0,909,216,693,2372,72.3,972,1400
"04460 Nummenkylä  (Järvenpää)",0,437,18,419,780,93.4,686,94
"04480 Haarajoki  (Järvenpää)",96,890,117,773,850,116.1,820,30
"04500 Kellokoski  (Tuusula)",46,1985,268,1717,2476,99.4,2003,473
"04530 Ohkola  (Mäntsälä)",60,427,57,370,362,117.2,362,0
"04600 Mäntsälä Keskus  (Mäntsälä)",30,2515,445,2070,4458,84.6,2968,1490
"04620 Kaunismäki  (Mäntsälä)",15,531,66,465,638,113.4,572,66
"04630 Sääksjärvi  (Mäntsälä)",133,449,62,387,374,117.9,374,0
"04660 Numminen  (Mäntsälä)",137,827,134,693,686,119.6,686,0
"04680 Hirvihaara  (Mäntsälä)",44,359,75,284,268,117.4,267,1
"04740 Sälinkää  (Mäntsälä)",282,623,82,541,515,112.5,511,4
"04770 Sahakylä  (Mäntsälä)",41,118,12,106,105,109.3,105,0
"04820 Kaukalampi  (Mäntsälä)",21,144,12,132,123,115.1,122,1
"04840 Hautjärvi  (Mäntsälä)",134,158,24,134,128,103.9,128,0
"04920 Saarentaus  (Mäntsälä)",29,181,36,145,158,103.0,154,4
"04940 Levanto  (Mäntsälä)",91,165,30,135,129,114.5,124,5
"05100 Röykkä  (Nurmijärvi)",205,828,81,747,930,104.9,867,63
"05200 Rajamäki  (Nurmijärvi)",88,1993,241,1752,2763,94.1,2182,581
"05250 Kiljava  (Nurmijärvi)",16,79,11,68,91,92.0,76,15
"05400 Jokela  (Tuusula)",17,1992,204,1788,2772,91.8,2016,756
"05430 Nuppulinna  (Tuusula)",35,482,58,424,434,108.9,434,0
"05450 Nukari  (Nurmijärvi)",35,500,64,436,438,117.4,436,2
"05460 Hakalanmäki-Hakala  (Hyvinkää)",0,791,108,683,1593,83.5,1040,553
"05470 Palopuro  (Hyvinkää)",8,151,4,147,149,100.0,149,0
"05510 Päivärinta  (Hyvinkää)",31,202,22,180,262,81.5,224,38
"05620 Noppo  (Nurmijärvi)",89,523,64,459,507,109.1,507,0
"05720 Kytäjä  (Hyvinkää)",48,243,20,223,239,127.2,234,5
"05800 Hyvinkää Keskus  (Hyvinkää)",81,1607,405,1202,5842,65.2,1292,4550
"05810 Martti  (Hyvinkää)",0,1173,126,1047,2068,99.3,1472,596
"05820 Mustamännistö  (Hyvinkää)",12,1495,118,1377,2347,85.0,1567,780
"05830 Kirjavatolppa-Kruununpuisto  (Hyvinkää)",1,1611,102,1509,3723,78.0,2038,1685
"05840 Hyvinkäänkylä-Vehkoja  (Hyvinkää)",7,913,135,778,1898,84.9,1263,635
"05850 Hyvinkää, sairaala-alue  (Hyvinkää)",0,4,4,0,0,0.0,0,0
"05860 Talvisilta  (Hyvinkää)",0,302,8,294,706,80.6,339,367
"05880 Paavola-Vaivero  (Hyvinkää)",0,426,61,365,1927,71.3,543,1384
"05900 Vieremä  (Hyvinkää)",0,552,47,505,2252,71.0,590,1662
"05950 Ridasjärvi  (Hyvinkää)",144,218,52,166,183,99.0,179,4
"06100 Porvoo Keskus  (Porvoo)",28,3643,410,3233,9910,76.9,3781,6129
"06150 Kevätkumpu  (Porvoo)",5,1260,232,1028,2976,78.2,1405,1571
"06200 Porvoo itäinen  (Porvoo)",1055,1285,148,1137,1140,116.0,1095,45
"06400 Gammelbacka  (Porvoo)",16,1325,72,1253,3349,81.4,1852,1497
"06450 Eestinmäki-Ernestas  (Porvoo)",2,553,126,427,975,86.5,532,443
"06500 Saksala-Suomenkylä  (Porvoo)",77,997,93,904,913,113.1,903,10
"06530 Kerkkoo  (Porvoo)",19,340,35,305,341,106.8,335,6
"06650 Hamari  (Porvoo)",6,502,28,474,655,95.4,601,54
"06750 Tolkkinen  (Porvoo)",65,677,84,593,701,103.3,685,16
"06830 Kulloonkylä  (Porvoo)",86,515,68,447,446,117.7,445,1
"06850 Kulloo  (Porvoo)",17,386,367,19,15,78.8,15,0
"06880 Kärrby  (Sipoo)",532,230,36,194,182,116.1,179,3
"06950 Emäsalo  (Porvoo)",451,269,43,226,217,111.6,217,0
"07110 Hinthaara  (Porvoo)",66,607,49,558,585,113.5,585,0
"07130 Anttila  (Porvoo)",65,303,29,274,270,115.0,269,1
"07150 Laukkoski  (Pornainen)",266,475,55,420,394,113.8,394,0
"07170 Keski-Pornainen  (Pornainen)",116,919,137,782,951,108.5,906,45
"07190 Halkia  (Pornainen)",104,681,108,573,559,119.7,557,2
"07220 Kaarenkylä  (Porvoo)",26,160,10,150,142,116.3,142,0
"07230 Monninkylä  (Askola)",115,651,115,536,692,101.2,685,7
"07280 Ilola  (Porvoo)",150,427,67,360,365,110.6,354,11
"07310 Sannainen  (Porvoo)",58,190,29,161,158,125.5,158,0
"07320 Jakari-Sannäs  (Porvoo)",71,227,22,205,208,108.8,208,0
"07350 Gäddrag  (Porvoo)",52,51,3,48,42,101.9,42,0
"07360 Tirmo  (Porvoo)",134,42,9,33,32,101.8,32,0
"07370 Pellinki  (Porvoo)",496,123,33,90,86,101.4,86,0
"07390 Suurpellinki  (Porvoo)",128,63,7,56,54,112.3,54,0
"07410 Kråkö  (Porvoo)",56,202,26,176,165,115.2,165,0
"07450 Voolahti  (Porvoo)",91,225,31,194,203,107.7,194,9
"07500 Askola Kirkonkylä  (Askola)",31,410,41,369,515,96.2,492,23
"07510 Vakkola  (Askola)",56,351,55,296,307,98.1,292,15
"07530 Onkimaa  (Askola)",57,199,28,171,155,94.5,155,0
"07550 Torpinkylä  (Pukkila)",55,152,13,139,141,103.7,141,0
"07560 Pukkila Keskus  (Pukkila)",167,691,104,587,706,93.8,692,14
"07565 Kantele  (Pukkila)",70,168,20,148,124,109.3,124,0
"07580 Tiilää  (Askola)",14,51,14,37,38,111.9,38,0
"07590 Huuvari-Tiilää  (Askola)",130,324,44,280,277,114.9,277,0
"07600 Myrskylä Keskus  (Myrskylä)",410,929,144,785,870,97.1,870,0
"07680 Juornaankylä  (Askola)",167,288,32,256,255,101.9,252,3
"07690 Kankkila  (Myrskylä)",72,101,15,86,79,105.3,79,0
"07700 Koskenkylän saha-alue  (Loviisa)",61,469,66,403,586,93.0,512,74
"07720 Malmgård  (Loviisa)",8,53,7,46,47,84.2,43,4
"07740 Gammelby  (Loviisa)",128,244,31,213,209,111.0,202,7
"07750 Isnäs  (Loviisa)",599,327,64,263,312,94.1,291,21
"07780 Härkäpää  (Loviisa)",477,173,28,145,123,95.3,123,0
"07800 Lapinjärvi Keskus  (Lapinjärvi)",44,407,81,326,509,82.4,509,0
