"Postal code area","Households, total, 2017 (TE)","Average size of households, 2017 (TE)","Occupancy rate, 2017 (TE)","Young single persons, 2017 (TE)","Young couples without children, 2017 (TE)","Households with children, 2017 (TE)","Households with small children, 2017 (TE)","Households with children under school age, 2017 (TE)","Households with school-age children, 2017 (TE)","Households with teenagers, 2017 (TE)","Adult households, 2017 (TE)","Pensioner households, 2017 (TE)","Households living in owner-occupied dwellings, 2017 (TE)","Households living in rented dwellings, 2017 (TE)","Households living in other dwellings, 2017 (TE)"
"00300 Pikku Huopalahti   (Helsinki )",2891,2.0,32.1,229,182,625,161,325,277,221,1512,769,981,1866,44
"00310 Kivihaka   (Helsinki )",567,1.6,32.7,112,49,69,23,43,28,17,370,128,304,241,22
"00320 Etelä-Haaga   (Helsinki )",6322,1.6,31.6,1817,521,780,246,444,290,199,4343,1209,2894,3257,171
"00330 Munkkiniemi   (Helsinki )",4783,1.8,38.6,621,242,868,223,423,396,281,2208,1738,2456,2183,144
"00340 Kuusisaari-Lehtisaari   (Helsinki )",740,2.3,52.6,33,24,185,37,78,80,79,307,255,550,149,41
"00350 Munkkivuori-Niemenmäki   (Helsinki )",5365,1.7,31.8,978,337,907,201,445,393,292,3248,1221,2415,2809,141
"00360 Pajamäki   (Helsinki )",1119,1.6,31.0,200,73,153,63,94,52,27,704,264,646,461,12
"00370 Reimarla   (Helsinki )",3252,2.0,33.0,381,193,750,243,413,324,225,1626,887,1354,1855,43
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",2446,1.8,32.1,194,230,441,133,247,194,136,1507,502,664,1758,24
"00390 Konala   (Helsinki )",3294,1.9,33.2,469,156,670,183,353,254,216,1885,751,1731,1475,88
"00400 Pohjois-Haaga   (Helsinki )",5504,1.7,30.4,910,336,790,265,469,303,201,3215,1507,2238,3174,92
"00410 Malminkartano   (Helsinki )",4120,2.1,30.9,393,307,942,286,510,393,316,2427,762,1440,2634,46
"00420 Kannelmäki   (Helsinki )",7523,1.8,32.4,906,420,1274,346,665,533,439,4205,2072,3144,4210,169
"00430 Maununneva   (Helsinki )",2231,2.4,35.5,116,117,709,173,330,300,280,979,559,1489,668,74
"00440 Lassila   (Helsinki )",2572,1.7,33.4,353,178,381,138,234,130,88,1324,869,1376,1148,48
"00500 Sörnäinen   (Helsinki )",8986,1.4,28.5,3076,825,460,204,314,119,73,7529,999,3188,5565,233
"00510 Etu-Vallila - Alppila   (Helsinki )",6524,1.4,28.8,1953,589,495,214,330,143,71,5096,936,2727,3600,197
"00520 Itä-Pasila   (Helsinki )",4005,1.8,30.9,601,321,567,221,383,205,111,2576,868,1842,2074,89
"00530 Kallio   (Helsinki )",12296,1.5,30.9,3119,1103,829,356,553,232,148,9063,2420,5152,6747,397
"00540 Kalasatama   (Helsinki )",1266,2.0,31.6,166,171,239,82,164,78,45,808,220,405,854,7
"00550 Vallila   (Helsinki )",5951,1.6,29.5,1412,579,616,231,389,212,111,4355,985,2036,3801,114
"00560 Toukola-Vanhakaupunki   (Helsinki )",6756,2.0,31.0,993,696,1555,517,937,606,376,4019,1209,2870,3797,89
"00570 Kulosaari   (Helsinki )",1928,2.0,42.8,241,100,454,103,211,196,158,912,572,1158,664,106
"00580 Verkkosaari   (Helsinki )",1340,2.0,31.3,216,160,284,96,172,129,56,796,261,434,895,11
"00590 Kaitalahti   (Helsinki )",435,2.1,35.8,35,28,104,43,65,32,31,255,79,223,205,7
"00600 Koskela-Helsinki   (Helsinki )",1985,1.9,33.2,198,61,357,98,191,171,108,970,668,581,1388,16
"00610 Käpylä   (Helsinki )",4340,1.8,30.5,454,255,935,288,536,375,238,2310,1112,1913,2363,64
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",1546,2.0,39.6,169,89,318,93,157,130,111,819,416,967,523,56
"00630 Maunula-Suursuo   (Helsinki )",4685,1.8,33.7,582,183,847,242,462,376,266,2384,1467,1737,2893,55
"00640 Oulunkylä-Patola   (Helsinki )",4268,1.9,35.6,527,246,847,241,427,359,280,2176,1262,2363,1796,109
"00650 Veräjämäki   (Helsinki )",1997,2.1,35.4,135,101,560,160,281,235,194,932,517,826,1142,29
"00660 Länsi-Pakila   (Helsinki )",2629,2.5,39.8,63,49,841,176,354,385,336,842,975,2266,268,95
"00670 Paloheinä   (Helsinki )",2250,2.7,38.0,17,29,859,175,372,406,335,720,689,2024,161,65
"00680 Itä-Pakila   (Helsinki )",1417,2.5,39.5,31,34,497,107,228,225,196,510,420,1161,196,60
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",1075,2.6,36.2,19,21,408,97,193,195,148,384,292,786,274,15
"00700 Malmi   (Helsinki )",7012,1.9,33.4,940,325,1379,414,751,554,475,3900,1759,2663,4260,89
"00710 Pihlajamäki   (Helsinki )",6853,1.9,33.7,773,302,1334,421,747,553,407,3653,1893,2824,3872,157
"00720 Pukinmäki-Savela   (Helsinki )",4537,1.9,33.5,438,254,880,288,506,346,254,2332,1341,2110,2321,106
"00730 Tapanila   (Helsinki )",5141,2.2,34.9,360,197,1416,344,670,650,530,2547,1208,2953,2078,110
"00740 Siltamäki   (Helsinki )",4535,2.3,34.7,235,244,1266,323,613,554,464,1983,1305,2853,1572,110
"00750 Puistola   (Helsinki )",4450,2.1,33.6,406,196,1139,320,611,509,379,2261,1075,2061,2327,62
"00760 Suurmetsä   (Helsinki )",3044,2.5,35.7,88,78,987,225,437,484,411,1214,869,2317,649,78
"00770 Jakomäki - Alppikylä   (Helsinki )",3640,2.0,32.4,432,175,875,311,506,341,308,1870,909,901,2675,64
"00780 Tapaninvainio   (Helsinki )",3195,2.2,37.6,182,113,765,200,386,332,259,1394,1053,2310,813,72
"00790 Viikki   (Helsinki )",5095,2.1,29.5,718,504,1512,445,834,706,449,2856,741,1521,3524,50
"00800 Länsi-Herttoniemi   (Helsinki )",4158,1.7,33.3,594,203,721,208,390,279,215,2403,1054,1476,2627,55
"00810 Herttoniemi   (Helsinki )",5982,1.9,32.9,699,405,1319,410,737,526,416,3481,1199,1865,4077,40
"00820 Roihuvuori   (Helsinki )",4115,1.7,31.1,553,160,733,197,397,308,209,2397,991,1712,2323,80
"00830 Tammisalo   (Helsinki )",915,2.4,45.9,30,16,290,61,126,137,119,291,344,782,94,39
"00840 Laajasalo   (Helsinki )",4210,1.9,38.7,449,128,846,191,413,387,296,1851,1535,2937,1136,137
"00850 Jollas   (Helsinki )",1189,2.6,39.2,26,10,452,69,187,244,193,446,297,793,369,27
"00860 Santahamina   (Helsinki )",154,2.5,25.6,21,17,61,22,41,33,10,90,3,0,153,1
"00870 Etelä-Laajasalo   (Helsinki )",3163,2.0,34.3,387,174,767,240,432,325,241,1606,804,976,2166,21
"00880 Roihupellon teollisuusalue   (Helsinki )",426,1.7,33.2,59,49,56,21,35,14,13,265,105,1,420,5
"00890 Östersundom   (Helsinki )",668,3.0,54.3,4,3,277,29,79,134,166,252,148,584,59,25
"00900 Puotinharju   (Helsinki )",2376,1.8,33.2,274,88,384,128,216,140,139,1285,714,1003,1318,55
"00910 Puotila   (Helsinki )",3445,1.7,32.1,511,159,585,168,315,251,189,1969,901,1574,1781,90
"00920 Myllypuro   (Helsinki )",6206,2.1,33.5,470,236,1520,457,850,632,510,2858,1856,2659,3420,127
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3296,2.1,38.6,262,114,724,191,350,298,295,1595,1005,1392,1830,74
"00940 Kontula - Vesala   (Helsinki )",12957,2.0,32.2,999,443,2905,798,1479,1255,1128,6375,3746,4373,8370,214
"00950 Vartioharju   (Helsinki )",2527,2.3,38.1,134,88,723,147,275,329,323,1107,723,1807,643,77
"00960 Pohjois-Vuosaari   (Helsinki )",3816,1.9,33.6,342,125,755,188,352,345,314,1959,1112,1931,1766,119
"00970 Mellunmäki   (Helsinki )",5601,1.9,34.1,506,195,1077,271,528,452,405,2889,1655,2703,2781,117
"00980 Etelä-Vuosaari   (Helsinki )",11381,2.0,32.9,944,454,2707,707,1383,1177,1067,5655,3068,3975,7267,139
"00990 Aurinkolahti   (Helsinki )",4341,1.9,34.3,378,258,952,260,505,426,272,2233,1174,2314,1962,65
"01120 Västerskog   (Sipoo )",563,2.5,48.0,12,5,160,30,65,79,79,225,186,503,36,24
"01150 Söderkulla   (Sipoo )",2371,2.4,43.2,178,81,826,195,418,404,295,1006,560,1703,617,51
"01180 Kalkkiranta   (Porvoo )",192,2.4,51.7,1,0,58,7,19,28,33,63,72,179,7,6
"01190 Box   (Sipoo )",406,2.5,47.3,1,5,124,24,50,62,52,153,137,380,13,13
"01200 Hakunila   (Vantaa )",5791,2.1,32.9,534,171,1494,404,759,681,543,2875,1445,2410,3313,68
"01230 Vaarala   (Vantaa )",1327,2.2,36.2,24,63,354,107,176,153,116,687,291,1028,273,26
"01260 Itä-Hakkila   (Vantaa )",1853,2.6,38.7,47,39,644,128,273,315,273,716,507,1551,279,23
"01280 Länsimäki   (Vantaa )",4581,2.1,33.9,355,156,1152,307,591,501,414,2315,1130,2656,1882,43
"01300 Tikkurila   (Vantaa )",10404,1.9,35.4,1326,747,1874,536,952,772,635,5729,2830,5306,4946,152
"01340 Leinelä   (Vantaa )",668,1.7,31.3,175,88,105,44,73,33,19,474,90,74,586,8
"01350 Hiekkaharju   (Vantaa )",5187,2.0,34.4,763,331,1208,315,620,503,431,2902,1090,2653,2438,96
"01360 Koivukylä-Havukoski   (Vantaa )",6602,1.9,33.7,899,311,1301,385,714,532,421,3712,1610,3063,3440,99
"01370 Jokiniemi   (Vantaa )",3336,2.0,31.7,575,346,810,253,445,303,240,2150,382,994,2319,23
"01380 Kuusikko-Hakkila   (Vantaa )",724,2.6,37.5,18,24,274,66,137,125,105,275,177,547,171,6
"01390 Ruskeasanta-Ilola   (Vantaa )",3607,2.5,36.9,228,167,1288,329,631,565,478,1661,684,2610,948,49
"01400 Rekola   (Vantaa )",3714,2.3,35.7,270,111,1112,230,523,496,468,1654,969,1864,1801,49
"01420 Päiväkumpu   (Vantaa )",1122,2.8,38.7,8,14,436,85,188,225,210,395,298,988,115,19
"01450 Korso   (Vantaa )",8366,2.2,35.9,767,346,2261,573,1107,1045,848,4188,1947,5036,3231,99
"01480 Mikkola   (Vantaa )",3025,2.1,35.5,324,99,753,187,361,352,297,1628,653,1774,1193,58
"01490 Nikinmäki   (Sipoo )",1475,2.9,39.8,41,41,677,127,286,366,293,531,280,1312,142,21
"01510 Kirkonkylä-Veromäki   (Vantaa )",2910,2.2,30.5,366,224,896,277,509,402,256,1665,355,1052,1823,35
"01520 Tammisto   (Vantaa )",3436,2.3,30.4,414,275,1338,383,702,617,385,1796,310,1638,1783,15
"01530 Veromiehenkylä   (Vantaa )",233,1.8,29.4,50,29,36,16,28,7,5,189,8,1,231,1
"01600 Myyrmäki   (Vantaa )",9459,1.8,34.1,1333,457,1652,480,891,723,567,4880,2953,4812,4495,152
"01610 Kaivoksela   (Vantaa )",2891,1.8,34.5,488,201,483,160,277,185,146,1791,621,1498,1339,54
"01620 Martinlaakso   (Vantaa )",6115,2.0,34.5,706,286,1316,351,677,572,483,2960,1858,3430,2602,83
"01630 Hämeenkylä   (Vantaa )",852,2.4,37.5,27,34,281,61,129,122,102,360,218,678,165,9
"01640 Hämevaara   (Vantaa )",1579,2.1,37.6,153,92,390,108,205,164,134,840,356,924,637,18
"01650 Vapaala   (Vantaa )",1914,2.1,39.3,211,58,435,98,198,211,172,944,542,1429,449,36
"01660 Varisto   (Vantaa )",1045,2.2,37.3,52,33,279,67,129,133,102,470,300,579,462,4
"01670 Vantaanlaakso   (Vantaa )",1215,2.3,37.8,45,65,357,102,169,147,128,530,332,998,207,10
"01680 Askisto   (Vantaa )",794,2.6,39.2,14,18,300,61,125,151,129,315,183,562,225,7
"01690 Ylästö   (Vantaa )",1648,2.9,36.3,24,42,823,156,360,436,331,549,292,1369,269,10
"01700 Kivistö   (Vantaa )",3319,2.1,34.3,783,351,913,294,533,388,259,2065,346,1451,1838,30
"01710 Pähkinärinne   (Vantaa )",2785,1.8,34.7,362,144,531,157,283,238,159,1516,745,1587,1173,25
"01720 Petikko   (Vantaa )",34,1.9,34.2,6,1,3,0,1,1,0,24,7,17,14,3
"01730 Vantaanpuisto   (Vantaa )",1082,2.4,38.4,83,54,320,85,156,161,122,473,301,922,140,20
"01740 Tuupakan teollisuusalue   (Vantaa )",85,2.3,50.9,1,0,21,3,6,11,12,34,31,68,12,5
"01750 Keimola   (Vantaa )",313,2.8,43.2,3,5,113,21,43,57,52,126,78,295,13,5
"01760 Seutula   (Vantaa )",835,2.5,39.9,22,12,243,45,105,122,112,357,241,693,121,21
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",3790,2.2,39.7,343,123,1056,263,526,485,383,1700,1052,2579,1130,81
"01810 Luhtajoki   (Nurmijärvi )",248,2.8,44.4,5,4,84,14,31,49,48,101,63,233,12,3
"01820 Haikala   (Nurmijärvi )",1295,2.6,39.3,35,39,532,115,231,242,235,493,276,1085,202,8
"01830 Lepsämä   (Nurmijärvi )",888,3.0,42.5,13,15,382,98,175,185,175,287,229,857,18,13
"01840 Klaukkala   (Nurmijärvi )",1515,2.7,40.6,38,33,645,102,259,349,303,598,279,1252,255,8
"01860 Perttula   (Nurmijärvi )",785,2.6,47.4,8,11,253,54,114,135,113,305,229,741,30,14
"01900 Nurmijärvi Keskus   (Nurmijärvi )",4104,2.2,41.5,288,128,1058,230,458,490,495,1742,1318,2838,1183,83
"01940 Palojoki   (Nurmijärvi )",291,2.6,45.4,5,2,100,16,31,52,52,100,98,276,8,7
"02100 Tapiola   (Espoo )",2932,1.7,38.3,481,251,374,99,184,161,117,1555,1011,1559,1295,78
"02110 Otsolahti   (Espoo )",1504,1.9,35.4,260,135,275,90,163,97,72,841,395,870,585,49
"02120 Länsikorkee-Suvikumpu   (Espoo )",1581,1.8,36.7,285,113,265,88,150,107,67,873,446,944,596,41
"02130 Pohjois-Tapiola   (Espoo )",2717,2.3,38.6,203,129,811,189,416,397,269,1126,789,1919,729,69
"02140 Laajalahti   (Espoo )",1434,2.6,36.6,64,49,561,133,276,284,182,540,344,1019,377,38
"02150 Otaniemi   (Espoo )",1866,1.8,25.0,752,277,90,42,66,20,16,1712,66,135,1711,20
"02160 Westend   (Espoo )",1259,2.5,51.0,44,25,414,73,169,204,187,441,415,1049,157,53
"02170 Haukilahti   (Espoo )",2647,2.1,42.3,207,86,675,145,269,295,297,1068,923,1815,766,66
"02180 Mankkaa   (Espoo )",2471,2.8,37.6,28,49,1071,222,492,528,421,825,583,2040,390,41
"02200 Niittykumpu   (Espoo )",4118,2.0,37.4,554,369,944,283,519,399,292,2189,999,2529,1494,95
"02210 Olari   (Espoo )",5555,2.0,37.2,620,266,1222,313,627,539,401,2689,1665,3636,1805,114
"02230 Matinkylä   (Espoo )",10896,2.0,35.0,1441,899,2399,684,1258,1032,793,5912,2616,4836,5785,275
"02240 Friisilä   (Espoo )",882,2.6,45.2,37,31,317,59,127,160,132,328,245,742,124,16
"02250 Henttaa   (Espoo )",1913,2.1,32.4,308,189,602,182,374,259,129,1113,202,344,1559,10
"02260 Kaitaa   (Espoo )",1593,2.3,37.2,107,46,498,107,232,249,206,732,368,1021,548,24
"02270 Finnoo-Eestinmalmi   (Espoo )",820,2.7,38.6,15,23,328,67,137,149,139,289,211,619,182,19
"02280 Malminmäki-Eestinlaakso   (Espoo )",1797,2.5,33.6,78,64,699,196,378,299,240,840,263,890,895,12
"02290 Puolarmetsän sairaala   (Espoo )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02300 Nöykkiönpuro   (Espoo )",874,3.0,43.8,5,12,395,79,164,188,185,292,193,791,67,16
"02320 Espoonlahti   (Espoo )",8163,2.0,36.5,735,308,1762,443,876,743,646,3796,2634,4670,3331,162
"02330 Saunalahti-Kattilalaakso   (Espoo )",3903,2.4,38.8,425,157,1451,304,697,740,528,1792,679,2241,1612,50
"02340 Latokaski   (Espoo )",1788,2.8,32.8,24,73,807,204,434,372,281,645,346,1461,316,11
"02360 Soukka   (Espoo )",4481,2.2,39.2,314,144,1148,258,543,523,459,1925,1426,2998,1410,73
"02380 Suvisaaristo   (Espoo )",256,2.6,65.7,2,1,86,12,24,38,54,69,110,222,15,19
"02390 Sarvvik   (Kirkkonummi )",273,1.8,43.9,40,19,41,12,21,14,14,199,33,113,157,3
"02400 Kirkkonummi Keskus   (Kirkkonummi )",5616,2.2,40.7,328,171,1513,289,608,743,683,2416,1722,3467,2067,82
"02410 Gesterby   (Kirkkonummi )",1185,1.7,38.3,150,31,186,52,95,81,73,670,331,610,543,32
"02420 Jorvas   (Kirkkonummi )",676,2.6,53.6,5,8,224,35,74,128,115,244,217,626,36,14
"02430 Masala   (Kirkkonummi )",1876,2.3,34.2,128,56,657,175,342,294,227,849,378,994,858,24
"02440 Luoma   (Kirkkonummi )",244,2.5,58.7,2,2,72,15,25,37,32,90,86,224,11,9
"02450 Sundsberg   (Kirkkonummi )",633,3.1,35.2,16,30,411,116,224,231,102,180,44,557,71,5
"02460 Kantvik   (Kirkkonummi )",771,2.2,44.0,51,19,211,44,90,94,92,398,164,561,197,13
"02470 Upinniemi   (Kirkkonummi )",187,1.6,41.4,0,10,17,5,7,6,7,136,34,3,183,1
"02480 Porkkala   (Kirkkonummi )",1753,2.6,45.2,103,50,648,143,302,331,250,716,400,1380,310,63
"02490 Pikkala   (Siuntio )",154,1.9,46.0,16,7,26,7,15,12,5,89,40,106,42,6
"02510 Oitmäki   (Kirkkonummi )",194,2.5,47.1,5,2,52,10,26,25,25,83,62,153,34,7
"02520 Lapinkylä   (Kirkkonummi )",317,2.5,50.1,2,6,91,12,40,52,39,122,110,296,13,8
"02540 Kylmälä   (Kirkkonummi )",253,2.5,51.1,2,2,67,8,26,37,28,115,73,239,10,4
"02550 Evitskog   (Kirkkonummi )",346,2.5,50.2,7,5,104,27,58,54,34,151,93,320,20,6
"02570 Siuntio Kirkonkylä   (Siuntio )",544,2.4,48.8,19,10,152,25,61,85,66,234,164,492,38,14
"02580 Siuntio Asemanseutu   (Siuntio )",1417,2.4,48.3,41,18,452,102,197,234,188,513,462,1169,209,39
"02590 Lappers   (Siuntio )",93,2.7,50.3,0,3,34,5,13,17,13,31,29,89,3,1
"02600 Etelä-Leppävaara   (Espoo )",5447,2.0,32.2,749,558,1276,399,744,535,404,3142,1044,1874,3506,67
"02610 Kilo   (Espoo )",2714,2.3,30.6,349,231,856,287,501,354,271,1545,324,959,1714,41
"02620 Karakallio   (Espoo )",3604,2.3,35.0,251,140,1190,269,579,587,463,1534,891,2091,1459,54
"02630 Nihtisilta   (Espoo )",1508,2.3,33.2,123,131,492,159,266,206,156,794,226,837,663,8
"02650 Pohjois-Leppävaara   (Espoo )",5699,1.9,33.4,843,532,1073,389,684,385,268,3510,1127,2781,2826,92
"02660 Lintuvaara   (Espoo )",2205,2.8,34.2,139,66,894,187,408,451,388,931,389,1365,804,36
"02680 Uusmäki   (Espoo )",1148,2.4,34.1,150,99,442,147,270,194,100,557,154,625,495,28
"02700 Kauniainen   (Kauniainen )",3993,2.3,47.5,265,100,1145,174,436,564,537,1484,1399,2626,1159,208
"02710 Viherlaakso   (Espoo )",2823,2.1,37.8,244,96,689,167,325,309,246,1286,859,2029,735,59
"02720 Lähderanta   (Espoo )",1356,2.2,37.0,163,38,363,90,176,174,135,635,363,994,332,30
"02730 Jupperi   (Espoo )",1630,2.8,45.4,15,30,626,103,232,327,290,553,467,1537,59,34
"02740 Bemböle-Pakankylä   (Espoo )",1249,2.5,36.5,88,56,479,134,255,210,170,631,149,614,613,22
"02750 Sepänkylä-Kuurinniitty   (Espoo )",2574,2.4,35.4,310,127,968,245,488,458,350,1270,343,1450,1066,58
"02760 Tuomarila-Suvela   (Espoo )",6549,2.2,32.2,613,389,1911,608,1087,818,584,3384,1270,3299,3161,89
"02770 Espoon Keskus   (Espoo )",4905,2.1,33.2,550,234,1247,347,642,563,449,2685,985,1859,2996,50
"02780 Kauklahti   (Espoo )",4230,2.5,35.9,412,187,1693,437,896,815,589,1928,636,2093,2046,91
"02810 Gumböle-Karhusuo   (Espoo )",639,2.8,37.3,21,21,278,54,139,155,101,253,111,495,119,25
"02820 Nupuri-Nuuksio   (Espoo )",561,2.6,47.0,1,2,173,30,64,94,81,214,181,506,20,35
"02860 Siikajärvi   (Espoo )",257,2.5,42.0,0,1,68,7,26,39,37,104,88,236,14,7
"02880 Veikkola   (Kirkkonummi )",2168,2.7,42.3,23,49,882,161,368,447,397,764,542,1869,264,35
"02920 Niipperi   (Espoo )",1850,2.9,35.8,52,37,865,201,416,433,360,665,337,1302,507,41
"02940 Lippajärvi-Järvenperä   (Espoo )",4413,2.3,36.6,370,144,1480,330,652,692,600,2109,839,2692,1664,57
"02970 Kalajärvi   (Espoo )",1423,2.7,38.7,40,29,555,128,273,276,219,544,332,1067,328,28
"02980 Lakisto   (Espoo )",159,1.7,45.9,17,1,17,2,5,5,9,114,29,55,101,3
"03100 Nummela   (Vihti )",7304,2.1,40.4,667,244,1908,439,926,940,701,3379,2039,4776,2375,153
"03150 Huhmari   (Vihti )",330,2.3,51.7,6,9,76,10,21,38,47,153,104,309,6,15
"03220 Tervalampi   (Vihti )",242,2.4,50.5,1,3,61,9,21,25,31,97,85,229,10,3
"03250 Ojakkala   (Vihti )",728,2.7,44.4,16,18,265,51,117,141,114,278,188,683,29,16
"03300 Otalampi   (Vihti )",911,2.6,44.6,8,18,305,63,137,153,142,363,256,865,25,21
"03320 Selki   (Vihti )",140,2.5,47.2,2,0,40,12,18,23,17,60,41,125,12,3
"03400 Vihti Kirkonkylä   (Vihti )",2750,2.3,43.7,94,56,779,148,337,387,361,1143,852,2274,408,68
"03430 Jokikunta   (Vihti )",206,2.5,47.7,5,7,68,12,30,29,29,82,58,197,2,7
"03600 Karkkila Keskus   (Karkkila )",3180,2.0,40.7,197,57,671,150,293,332,300,1303,1226,2369,744,67
"03620 Polari   (Karkkila )",985,2.2,41.7,57,16,229,55,116,112,96,435,329,709,264,12
"03710 Uusitalo   (Karkkila )",77,2.4,48.5,2,2,21,3,6,11,12,30,27,74,1,2
"03790 Vihtijärvi   (Vihti )",216,2.4,49.8,2,6,61,10,24,33,22,84,77,195,14,7
"03810 Ikkala   (Lohja )",287,2.1,47.4,12,4,62,7,25,34,26,128,98,236,45,6
"03850 Pusula   (Lohja )",767,2.1,46.2,34,10,153,34,73,65,68,304,319,633,108,26
"03870 Hyönölä   (Lohja )",89,2.1,52.5,2,0,17,5,10,10,5,33,39,83,2,4
"04130 Sipoo   (Sipoo )",3230,2.2,42.2,137,79,887,172,377,423,396,1411,953,2336,817,77
"04150 Martinkylä   (Sipoo )",251,2.5,45.9,5,5,79,11,31,35,44,105,74,236,6,9
"04170 Paippinen   (Sipoo )",484,2.6,45.9,5,9,163,41,83,85,64,175,150,469,4,11
"04200 Kerava Keskus   (Kerava )",6162,1.8,38.3,683,254,1064,259,514,459,414,2918,2197,3603,2448,111
"04220 Ahjo-Kaskela   (Kerava )",2308,2.2,36.6,251,113,726,153,315,332,312,1232,354,1159,1116,33
"04230 Pihkaniitty   (Kerava )",3365,2.3,38.7,215,129,1017,224,498,508,380,1410,954,2467,869,29
"04240 Talma   (Sipoo )",473,2.6,45.1,4,5,145,24,54,75,77,195,139,439,23,11
"04250 Alikerava   (Kerava )",2428,1.9,34.5,366,126,536,154,290,216,179,1320,578,1035,1363,30
"04260 Savio   (Kerava )",3141,2.0,36.7,362,118,729,177,344,360,264,1678,746,1915,1185,41
"04300 Hyrylä   (Tuusula )",4752,2.2,40.5,223,109,1292,228,531,640,581,2053,1422,2990,1683,79
"04310 Tuusula Keskus   (Tuusula )",1053,2.4,44.8,59,32,321,58,130,147,148,447,290,845,191,17
"04320 Riihikallio   (Tuusula )",2284,2.2,38.7,104,79,611,139,310,278,226,1063,618,1537,705,42
"04330 Lahela   (Tuusula )",834,2.8,42.3,13,22,379,69,146,208,165,327,129,771,51,12
"04340 Mattila   (Tuusula )",981,2.2,40.7,76,29,279,63,120,119,126,476,228,803,170,8
"04350 Nahkela   (Tuusula )",202,2.6,50.7,2,2,57,13,25,25,22,85,64,199,3,0
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",473,2.6,44.9,11,5,142,17,39,76,72,200,142,415,41,17
"04370 Rusutjärvi   (Tuusula )",295,2.6,48.2,5,3,92,12,37,50,48,116,90,280,6,9
"04380 Tuomala   (Tuusula )",228,2.6,52.0,4,1,74,13,26,34,38,91,68,206,15,7
"04390 Jäniksenlinna   (Tuusula )",182,2.6,47.9,1,3,61,8,21,33,35,67,56,176,1,5
"04400 Loutti   (Järvenpää )",5540,1.8,39.5,608,259,956,250,481,421,341,2848,1754,3425,1987,128
