"Postal code area","Inhabitants, total, 2017 (HE)","Females, 2017 (HE)","Males, 2017 (HE)","Average age of inhabitants, 2017 (HE)","0-2 years, 2017 (HE)","3-6 years, 2017 (HE)","7-12 years, 2017 (HE)","13-15 years, 2017 (HE)","16-17 years, 2017 (HE)","18-19 years, 2017 (HE)","20-24 years, 2017 (HE)","25-29 years, 2017 (HE)","30-34 years, 2017 (HE)","35-39 years, 2017 (HE)","40-44 years, 2017 (HE)","45-49 years, 2017 (HE)","50-54 years, 2017 (HE)","55-59 years, 2017 (HE)","60-64 years, 2017 (HE)","65-69 years, 2017 (HE)","70-74 years, 2017 (HE)","75-79 years, 2017 (HE)","80-84 years, 2017 (HE)","85 years or over, 2017 (HE)"
"01200 Hakunila   (Vantaa )",11967,6071,5896,38,461,648,910,447,252,290,709,762,943,880,818,803,803,722,670,651,588,296,189,125
"01230 Vaarala   (Vantaa )",2981,1462,1519,39,115,129,206,84,61,70,151,211,232,247,211,237,243,205,162,136,146,72,40,23
"01260 Itä-Hakkila   (Vantaa )",4839,2385,2454,40,137,246,439,199,142,132,187,178,258,319,388,368,443,343,298,311,237,94,70,50
"01280 Länsimäki   (Vantaa )",9620,4903,4717,40,337,478,640,301,206,205,488,590,783,723,654,645,749,664,645,626,451,253,111,71
"01300 Tikkurila   (Vantaa )",19509,10052,9457,41,590,685,1013,478,330,366,1489,1863,1576,1376,1151,1070,1358,1249,1179,1144,991,654,510,437
"01340 Leinelä   (Vantaa )",1141,628,513,34,48,52,40,12,11,26,228,165,102,86,47,56,48,63,43,46,36,23,7,2
"01350 Hiekkaharju   (Vantaa )",10255,5225,5030,38,349,493,655,346,218,249,785,938,839,713,636,622,692,669,572,458,371,298,210,142
"01360 Koivukylä-Havukoski   (Vantaa )",12578,6421,6157,40,426,552,729,314,222,296,976,1160,1007,952,776,752,825,789,743,711,588,348,229,183
"01370 Jokiniemi   (Vantaa )",6562,3440,3122,34,280,313,401,181,129,148,751,848,642,546,413,351,439,358,273,190,135,79,51,34
"01380 Kuusikko-Hakkila   (Vantaa )",1907,967,940,38,74,128,169,90,52,58,57,86,127,149,124,137,172,124,98,94,69,49,25,25
"01390 Ruskeasanta-Ilola   (Vantaa )",9046,4549,4497,37,357,540,781,362,225,221,439,495,717,712,716,617,714,650,515,382,299,143,94,67
"01400 Rekola   (Vantaa )",8595,4408,4187,40,250,461,689,355,261,224,409,451,524,562,567,630,676,543,515,457,446,260,153,162
"01420 Päiväkumpu   (Vantaa )",3225,1570,1655,39,103,161,297,165,106,98,150,93,139,202,237,266,314,264,179,169,123,79,50,30
"01450 Korso   (Vantaa )",18228,9049,9179,39,631,866,1389,626,449,408,1003,1178,1340,1345,1327,1275,1396,1258,1045,944,796,443,283,226
"01480 Mikkola   (Vantaa )",6386,3200,3186,39,201,294,475,232,161,148,339,457,431,471,422,519,539,427,380,303,272,168,82,65
"01490 Nikinmäki   (Sipoo )",4233,2116,2117,35,139,271,505,238,150,101,148,157,244,352,401,407,293,237,184,162,113,76,39,16
"01510 Kirkonkylä-Veromäki   (Vantaa )",6359,3163,3196,34,303,415,547,215,102,90,365,612,693,709,527,397,376,283,225,196,135,93,51,25
"01520 Tammisto   (Vantaa )",7835,4050,3785,31,416,542,814,339,153,148,405,678,757,887,795,604,410,261,204,185,145,55,28,9
"01530 Veromiehenkylä   (Vantaa )",418,183,235,34,18,18,7,2,4,9,48,69,56,47,27,36,26,27,12,7,3,0,1,1
"01600 Myyrmäki   (Vantaa )",17170,9056,8114,42,526,703,940,443,287,322,1305,1494,1338,1126,974,929,995,843,965,1058,1102,813,559,448
"01610 Kaivoksela   (Vantaa )",5150,2521,2629,40,187,189,240,106,76,83,414,517,487,403,321,314,366,322,273,289,259,142,77,85
"01620 Martinlaakso   (Vantaa )",12106,6170,5936,41,390,521,767,376,234,251,763,981,928,841,758,714,710,677,651,723,753,537,330,201
"01630 Hämeenkylä   (Vantaa )",2055,1036,1019,40,68,112,163,77,56,47,68,91,155,148,150,134,156,148,154,146,103,50,20,9
"01640 Hämevaara   (Vantaa )",3395,1689,1706,40,120,160,225,98,77,81,197,234,249,247,234,242,253,235,224,165,145,93,72,44
"01650 Vapaala   (Vantaa )",4124,2022,2102,41,109,171,288,139,77,88,276,235,251,284,303,270,303,302,247,246,242,156,81,56
"01660 Varisto   (Vantaa )",2306,1180,1126,42,75,89,171,68,60,40,87,130,142,175,151,169,177,155,132,164,153,90,47,31
"01670 Vantaanlaakso   (Vantaa )",2813,1417,1396,40,108,128,211,99,54,63,102,154,236,246,207,185,208,168,155,177,172,82,32,26
"01680 Askisto   (Vantaa )",2087,1043,1044,38,67,103,204,112,61,58,88,72,107,161,162,182,183,132,122,121,76,42,20,14
"01690 Ylästö   (Vantaa )",4787,2391,2396,35,177,329,600,264,144,136,133,119,248,431,490,399,436,241,208,172,127,72,38,23
"01700 Kivistö   (Vantaa )",6944,3543,3401,32,317,412,520,227,114,173,840,747,680,588,522,421,361,284,249,168,143,84,63,31
"01710 Pähkinärinne   (Vantaa )",5071,2599,2472,41,179,209,314,129,66,88,310,409,421,371,363,307,296,346,289,378,238,153,96,109
"01720 Petikko   (Vantaa )",65,27,38,43,0,1,1,0,1,1,4,10,7,5,5,5,8,6,1,4,4,1,1,0
"01730 Vantaanpuisto   (Vantaa )",2586,1235,1351,39,95,126,223,100,61,49,126,158,209,204,183,191,161,139,125,116,135,84,63,38
"01740 Tuupakan teollisuusalue   (Vantaa )",199,91,108,46,3,5,17,9,4,3,3,5,8,8,21,16,15,17,23,18,8,9,2,5
"01750 Keimola   (Vantaa )",868,422,446,39,24,36,83,37,33,24,33,24,41,57,81,84,73,68,54,40,31,26,12,7
"01760 Seutula   (Vantaa )",2096,1030,1066,41,54,104,169,82,66,45,68,67,138,121,143,164,204,175,156,113,94,64,42,27
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",8238,4245,3993,40,298,468,683,275,215,212,391,445,466,571,579,585,632,515,454,477,392,282,174,124
"01810 Luhtajoki   (Nurmijärvi )",701,335,366,38,17,35,74,37,32,24,28,13,22,45,62,68,71,36,39,33,29,19,10,7
"01820 Haikala   (Nurmijärvi )",3372,1726,1646,37,122,205,321,188,116,94,108,133,186,292,282,265,269,216,172,146,135,82,30,10
"01830 Lepsämä   (Nurmijärvi )",2627,1290,1337,36,112,187,278,136,98,78,93,85,139,175,187,224,225,174,101,119,116,57,33,10
"01840 Klaukkala   (Nurmijärvi )",4080,2066,2014,36,112,256,479,227,150,121,130,121,171,265,371,387,399,274,215,157,125,67,35,18
"01860 Perttula   (Nurmijärvi )",2075,988,1087,39,64,120,208,98,55,52,69,51,82,146,166,167,188,165,106,132,102,58,25,21
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8975,4570,4405,42,268,408,685,409,246,271,428,388,414,504,607,692,707,590,518,527,484,358,258,213
"01940 Palojoki   (Nurmijärvi )",760,375,385,42,20,28,72,45,28,19,21,15,29,44,67,62,62,53,47,51,44,28,14,11
"02100 Tapiola   (Espoo )",5025,2656,2369,45,106,140,236,98,52,74,370,543,456,315,273,217,240,238,321,314,350,248,199,235
"02110 Otsolahti   (Espoo )",2790,1429,1361,41,94,132,140,45,38,44,155,300,328,254,175,129,133,128,165,141,128,94,74,93
"02120 Länsikorkee-Suvikumpu   (Espoo )",2810,1447,1363,42,92,111,143,55,31,52,181,273,305,223,194,145,133,146,133,137,152,110,74,120
"02130 Pohjois-Tapiola   (Espoo )",6286,3172,3114,40,201,392,536,207,141,135,327,341,361,482,472,402,396,402,356,326,313,210,139,147
"02140 Laajalahti   (Espoo )",3786,1880,1906,37,148,234,397,146,97,80,149,183,240,323,307,306,244,208,204,166,161,101,49,43
"02150 Otaniemi   (Espoo )",3720,1174,2546,27,44,38,26,11,8,90,1795,900,376,144,76,34,32,33,28,31,18,13,14,9
"02160 Westend   (Espoo )",3181,1618,1563,42,82,147,275,155,97,93,134,100,120,148,245,264,268,202,212,197,182,108,72,80
"02170 Haukilahti   (Espoo )",5649,2951,2698,43,150,218,411,229,150,143,246,263,297,333,381,391,466,351,318,298,379,224,209,192
"02180 Mankkaa   (Espoo )",6838,3500,3338,37,250,460,738,314,241,164,221,211,361,505,608,529,507,435,399,322,280,141,78,74
"02200 Niittykumpu   (Espoo )",8465,4280,4185,40,306,402,531,217,160,137,524,779,742,685,607,503,520,433,398,488,463,267,173,130
"02210 Olari   (Espoo )",11238,5842,5396,41,345,531,752,323,188,229,685,804,803,865,778,605,663,666,596,738,739,442,253,233
"02230 Matinkylä   (Espoo )",21594,11207,10387,39,742,988,1391,624,419,432,1587,2175,1886,1628,1275,1324,1344,1182,1111,1137,1022,631,388,308
"02240 Friisilä   (Espoo )",2301,1150,1151,39,68,112,224,107,70,67,110,87,93,143,175,200,193,159,112,135,130,73,23,20
"02250 Henttaa   (Espoo )",4025,2048,1977,32,192,313,340,96,73,74,337,427,428,402,330,217,221,180,122,134,85,32,12,10
"02260 Kaitaa   (Espoo )",3729,1919,1810,39,122,205,353,155,99,93,166,162,213,248,275,281,312,306,242,183,119,96,61,38
"02270 Finnoo-Eestinmalmi   (Espoo )",2217,1113,1104,38,76,125,220,117,62,64,76,69,117,154,195,180,177,144,133,130,84,53,20,21
"02280 Malminmäki-Eestinlaakso   (Espoo )",4455,2245,2210,35,216,306,391,175,118,107,189,230,342,418,384,297,372,298,238,152,100,64,32,26
"02290 Puolarmetsän sairaala   (Espoo )",6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",2585,1306,1279,37,89,153,258,145,96,91,102,52,122,146,212,228,258,183,158,113,91,57,20,11
"02320 Espoonlahti   (Espoo )",16246,8561,7685,43,493,713,1004,496,313,349,787,1048,1148,1107,1051,989,1066,993,984,1182,1139,632,435,317
"02330 Saunalahti-Kattilalaakso   (Espoo )",9551,4824,4727,35,333,635,1037,418,253,240,475,506,538,786,917,805,643,552,439,385,320,150,71,48
"02340 Latokaski   (Espoo )",4971,2511,2460,35,222,400,510,227,133,99,151,206,356,440,471,354,345,303,232,201,186,81,33,21
"02360 Soukka   (Espoo )",9773,5001,4772,42,289,474,687,358,228,213,498,480,612,634,617,746,705,648,583,582,599,454,200,166
"02380 Suvisaaristo   (Espoo )",673,334,339,44,13,19,52,33,35,21,23,14,13,25,38,62,73,46,46,54,53,29,13,11
"02390 Sarvvik   (Kirkkonummi )",502,248,254,38,12,13,20,9,9,11,67,47,36,45,37,28,49,41,28,26,18,1,2,3
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12420,6424,5996,41,328,543,1028,524,383,335,593,593,617,743,837,891,958,798,844,808,666,437,278,216
"02410 Gesterby   (Kirkkonummi )",2051,977,1074,43,56,74,102,46,42,53,118,149,130,145,114,153,153,137,157,153,134,76,38,21
"02420 Jorvas   (Kirkkonummi )",1792,891,901,41,40,68,175,101,58,54,58,37,50,94,125,180,189,123,114,118,97,57,33,21
"02430 Masala   (Kirkkonummi )",4403,2209,2194,36,189,318,411,180,119,89,180,245,345,364,338,338,309,248,203,206,123,99,47,52
"02440 Luoma   (Kirkkonummi )",604,306,298,44,15,19,53,28,12,15,22,11,20,31,39,57,51,56,46,44,43,17,12,13
"02450 Sundsberg   (Kirkkonummi )",1972,1010,962,29,128,185,324,93,35,23,28,64,154,235,283,189,75,55,35,27,23,11,5,0
"02460 Kantvik   (Kirkkonummi )",1713,831,882,40,51,77,126,80,43,42,78,107,102,94,98,145,139,151,144,102,59,42,22,11
"02470 Upinniemi   (Kirkkonummi )",297,143,154,44,6,4,7,5,3,7,20,34,15,16,13,25,41,40,24,21,10,5,1,0
"02480 Porkkala   (Kirkkonummi )",4554,2234,2320,37,159,284,471,196,129,107,217,176,212,329,423,393,365,277,228,223,193,103,46,23
"02490 Pikkala   (Siuntio )",295,126,169,42,7,13,18,5,3,5,17,22,18,22,36,26,12,16,18,28,15,5,3,6
"02510 Oitmäki   (Kirkkonummi )",477,234,243,41,11,26,32,23,15,16,18,18,24,31,28,37,45,37,32,31,18,19,11,5
"02520 Lapinkylä   (Kirkkonummi )",799,395,404,43,13,42,73,28,20,19,17,19,30,44,76,68,68,46,66,53,63,25,20,9
"02540 Kylmälä   (Kirkkonummi )",638,322,316,43,9,26,52,27,17,15,22,23,20,39,53,59,71,50,54,31,25,20,16,9
"02550 Evitskog   (Kirkkonummi )",850,413,437,41,28,56,77,28,13,16,21,26,52,56,71,65,71,65,72,53,37,25,9,9
"02570 Siuntio Kirkonkylä   (Siuntio )",1291,617,674,41,28,57,116,63,27,27,32,58,45,92,97,121,132,96,80,85,74,22,23,16
"02580 Siuntio Asemanseutu   (Siuntio )",3436,1746,1690,40,113,174,342,163,82,91,111,92,166,238,245,268,270,218,228,220,196,104,61,54
"02590 Lappers   (Siuntio )",251,116,135,39,7,13,31,10,6,6,10,7,7,11,30,21,22,19,8,15,15,5,6,2
"02600 Etelä-Leppävaara   (Espoo )",11052,5624,5428,36,450,580,683,326,193,207,889,1217,1140,1037,769,626,576,496,392,463,418,247,175,168
"02610 Kilo   (Espoo )",6354,3061,3293,33,317,405,488,226,143,150,616,633,618,562,464,377,384,307,217,215,93,62,45,32
"02620 Karakallio   (Espoo )",8428,4351,4077,38,301,520,791,357,222,164,400,420,580,652,672,616,538,454,371,313,317,263,236,241
"02630 Nihtisilta   (Espoo )",3435,1719,1716,35,175,188,276,120,70,70,248,280,280,311,253,236,227,222,174,140,85,34,17,29
"02650 Pohjois-Leppävaara   (Espoo )",10595,5316,5279,38,419,515,509,210,126,152,793,1218,1232,943,700,531,624,609,552,504,421,243,180,114
"02660 Lintuvaara   (Espoo )",6156,2993,3163,35,216,375,643,323,197,156,397,316,328,490,455,475,478,407,293,219,171,117,60,40
"02680 Uusmäki   (Espoo )",2719,1409,1310,32,163,225,270,78,41,40,139,219,283,327,223,174,150,103,75,78,64,23,26,18
