"Postal code area","Households, total, 2013 (TE)","Average size of households, 2013 (TE)","Occupancy rate, 2013 (TE)","Young single persons, 2013 (TE)","Young couples without children, 2013 (TE)","Households with children, 2013 (TE)","Households with small children, 2013 (TE)","Households with children under school age, 2013 (TE)","Households with school-age children, 2013 (TE)","Households with teenagers, 2013 (TE)","Adult households, 2013 (TE)","Pensioner households, 2013 (TE)","Households living in owner-occupied dwellings, 2013 (TE)","Households living in rented dwellings, 2013 (TE)","Households living in other dwellings, 2013 (TE)"
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",1470,2.0,39.8,154,86,308,88,160,124,100,771,395,944,483,43
"00630 Maunula-Suursuo  (Helsinki)",4461,1.7,33.9,497,197,724,206,390,278,243,2357,1403,1649,2746,66
"00640 Oulunkylä-Patola  (Helsinki)",4161,1.9,36.0,526,249,788,211,395,320,273,2193,1205,2378,1656,127
"00650 Veräjämäki  (Helsinki)",1979,2.1,35.8,137,97,552,143,274,219,192,1024,419,823,1107,49
"00660 Länsi-Pakila  (Helsinki)",2571,2.5,39.9,81,45,790,156,333,357,334,911,906,2225,279,67
"00670 Paloheinä  (Helsinki)",2209,2.7,37.1,17,38,880,187,380,399,349,757,593,1982,163,64
"00680 Itä-Pakila  (Helsinki)",1414,2.5,39.7,29,35,483,104,205,214,209,520,419,1156,223,35
"00690 Tuomarinkylä-Torpparinmäki  (Helsinki)",1051,2.6,35.4,22,33,410,104,190,176,167,401,245,756,279,16
"00700 Malmi  (Helsinki)",6935,1.9,33.2,853,374,1390,403,722,511,515,3991,1572,2700,4115,120
"00710 Pihlajamäki  (Helsinki)",6650,1.9,33.5,676,331,1318,417,725,489,400,3565,1789,2813,3722,115
"00720 Pukinmäki-Savela  (Helsinki)",4501,1.9,33.4,405,287,807,257,446,300,267,2461,1246,2188,2211,102
"00730 Tapanila  (Helsinki)",5035,2.2,33.9,368,240,1449,355,690,635,553,2599,1004,2922,2006,107
"00740 Siltamäki  (Helsinki)",4359,2.3,34.2,225,261,1261,312,587,517,487,1957,1157,2840,1438,81
"00750 Puistola  (Helsinki)",4291,2.1,33.6,394,219,1137,325,585,446,405,2300,880,2063,2135,93
"00760 Suurmetsä  (Helsinki)",3004,2.6,34.9,84,106,1048,221,475,461,457,1214,762,2279,668,57
"00770 Jakomäki  (Helsinki)",3336,1.9,32.7,341,124,738,226,386,286,274,1690,911,851,2421,64
"00780 Tapaninvainio  (Helsinki)",3140,2.2,37.0,186,108,782,215,378,310,306,1488,885,2286,792,62
"00790 Viikki  (Helsinki)",4714,2.2,29.4,700,536,1445,496,884,616,375,2706,573,1362,3314,38
"00800 Länsi-Herttoniemi  (Helsinki)",4114,1.7,33.3,566,209,677,196,342,248,221,2358,1090,1439,2613,62
"00810 Herttoniemi  (Helsinki)",5776,1.9,33.1,666,424,1302,422,705,492,420,3517,972,1730,3944,102
"00820 Roihuvuori  (Helsinki)",4116,1.7,31.2,552,188,746,202,372,284,261,2397,980,1753,2238,125
"00830 Tammisalo  (Helsinki)",916,2.5,45.4,17,7,292,64,136,138,115,282,349,778,104,34
"00840 Laajasalo  (Helsinki)",4087,2.0,38.6,339,111,834,232,404,352,304,1815,1461,3050,941,96
"00850 Jollas  (Helsinki)",1177,2.7,38.8,18,20,473,104,217,218,186,444,265,769,376,32
"00860 Santahamina  (Helsinki)",180,2.5,25.7,22,16,78,32,50,32,13,100,2,1,171,8
"00870 Etelä-Laajasalo  (Helsinki)",2387,2.0,34.6,189,131,572,167,300,238,196,1107,722,825,1532,30
"00880 Roihupellon teollisuusalue  (Helsinki)",257,1.7,32.8,49,15,43,15,23,13,13,178,36,2,235,20
"00890 Itäsalmi  (Helsinki)",673,3.1,51.1,7,1,349,52,108,184,197,202,136,593,56,24
"00900 Puotinharju  (Helsinki)",2316,1.7,33.9,288,97,359,99,176,128,139,1265,701,1044,1187,85
"00910 Puotila  (Helsinki)",3438,1.7,32.3,519,162,567,172,299,218,187,1984,894,1651,1677,110
"00920 Myllypuro  (Helsinki)",5389,2.0,33.7,392,176,1209,359,628,483,456,2500,1700,2598,2683,108
"00930 Itäkeskus-Marjaniemi  (Helsinki)",3236,2.1,38.4,249,117,716,181,338,291,281,1604,926,1418,1732,86
"00940 Kontula  (Helsinki)",12609,2.0,32.4,944,464,2893,782,1444,1229,1076,6247,3528,4605,7796,208
"00950 Vartioharju  (Helsinki)",2270,2.4,38.0,99,59,688,126,278,310,281,994,609,1730,472,68
"00960 Pohjois-Vuosaari  (Helsinki)",3643,1.9,33.2,332,134,737,173,341,337,293,1922,991,1974,1528,141
"00970 Mellunkylä  (Helsinki)",5539,1.9,33.5,419,224,1100,307,536,415,430,2907,1557,2800,2649,90
"00980 Etelä-Vuosaari  (Helsinki)",10847,2.1,32.5,786,450,2818,786,1432,1264,1052,5349,2732,4024,6687,136
"00990 Aurinkolahti  (Helsinki)",3881,1.9,34.8,384,259,825,258,475,319,228,2173,892,2212,1545,124
"01120 Västerskog  (Sipoo)",526,2.4,48.9,13,13,148,30,71,78,59,216,170,469,33,24
"01150 Söderkulla  (Sipoo)",1766,2.6,44.2,60,38,688,185,344,339,230,657,436,1446,277,43
"01180 Kalkkiranta  (Sipoo)",196,2.5,48.2,7,3,68,11,26,31,31,68,60,181,10,5
"01190 Box  (Sipoo)",395,2.5,46.1,12,8,131,27,61,55,61,155,115,370,12,13
"01200 Hakunila  (Vantaa)",5777,2.1,32.8,542,209,1521,417,804,616,549,2974,1299,2443,3217,117
"01230 Vaarala  (Vantaa)",1253,2.3,35.7,101,61,370,90,182,142,140,621,267,1027,191,35
"01260 Itä-Hakkila  (Vantaa)",1785,2.7,37.6,39,53,671,155,305,302,273,721,404,1486,275,24
"01280 Länsimäki  (Vantaa)",4428,2.1,33.4,310,174,1175,324,605,491,422,2329,934,2633,1704,91
"01300 Tikkurila  (Vantaa)",9307,1.9,35.6,1058,605,1727,462,838,660,646,5133,2472,5164,3868,275
"01340 Leinelä  (Vantaa)",292,1.7,32.4,57,32,53,21,35,12,13,193,46,53,238,1
"01350 Hiekkaharju  (Vantaa)",4581,2.0,34.4,610,271,1101,279,525,466,434,2515,979,2477,1943,161
"01360 Koivukylä-Havukoski  (Vantaa)",6382,1.9,33.8,832,313,1284,417,727,459,433,3683,1437,3165,3050,167
"01370 Jokiniemi  (Vantaa)",2904,2.0,32.0,521,337,711,207,390,260,233,1915,279,920,1941,43
"01380 Kuusikko-Hakkila  (Vantaa)",734,2.7,36.5,17,33,288,76,131,117,128,290,163,537,184,13
"01390 Ruskeasanta-Ilola  (Vantaa)",3392,2.6,35.6,163,208,1312,338,645,572,492,1536,569,2390,936,66
"01400 Rekola  (Vantaa)",3323,2.4,35.2,209,126,1092,259,511,510,434,1486,763,1737,1536,50
"01420 Päiväkumpu  (Vantaa)",1081,3.0,37.2,6,15,490,89,200,231,252,359,239,949,112,20
"01450 Korso  (Vantaa)",8283,2.2,35.2,721,409,2353,648,1181,1025,844,4282,1676,4913,3180,190
"01480 Mikkola  (Vantaa)",2934,2.2,34.0,276,115,872,237,461,385,338,1474,596,1748,1117,69
"01490 Nikinmäki  (Vantaa)",1295,3.1,39.1,16,30,657,155,339,337,231,433,213,1156,117,22
"01510 Kirkonkylä-Veromäki  (Vantaa)",2712,2.1,31.0,401,263,777,300,522,272,184,1664,276,989,1655,68
"01520 Tammisto  (Vantaa)",3395,2.2,30.8,489,378,1265,429,782,535,265,1915,217,1663,1680,52
"01530 Veromiehenkylä  (Vantaa)",296,1.8,29.8,58,40,51,26,32,10,15,234,12,1,270,25
"01600 Myyrmäki  (Vantaa)",8676,1.8,34.8,1131,458,1469,456,806,612,457,4573,2651,4880,3642,154
"01610 Kaivoksela  (Vantaa)",2249,1.8,34.9,308,122,379,117,200,159,119,1346,529,1444,750,55
"01620 Martinlaakso  (Vantaa)",5954,2.0,35.0,604,296,1276,371,680,516,432,2954,1739,3508,2298,148
"01630 Hämeenkylä  (Vantaa)",833,2.6,35.7,13,33,307,85,154,146,103,363,170,662,156,15
"01640 Hämevaara  (Vantaa)",1196,2.3,38.8,65,50,331,91,171,151,123,578,296,863,314,19
"01650 Vapaala  (Vantaa)",1868,2.1,39.4,180,69,419,99,210,174,148,951,508,1427,379,62
"01660 Varisto  (Vantaa)",1050,2.2,36.3,58,44,280,69,131,123,103,508,266,559,457,34
"01670 Vantaanlaakso  (Vantaa)",1171,2.3,37.9,55,58,348,101,171,139,125,515,309,947,211,13
"01680 Askisto  (Vantaa)",761,2.7,37.8,17,17,309,64,127,148,139,296,163,527,222,12
"01690 Ylästö  (Vantaa)",1549,3.0,35.1,20,27,847,202,398,437,304,483,234,1259,274,16
"01700 Kivistö  (Vantaa)",1092,2.9,37.5,27,29,524,149,310,249,145,366,213,968,108,16
"01710 Pähkinärinne  (Vantaa)",2556,1.8,34.7,296,136,488,154,274,199,159,1481,590,1592,909,55
"01720 Petikko  (Vantaa)",37,2.2,29.3,6,2,7,4,5,1,3,25,5,20,14,3
"01730 Vantaanpuisto  (Vantaa)",997,2.4,39.4,71,46,291,63,148,128,105,425,286,861,111,25
"01740 Tuupakan teollisuusalue  (Vantaa)",91,2.3,50.4,3,1,20,3,8,12,8,47,24,75,9,7
"01750 Keimola  (Vantaa)",314,2.7,43.7,8,6,119,19,53,57,51,123,75,290,21,3
"01760 Seutula  (Vantaa)",845,2.5,39.7,20,13,249,50,108,119,117,374,229,713,102,30
"01770 Martinlaakson teollisuusalue  (Vantaa)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus  (Nurmijärvi)",3290,2.2,39.4,243,116,962,260,475,411,381,1511,832,2436,780,74
"01810 Luhtajoki  (Nurmijärvi)",249,3.0,42.4,5,3,95,25,53,52,47,93,62,228,15,6
"01820 Haikala  (Nurmijärvi)",1273,2.7,37.6,25,52,575,150,267,265,235,471,233,1064,192,17
"01830 Lepsämä  (Nurmijärvi)",825,2.9,42.0,12,11,353,72,147,194,167,275,206,788,21,16
"01840 Klaukkala  (Nurmijärvi)",1507,2.8,38.8,39,41,728,170,316,366,292,550,236,1239,251,17
"01860 Perttula  (Nurmijärvi)",784,2.7,45.4,14,18,267,68,137,128,107,316,205,722,40,22
"01900 Nurmijärvi Keskus  (Nurmijärvi)",3863,2.3,40.3,244,135,1115,265,503,534,494,1645,1116,2742,1029,92
"01940 Palojoki  (Nurmijärvi)",285,2.7,42.5,1,5,107,18,44,64,46,98,87,271,8,6
"02100 Tapiola  (Espoo)",2380,1.7,38.6,364,145,311,98,165,117,102,1207,867,1313,965,102
"02110 Otsolahti  (Espoo)",1438,1.8,35.6,246,113,266,102,172,91,55,813,364,886,487,65
"02120 Länsikorkee-Hakalehto  (Espoo)",1538,1.8,37.0,267,112,251,79,142,96,69,840,457,974,518,46
"02130 Pohjois-Tapiola  (Espoo)",2603,2.3,39.4,193,108,746,209,377,310,275,1129,741,1883,644,76
"02140 Laajalahti-Friisinmäki  (Espoo)",1392,2.6,36.5,54,40,541,136,274,222,214,539,319,979,358,55
"02150 Otaniemi  (Espoo)",1765,1.9,24.2,602,348,83,37,59,26,16,1623,61,136,1603,26
"02160 Westend  (Espoo)",1228,2.5,50.8,41,33,426,90,175,199,180,431,376,1023,147,58
"02170 Haukilahti  (Espoo)",2674,2.1,42.1,203,106,684,148,291,308,290,1099,903,1803,777,94
"02180 Mankkaa  (Espoo)",2401,2.7,37.6,41,52,1027,271,519,453,392,854,533,1952,395,54
"02200 Niittykumpu  (Espoo)",4383,2.1,37.6,516,340,1129,389,653,419,334,2308,964,2571,1665,147
"02210 Olari-Kuitinmäki  (Espoo)",5455,2.0,37.1,586,290,1232,342,639,519,421,2749,1501,3623,1682,150
"02230 Matinkylä  (Espoo)",9800,2.0,35.2,1254,728,2224,662,1178,904,744,5423,2184,4622,4942,236
"02240 Friisilä  (Espoo)",730,2.7,45.3,17,20,283,43,111,143,123,265,193,648,56,26
"02260 Iivisniemi  (Espoo)",1579,2.4,36.1,83,49,536,132,258,256,207,719,329,1051,496,32
"02270 Suomenoja  (Espoo)",821,2.7,37.7,21,30,340,83,159,163,138,321,169,604,191,26
"02280 Puolarmetsä  (Espoo)",1734,2.5,33.1,88,84,707,188,350,281,261,809,223,844,873,17
"02290 Puolarmetsän sairaala  (Espoo)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"02300 Nöykkiö  (Espoo)",854,3.0,42.8,6,14,397,67,152,203,189,283,180,763,69,22
"02320 Kivenlahti  (Espoo)",7956,2.0,36.1,735,336,1759,497,903,720,626,4026,2202,4717,3021,218
"02330 Kattilalaakso  (Espoo)",3245,2.5,38.6,309,145,1286,377,719,567,414,1506,471,1968,1228,49
"02340 Latokaski  (Espoo)",1789,2.8,32.5,23,78,839,269,475,344,266,662,295,1438,321,30
"02360 Espoonlahti  (Espoo)",4279,2.2,39.6,284,147,1099,261,498,477,443,1864,1332,3002,1145,132
"02380 Suvisaaristo  (Espoo)",242,2.7,63.3,3,1,89,15,36,46,44,68,97,196,16,30
"02400 Kirkkonummi Keskus  (Kirkkonummi)",5332,2.3,39.5,301,202,1626,362,733,770,700,2314,1425,3435,1773,124
"02410 Gesterby  (Kirkkonummi)",1217,1.7,38.0,145,40,205,55,99,78,74,711,303,657,524,36
"02420 Jorvas  (Kirkkonummi)",668,2.8,51.7,7,11,264,47,107,139,114,233,176,612,38,18
"02430 Masala  (Kirkkonummi)",1695,2.5,33.7,96,71,676,203,381,309,226,759,271,972,701,22
"02440 Luoma  (Kirkkonummi)",236,2.7,51.6,4,3,82,16,35,37,35,78,79,217,15,4
"02450 Sundsberg  (Kirkkonummi)",542,3.2,37.7,1,20,345,113,240,170,55,154,45,514,17,11
"02460 Kantvik  (Kirkkonummi)",700,2.3,43.6,45,25,197,34,79,94,85,367,142,566,110,24
"02470 Upinniemi  (Kirkkonummi)",206,1.8,36.8,36,10,43,11,22,12,15,147,16,1,186,19
"02480 Porkkala  (Kirkkonummi)",1559,2.7,44.4,80,30,615,164,325,279,221,607,353,1307,206,46
"02490 Pikkala  (Siuntio)",160,2.0,43.9,24,5,31,13,21,10,6,102,28,110,46,4
"02510 Oitmäki  (Kirkkonummi)",198,2.6,44.7,5,3,67,18,33,30,34,83,52,151,37,10
"02520 Lapinkylä  (Kirkkonummi)",317,2.6,48.2,4,6,102,25,52,52,35,115,106,301,10,6
"02540 Kylmälä  (Kirkkonummi)",258,2.6,49.7,4,2,85,17,33,39,43,112,65,241,12,5
"02550 Evitskog  (Kirkkonummi)",339,2.5,47.6,11,4,114,35,62,52,38,145,85,309,20,10
"02570 Siuntio Kirkonkylä  (Siuntio)",546,2.5,46.7,21,10,164,40,77,86,60,246,143,487,40,19
"02580 Siuntio Asemanseutu  (Siuntio)",1361,2.5,47.6,41,21,469,100,231,228,202,523,381,1139,178,44
"02590 Lappers  (Siuntio)",91,2.7,49.9,0,0,38,8,20,19,16,28,25,88,2,1
"02600 Etelä-Leppävaara  (Espoo)",5278,2.0,32.3,799,656,1225,448,740,491,324,3209,856,1900,3279,99
"02610 Kilo  (Espoo)",2518,2.2,31.6,344,270,757,266,429,299,252,1544,219,922,1563,33
"02620 Karakallio  (Espoo)",3467,2.3,34.4,260,163,1127,295,593,528,376,1522,831,2063,1326,78
"02630 Nihtisilta  (Espoo)",1253,2.3,33.6,103,76,414,130,244,173,122,673,171,820,416,17
"02650 Pohjois-Leppävaara  (Espoo)",5369,1.9,33.5,819,563,973,398,626,319,223,3455,954,2734,2512,123
"02660 Lintuvaara  (Espoo)",2367,2.7,33.4,155,115,956,235,440,457,395,1065,361,1350,968,49
"02680 Uusmäki  (Espoo)",277,2.7,38.8,11,12,108,23,52,59,36,104,65,245,26,6
"02700 Suur-Kauniainen  (Kauniainen)",3667,2.4,47.4,182,93,1073,186,435,535,504,1344,1284,2412,1086,169
"02710 Viherlaakso  (Espoo)",2757,2.1,37.2,216,95,684,193,365,291,225,1262,823,2041,639,77
"02720 Laaksolahti-Lähderanta  (Espoo)",1213,2.2,37.4,120,46,337,81,152,131,144,550,335,902,262,49
"02730 Laaksolahti  (Espoo)",1608,2.8,45.0,18,24,647,113,257,322,289,545,429,1489,68,51
"02740 Karvasmäki-Kunnarla  (Espoo)",1123,2.5,36.7,74,55,438,142,257,195,136,567,127,538,559,26
"02750 Sepänkylä  (Espoo)",2409,2.5,35.0,267,152,945,283,512,410,317,1213,260,1388,977,44
"02760 Espoon Keskus Itäinen  (Espoo)",6591,2.2,32.3,671,507,1868,689,1130,688,552,3697,1033,3267,3163,161
"02770 Espoon Keskus Läntinen  (Espoo)",4537,2.2,32.5,466,261,1300,379,676,535,464,2451,797,1820,2652,65
"02780 Kauklahti  (Espoo)",3240,2.5,37.0,280,144,1323,342,686,637,456,1418,518,1722,1433,85
"02810 Kumpyöli-Karhusuo  (Espoo)",617,2.9,36.1,18,26,295,86,167,143,98,232,92,467,138,12
"02820 Nupuri-Nuuksio  (Espoo)",541,2.5,48.1,16,10,174,26,71,88,86,213,162,492,20,29
"02860 Siikajärvi  (Espoo)",271,2.6,41.0,5,1,81,17,33,47,35,113,78,244,18,9
"02880 Veikkola  (Kirkkonummi)",2128,2.7,41.1,50,66,924,219,462,459,344,769,458,1819,265,44
"02920 Niipperi  (Espoo)",1761,2.9,34.6,41,43,869,229,441,438,337,631,277,1211,512,38
"02940 Lippajärvi  (Espoo)",4158,2.4,35.9,227,133,1542,400,743,721,559,1931,700,2637,1416,105
"02970 Kalajärvi  (Espoo)",1375,2.7,38.5,35,29,545,151,279,256,206,538,298,1057,286,32
"02980 Lakisto  (Espoo)",198,1.7,38.5,23,6,28,5,9,14,14,149,21,52,129,17
"03100 Nummela  (Vihti)",6764,2.2,39.2,598,266,1914,555,992,817,694,3287,1587,4617,1936,211
"03150 Huhmari  (Vihti)",325,2.5,48.1,5,5,93,10,30,47,50,143,90,294,10,21
"03220 Tervalampi  (Vihti)",247,2.5,48.6,4,4,69,11,24,33,34,106,73,231,11,5
"03250 Ojakkala  (Vihti)",735,2.7,42.8,10,18,295,72,135,138,126,278,167,681,36,18
"03300 Otalampi  (Vihti)",913,2.7,42.2,14,20,323,88,176,175,125,375,226,859,28,26
"03320 Selki  (Vihti)",134,2.4,48.6,3,2,37,10,18,19,16,67,30,119,10,5
"03400 Vihti Kirkonkylä  (Vihti)",2730,2.4,42.3,106,61,847,197,403,407,378,1111,790,2268,373,89
"03430 Jokikunta  (Vihti)",206,2.7,43.4,4,7,83,24,41,45,40,69,57,192,5,9
"03600 Karkkila Keskus  (Karkkila)",3237,2.0,40.1,219,77,712,167,345,344,273,1424,1115,2454,694,89
"03620 Polari  (Karkkila)",986,2.2,40.8,60,26,249,71,133,118,87,474,267,713,246,27
"03710 Uusitalo  (Karkkila)",83,2.4,48.2,1,1,24,7,12,11,8,32,29,81,1,1
"03790 Vihtijärvi  (Vihti)",213,2.5,46.5,3,4,64,13,33,33,21,87,65,180,22,11
"03810 Ikkala  (Lohja)",281,2.2,44.0,10,3,73,19,31,37,30,121,89,230,38,13
"03850 Pusula  (Lohja)",772,2.2,43.8,27,16,169,40,70,81,86,302,311,653,96,23
"03870 Hyönölä  (Lohja)",92,2.1,51.7,3,2,18,4,10,9,4,41,33,87,4,1
"04130 Nikkilä  (Sipoo)",3040,2.3,40.9,180,57,937,207,429,425,415,1305,826,2260,690,90
"04150 Martinkylä  (Sipoo)",249,2.6,43.3,1,3,87,20,35,42,34,100,65,236,8,5
"04170 Paippinen  (Sipoo)",464,2.6,45.1,3,16,151,42,93,66,52,178,142,448,5,11
"04200 Kerava Keskus  (Kerava)",6055,1.9,37.8,647,280,1055,266,514,427,392,3061,1954,3566,2317,172
"04220 Ahjo-Kaskela  (Kerava)",2064,2.4,35.0,178,91,764,180,355,366,299,1041,265,1126,915,23
"04230 Pihkaniitty  (Kerava)",3221,2.3,38.7,195,128,1017,261,520,445,368,1409,806,2453,724,44
"04240 Talma  (Sipoo)",468,2.7,43.7,3,6,178,28,79,90,74,182,115,439,18,11
"04250 Alikerava  (Kerava)",2477,1.9,34.5,383,190,534,161,282,198,188,1451,498,1082,1366,29
"04260 Savio  (Kerava)",2888,2.1,36.0,265,110,737,180,368,304,266,1539,624,1864,949,75
"04300 Hyrylä  (Tuusula)",4544,2.2,39.3,303,121,1329,313,606,626,533,2007,1223,2902,1520,122
"04310 Tuusula Keskus  (Tuusula)",1046,2.4,43.5,53,33,362,78,158,164,155,427,262,796,216,34
"04320 Riihikallio  (Tuusula)",1969,2.3,38.2,129,58,593,163,287,246,231,927,459,1477,463,29
"04330 Lahela  (Tuusula)",788,2.9,40.4,16,20,393,70,175,191,160,285,114,728,49,11
"04340 Mattila  (Tuusula)",979,2.3,38.9,78,33,305,71,138,146,118,471,208,806,155,18
"04350 Nahkela  (Tuusula)",197,2.6,48.8,1,3,72,12,29,31,38,66,63,194,1,2
"04360 Ruotsinkylä-Kiilinmäki  (Tuusula)",477,2.7,42.6,8,9,174,23,64,99,76,190,124,422,38,17
"04370 Rusutjärvi  (Tuusula)",292,2.6,46.9,4,2,91,17,41,59,40,126,79,279,6,7
"04380 Tuomala  (Tuusula)",224,2.6,51.1,3,1,83,13,33,41,39,77,70,208,9,7
"04390 Jäniksenlinna  (Tuusula)",182,2.7,45.0,3,3,63,11,31,33,28,74,45,173,4,5
"04400 Loutti  (Järvenpää)",4975,1.8,39.7,661,265,834,226,379,330,324,2669,1490,3318,1510,147
"04410 Järvenpää Keskus  (Järvenpää)",4687,2.0,36.9,458,236,1133,302,573,453,456,2351,1213,2869,1723,95
"04420 Kyrölä  (Järvenpää)",1714,2.4,36.3,97,101,537,156,276,230,197,865,319,1369,321,24
"04430 Kinnari-Mikonkorpi  (Järvenpää)",3772,2.4,38.4,227,172,1227,318,584,513,479,1812,747,2899,801,72
