"Postal code area","Households, total, 2015 (TE)","Average size of households, 2015 (TE)","Occupancy rate, 2015 (TE)","Young single persons, 2015 (TE)","Young couples without children, 2015 (TE)","Households with children, 2015 (TE)","Households with small children, 2015 (TE)","Households with children under school age, 2015 (TE)","Households with school-age children, 2015 (TE)","Households with teenagers, 2015 (TE)","Adult households, 2015 (TE)","Pensioner households, 2015 (TE)","Households living in owner-occupied dwellings, 2015 (TE)","Households living in rented dwellings, 2015 (TE)","Households living in other dwellings, 2015 (TE)"
"00800 Länsi-Herttoniemi   (Helsinki )",4129,1.7,32.9,582,203,707,206,379,286,212,2388,1044,1428,2637,64
"00810 Herttoniemi   (Helsinki )",5860,1.9,32.8,601,466,1334,427,737,511,417,3442,1102,1761,4056,43
"00820 Roihuvuori   (Helsinki )",4098,1.7,31.1,523,169,740,218,394,277,228,2385,977,1712,2272,114
"00830 Tammisalo   (Helsinki )",917,2.4,46.0,29,15,279,57,117,137,116,297,349,769,103,45
"00840 Laajasalo   (Helsinki )",4125,2.0,38.2,319,114,884,237,454,356,307,1751,1516,3012,967,146
"00850 Jollas   (Helsinki )",1178,2.6,38.9,26,20,453,81,201,221,190,455,278,771,371,36
"00860 Santahamina   (Helsinki )",167,2.5,25.1,21,10,73,33,50,32,10,91,3,0,167,0
"00870 Etelä-Laajasalo   (Helsinki )",2412,2.0,34.8,204,132,588,170,317,246,193,1127,713,812,1573,27
"00880 Roihupellon teollisuusalue   (Helsinki )",421,1.7,32.7,56,38,62,22,36,9,22,254,105,2,418,1
"00890 Itäsalmi   (Helsinki )",666,3.1,52.5,4,2,319,32,85,147,196,223,136,592,49,25
"00900 Puotinharju   (Helsinki )",2329,1.8,33.4,278,110,375,110,182,139,153,1263,700,1009,1250,70
"00910 Puotila   (Helsinki )",3463,1.7,32.1,503,180,575,183,316,258,171,2005,890,1592,1786,85
"00920 Myllypuro   (Helsinki )",5883,2.0,33.7,470,215,1365,397,750,539,494,2733,1815,2628,3116,139
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3262,2.1,38.3,236,127,715,201,350,301,290,1599,970,1396,1791,75
"00940 Kontula - Vesala   (Helsinki )",12776,2.0,32.3,897,494,2888,790,1447,1230,1077,6289,3661,4459,8067,250
"00950 Vartioharju   (Helsinki )",2354,2.4,38.3,103,64,678,142,266,334,285,1036,659,1724,540,90
"00960 Pohjois-Vuosaari   (Helsinki )",3780,1.9,33.3,308,154,770,204,361,341,305,1972,1048,1945,1708,127
"00970 Mellunmäki   (Helsinki )",5552,1.9,33.7,448,200,1090,311,543,431,421,2888,1601,2711,2719,122
"00980 Etelä-Vuosaari   (Helsinki )",11008,2.0,32.6,820,431,2775,759,1424,1236,1049,5402,2871,3949,6929,130
"00990 Aurinkolahti   (Helsinki )",4134,1.9,34.4,345,267,904,276,512,371,239,2189,1049,2288,1787,59
"01120 Västerskog   (Sipoo )",547,2.5,48.3,7,10,155,34,66,80,63,219,183,489,36,22
