"Postal code area","Aged 18 or over, total, 2013 (KO)","Basic level studies, 2013 (KO)","With education, total, 2013 (KO)","Matriculation examination, 2013 (KO)","Vocational diploma, 2013 (KO)","Academic degree - Lower level university degree, 2013 (KO)","Academic degree - Higher level university degree, 2013 (KO)"
"01700 Kivistö   (Vantaa )",2194,435,1759,162,897,356,344
"01710 Pähkinärinne   (Vantaa )",3863,1096,2767,317,1503,521,426
"01720 Petikko   (Vantaa )",71,25,46,4,37,2,3
"01730 Vantaanpuisto   (Vantaa )",1824,513,1311,142,784,230,155
"01740 Tuupakan teollisuusalue   (Vantaa )",175,55,120,9,73,15,23
"01750 Keimola   (Vantaa )",624,157,467,50,268,81,68
"01760 Seutula   (Vantaa )",1617,543,1074,103,718,138,115
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",5644,1538,4106,421,2475,644,566
"01810 Luhtajoki   (Nurmijärvi )",498,147,351,38,219,54,40
"01820 Haikala   (Nurmijärvi )",2422,496,1926,209,1023,378,316
"01830 Lepsämä   (Nurmijärvi )",1670,421,1249,114,813,172,150
"01840 Klaukkala   (Nurmijärvi )",2892,558,2334,228,1245,430,431
"01860 Perttula   (Nurmijärvi )",1558,441,1117,106,735,138,138
"01900 Nurmijärvi Keskus   (Nurmijärvi )",6639,1865,4774,400,3061,695,618
"01940 Palojoki   (Nurmijärvi )",565,167,398,27,260,64,47
"02100 Tapiola   (Espoo )",3539,596,2943,514,829,521,1079
"02110 Otsolahti   (Espoo )",2221,301,1920,320,437,368,795
"02120 Länsikorkee-Hakalehto   (Espoo )",2336,370,1966,337,492,342,795
"02130 Pohjois-Tapiola   (Espoo )",4632,700,3932,550,1004,604,1774
"02140 Laajalahti-Friisinmäki   (Espoo )",2720,528,2192,309,666,333,884
"02150 Otaniemi   (Espoo )",3598,551,3047,1913,158,489,487
"02160 Westend   (Espoo )",2368,295,2073,315,471,312,975
"02170 Haukilahti   (Espoo )",4570,664,3906,609,1146,629,1522
"02180 Mankkaa   (Espoo )",4700,711,3989,501,1132,624,1732
"02200 Niittykumpu   (Espoo )",7409,1161,6248,846,2089,1181,2132
"02210 Olari-Kuitinmäki   (Espoo )",9055,1845,7210,1122,2692,1289,2107
"02230 Matinkylä   (Espoo )",15699,3882,11817,1941,4691,2030,3155
"02240 Friisilä   (Espoo )",1480,162,1318,167,393,212,546
"02260 Iivisniemi   (Espoo )",2810,606,2204,319,954,335,596
"02270 Suomenoja   (Espoo )",1617,313,1304,167,491,217,429
"02280 Puolarmetsä   (Espoo )",3153,738,2415,295,1106,405,609
"02290 Puolarmetsän sairaala   (Espoo )",19,..,..,..,..,..,..
"02300 Nöykkiö   (Espoo )",1796,317,1479,212,526,218,523
"02320 Kivenlahti   (Espoo )",13032,3443,9589,1335,4620,1519,2115
"02330 Kattilalaakso   (Espoo )",5930,1044,4886,633,1864,834,1555
"02340 Latokaski   (Espoo )",3506,574,2932,349,1220,590,773
"02360 Espoonlahti   (Espoo )",7357,1815,5542,731,2425,879,1507
"02380 Suvisaaristo   (Espoo )",481,86,395,64,130,59,142
"02400 Kirkkonummi Keskus   (Kirkkonummi )",9356,2443,6913,823,3639,1173,1278
"02410 Gesterby   (Kirkkonummi )",1794,653,1141,128,748,151,114
"02420 Jorvas   (Kirkkonummi )",1330,255,1075,125,468,212,270
"02430 Masala   (Kirkkonummi )",2932,795,2137,208,1142,408,379
"02440 Luoma   (Kirkkonummi )",489,106,383,45,183,53,102
"02450 Sundsberg   (Kirkkonummi )",1073,102,971,97,303,211,360
"02460 Kantvik   (Kirkkonummi )",1270,303,967,108,480,161,218
"02470 Upinniemi   (Kirkkonummi )",298,60,238,25,166,29,18
"02480 Porkkala   (Kirkkonummi )",2992,586,2406,263,1116,439,588
"02490 Pikkala   (Siuntio )",262,82,180,23,91,25,41
"02510 Oitmäki   (Kirkkonummi )",380,99,281,37,156,36,52
"02520 Lapinkylä   (Kirkkonummi )",625,158,467,38,278,69,82
"02540 Kylmälä   (Kirkkonummi )",501,144,357,43,205,50,59
"02550 Evitskog   (Kirkkonummi )",673,184,489,51,291,74,73
"02570 Siuntio Kirkonkylä   (Siuntio )",1040,318,722,85,439,92,106
"02580 Siuntio Asemanseutu   (Siuntio )",2464,594,1870,174,1067,282,347
"02590 Lappers   (Siuntio )",173,50,123,5,69,26,23
"02600 Etelä-Leppävaara   (Espoo )",8457,1716,6741,1198,2408,1459,1676
"02610 Kilo   (Espoo )",4392,1081,3311,559,1221,620,911
"02620 Karakallio   (Espoo )",6099,1633,4466,564,2066,806,1030
"02630 Nihtisilta   (Espoo )",2197,436,1761,200,677,353,531
"02650 Pohjois-Leppävaara   (Espoo )",8327,1889,6438,980,2457,1390,1611
"02660 Lintuvaara   (Espoo )",4381,894,3487,536,1292,627,1032
"02680 Uusmäki   (Espoo )",1009,157,852,116,322,162,252
"02700 Suur-Kauniainen   (Kauniainen )",6937,986,5951,959,1640,975,2377
"02710 Viherlaakso   (Espoo )",4745,1021,3724,436,1618,671,999
"02720 Laaksolahti-Lähderanta   (Espoo )",2111,437,1674,240,777,260,397
"02730 Laaksolahti   (Espoo )",3329,491,2838,338,1070,467,963
"02740 Karvasmäki-Kunnarla   (Espoo )",2023,397,1626,150,769,340,367
"02750 Sepänkylä   (Espoo )",4236,741,3495,411,1274,676,1134
"02760 Espoon Keskus Itäinen   (Espoo )",11172,3115,8057,1023,3877,1498,1659
"02770 Espoon Keskus Läntinen   (Espoo )",7788,2356,5432,826,2748,869,989
"02780 Kauklahti   (Espoo )",5794,1396,4398,518,1979,801,1100
"02810 Kumpyöli-Karhusuo   (Espoo )",1191,214,977,105,457,188,227
"02820 Nupuri-Nuuksio   (Espoo )",1083,307,776,92,402,115,167
"02860 Siikajärvi   (Espoo )",531,132,399,60,223,53,63
"02880 Veikkola   (Kirkkonummi )",4047,881,3166,294,1604,574,694
"02920 Niipperi   (Espoo )",3437,760,2677,285,1383,446,563
"02940 Lippajärvi   (Espoo )",7449,1552,5897,633,2739,1096,1429
"02970 Kalajärvi   (Espoo )",2646,647,1999,202,1097,352,348
"02980 Lakisto   (Espoo )",358,164,194,16,142,25,11
"03100 Nummela   (Vihti )",11358,3040,8318,779,5179,1336,1024
"03150 Huhmari   (Vihti )",631,164,467,40,280,66,81
"03220 Tervalampi   (Vihti )",478,127,351,28,217,52,54
"03250 Ojakkala   (Vihti )",1441,359,1082,90,670,169,153
"03300 Otalampi   (Vihti )",1798,465,1333,96,867,229,141
"03320 Selki   (Vihti )",254,70,184,11,133,23,17
"03400 Vihti Kirkonkylä   (Vihti )",4929,1401,3528,327,2366,466,369
"03430 Jokikunta   (Vihti )",389,99,290,26,201,38,25
"03600 Karkkila Keskus   (Karkkila )",5337,1959,3378,223,2560,361,234
"03620 Polari   (Karkkila )",1683,627,1056,65,802,130,59
"03710 Uusitalo   (Karkkila )",159,45,114,9,84,13,8
"03790 Vihtijärvi   (Vihti )",420,134,286,30,178,46,32
"03810 Ikkala   (Lohja )",493,173,320,18,266,24,12
"03850 Pusula   (Lohja )",1394,521,873,75,665,78,55
"03870 Hyönölä   (Lohja )",164,59,105,9,79,7,10
"04130 Sipoo   (Sipoo )",5395,1450,3945,386,2366,526,667
"04150 Martinkylä   (Sipoo )",490,117,373,44,224,48,57
"04170 Paippinen   (Sipoo )",925,252,673,62,433,106,72
"04200 Kerava Keskus   (Kerava )",9590,2898,6692,758,3928,1024,982
"04220 Ahjo-Kaskela   (Kerava )",3641,995,2646,278,1618,422,328
"04230 Pihkaniitty   (Kerava )",5660,1177,4483,417,2528,839,699
"04240 Talma   (Sipoo )",927,229,698,74,445,101,78
"04250 Alikerava   (Kerava )",3874,1119,2755,328,1766,404,257
"04260 Savio   (Kerava )",4915,1435,3480,359,2240,505,376
"04300 Hyrylä   (Tuusula )",7774,2067,5707,522,3370,920,895
"04310 Tuusula Keskus   (Tuusula )",2015,438,1577,175,793,258,351
"04320 Riihikallio   (Tuusula )",3450,920,2530,265,1587,403,275
"04330 Lahela   (Tuusula )",1569,297,1272,135,661,227,249
"04340 Mattila   (Tuusula )",1732,409,1323,132,759,229,203
"04350 Nahkela   (Tuusula )",393,106,287,26,185,48,28
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",949,303,646,62,443,82,59
"04370 Rusutjärvi   (Tuusula )",572,144,428,36,294,61,37
"04380 Tuomala   (Tuusula )",435,87,348,32,214,50,52
"04390 Jäniksenlinna   (Tuusula )",351,82,269,18,201,36,14
"04400 Loutti   (Järvenpää )",8001,1983,6018,693,3584,886,855
"04410 Järvenpää Keskus   (Järvenpää )",7622,2115,5507,532,3532,774,669
"04420 Kyrölä   (Järvenpää )",2905,561,2344,231,1319,426,368
"04430 Kinnari-Mikonkorpi   (Järvenpää )",6836,1379,5457,509,3236,911,801
"04440 Jamppa   (Järvenpää )",3638,1263,2375,225,1644,296,210
"04460 Nummenkylä   (Tuusula )",1352,264,1088,72,687,202,127
"04480 Haarajoki   (Mäntsälä )",1539,361,1178,89,743,187,159
"04500 Kellokoski   (Tuusula )",4245,1098,3147,244,2155,483,265
"04530 Ohkola   (Mäntsälä )",666,147,519,33,363,81,42
"04600 Mäntsälä Keskus   (Mäntsälä )",7149,2361,4788,358,3368,636,426
"04620 Kaunismäki   (Mäntsälä )",1192,196,996,82,542,190,182
"04630 Sääksjärvi   (Mäntsälä )",652,209,443,29,336,45,33
"04660 Numminen   (Mäntsälä )",1242,385,857,55,647,106,49
"04680 Hirvihaara   (Mäntsälä )",477,154,323,23,231,41,28
"04740 Sälinkää   (Mäntsälä )",905,314,591,36,461,68,26
"04770 Sahakylä   (Mäntsälä )",171,56,115,16,83,7,9
"04820 Kaukalampi   (Mäntsälä )",228,67,161,10,123,12,16
"04840 Hautjärvi   (Mäntsälä )",201,80,121,10,90,11,10
"04920 Saarentaus   (Mäntsälä )",256,73,183,12,146,16,9
"04940 Levanto   (Mäntsälä )",208,70,138,11,108,12,7
"05100 Röykkä   (Nurmijärvi )",1655,460,1195,94,847,159,95
"05200 Rajamäki   (Nurmijärvi )",4768,1302,3466,277,2293,489,407
"05250 Kiljava   (Nurmijärvi )",146,41,105,15,71,13,6
"05400 Jokela   (Tuusula )",4770,1286,3484,311,2215,533,425
"05430 Nuppulinna   (Tuusula )",782,226,556,42,392,55,67
"05440 Hyvinkää   (Hyvinkää )",135,17,118,6,61,28,23
"05450 Nukari   (Nurmijärvi )",816,211,605,56,405,78,66
"05460 Hakalanmäki-Hakala   (Hyvinkää )",2713,645,2068,143,1449,312,164
"05470 Palopuro   (Hyvinkää )",244,69,175,15,126,19,15
"05510 Päivärinta   (Hyvinkää )",375,115,260,17,185,30,28
"05620 Noppo   (Hyvinkää )",976,246,730,46,512,93,79
"05720 Kytäjä   (Hyvinkää )",380,103,277,19,183,40,35
"05800 Hyvinkää Keskus   (Hyvinkää )",8136,2557,5579,566,3652,787,574
"05810 Martti   (Hyvinkää )",3751,759,2992,236,1758,535,463
"05820 Mustamännistö   (Hyvinkää )",3827,1038,2789,203,1891,402,293
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",5885,1453,4432,364,2817,723,528
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",2936,742,2194,152,1529,292,221
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,0,0,0,0,0,0
"05860 Talvisilta   (Hyvinkää )",1132,309,823,65,581,114,63
"05880 Paavola-Vaivero   (Hyvinkää )",2941,1106,1835,138,1426,174,97
"05900 Vieremä   (Hyvinkää )",3432,1022,2410,222,1490,356,342
"05950 Ridasjärvi   (Hyvinkää )",316,71,245,11,194,24,16
"06100 Porvoo Keskus   (Porvoo )",14806,4017,10789,1156,6075,1700,1858
"06150 Kevätkumpu   (Porvoo )",4675,1550,3125,288,2180,416,241
"06200 Porvoo itäinen   (Porvoo )",2030,596,1434,124,973,199,138
"06400 Gammelbacka   (Porvoo )",5280,1630,3650,265,2470,506,409
"06450 Eestinmäki-Ernestas   (Porvoo )",1614,402,1212,91,797,180,144
"06500 Saksala-Suomenkylä   (Porvoo )",1709,503,1206,92,819,171,124
"06530 Kerkkoo   (Porvoo )",614,145,469,29,325,62,53
"06650 Hamari   (Porvoo )",1150,309,841,58,566,107,110
"06750 Tolkkinen   (Porvoo )",1252,334,918,72,572,164,110
"06830 Kulloonkylä   (Porvoo )",794,205,589,49,388,78,74
"06850 Kulloo   (Porvoo )",17,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",299,83,216,25,137,23,31
"06950 Emäsalo   (Porvoo )",317,92,225,17,158,31,19
"07110 Hinthaara   (Porvoo )",1047,255,792,60,517,128,87
"07130 Anttila   (Porvoo )",486,154,332,23,211,58,40
"07150 Laukkoski   (Pornainen )",695,204,491,27,351,52,61
"07170 Keski-Pornainen   (Pornainen )",1782,513,1269,88,925,164,92
"07190 Halkia   (Pornainen )",1056,299,757,65,531,101,60
"07220 Kaarenkylä   (Porvoo )",247,66,181,10,132,17,22
"07230 Monninkylä   (Askola )",1157,312,845,70,599,107,69
"07280 Ilola   (Porvoo )",686,217,469,42,329,57,41
"07310 Sannainen   (Porvoo )",304,69,235,14,173,27,21
"07320 Jakari-Sannäs   (Porvoo )",352,115,237,14,176,30,17
"07350 Gäddrag   (Porvoo )",81,26,55,6,38,7,4
"07360 Tirmo   (Porvoo )",41,15,26,2,18,2,4
"07370 Pellinki   (Porvoo )",124,49,75,5,56,10,4
"07390 Suurpellinki   (Porvoo )",93,24,69,5,48,12,4
"07410 Kråkö   (Porvoo )",275,104,171,13,103,32,23
"07450 Voolahti   (Porvoo )",336,111,225,9,180,29,7
"07500 Askola Kirkonkylä   (Askola )",850,289,561,31,413,75,42
"07510 Vakkola   (Askola )",504,151,353,25,266,41,21
"07530 Onkimaa   (Askola )",247,91,156,15,108,26,7
"07550 Torpinkylä   (Pukkila )",233,70,163,9,132,12,10
"07560 Pukkila Keskus   (Pukkila )",1096,357,739,40,584,76,39
"07565 Kantele   (Pukkila )",218,63,155,14,119,15,7
"07580 Tiilää   (Askola )",55,19,36,1,31,2,2
"07590 Huuvari-Tiilää   (Askola )",484,135,349,28,267,33,21
"07600 Myrskylä Keskus   (Myrskylä )",1407,521,886,63,698,78,47
"07680 Juornaankylä   (Askola )",416,124,292,13,248,21,10
"07690 Kankkila   (Myrskylä )",123,37,86,7,67,9,3
"07700 Koskenkylän saha-alue   (Loviisa )",925,296,629,59,439,72,59
"07720 Malmgård   (Loviisa )",65,26,39,1,29,7,2
"07740 Gammelby   (Loviisa )",333,102,231,16,166,22,27
"07750 Isnäs   (Loviisa )",418,162,256,18,193,27,18
"07780 Härkäpää   (Loviisa )",159,60,99,3,82,8,6
"07800 Lapinjärvi Keskus   (Lapinjärvi )",744,310,434,25,324,49,36
"07810 Ingermaninkylä   (Lapinjärvi )",221,86,135,8,117,7,3
"07820 Porlammi   (Lapinjärvi )",450,173,277,19,211,20,27
"07830 Pukaro   (Lapinjärvi )",242,86,156,11,121,13,11
"07840 Lindkoski   (Lapinjärvi )",161,57,104,8,78,12,6
"07850 Heikinkylä   (Lapinjärvi )",259,85,174,11,127,17,19
"07870 Skinnarby   (Loviisa )",367,127,240,19,179,24,18
"07880 Liljendal Keskus   (Loviisa )",843,294,549,44,419,46,40
"07890 Mickelspiltom   (Loviisa )",167,52,115,6,92,12,5
"07900 Loviisa Keskus   (Loviisa )",3446,1286,2160,190,1466,285,219
"07910 Valko   (Loviisa )",955,357,598,42,463,69,24
"07920 Etelä-Harju   (Loviisa )",1190,419,771,54,545,109,63
"07930 Pernaja Kirkonkylä   (Loviisa )",541,170,371,29,262,50,30
"07940 Määrlahti   (Loviisa )",840,348,492,27,383,51,31
"07945 Kuggom   (Loviisa )",404,147,257,12,194,35,16
"07955 Tesjoki   (Loviisa )",971,369,602,32,447,68,55
"07960 Ahvenkoski   (Loviisa )",118,46,72,0,57,8,7
"07970 Ruotsinpyhtää Keskus   (Loviisa )",488,203,285,14,231,17,23
"07980 Kuninkaankylä   (Loviisa )",257,94,163,9,129,16,9
"07990 Ruotsinkylä-Koskisto   (Loviisa )",253,87,166,12,129,17,8
"08100 Lohja Keskus   (Lohja )",6730,2193,4537,380,3064,549,544
"08150 Keskilohja   (Lohja )",3928,1046,2882,209,1865,454,354
"08200 Ojamo   (Lohja )",3160,1110,2050,155,1589,191,115
"08350 Routio   (Lohja )",1996,616,1380,99,974,180,127
"08360 Kisakallio   (Lohja )",0,0,0,0,0,0,0
"08450 Hormajärvi   (Lohja )",252,99,153,12,104,20,17
"08480 Karstu   (Lohja )",200,62,138,10,96,23,9
"08500 Ventelä-Millola   (Lohja )",4964,1456,3508,250,2397,503,358
"08680 Muijala   (Lohja )",1301,290,1011,71,609,181,150
"08700 Virkkala   (Lohja )",5850,1790,4060,254,2959,510,337
"08800 Kirkniemi   (Lohja )",1233,313,920,62,644,140,74
"09120 Karjalohja   (Lohja )",983,345,638,61,434,75,68
"09220 Sammatti   (Lohja )",1213,377,836,49,642,100,45
"09430 Saukkola   (Lohja )",1322,425,897,77,628,113,79
"09520 Millola   (Lohja )",98,38,60,6,45,4,5
"09630 Koisjärvi   (Lohja )",401,129,272,13,212,29,18
"09810 Nummi-Oinola   (Lohja )",804,299,505,45,341,59,60
"09930 Leppäkorpi   (Lohja )",241,89,152,11,114,19,8
"10120 Tähtelä   (Inkoo )",511,125,386,40,242,54,50
"10140 Päivölä   (Inkoo )",238,58,180,20,102,31,27
"10160 Degerby   (Inkoo )",665,171,494,58,287,71,78
"10210 Inkoo Keskus   (Inkoo )",2184,669,1515,133,921,238,223
"10230 Inkoo Asemanseutu   (Inkoo )",305,66,239,32,152,23,32
"10250 Fagervik   (Inkoo )",112,41,71,7,46,10,8
"10270 Barösund   (Inkoo )",122,42,80,9,56,7,8
"10300 Karjaa Keskus   (Raasepori )",5989,2053,3936,385,2564,517,470
"10320 Bäljars   (Raasepori )",1048,380,668,54,475,78,61
"10330 Pinjainen   (Raasepori )",485,130,355,28,226,59,42
"10350 Meltolan sairaala-alue   (Raasepori )",90,61,29,4,19,5,1
"10360 Mustio   (Raasepori )",1059,297,762,48,583,75,56
"10380 Kaunislahti   (Raasepori )",93,32,61,2,50,6,3
"10410 Åminnefors   (Raasepori )",337,150,187,17,130,24,16
"10420 Pohjankuru   (Raasepori )",1516,671,845,57,635,85,68
