"Postialue","Inhabitants, total, 2017","Inhabitants aged 18-64, 2017","Employment rate %, 2017","Unemployment rate %, 2017","Economic dependency ratio, 2017"
"02420 Jorvas   (Kirkkonummi )",1792,1024,78.9,5.6,118
"02430 Masala   (Kirkkonummi )",4403,2659,71.6,12.1,130
"02440 Luoma   (Kirkkonummi )",604,348,78.2,6.5,120
"02450 Sundsberg   (Kirkkonummi )",1972,1141,90.3,3.1,91
"02460 Kantvik   (Kirkkonummi )",1713,1100,77.4,8.2,100
"02470 Upinniemi   (Kirkkonummi )",297,235,77.4,8.1,61
"02480 Porkkala   (Kirkkonummi )",4554,2727,81.5,5.7,103
"02490 Pikkala   (Siuntio )",295,192,78.1,9.6,90
"02510 Oitmäki   (Kirkkonummi )",477,286,77.6,6.7,113
"02520 Lapinkylä   (Kirkkonummi )",799,453,79.0,6.5,121
"02540 Kylmälä   (Kirkkonummi )",638,406,77.1,8.2,103
"02550 Evitskog   (Kirkkonummi )",850,515,75.0,8.7,119
"02570 Siuntio Kirkonkylä   (Siuntio )",1291,780,79.4,6.9,108
"02580 Siuntio Asemanseutu   (Siuntio )",3436,1927,78.2,6.6,126
"02590 Lappers   (Siuntio )",251,141,87.2,0.8,102
"02600 Etelä-Leppävaara   (Espoo )",11052,7349,73.7,8.8,102
"02610 Kilo   (Espoo )",6354,4328,67.6,11.4,116
"02620 Karakallio   (Espoo )",8446,4878,75.5,8.1,127
"02630 Nihtisilta   (Espoo )",3435,2301,77.5,8.3,92
"02650 Pohjois-Leppävaara   (Espoo )",10595,7354,74.4,10.1,92
"02660 Lintuvaara   (Espoo )",6156,3795,74.2,7.3,117
"02680 Uusmäki   (Espoo )",2719,1733,84.7,5.5,83
"02700 Kauniainen   (Kauniainen )",9480,5307,77.4,5.9,127
"02710 Viherlaakso   (Espoo )",6019,3493,75.2,9.6,127
"02720 Lähderanta   (Espoo )",3005,1798,76.8,7.6,116
"02730 Jupperi   (Espoo )",4581,2669,81.0,5.0,110
"02740 Bemböle-Pakankylä   (Espoo )",3180,2058,80.8,6.3,90
"02750 Sepänkylä-Kuurinniitty   (Espoo )",6283,4041,77.3,7.8,100
"02760 Tuomarila-Suvela   (Espoo )",14443,9419,72.3,10.7,111
"02770 Espoon Keskus   (Espoo )",10436,6902,68.4,12.5,119
"02780 Kauklahti   (Espoo )",10721,6617,76.6,8.5,110
"02810 Gumböle-Karhusuo   (Espoo )",1792,1065,82.7,5.1,103
"02820 Nupuri-Nuuksio   (Espoo )",1457,853,77.7,7.3,118
"02860 Siikajärvi   (Espoo )",654,382,74.3,9.8,130
"02880 Veikkola   (Kirkkonummi )",5833,3368,83.3,5.8,106
"02920 Niipperi   (Espoo )",5347,3150,80.3,6.4,109
"02940 Lippajärvi-Järvenperä   (Espoo )",10340,6463,78.5,7.5,102
"02970 Kalajärvi   (Espoo )",3823,2288,79.4,7.3,108
"02980 Lakisto   (Espoo )",319,247,60.3,13.9,111
"03100 Nummela   (Vihti )",15394,9062,75.7,9.2,122
"03150 Huhmari   (Vihti )",766,479,80.4,6.6,97
"03220 Tervalampi   (Vihti )",583,349,79.9,6.1,107
"03250 Ojakkala   (Vihti )",1926,1137,83.1,6.0,101
"03300 Otalampi   (Vihti )",2376,1382,82.2,6.4,108
"03320 Selki   (Vihti )",349,210,70.5,15.4,134
"03400 Vihti Kirkonkylä   (Vihti )",6473,3746,76.4,7.5,123
"03430 Jokikunta   (Vihti )",519,302,82.8,6.4,107
"03600 Karkkila Keskus   (Karkkila )",6528,3561,71.7,10.8,151
"03620 Polari   (Karkkila )",2127,1231,73.3,10.7,135
"03710 Uusitalo   (Karkkila )",189,109,78.0,7.6,117
"03790 Vihtijärvi   (Vihti )",514,301,84.1,4.2,99
"03810 Ikkala   (Lohja )",595,352,65.6,14.8,153
"03850 Pusula   (Lohja )",1641,898,74.2,10.5,144
"03870 Hyönölä   (Lohja )",188,104,79.8,9.8,124
"04130 Sipoo   (Sipoo )",7295,4289,79.4,6.7,113
"04150 Martinkylä   (Sipoo )",644,377,83.0,5.2,104
"04170 Paippinen   (Sipoo )",1266,728,86.7,3.1,98
"04200 Kerava Keskus   (Kerava )",11413,6540,72.4,10.3,138
"04220 Ahjo-Kaskela   (Kerava )",5165,3435,76.6,8.5,95
"04230 Pihkaniitty   (Kerava )",7711,4470,80.7,7.1,111
"04240 Talma   (Sipoo )",1230,757,83.0,5.0,93
"04250 Alikerava   (Kerava )",4654,2950,71.9,11.5,118
"04260 Savio   (Kerava )",6406,4107,74.8,9.9,107
"04300 Hyrylä   (Tuusula )",10259,5951,78.7,7.0,117
"04310 Tuusula Keskus   (Tuusula )",2558,1504,79.8,5.3,111
"04320 Riihikallio   (Tuusula )",4984,2996,78.9,7.2,109
"04330 Lahela   (Tuusula )",2347,1440,86.4,4.0,88
"04340 Mattila   (Tuusula )",2212,1386,80.7,6.4,97
"04350 Nahkela   (Tuusula )",519,321,79.1,5.2,103
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",1235,756,79.4,7.6,103
"04370 Rusutjärvi   (Tuusula )",766,453,80.8,5.4,105
"04380 Tuomala   (Tuusula )",587,349,83.7,4.3,100
"04390 Jäniksenlinna   (Tuusula )",469,271,83.0,3.8,106
"04400 Loutti   (Järvenpää )",10159,6146,74.9,9.3,118
"04410 Järvenpää Keskus   (Järvenpää )",11086,6951,73.5,9.8,116
"04420 Kyrölä   (Järvenpää )",3970,2492,80.5,6.4,96
"04430 Kinnari-Mikonkorpi   (Järvenpää )",9050,5649,81.7,6.8,94
"04440 Jamppa   (Järvenpää )",4494,2833,64.0,16.9,146
"04460 Nummenkylä   (Tuusula )",1965,1267,82.0,6.7,88
"04480 Haarajoki   (Mäntsälä )",2449,1400,85.1,4.3,104
"04500 Kellokoski   (Tuusula )",5984,3531,79.4,7.2,112
"04530 Ohkola   (Mäntsälä )",921,521,83.1,3.6,110
"04600 Mäntsälä Keskus   (Mäntsälä )",9355,5266,74.7,7.5,135
"04620 Kaunismäki   (Mäntsälä )",2096,1233,83.3,5.4,104
"04630 Sääksjärvi   (Mäntsälä )",866,519,75.7,7.7,118
"04660 Numminen   (Mäntsälä )",1680,1002,81.2,5.2,104
"04680 Hirvihaara   (Mäntsälä )",669,386,76.7,7.8,125
"04740 Sälinkää   (Mäntsälä )",1174,645,78.9,7.5,127
"04770 Sahakylä   (Mäntsälä )",206,120,75.0,12.6,126
"04820 Kaukalampi   (Mäntsälä )",304,176,85.8,5.6,101
"04840 Hautjärvi   (Mäntsälä )",236,155,75.5,6.4,100
"04920 Saarentaus   (Mäntsälä )",345,218,76.6,10.7,102
"04940 Levanto   (Mäntsälä )",299,155,74.2,9.4,153
"05100 Röykkä   (Nurmijärvi )",2272,1360,79.4,7.0,110
"05200 Rajamäki   (Nurmijärvi )",6852,3870,77.1,8.5,128
"05250 Kiljava   (Nurmijärvi )",171,107,77.6,3.5,106
"05400 Jokela   (Tuusula )",6580,3880,78.5,7.5,114
"05430 Nuppulinna   (Tuusula )",1027,615,78.9,6.6,111
"05440 Hyvinkää   (Hyvinkää )",658,389,86.1,4.6,94
"05450 Nukari   (Nurmijärvi )",1073,629,76.5,5.9,119
"05460 Hakalanmäki-Hakala   (Hyvinkää )",3288,2005,75.3,8.2,116
"05470 Palopuro   (Hyvinkää )",327,196,75.5,8.1,115
"05510 Päivärinta   (Hyvinkää )",427,287,69.0,10.4,116
"05620 Noppo   (Hyvinkää )",1309,827,81.1,5.2,93
"05720 Kytäjä   (Hyvinkää )",561,338,80.2,9.7,104
"05800 Hyvinkää Keskus   (Hyvinkää )",9669,5543,71.8,11.0,140
"05810 Martti   (Hyvinkää )",5822,3616,80.0,6.3,101
"05820 Mustamännistö   (Hyvinkää )",5127,3127,75.2,9.2,115
