"Postal code area","Households, total, 2012 (TR)","Average income of households, 2012 (TR)","Median income of households, 2012 (TR)","Households belonging to the lowest income category, 2012 (TR)","Households belonging to the middle income category, 2012 (TR)","Households belonging to the highest income category, 2012 (TR)","Accumulated purchasing power of households, 2012 (TR)"
"01120 Västerskog  (Sipoo)",519,58235,48088,81,241,197,30223771
"01150 Söderkulla  (Sipoo)",1729,58913,51204,196,855,678,101860796
"01180 Kalkkiranta  (Sipoo)",192,56261,50478,14,106,72,10802031
"01190 Box  (Sipoo)",397,49902,47948,47,230,120,19811026
"01200 Hakunila  (Vantaa)",5761,34105,28788,1444,3573,744,196477538
"01230 Vaarala  (Vantaa)",1239,48139,45907,130,721,388,59644707
"01260 Itä-Hakkila  (Vantaa)",1764,57049,51330,135,996,633,100633984
"01280 Länsimäki  (Vantaa)",4421,39388,34520,891,2632,898,174136545
"01300 Tikkurila  (Vantaa)",9097,38582,32142,1482,5523,2092,350980655
"01340 Leinelä  (Vantaa)",216,33043,29355,26,154,36,7137334
"01350 Hiekkaharju  (Vantaa)",4416,38506,31433,750,2809,857,170042994
"01360 Koivukylä-Havukoski  (Vantaa)",6313,32767,27110,1682,3803,828,206855918
"01370 Jokiniemi  (Vantaa)",2883,35139,29893,665,1728,490,101304853
"01380 Kuusikko-Hakkila  (Vantaa)",731,55150,50753,47,419,265,40314632
"01390 Ruskeasanta-Ilola  (Vantaa)",3272,53250,50410,350,1796,1126,174232960
"01400 Rekola  (Vantaa)",3288,44164,38814,491,2027,770,145211574
"01420 Päiväkumpu  (Vantaa)",1076,59799,56980,87,583,406,64343405
"01450 Korso  (Vantaa)",8263,40824,35411,1546,4936,1781,337327968
"01480 Mikkola  (Vantaa)",2921,38859,33153,587,1811,523,113508103
"01490 Nikinmäki  (Vantaa)",1267,59464,57488,83,686,498,75340792
"01510 Kirkonkylä-Veromäki  (Vantaa)",2544,39327,34663,322,1627,595,100047863
"01520 Tammisto  (Vantaa)",3356,46241,41163,291,1939,1126,155183485
"01530 Veromiehenkylä  (Vantaa)",296,33272,28647,54,197,45,9848559
"01600 Myyrmäki  (Vantaa)",8638,34567,29584,1588,5485,1565,298590905
"01610 Kaivoksela  (Vantaa)",2229,37191,31471,390,1349,490,82898782
"01620 Martinlaakso  (Vantaa)",5955,37423,32330,1048,3735,1172,222852276
"01630 Hämeenkylä  (Vantaa)",825,58024,52680,37,446,342,47870067
"01640 Hämevaara  (Vantaa)",1171,54926,47983,117,576,478,64318044
"01650 Vapaala  (Vantaa)",1856,48261,40235,261,1019,576,89572714
"01660 Varisto  (Vantaa)",1051,43377,37733,156,623,272,45589006
"01670 Vantaanlaakso  (Vantaa)",1164,52019,48865,82,625,457,60550475
"01680 Askisto  (Vantaa)",759,55248,51341,69,413,277,41933550
"01690 Ylästö  (Vantaa)",1534,63346,61407,106,711,717,97172628
"01700 Kivistö  (Vantaa)",1029,62550,59432,55,550,424,64364385
"01710 Pähkinärinne  (Vantaa)",2529,36738,31573,418,1559,552,92910768
"01720 Petikko  (Vantaa)",34,66937,30008,6,17,11,2275860
"01730 Vantaanpuisto  (Vantaa)",963,48389,42801,113,581,269,46598251
"01740 Tuupakan teollisuusalue  (Vantaa)",89,50482,46614,12,45,32,4492878
"01750 Keimola  (Vantaa)",307,61808,54846,21,174,112,18975095
"01760 Seutula  (Vantaa)",832,50527,45181,87,507,238,42038861
"01770 Martinlaakson teollisuusalue  (Vantaa)",.,.,.,.,.,.,.
"01800 Klaukkala Keskus  (Nurmijärvi)",3182,45355,38674,465,1809,908,144318089
"01810 Luhtajoki  (Nurmijärvi)",247,55566,51860,23,140,84,13724809
"01820 Haikala  (Nurmijärvi)",1276,54832,52990,89,719,468,69965924
"01830 Lepsämä  (Nurmijärvi)",816,58207,53426,72,476,268,47496634
"01840 Klaukkala  (Nurmijärvi)",1489,58311,56038,109,774,606,86825147
"01860 Perttula  (Nurmijärvi)",780,53310,51397,87,438,255,41581585
"01900 Nurmijärvi Keskus  (Nurmijärvi)",3766,45923,38096,602,2157,1007,172944676
"01940 Palojoki  (Nurmijärvi)",289,53030,51075,28,166,95,15325765
"02100 Tapiola  (Espoo)",2274,43708,33724,347,1133,794,99391236
"02110 Otsolahti  (Espoo)",1461,47158,36886,242,653,566,68898401
"02120 Länsikorkee-Hakalehto  (Espoo)",1565,44228,33460,264,767,534,69216971
"02130 Pohjois-Tapiola  (Espoo)",2602,63323,51517,292,1036,1274,164765217
"02140 Laajalahti-Friisinmäki  (Espoo)",1397,64128,57386,127,624,646,89586456
"02150 Otaniemi  (Espoo)",1838,22740,18921,1090,635,113,41796316
"02160 Westend  (Espoo)",1217,125034,74887,86,280,851,152165982
"02170 Haukilahti  (Espoo)",2666,67357,49187,300,999,1367,179573806
"02180 Mankkaa  (Espoo)",2397,73278,64693,176,822,1399,175647043
"02200 Niittykumpu  (Espoo)",4133,54772,44491,470,1835,1828,226374325
"02210 Olari-Kuitinmäki  (Espoo)",5457,46587,38040,879,2716,1862,254224138
"02230 Matinkylä  (Espoo)",9577,45632,33107,1874,4931,2772,437017707
"02240 Friisilä  (Espoo)",718,81726,70835,51,198,469,58679170
"02260 Iivisniemi  (Espoo)",1590,53965,44132,216,792,582,85804755
"02270 Suomenoja  (Espoo)",809,68511,59034,67,335,407,55425653
"02280 Puolarmetsä  (Espoo)",1742,50774,46048,234,870,638,88448458
"02290 Puolarmetsän sairaala  (Espoo)",.,.,.,.,.,.,.
"02300 Nöykkiö  (Espoo)",844,78108,70176,42,306,496,65923457
"02320 Kivenlahti  (Espoo)",7839,42198,34741,1412,4217,2210,330786884
"02330 Kattilalaakso  (Espoo)",3109,61349,52245,348,1370,1391,190733714
"02340 Latokaski  (Espoo)",1784,60472,56439,107,899,778,107882158
"02360 Espoonlahti  (Espoo)",4284,52914,39400,661,2159,1464,226685568
"02380 Suvisaaristo  (Espoo)",241,106380,61301,26,78,137,25637603
"02400 Kirkkonummi Keskus  (Kirkkonummi)",5224,46442,39557,816,2977,1431,242611438
"02410 Gesterby  (Kirkkonummi)",1221,31432,26297,350,716,155,38378640
"02420 Jorvas  (Kirkkonummi)",676,64982,57497,59,297,320,43927675
"02430 Masala  (Kirkkonummi)",1647,44761,40147,279,950,418,73721355
"02440 Luoma  (Kirkkonummi)",234,72982,57680,29,97,108,17077773
"02450 Sundsberg  (Kirkkonummi)",530,84097,68406,21,197,312,44571667
"02460 Kantvik  (Kirkkonummi)",691,52297,44542,83,355,253,36137232
"02470 Upinniemi  (Kirkkonummi)",176,35784,31064,23,122,31,6297934
"02480 Porkkala  (Kirkkonummi)",1526,57282,53207,161,757,608,87412165
"02490 Pikkala  (Siuntio)",154,41192,34625,19,96,39,6343601
"02510 Oitmäki  (Kirkkonummi)",194,54448,49286,30,101,63,10562967
"02520 Lapinkylä  (Kirkkonummi)",320,57038,48147,45,170,105,18252027
"02540 Kylmälä  (Kirkkonummi)",258,76768,52469,37,119,102,19806132
"02550 Evitskog  (Kirkkonummi)",338,51415,45808,51,191,96,17378347
"02570 Siuntio Kirkonkylä  (Siuntio)",543,46795,43497,99,285,159,25409878
"02580 Siuntio Asemanseutu  (Siuntio)",1334,51119,44211,198,721,415,68193219
"02590 Lappers  (Siuntio)",94,57060,52551,7,51,36,5363597
"02600 Etelä-Leppävaara  (Espoo)",5258,41231,34899,855,2911,1492,216794214
"02610 Kilo  (Espoo)",2502,44301,35779,517,1245,740,110842153
"02620 Karakallio  (Espoo)",3434,46622,38671,524,1889,1021,160100599
"02630 Nihtisilta  (Espoo)",1254,51939,44134,174,614,466,65131880
"02650 Pohjois-Leppävaara  (Espoo)",5263,39594,33236,968,2764,1531,208381543
"02660 Lintuvaara  (Espoo)",2244,60791,52239,308,1031,905,136413974
"02680 Uusmäki  (Espoo)",239,67197,58518,16,106,117,16060056
"02700 Suur-Kauniainen  (Kauniainen)",3555,84864,57724,360,1268,1927,301690625
"02710 Viherlaakso  (Espoo)",2782,48716,40307,372,1431,979,135527813
"02720 Laaksolahti-Lähderanta  (Espoo)",1194,50150,43029,153,630,411,59878525
"02730 Laaksolahti  (Espoo)",1601,76706,68659,63,572,966,122806055
"02740 Karvasmäki-Kunnarla  (Espoo)",1067,52019,45733,105,579,383,55504008
"02750 Sepänkylä  (Espoo)",2345,57479,47459,293,1031,1021,134787860
"02760 Espoon Keskus Itäinen  (Espoo)",6545,41048,35166,1176,3785,1584,268661556
"02770 Espoon Keskus Läntinen  (Espoo)",4445,41804,33265,1017,2379,1049,185820259
"02780 Kauklahti  (Espoo)",3114,52606,43613,516,1587,1011,163815056
"02810 Kumpyöli-Karhusuo  (Espoo)",613,60162,56213,42,323,248,36879417
"02820 Nupuri-Nuuksio  (Espoo)",544,63592,54027,51,256,237,34594057
"02860 Siikajärvi  (Espoo)",276,52348,49200,36,147,93,14448013
"02880 Veikkola  (Kirkkonummi)",2126,57231,53401,186,1104,836,121673409
"02920 Niipperi  (Espoo)",1734,58050,53752,166,932,636,100659146
"02940 Lippajärvi  (Espoo)",4123,52819,47194,503,2061,1559,217774641
"02970 Kalajärvi  (Espoo)",1362,54779,52110,151,709,502,74608551
"02980 Lakisto  (Espoo)",209,34993,27406,36,143,30,7313461
"03100 Nummela  (Vihti)",6648,42709,36504,1173,3820,1655,283926396
"03150 Huhmari  (Vihti)",328,51795,47483,46,162,120,16988825
"03220 Tervalampi  (Vihti)",247,50512,46048,29,144,74,12476585
"03250 Ojakkala  (Vihti)",738,53312,48499,83,419,236,39344619
"03300 Otalampi  (Vihti)",902,49665,48442,113,516,273,44798079
"03320 Selki  (Vihti)",135,46257,41766,26,76,33,6244661
"03400 Vihti Kirkonkylä  (Vihti)",2732,44055,39880,485,1568,679,120358567
"03430 Jokikunta  (Vihti)",201,47897,45066,30,116,55,9627223
"03600 Karkkila Keskus  (Karkkila)",3238,36202,30423,786,1927,525,117222037
"03620 Polari  (Karkkila)",974,38090,32772,204,612,158,37099751
"03710 Uusitalo  (Karkkila)",83,47131,46620,16,45,22,3911859
"03790 Vihtijärvi  (Vihti)",206,48926,43818,28,114,64,10078783
"03810 Ikkala  (Lohja)",286,37758,33804,62,179,45,10798892
"03850 Pusula  (Lohja)",777,38180,31562,207,428,142,29666185
"03870 Hyönölä  (Lohja)",91,39057,30726,27,47,17,3554228
"04130 Nikkilä  (Sipoo)",3003,46252,40908,446,1749,808,138896068
"04150 Martinkylä  (Sipoo)",250,53943,49541,32,142,76,13485848
"04170 Paippinen  (Sipoo)",463,51002,49472,54,269,140,23613769
"04200 Kerava Keskus  (Kerava)",5877,37421,30046,1169,3466,1242,219925450
"04220 Ahjo-Kaskela  (Kerava)",2060,45780,39670,367,1185,508,94306381
"04230 Pihkaniitty  (Kerava)",3176,47752,43693,355,1902,919,151660679
"04240 Talma  (Sipoo)",471,53269,50349,54,266,151,25089739
"04250 Alikerava  (Kerava)",2477,35929,30739,473,1554,450,88995985
"04260 Savio  (Kerava)",2862,41795,35232,484,1763,615,119616554
"04300 Hyrylä  (Tuusula)",4513,47376,40288,625,2542,1346,213809815
"04310 Tuusula Keskus  (Tuusula)",1004,63399,52053,89,494,421,63652964
"04320 Riihikallio  (Tuusula)",1940,46740,41631,242,1115,583,90675307
"04330 Lahela  (Tuusula)",776,62691,59735,32,394,350,48648275
"04340 Mattila  (Tuusula)",983,48900,41471,123,552,308,48068494
"04350 Nahkela  (Tuusula)",194,57065,51781,24,102,68,11070591
"04360 Ruotsinkylä-Kiilinmäki  (Tuusula)",471,53063,49397,53,268,150,24992788
"04370 Rusutjärvi  (Tuusula)",289,57563,53599,28,157,104,16635772
"04380 Tuomala  (Tuusula)",227,54296,50561,28,120,79,12325139
"04390 Jäniksenlinna  (Tuusula)",176,53021,50692,21,88,67,9331653
"04400 Loutti  (Järvenpää)",4891,38862,31517,901,2838,1152,190074722
"04410 Järvenpää Keskus  (Järvenpää)",4713,38759,32723,946,2798,969,182672344
"04420 Kyrölä  (Järvenpää)",1710,48069,44221,160,1028,522,82197733
"04430 Kinnari-Mikonkorpi  (Järvenpää)",3740,51186,46327,354,2146,1240,191435628
"04440 Jamppa  (Järvenpää)",2260,34316,27636,651,1254,355,77555275
"04460 Nummenkylä  (Järvenpää)",748,48514,48142,114,411,223,36288325
"04480 Haarajoki  (Järvenpää)",774,54496,53467,78,436,260,42180066
"04500 Kellokoski  (Tuusula)",2293,47156,45164,319,1375,599,108128762
"04530 Ohkola  (Mäntsälä)",334,49626,47169,53,193,88,16575177
"04600 Mäntsälä Keskus  (Mäntsälä)",4265,38798,32623,913,2603,749,165475101
"04620 Kaunismäki  (Mäntsälä)",588,55523,54180,40,364,184,32647616
"04630 Sääksjärvi  (Mäntsälä)",338,45184,41047,61,199,78,15272344
"04660 Numminen  (Mäntsälä)",638,48200,47870,107,362,169,30751540
"04680 Hirvihaara  (Mäntsälä)",249,47009,44064,39,150,60,11705224
"04740 Sälinkää  (Mäntsälä)",482,41146,38754,99,302,81,19832203
"04770 Sahakylä  (Mäntsälä)",87,45467,36350,22,48,17,3955655
"04820 Kaukalampi  (Mäntsälä)",116,51709,43923,23,61,32,5998204
"04840 Hautjärvi  (Mäntsälä)",110,48848,38542,16,68,26,5373304
"04920 Saarentaus  (Mäntsälä)",139,41210,40025,15,91,33,5728148
"04940 Levanto  (Mäntsälä)",109,43169,39987,25,58,26,4705427
"05100 Röykkä  (Nurmijärvi)",875,48083,46973,116,512,247,42072637
"05200 Rajamäki  (Nurmijärvi)",2617,45562,43549,386,1599,632,119234892
"05250 Kiljava  (Nurmijärvi)",78,47790,42848,6,46,26,3727643
"05400 Jokela  (Tuusula)",2647,46044,43757,415,1535,697,121878989
"05430 Nuppulinna  (Tuusula)",400,52893,48150,29,252,119,21157096
"05450 Nukari  (Nurmijärvi)",411,50898,46010,62,228,121,20918906
"05460 Hakalanmäki-Hakala  (Hyvinkää)",1559,42131,37668,230,973,356,65682034
"05470 Palopuro  (Hyvinkää)",130,44763,37080,24,75,31,5819129
"05510 Päivärinta  (Hyvinkää)",198,43369,35668,41,112,45,8587149
"05620 Noppo  (Nurmijärvi)",484,53200,52109,40,277,167,25748649
"05720 Kytäjä  (Hyvinkää)",185,51491,44035,26,104,55,9525880
"05800 Hyvinkää Keskus  (Hyvinkää)",5304,32899,25877,1412,3044,848,174498638
"05810 Martti  (Hyvinkää)",1913,52590,49661,260,1080,573,100605371
"05820 Mustamännistö  (Hyvinkää)",2199,42742,36791,426,1309,464,93990261
"05830 Kirjavatolppa-Kruununpuisto  (Hyvinkää)",3489,41132,35192,589,2101,799,143510169
"05840 Hyvinkäänkylä-Vehkoja  (Hyvinkää)",1750,42383,36067,323,1024,403,74170511
"05850 Hyvinkää, sairaala-alue  (Hyvinkää)",.,.,.,.,.,.,.
"05860 Talvisilta  (Hyvinkää)",676,38927,34277,130,403,143,26314355
"05880 Paavola-Vaivero  (Hyvinkää)",1847,31718,27388,563,1081,203,58583476
"05900 Vieremä  (Hyvinkää)",2135,36576,29072,472,1254,409,78090557
"05950 Ridasjärvi  (Hyvinkää)",167,45562,40189,25,96,46,7608817
"06100 Porvoo Keskus  (Porvoo)",9020,40500,31524,1875,4965,2180,365310248
"06150 Kevätkumpu  (Porvoo)",2794,37003,30526,678,1650,466,103387451
"06200 Porvoo itäinen  (Porvoo)",1055,49330,43987,171,598,286,52043402
"06400 Gammelbacka  (Porvoo)",3135,40053,34427,693,1730,712,125565624
"06450 Eestinmäki-Ernestas  (Porvoo)",933,45602,40461,128,519,286,42546860
"06500 Saksala-Suomenkylä  (Porvoo)",846,51186,46987,112,490,244,43303661
"06530 Kerkkoo  (Porvoo)",312,50067,48785,27,193,92,15620810
"06650 Hamari  (Porvoo)",619,48047,44501,97,336,186,29740822
"06750 Tolkkinen  (Porvoo)",661,51128,48733,58,390,213,33795412
"06830 Kulloonkylä  (Porvoo)",416,51731,50553,47,240,129,21520006
"06850 Kulloo  (Porvoo)",11,..,..,..,..,..,..
"06880 Kärrby  (Sipoo)",154,53746,44812,29,65,60,8276819
"06950 Emäsalo  (Porvoo)",188,41562,37759,38,92,58,7813568
"07110 Hinthaara  (Porvoo)",539,52714,49536,64,324,151,28412946
"07130 Anttila  (Porvoo)",250,45540,42987,48,143,59,11385114
"07150 Laukkoski  (Pornainen)",369,50566,45976,54,204,111,18658687
"07170 Keski-Pornainen  (Pornainen)",929,46652,45500,159,538,232,43339536
"07190 Halkia  (Pornainen)",512,50180,50519,80,293,139,25692043
"07220 Kaarenkylä  (Porvoo)",138,42918,39786,27,75,36,5922739
"07230 Monninkylä  (Askola)",652,45547,41377,115,374,163,29696692
"07280 Ilola  (Porvoo)",340,48584,47589,48,205,87,16518494
"07310 Sannainen  (Porvoo)",149,48863,48430,24,89,36,7280561
"07320 Jakari-Sannäs  (Porvoo)",188,44431,43707,36,107,45,8352993
"07350 Gäddrag  (Porvoo)",38,46296,36966,5,26,7,1759262
"07360 Tirmo  (Porvoo)",23,..,..,..,..,..,..
"07370 Pellinki  (Porvoo)",71,42370,35591,17,37,17,3008257
"07390 Suurpellinki  (Porvoo)",48,42203,38483,10,31,7,2025745
"07410 Kråkö  (Porvoo)",147,46898,40677,27,86,34,6894070
"07450 Voolahti  (Porvoo)",166,45644,42274,20,107,39,7576927
"07500 Askola Kirkonkylä  (Askola)",457,43166,38659,88,276,93,19727050
"07510 Vakkola  (Askola)",272,45392,43165,49,146,77,12346701
"07530 Onkimaa  (Askola)",141,42430,37110,38,70,33,5982665
"07550 Torpinkylä  (Pukkila)",125,43679,40907,24,72,29,5459879
"07560 Pukkila Keskus  (Pukkila)",629,39824,35338,147,361,121,25049591
"07565 Kantele  (Pukkila)",113,44235,40837,29,61,23,4998513
"07580 Tiilää  (Askola)",34,50319,34016,5,17,12,1710843
"07590 Huuvari-Tiilää  (Askola)",257,44412,41755,37,160,60,11413845
"07600 Myrskylä Keskus  (Myrskylä)",785,37103,32074,218,449,118,29125832
"07680 Juornaankylä  (Askola)",219,41353,39268,57,119,43,9056355
"07690 Kankkila  (Myrskylä)",61,42517,38990,10,36,15,2593524
"07700 Koskenkylän saha-alue  (Loviisa)",538,40204,36464,125,321,92,21629720
"07720 Malmgård  (Loviisa)",41,36199,31920,17,14,10,1484175
"07740 Gammelby  (Loviisa)",172,45212,41532,26,105,41,7776432
"07750 Isnäs  (Loviisa)",240,38797,36266,60,134,46,9311359
"07780 Härkäpää  (Loviisa)",99,34654,25277,38,40,21,3430726
"07800 Lapinjärvi Keskus  (Lapinjärvi)",465,31885,27196,147,268,50,14826713
"07810 Ingermaninkylä  (Lapinjärvi)",124,37503,32463,25,76,23,4650366
"07820 Porlammi  (Lapinjärvi)",266,45886,27962,89,139,38,12205560
"07830 Pukaro  (Lapinjärvi)",135,47096,35029,32,76,27,6357906
"07840 Lindkoski  (Lapinjärvi)",90,40862,34929,25,49,16,3677573
"07850 Heikinkylä  (Lapinjärvi)",132,43563,36560,35,71,26,5750297
"07870 Skinnarby  (Loviisa)",197,43949,40087,41,111,45,8657968
"07880 Liljendal Keskus  (Loviisa)",481,36462,30572,131,277,73,17538014
"07890 Mickelspiltom  (Loviisa)",90,37470,32817,23,54,13,3372337
"07900 Loviisa Keskus  (Loviisa)",2267,32584,26583,650,1277,340,73867906
"07910 Valko  (Loviisa)",578,35396,29813,139,344,95,20458612
"07920 Etelä-Harju  (Loviisa)",695,40150,35227,141,400,154,27904357
"07930 Pernaja Kirkonkylä  (Loviisa)",297,40949,35301,66,161,70,12161981
"07940 Määrlahti  (Loviisa)",556,30150,23928,195,294,67,16763139
"07945 Kuggom  (Loviisa)",215,42925,38532,43,122,50,9228962
"07955 Tesjoki  (Loviisa)",542,40274,37330,119,303,120,21828317
"07960 Ahvenkoski  (Loviisa)",71,39729,34638,11,43,17,2820725
"07970 Ruotsinpyhtää Keskus  (Loviisa)",300,34675,29468,63,196,41,10402648
"07980 Kuninkaankylä  (Loviisa)",162,34011,27255,59,79,24,5509787
"07990 Ruotsinkylä-Koskisto  (Loviisa)",134,40475,37141,33,74,27,5423709
"08100 Lohja Keskus  (Lohja)",4300,35128,27700,1104,2392,804,151050957
"08150 Keskilohja  (Lohja)",2173,46005,42445,328,1301,544,99968689
"08200 Ojamo  (Lohja)",2059,32179,27841,533,1271,255,66255812
"08350 Routio  (Lohja)",1252,37199,29629,295,701,256,46572962
"08360 Kisakallio  (Lohja)",.,.,.,.,.,.,.
"08450 Hormajärvi  (Lohja)",138,43293,34253,31,76,31,5974412
"08480 Karstu  (Lohja)",110,44523,47270,24,56,30,4897551
