"Postal code area","Aged 18 or over, total, 2014 (HR)","Average income of inhabitants, 2014 (HR)","Median income of inhabitants, 2014 (HR)","Inhabintants belonging to the lowest income category, 2014 (HR)","Inhabitants belonging to the middle income category, 2014 (HR)","Inhabintants belonging to the highest income category, 2014 (HR)","Accumulated purchasing power of inhabitants, 2014 (HR)"
"00420 Kannelmäki   (Helsinki )",11738,21510,20102,2555,7114,2069,252487102
"00430 Maununneva   (Helsinki )",3736,30689,26535,620,1644,1472,114653527
"00440 Lassila   (Helsinki )",3956,23390,21074,715,2338,903,92530956
"00500 Sörnäinen   (Helsinki )",11863,22150,20563,2389,7162,2312,262763757
"00510 Etu-Vallila - Alppila   (Helsinki )",8187,22502,20791,1517,5073,1597,184223597
"00520 Itä-Pasila   (Helsinki )",5904,22710,20925,1229,3424,1251,134079296
"00530 Kallio   (Helsinki )",17547,23722,21291,3327,10220,4000,416253334
"00540 Kalasatama   (Helsinki )",1356,25127,22538,308,664,384,34072644
"00550 Vallila   (Helsinki )",8563,21070,19365,2020,5021,1522,180426182
"00560 Toukola-Vanhakaupunki   (Helsinki )",10315,26111,23534,2084,5090,3141,269330733
"00570 Kulosaari   (Helsinki )",3104,43638,27070,554,1221,1329,135451512
"00580 Verkkosaari   (Helsinki )",2088,26172,24955,391,1053,644,54647055
"00590 Kaitalahti   (Helsinki )",287,40092,32443,49,87,151,11506388
"00600 Koskela-Helsinki   (Helsinki )",3477,22107,17918,833,2071,573,76864842
"00610 Käpylä   (Helsinki )",6760,24811,23215,993,4039,1728,167722575
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",2663,28042,24083,420,1395,848,74674686
"00630 Maunula-Suursuo   (Helsinki )",6793,22584,20135,1229,4248,1316,153411842
"00640 Oulunkylä-Patola   (Helsinki )",6640,26061,22992,1110,3674,1856,173042871
"00650 Veräjämäki   (Helsinki )",3326,27351,24014,567,1753,1006,90970706
"00660 Länsi-Pakila   (Helsinki )",5148,34669,28919,715,2071,2362,178478161
"00670 Paloheinä   (Helsinki )",4505,35358,30416,656,1629,2220,159288007
"00680 Itä-Pakila   (Helsinki )",2793,33008,28184,400,1188,1205,92191831
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2039,28664,26090,321,963,755,58445704
"00700 Malmi   (Helsinki )",10836,22122,20940,1992,6901,1943,239716540
"00710 Pihlajamäki   (Helsinki )",10390,21579,20446,1892,6796,1702,224202102
"00720 Pukinmäki-Savela   (Helsinki )",7069,22532,21066,1295,4447,1327,159281236
"00730 Tapanila   (Helsinki )",8797,26584,24744,1384,4704,2709,233855283
"00740 Siltamäki   (Helsinki )",8082,23678,22332,1533,4633,1916,191361650
"00750 Puistola   (Helsinki )",7233,23671,22072,1452,4095,1686,171215956
"00760 Suurmetsä   (Helsinki )",5890,28149,25964,919,2932,2039,165796869
"00770 Jakomäki - Alppikylä   (Helsinki )",5042,19539,18931,1047,3480,515,98516282
"00780 Tapaninvainio   (Helsinki )",5743,27637,24733,835,3016,1892,158718499
"00790 Viikki   (Helsinki )",7912,23053,22013,1785,4189,1938,182392274
"00800 Länsi-Herttoniemi   (Helsinki )",6081,23931,20906,1109,3651,1321,145524583
"00810 Herttoniemi   (Helsinki )",9185,25516,23323,1430,5332,2423,234364986
"00820 Roihuvuori   (Helsinki )",6075,21019,19786,1255,3849,971,127688923
"00830 Tammisalo   (Helsinki )",1744,47401,30761,282,590,872,82667773
"00840 Laajasalo   (Helsinki )",6717,29217,24565,1032,3449,2236,196250135
"00850 Jollas   (Helsinki )",2310,39605,28782,367,878,1065,91487035
"00860 Santahamina   (Helsinki )",295,27737,27735,39,146,110,8182487
"00870 Etelä-Laajasalo   (Helsinki )",3824,23455,20665,745,2285,794,89690490
"00880 Roihupellon teollisuusalue   (Helsinki )",537,25115,23750,83,311,143,13486819
"00890 Itäsalmi   (Helsinki )",1428,48054,29367,273,482,673,68620942
"00900 Puotinharju   (Helsinki )",3536,21075,19242,749,2230,557,74522241
"00910 Puotila   (Helsinki )",5245,22055,20710,968,3353,924,115680159
"00920 Myllypuro   (Helsinki )",9399,23070,21173,1706,5779,1914,216834479
"00930 Itäkeskus-Marjaniemi   (Helsinki )",5481,26540,20612,1225,2982,1274,145467844
"00940 Kontula - Vesala   (Helsinki )",20517,20087,19086,4678,13182,2657,412123788
"00950 Vartioharju   (Helsinki )",4290,30611,26441,663,1963,1664,131320787
"00960 Pohjois-Vuosaari   (Helsinki )",5662,22974,21959,946,3542,1174,130076597
"00970 Mellunmäki   (Helsinki )",8756,21694,20748,1670,5642,1444,189956906
"00980 Etelä-Vuosaari   (Helsinki )",17382,22367,20754,3557,10508,3317,388779322
"00990 Aurinkolahti   (Helsinki )",6368,28136,24895,884,3408,2076,179168933
"01120 Västerskog   (Sipoo )",1042,31125,24447,212,468,362,32432656
"01150 Söderkulla   (Sipoo )",3543,30709,26179,560,1613,1370,108801702
"01180 Kalkkiranta   (Porvoo )",365,30305,24944,70,170,125,11061322
"01190 Box   (Sipoo )",790,26130,25167,117,432,241,20642467
"01200 Hakunila   (Vantaa )",9271,21548,20651,1669,6169,1433,199774510
"01230 Vaarala   (Vantaa )",2320,26320,25186,322,1333,665,61062267
"01260 Itä-Hakkila   (Vantaa )",3574,28823,25593,513,1859,1202,103012861
"01280 Länsimäki   (Vantaa )",7403,23364,22352,1238,4549,1616,172966099
"01300 Tikkurila   (Vantaa )",15080,24773,22968,2297,9149,3634,373582254
"01340 Leinelä   (Vantaa )",520,22367,21726,70,358,92,11630800
"01350 Hiekkaharju   (Vantaa )",7553,24121,22718,1125,4705,1723,182188690
"01360 Koivukylä-Havukoski   (Vantaa )",9986,21219,19897,1969,6509,1508,211896566
"01370 Jokiniemi   (Vantaa )",4658,22311,21770,938,2867,853,103924789
"01380 Kuusikko-Hakkila   (Vantaa )",1433,29040,26550,188,742,503,41614946
"01390 Ruskeasanta-Ilola   (Vantaa )",6592,27821,25944,899,3413,2280,183395317
"01400 Rekola   (Vantaa )",6179,25068,23451,862,3734,1583,154897646
"01420 Päiväkumpu   (Vantaa )",2306,28300,26424,363,1114,829,65260586
"01450 Korso   (Vantaa )",14259,24202,22943,2253,8594,3412,345096325
"01480 Mikkola   (Vantaa )",4960,23253,22330,856,3061,1043,115335824
"01490 Nikinmäki   (Sipoo )",2699,29462,27782,385,1221,1093,79517824
"01510 Kirkonkylä-Veromäki   (Vantaa )",4608,25009,24101,670,2777,1161,115241833
"01520 Tammisto   (Vantaa )",5656,28714,26701,644,2943,2069,162408546
"01530 Veromiehenkylä   (Vantaa )",494,21160,21208,91,328,75,10453254
"01600 Myyrmäki   (Vantaa )",13372,22787,21690,2054,8725,2593,304706695
"01610 Kaivoksela   (Vantaa )",3672,24041,22888,565,2249,858,88279847
"01620 Martinlaakso   (Vantaa )",9627,23450,22140,1508,6106,2013,225753252
"01630 Hämeenkylä   (Vantaa )",1577,31852,27410,188,777,612,50231373
"01640 Hämevaara   (Vantaa )",2283,29053,25615,274,1200,809,66328644
"01650 Vapaala   (Vantaa )",3296,27502,24401,542,1680,1074,90646861
"01660 Varisto   (Vantaa )",1882,25065,23177,257,1137,488,47172367
"01670 Vantaanlaakso   (Vantaa )",2136,29471,26742,215,1145,776,62950560
"01680 Askisto   (Vantaa )",1487,28960,26315,202,736,549,43063296
"01690 Ylästö   (Vantaa )",3115,32598,29222,393,1288,1434,101542187
"01700 Kivistö   (Vantaa )",2345,31498,28793,257,1071,1017,73863409
"01710 Pähkinärinne   (Vantaa )",3899,24212,23254,550,2439,910,94402935
"01720 Petikko   (Vantaa )",62,21899,23082,10,38,14,1357749
"01730 Vantaanpuisto   (Vantaa )",1867,26391,24399,244,1087,536,49271992
"01740 Tuupakan teollisuusalue   (Vantaa )",170,26260,25424,33,90,47,4464267
"01750 Keimola   (Vantaa )",637,29271,26412,117,288,232,18645601
"01760 Seutula   (Vantaa )",1645,26355,24117,253,920,472,43354531
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",5786,27007,24315,795,3210,1781,156263536
"01810 Luhtajoki   (Nurmijärvi )",511,28589,26368,79,251,181,14608997
"01820 Haikala   (Nurmijärvi )",2447,30076,27254,294,1234,919,73595676
"01830 Lepsämä   (Nurmijärvi )",1698,28323,25961,250,867,581,48092686
"01840 Klaukkala   (Nurmijärvi )",2925,30468,27938,377,1322,1226,89118436
"01860 Perttula   (Nurmijärvi )",1567,26871,25362,262,795,510,42107604
"01900 Nurmijärvi Keskus   (Nurmijärvi )",6743,27024,23589,950,3873,1920,182226190
"01940 Palojoki   (Nurmijärvi )",553,27470,25766,76,287,190,15190755
"02100 Tapiola   (Espoo )",3607,32846,26167,537,1683,1387,118476337
"02110 Otsolahti   (Espoo )",2248,31122,26288,356,1001,891,69961968
"02120 Länsikorkee-Suvikumpu   (Espoo )",2387,31687,25205,379,1150,858,75637852
"02130 Pohjois-Tapiola   (Espoo )",4616,36637,29579,707,1707,2202,169116935
"02140 Laajalahti   (Espoo )",2712,36361,29447,413,1025,1274,98610636
"02150 Otaniemi   (Espoo )",3641,12129,10760,2229,1224,188,44161044
"02160 Westend   (Espoo )",2381,63767,35167,414,614,1353,151830209
"02170 Haukilahti   (Espoo )",4528,40616,29153,771,1634,2123,183907402
"02180 Mankkaa   (Espoo )",4707,38187,32550,695,1484,2528,179744918
"02200 Niittykumpu   (Espoo )",7940,31523,27063,1189,3534,3217,250290938
"02210 Olari   (Espoo )",8984,28046,25047,1535,4341,3108,251962579
"02230 Matinkylä   (Espoo )",16100,28431,23074,3008,8322,4770,457737297
"02240 Friisilä   (Espoo )",1478,41162,33643,211,438,829,60838131
"02260 Kaitaa   (Espoo )",2814,31508,26331,461,1275,1078,88663080
"02270 Finnoo-Eestinmalmi   (Espoo )",1655,34716,28803,281,614,760,57454570
"02280 Malminmäki-Eestinlaakso   (Espoo )",3161,28439,26234,496,1501,1164,89896525
"02290 Puolarmetsän sairaala   (Espoo )",16,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",1802,38108,31514,275,593,934,68670650
"02320 Espoonlahti   (Espoo )",13168,26169,23076,2212,7187,3769,344598358
"02330 Saunalahti-Kattilalaakso   (Espoo )",6044,34421,28422,903,2439,2702,208041350
"02340 Latokaski   (Espoo )",3519,30919,28180,462,1546,1511,108805046
"02360 Soukka   (Espoo )",7484,30517,24432,1246,3734,2504,228386816
"02380 Suvisaaristo   (Espoo )",482,57500,28275,110,148,224,27714840
"02400 Kirkkonummi Keskus   (Kirkkonummi )",9452,26316,23670,1440,5222,2790,248740722
"02410 Gesterby   (Kirkkonummi )",1774,21252,19893,317,1177,280,37701020
"02420 Jorvas   (Kirkkonummi )",1347,38373,28177,212,536,599,51688496
"02430 Masala   (Kirkkonummi )",2960,25237,23762,470,1645,845,74702520
"02440 Luoma   (Kirkkonummi )",488,34265,27025,95,187,206,16721331
"02450 Sundsberg   (Kirkkonummi )",1141,42910,33494,112,373,656,48960252
"02460 Kantvik   (Kirkkonummi )",1265,29116,26293,184,609,472,36831509
"02470 Upinniemi   (Kirkkonummi )",312,23088,23697,51,201,60,7203552
"02480 Porkkala   (Kirkkonummi )",3153,30954,27253,471,1395,1287,97596676
"02490 Pikkala   (Siuntio )",267,26285,24725,37,155,75,7018037
"02510 Oitmäki   (Kirkkonummi )",372,28619,24148,67,182,123,10646088
"02520 Lapinkylä   (Kirkkonummi )",621,30698,24054,112,320,189,19063371
"02540 Kylmälä   (Kirkkonummi )",505,32997,25104,89,250,166,16663565
"02550 Evitskog   (Kirkkonummi )",679,28886,23097,140,342,197,19613681
"02570 Siuntio Kirkonkylä   (Siuntio )",1031,25314,22651,192,550,289,26099219
"02580 Siuntio Asemanseutu   (Siuntio )",2502,27831,24361,362,1368,772,69632850
"02590 Lappers   (Siuntio )",173,29409,25407,30,82,61,5087759
"02600 Etelä-Leppävaara   (Espoo )",8656,26234,23692,1485,4629,2542,227078334
"02610 Kilo   (Espoo )",4517,25641,22825,978,2204,1335,115821017
"02620 Karakallio   (Espoo )",6110,27837,24498,939,3232,1939,170082720
"02630 Nihtisilta   (Espoo )",2310,28826,26021,346,1108,856,66587727
"02650 Pohjois-Leppävaara   (Espoo )",8452,26138,23825,1410,4500,2542,220915833
"02660 Lintuvaara   (Espoo )",4411,30484,26323,948,1686,1777,134464663
"02680 Uusmäki   (Espoo )",1272,30976,26318,183,586,503,39401758
"02700 Kauniainen   (Kauniainen )",7135,45229,29597,1316,2400,3419,322709731
"02710 Viherlaakso   (Espoo )",4864,29397,25167,746,2386,1732,142986900
"02720 Lähderanta   (Espoo )",2271,29455,25443,385,1099,787,66892776
"02730 Jupperi   (Espoo )",3327,37689,31675,469,1118,1740,125391109
"02740 Bemböle-Pakankylä   (Espoo )",2151,29944,26679,304,1053,794,64409544
"02750 Sepänkylä-Kuurinniitty   (Espoo )",4336,32903,27667,683,1820,1833,142667772
"02760 Tuomarila-Suvela   (Espoo )",11013,24477,22892,2032,6146,2835,269568266
"02770 Espoon Keskus   (Espoo )",8079,24054,21596,1783,4274,2022,194329130
"02780 Kauklahti   (Espoo )",6130,30226,25723,906,2976,2248,185283718
"02810 Gumböle-Karhusuo   (Espoo )",1107,32157,28451,148,470,489,35597543
"02820 Nupuri-Nuuksio   (Espoo )",1099,31774,24810,182,532,385,34919124
"02860 Siikajärvi   (Espoo )",520,27240,24086,84,268,168,14164678
"02880 Veikkola   (Kirkkonummi )",4056,30527,27661,501,1899,1656,123818192
"02920 Niipperi   (Espoo )",3466,30431,27038,495,1580,1391,105474334
"02940 Lippajärvi-Järvenperä   (Espoo )",7465,29717,26581,1098,3489,2878,221839137
"02970 Kalajärvi   (Espoo )",2655,29628,26068,364,1285,1006,78661836
"02980 Lakisto   (Espoo )",355,22559,20858,70,227,58,8008516
"03100 Nummela   (Vihti )",11406,25605,23456,1755,6574,3077,292054532
"03150 Huhmari   (Vihti )",633,26705,24548,110,322,201,16904492
"03220 Tervalampi   (Vihti )",491,26687,24139,79,263,149,13103157
"03250 Ojakkala   (Vihti )",1447,27330,25258,232,728,487,39546161
"03300 Otalampi   (Vihti )",1784,26176,24894,276,935,573,46698593
"03320 Selki   (Vihti )",260,25208,23244,48,138,74,6554209
"03400 Vihti Kirkonkylä   (Vihti )",4957,24823,22985,781,2893,1283,123046131
"03430 Jokikunta   (Vihti )",389,25169,24154,61,224,104,9790683
"03600 Karkkila Keskus   (Karkkila )",5304,22057,20507,928,3505,871,116992875
"03620 Polari   (Karkkila )",1643,22881,21401,288,1040,315,37593477
"03710 Uusitalo   (Karkkila )",156,23482,21200,29,84,43,3663117
"03790 Vihtijärvi   (Vihti )",416,25530,23854,76,232,108,10620639
"03810 Ikkala   (Lohja )",499,21933,19819,100,313,86,10944375
"03850 Pusula   (Lohja )",1372,21643,19418,322,809,241,29694594
"03870 Hyönölä   (Lohja )",163,22504,19580,41,91,31,3668227
"04130 Sipoo   (Sipoo )",5426,26361,23982,808,3000,1618,143037160
"04150 Martinkylä   (Sipoo )",495,28260,23652,75,270,150,13988883
"04170 Paippinen   (Sipoo )",937,26112,24292,145,510,282,24466559
"04200 Kerava Keskus   (Kerava )",9680,24037,21758,1511,5988,2181,232682123
"04220 Ahjo-Kaskela   (Kerava )",3832,25836,24007,633,2104,1095,99002780
"04230 Pihkaniitty   (Kerava )",5693,26571,25169,720,3220,1753,151270880
"04240 Talma   (Sipoo )",921,27259,25642,143,476,302,25105521
"04250 Alikerava   (Kerava )",3874,22937,22143,596,2555,723,88859629
"04260 Savio   (Kerava )",4984,24483,22992,753,3042,1189,122022344
"04300 Hyrylä   (Tuusula )",7819,28097,24410,1098,4324,2397,219690094
"04310 Tuusula Keskus   (Tuusula )",1961,32114,27017,275,912,774,62975177
"04320 Riihikallio   (Tuusula )",3555,27011,24632,481,2050,1024,96025124
"04330 Lahela   (Tuusula )",1579,32139,28884,188,671,720,50748211
"04340 Mattila   (Tuusula )",1749,27215,25357,249,947,553,47599208
"04350 Nahkela   (Tuusula )",393,29268,25116,63,194,136,11502260
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",942,27219,25081,142,493,307,25640134
"04370 Rusutjärvi   (Tuusula )",588,29744,26358,90,285,213,17489618
"04380 Tuomala   (Tuusula )",431,30763,24683,79,203,149,13259054
"04390 Jäniksenlinna   (Tuusula )",352,27966,26077,44,184,124,9844204
"04400 Loutti   (Järvenpää )",8141,24956,22568,1253,4892,1996,203169196
"04410 Järvenpää Keskus   (Järvenpää )",7796,24170,22599,1167,4812,1817,188427445
"04420 Kyrölä   (Järvenpää )",2876,27099,25806,380,1543,953,77935300
"04430 Kinnari-Mikonkorpi   (Järvenpää )",6941,27578,25576,996,3653,2292,191419138
"04440 Jamppa   (Järvenpää )",3641,22268,20740,669,2305,667,81077384
"04460 Nummenkylä   (Tuusula )",1376,27148,26039,186,723,467,37355667
"04480 Haarajoki   (Mäntsälä )",1558,28501,27051,209,743,606,44404378
"04500 Kellokoski   (Tuusula )",4263,25881,24932,574,2423,1266,110330277
"04530 Ohkola   (Mäntsälä )",664,25457,24032,115,373,176,16903325
"04600 Mäntsälä Keskus   (Mäntsälä )",7146,23809,21633,1125,4459,1562,170136978
"04620 Kaunismäki   (Mäntsälä )",1242,29245,27879,129,600,513,36322613
"04630 Sääksjärvi   (Mäntsälä )",659,23786,22531,159,324,176,15675106
"04660 Numminen   (Mäntsälä )",1258,25142,24135,206,693,359,31628393
"04680 Hirvihaara   (Mäntsälä )",565,22997,21250,122,306,137,12993169
"04740 Sälinkää   (Mäntsälä )",907,23568,21280,195,511,201,21376286
"04770 Sahakylä   (Mäntsälä )",170,22304,19106,44,91,35,3791683
"04820 Kaukalampi   (Mäntsälä )",228,28128,25683,45,112,71,6413247
"04840 Hautjärvi   (Mäntsälä )",211,25582,22388,52,99,60,5397870
"04920 Saarentaus   (Mäntsälä )",259,24094,23221,46,154,59,6240304
"04940 Levanto   (Mäntsälä )",221,22981,21397,47,129,45,5078825
"05100 Röykkä   (Nurmijärvi )",1670,26255,24844,234,941,495,43846178
"05200 Rajamäki   (Nurmijärvi )",4829,26486,24533,690,2713,1426,127898503
"05250 Kiljava   (Nurmijärvi )",145,22951,22102,26,89,30,3327961
"05400 Jokela   (Tuusula )",4761,25660,24496,677,2682,1402,122167914
"05430 Nuppulinna   (Tuusula )",791,25871,23964,129,454,208,20463703
"05440 Hyvinkää   (Hyvinkää )",185,31308,30519,17,77,91,5792038
"05450 Nukari   (Nurmijärvi )",803,26218,24013,164,395,244,21052907
"05460 Hakalanmäki-Hakala   (Hyvinkää )",2683,24476,23096,372,1727,584,65668332
"05470 Palopuro   (Hyvinkää )",247,23496,23129,53,141,53,5803581
"05510 Päivärinta   (Hyvinkää )",375,24530,21481,67,221,87,9198656
"05620 Noppo   (Hyvinkää )",971,26618,25277,141,520,310,25846243
"05720 Kytäjä   (Hyvinkää )",407,26728,22915,83,203,121,10878367
"05800 Hyvinkää Keskus   (Hyvinkää )",8206,22911,20157,1444,5336,1426,188008646
"05810 Martti   (Hyvinkää )",3778,27844,25868,549,1933,1296,105195109
"05820 Mustamännistö   (Hyvinkää )",3925,25490,22710,672,2328,925,100047157
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",5875,24935,22980,904,3473,1498,146490353
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",2956,24649,22978,495,1772,689,72863345
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",.,.,.,.,.,.,.
"05860 Talvisilta   (Hyvinkää )",1143,23272,22430,180,733,230,26599711
"05880 Paavola-Vaivero   (Hyvinkää )",2911,20148,18575,598,1972,341,58651900
"05900 Vieremä   (Hyvinkää )",3386,23593,20785,542,2167,677,79885336
"05950 Ridasjärvi   (Hyvinkää )",325,24065,23655,48,202,75,7820983
"06100 Porvoo Keskus   (Porvoo )",14963,26411,22284,2391,8574,3998,395190869
"06150 Kevätkumpu   (Porvoo )",4651,23146,21141,836,2901,914,107652672
"06200 Porvoo itäinen   (Porvoo )",2042,26041,22747,363,1152,527,53175889
"06400 Gammelbacka   (Porvoo )",5397,24622,22603,903,3122,1372,132884179
"06450 Eestinmäki-Ernestas   (Porvoo )",1584,27282,24351,207,877,500,43214292
"06500 Saksala-Suomenkylä   (Porvoo )",1698,26397,23955,328,878,492,44822739
"06530 Kerkkoo   (Porvoo )",618,25682,24313,84,345,189,15871428
"06650 Hamari   (Porvoo )",1150,26742,24245,186,605,359,30753458
"06750 Tolkkinen   (Porvoo )",1284,27092,24875,182,675,427,34785713
"06830 Kulloonkylä   (Porvoo )",800,27085,25185,117,426,257,21667873
"06850 Kulloo   (Porvoo )",13,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",302,26770,23199,59,150,93,8084410
"06950 Emäsalo   (Porvoo )",323,25050,22525,57,173,93,8091009
"07110 Hinthaara   (Porvoo )",1071,27546,25367,177,543,351,29501373
"07130 Anttila   (Porvoo )",496,24270,22841,98,268,130,12037985
"07150 Laukkoski   (Pornainen )",699,27264,24485,118,372,209,19057834
"07170 Keski-Pornainen   (Pornainen )",1813,24890,24148,301,979,533,45125047
"07190 Halkia   (Pornainen )",1054,24412,24174,189,568,297,25730116
"07220 Kaarenkylä   (Porvoo )",244,25032,22857,43,137,64,6107783
"07230 Monninkylä   (Askola )",1197,27263,23133,192,696,309,32633356
"07280 Ilola   (Porvoo )",695,24300,23397,140,367,188,16888262
"07310 Sannainen   (Porvoo )",306,24278,24117,60,159,87,7429175
"07320 Jakari-Sannäs   (Porvoo )",360,25648,24669,59,203,98,9233296
"07350 Gäddrag   (Porvoo )",74,24233,21520,17,39,18,1793257
"07360 Tirmo   (Porvoo )",49,26776,26285,11,20,18,1312003
"07370 Pellinki   (Porvoo )",123,21921,18078,30,69,24,2696340
"07390 Suurpellinki   (Porvoo )",92,22548,19852,24,48,20,2074457
"07410 Kråkö   (Porvoo )",278,27960,21404,51,171,56,7772839
"07450 Voolahti   (Porvoo )",333,24276,21849,69,183,81,8083950
"07500 Askola Kirkonkylä   (Askola )",857,23994,22456,157,488,212,20562936
"07510 Vakkola   (Askola )",523,24968,22769,94,285,144,13058112
"07530 Onkimaa   (Askola )",250,23117,20791,58,134,58,5779212
"07550 Torpinkylä   (Pukkila )",226,23099,20451,48,134,44,5220288
"07560 Pukkila Keskus   (Pukkila )",1085,23351,21398,207,651,227,25336210
"07565 Kantele   (Pukkila )",217,23105,20870,60,107,50,5013702
"07580 Tiilää   (Askola )",54,29149,24719,9,30,15,1574025
"07590 Huuvari-Tiilää   (Askola )",483,24678,23392,94,257,132,11919484
"07600 Myrskylä Keskus   (Myrskylä )",1394,20749,18694,351,839,204,28924081
"07680 Juornaankylä   (Askola )",424,23035,21338,94,240,90,9767015
"07690 Kankkila   (Myrskylä )",115,22423,20265,27,66,22,2578664
"07700 Koskenkylän saha-alue   (Loviisa )",921,24141,22924,154,541,226,22233410
"07720 Malmgård   (Loviisa )",71,21341,18097,24,36,11,1515184
"07740 Gammelby   (Loviisa )",326,24874,22439,64,184,78,8108972
"07750 Isnäs   (Loviisa )",430,22463,19813,97,246,87,9658881
"07780 Härkäpää   (Loviisa )",156,22878,17341,51,71,34,3568965
"07800 Lapinjärvi Keskus   (Lapinjärvi )",748,20563,18953,159,481,108,15380781
"07810 Ingermaninkylä   (Lapinjärvi )",220,22396,20623,42,143,35,4927076
"07820 Porlammi   (Lapinjärvi )",426,20865,17801,106,242,78,8888375
"07830 Pukaro   (Lapinjärvi )",238,24548,21274,49,147,42,5842447
"07840 Lindkoski   (Lapinjärvi )",161,23223,19563,29,104,28,3738977
"07850 Heikinkylä   (Lapinjärvi )",260,21790,19306,71,134,55,5665305
"07870 Skinnarby   (Loviisa )",363,22708,21341,96,196,71,8242866
"07880 Liljendal Keskus   (Loviisa )",833,22135,19760,191,491,151,18438725
"07890 Mickelspiltom   (Loviisa )",167,21799,20261,41,97,29,3640444
"07900 Loviisa Keskus   (Loviisa )",3480,22091,19965,658,2216,606,76877880
"07910 Valko   (Loviisa )",966,21867,19616,195,607,164,21123469
"07920 Etelä-Harju   (Loviisa )",1186,23870,20508,205,730,251,28309827
"07930 Pernaja Kirkonkylä   (Loviisa )",526,23903,21858,75,332,119,12573094
"07940 Määrlahti   (Loviisa )",829,21057,18167,154,549,126,17456142
"07945 Kuggom   (Loviisa )",399,23067,20747,92,229,78,9203635
"07955 Tesjoki   (Loviisa )",977,22707,21219,171,596,210,22184344
"07960 Ahvenkoski   (Loviisa )",117,26486,20195,19,72,26,3098806
"07970 Ruotsinpyhtää Keskus   (Loviisa )",482,22585,20434,62,325,95,10885841
