"Postal code area","Inhabitants, total, 2016 (HE)","Females, 2016 (HE)","Males, 2016 (HE)","Average age of inhabitants, 2016 (HE)","0-2 years, 2016 (HE)","3-6 years, 2016 (HE)","7-12 years, 2016 (HE)","13-15 years, 2016 (HE)","16-17 years, 2016 (HE)","18-19 years, 2016 (HE)","20-24 years, 2016 (HE)","25-29 years, 2016 (HE)","30-34 years, 2016 (HE)","35-39 years, 2016 (HE)","40-44 years, 2016 (HE)","45-49 years, 2016 (HE)","50-54 years, 2016 (HE)","55-59 years, 2016 (HE)","60-64 years, 2016 (HE)","65-69 years, 2016 (HE)","70-74 years, 2016 (HE)","75-79 years, 2016 (HE)","80-84 years, 2016 (HE)","85 years or over, 2016 (HE)"
"00200 Lauttasaari   (Helsinki )",15183,8241,6942,40,521,640,778,279,164,197,962,1733,1693,1432,1189,818,758,681,706,810,698,428,286,410
"00210 Vattuniemi   (Helsinki )",8044,4330,3714,42,314,392,439,161,97,71,286,583,806,757,555,472,461,479,456,570,509,278,188,170
"00220 Jätkäsaari   (Helsinki )",3713,1940,1773,32,173,192,123,52,40,69,679,672,453,322,174,133,133,131,131,122,62,36,10,6
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",5116,2797,2319,42,166,162,191,85,63,79,447,585,480,360,249,228,310,324,337,397,283,162,119,89
"00250 Taka-Töölö   (Helsinki )",11314,6216,5098,39,308,316,378,124,105,158,1117,1774,1437,982,740,572,609,478,517,498,439,349,199,214
"00260 Keski-Töölö   (Helsinki )",5471,2938,2533,44,116,149,177,68,36,50,423,699,558,429,329,281,302,294,257,362,333,236,147,225
"00270 Pohjois-Meilahti   (Helsinki )",7706,4360,3346,39,201,265,405,158,121,119,669,1002,812,634,492,484,464,416,377,323,299,209,123,133
"00280 Ruskeasuo   (Helsinki )",2967,1669,1298,39,89,102,122,40,35,50,377,375,289,214,203,155,150,155,114,107,126,78,71,115
"00290 Meilahden sairaala-alue   (Helsinki )",165,100,65,42,5,6,7,0,1,3,7,15,22,17,8,9,16,11,6,16,10,3,1,2
"00300 Pikku Huopalahti   (Helsinki )",5794,3181,2613,40,193,280,384,183,129,111,316,467,437,392,370,362,435,410,325,303,252,160,115,170
"00310 Kivihaka   (Helsinki )",870,481,389,41,28,25,32,14,9,6,67,103,94,82,56,42,46,56,52,57,38,29,16,18
"00320 Etelä-Haaga   (Helsinki )",10170,5624,4546,40,274,319,351,160,94,141,1032,1521,1210,843,599,497,504,462,449,456,375,295,215,373
"00330 Munkkiniemi   (Helsinki )",8569,4846,3723,45,241,330,478,204,143,163,465,651,668,561,529,505,495,473,451,473,515,387,321,516
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1699,866,833,43,35,77,113,64,45,58,103,62,66,106,121,118,151,132,105,106,78,65,49,45
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9316,5098,4218,40,259,389,510,210,121,160,797,950,808,807,609,588,605,507,465,441,376,263,197,254
"00360 Pajamäki   (Helsinki )",1868,989,879,41,76,60,69,17,15,21,146,207,227,166,101,98,116,116,116,81,76,55,40,65
"00370 Reimarla   (Helsinki )",6699,3533,3166,39,266,323,429,193,117,118,482,590,555,530,439,367,390,368,358,360,255,225,166,168
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4455,2294,2161,39,155,184,228,107,90,93,279,430,409,364,280,320,342,301,294,217,157,106,66,33
"00390 Konala   (Helsinki )",6242,3171,3071,39,220,277,331,154,98,159,455,547,542,489,373,402,458,422,393,332,254,166,92,78
"00400 Pohjois-Haaga   (Helsinki )",9610,5189,4421,41,316,326,386,138,125,152,850,1111,999,794,569,461,532,463,472,529,425,320,254,388
"00410 Malminkartano   (Helsinki )",8710,4552,4158,36,316,389,487,232,173,241,926,925,788,660,486,503,571,539,547,440,263,130,58,36
"00420 Kannelmäki   (Helsinki )",14029,7479,6550,41,374,529,695,288,255,286,1246,1347,1200,970,843,753,858,846,868,879,697,463,291,341
"00430 Maununneva   (Helsinki )",5045,2568,2477,39,168,273,375,195,153,150,292,259,273,329,352,377,406,336,355,349,214,97,50,42
"00440 Lassila   (Helsinki )",4558,2496,2062,44,156,142,164,63,45,64,364,506,446,292,191,174,226,229,308,341,265,183,150,249
"00500 Sörnäinen   (Helsinki )",12688,6341,6347,37,219,163,148,52,44,151,1500,2671,2190,1372,740,657,617,506,469,419,300,195,135,140
"00510 Etu-Vallila - Alppila   (Helsinki )",9329,4792,4537,39,222,190,174,51,33,80,812,1649,1489,1099,663,450,482,427,422,400,273,182,120,111
"00520 Itä-Pasila   (Helsinki )",7231,3661,3570,39,246,274,244,91,72,94,635,959,940,727,435,347,360,355,360,391,295,184,116,106
"00530 Kallio   (Helsinki )",18517,9673,8844,41,357,280,261,85,82,205,1655,3112,2709,1893,1118,970,1008,865,885,991,792,516,363,370
"00540 Kalasatama   (Helsinki )",2380,1247,1133,36,94,105,84,27,30,28,287,330,290,215,147,106,135,105,127,116,75,37,21,21
"00550 Vallila   (Helsinki )",9570,5120,4450,38,248,242,235,89,84,131,1213,1525,1312,964,589,460,511,452,375,383,282,193,135,147
"00560 Toukola-Vanhakaupunki   (Helsinki )",13432,7231,6201,36,583,729,759,271,159,175,1320,1493,1507,1310,945,679,719,606,674,628,420,236,131,88
"00570 Kulosaari   (Helsinki )",3861,2080,1781,41,113,166,262,104,90,100,217,290,294,290,289,233,252,210,179,198,193,154,112,115
"00580 Verkkosaari   (Helsinki )",2727,1433,1294,37,111,137,165,40,29,28,266,318,274,278,173,150,155,126,109,117,69,55,57,70
"00590 Kaitalahti   (Helsinki )",746,414,332,40,29,33,42,22,9,16,40,62,42,56,42,47,85,68,55,36,27,21,8,6
"00600 Koskela-Helsinki   (Helsinki )",4132,2222,1910,44,117,152,197,101,84,74,340,316,293,255,229,219,257,249,235,273,228,179,137,197
"00610 Käpylä   (Helsinki )",8178,4556,3622,41,347,401,447,171,116,121,358,602,815,823,548,495,516,474,457,457,313,240,180,297
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3238,1704,1534,43,92,129,178,70,51,71,182,249,276,244,208,192,217,207,168,182,145,127,113,137
"00630 Maunula-Suursuo   (Helsinki )",8236,4397,3839,43,254,374,460,171,144,140,443,643,597,552,517,521,515,509,567,522,410,339,246,312
"00640 Oulunkylä-Patola   (Helsinki )",8125,4386,3739,42,260,322,472,214,146,159,531,731,607,590,473,476,574,479,451,519,359,296,218,248
"00650 Veräjämäki   (Helsinki )",4252,2234,2018,39,169,229,322,141,89,78,239,267,296,336,314,292,288,278,255,200,173,111,80,95
"00660 Länsi-Pakila   (Helsinki )",6673,3369,3304,43,195,327,488,268,180,165,280,217,325,405,453,461,513,462,417,399,400,285,208,225
"00670 Paloheinä   (Helsinki )",6074,3091,2983,40,221,358,556,258,169,136,208,151,279,421,457,431,490,493,399,419,305,145,94,84
"00680 Itä-Pakila   (Helsinki )",3698,1848,1850,40,120,197,322,142,131,119,119,129,197,232,272,285,305,274,209,197,160,131,89,68
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2749,1416,1333,38,108,175,238,116,91,71,106,92,144,214,223,216,201,177,163,199,126,44,31,14
"00700 Malmi   (Helsinki )",13369,7050,6319,40,490,608,699,369,278,278,1068,1212,1035,869,740,787,968,913,875,769,483,392,279,257
"00710 Pihlajamäki   (Helsinki )",12599,6681,5918,41,465,596,702,281,205,220,704,1008,1126,995,734,740,912,787,756,802,538,448,315,265
"00720 Pukinmäki-Savela   (Helsinki )",8520,4597,3923,41,286,355,431,191,147,168,632,744,751,581,448,433,531,555,590,540,418,330,203,186
"00730 Tapanila   (Helsinki )",11301,5908,5393,39,384,554,851,414,279,255,539,630,812,874,784,761,935,923,745,620,423,279,117,122
"00740 Siltamäki   (Helsinki )",10219,5266,4953,40,323,524,702,372,241,260,685,665,678,676,601,658,767,638,634,661,498,293,209,134
"00750 Puistola   (Helsinki )",9559,4942,4617,38,390,468,667,292,199,217,662,756,764,703,599,656,678,593,585,515,352,213,122,128
"00760 Suurmetsä   (Helsinki )",7685,3949,3736,40,240,389,650,330,223,210,368,318,397,549,495,569,635,592,513,423,364,210,132,78
"00770 Jakomäki - Alppikylä   (Helsinki )",6782,3490,3292,38,308,354,392,207,149,175,555,583,515,419,354,438,477,432,314,341,274,230,138,127
"00780 Tapaninvainio   (Helsinki )",7127,3674,3453,43,232,320,419,203,144,158,331,384,464,427,391,424,544,581,566,529,353,278,187,192
"00790 Viikki   (Helsinki )",10874,5814,5060,33,504,656,944,365,207,205,1102,1187,1109,933,806,631,600,440,321,289,254,141,95,85
"00800 Länsi-Herttoniemi   (Helsinki )",7055,3793,3262,42,213,285,366,159,104,109,369,624,597,608,473,458,512,480,447,354,304,211,151,231
"00810 Herttoniemi   (Helsinki )",11525,6100,5425,38,437,528,666,319,202,223,737,1182,1066,952,791,807,814,711,656,540,408,253,131,102
"00820 Roihuvuori   (Helsinki )",7177,3841,3336,41,221,313,380,144,105,136,471,541,609,625,448,474,533,505,418,358,274,212,199,211
"00830 Tammisalo   (Helsinki )",2241,1165,1076,44,60,111,187,91,56,45,90,55,76,136,157,166,202,156,116,138,158,87,76,78
"00840 Laajasalo   (Helsinki )",8191,4457,3734,44,228,384,489,216,158,165,366,386,478,570,499,516,574,528,509,690,576,397,231,231
"00850 Jollas   (Helsinki )",3138,1582,1556,38,92,188,315,155,86,89,128,93,138,167,253,285,298,248,166,201,122,60,33,21
"00860 Santahamina   (Helsinki )",409,187,222,28,25,42,48,7,4,4,32,40,47,58,33,27,24,12,4,2,0,0,0,0
"00870 Etelä-Laajasalo   (Helsinki )",5830,3120,2710,39,243,288,378,173,104,146,460,490,438,367,343,379,418,306,333,293,240,174,121,136
"00880 Roihupellon teollisuusalue   (Helsinki )",727,386,341,41,29,26,16,11,7,8,66,92,76,52,48,29,47,32,49,45,31,30,20,13
"00890 Itäsalmi   (Helsinki )",2044,1031,1013,37,29,93,199,141,115,112,99,46,45,92,139,250,276,122,82,75,67,33,19,10
"00900 Puotinharju   (Helsinki )",4219,2221,1998,43,140,142,187,101,83,89,299,325,310,281,234,265,326,287,258,238,177,185,159,133
"00910 Puotila   (Helsinki )",6145,3287,2858,43,185,232,301,160,105,106,462,535,436,451,386,383,396,369,339,332,234,242,201,290
"00920 Myllypuro   (Helsinki )",12595,6539,6056,41,487,649,784,367,288,273,659,748,880,859,779,832,929,850,742,689,592,469,394,325
"00930 Itäkeskus-Marjaniemi   (Helsinki )",6711,3551,3160,42,227,276,401,227,152,159,434,485,408,393,361,432,525,485,418,433,329,245,172,149
"00940 Kontula - Vesala   (Helsinki )",26023,13582,12441,40,903,1138,1700,836,573,661,1844,1894,1812,1622,1505,1733,1871,1626,1489,1356,1127,998,748,587
"00950 Vartioharju   (Helsinki )",5815,2976,2839,42,157,207,478,235,145,162,282,236,285,349,379,436,540,456,430,370,288,202,95,83
"00960 Pohjois-Vuosaari   (Helsinki )",7281,3826,3455,42,229,287,451,222,168,159,385,441,462,470,489,529,637,511,430,471,353,278,174,135
"00970 Mellunmäki   (Helsinki )",10672,5642,5030,42,326,417,589,311,260,233,663,800,703,639,608,697,854,760,729,695,526,412,277,173
"00980 Etelä-Vuosaari   (Helsinki )",22616,12134,10482,40,794,1155,1632,816,565,554,1456,1549,1424,1394,1453,1519,1792,1467,1233,1150,958,771,504,430
"00990 Aurinkolahti   (Helsinki )",8258,4415,3843,41,318,381,522,201,104,129,443,628,641,604,585,571,555,543,500,552,407,300,181,93
"01120 Västerskog   (Sipoo )",1373,654,719,42,34,53,113,57,29,34,53,46,59,91,97,114,132,106,93,92,68,42,39,21
"01150 Söderkulla   (Sipoo )",5538,2765,2773,37,205,375,529,214,125,122,269,261,332,454,427,479,399,288,258,297,201,123,86,94
"01180 Kalkkiranta   (Porvoo )",462,218,244,43,5,19,32,26,18,14,20,11,12,29,22,54,46,31,25,29,27,20,10,12
"01190 Box   (Sipoo )",1017,524,493,42,27,56,87,37,30,28,27,18,51,74,72,95,84,75,65,63,44,44,28,12
"01200 Hakunila   (Vantaa )",12045,6163,5882,38,515,659,909,420,278,258,692,798,972,883,839,786,817,712,685,694,526,293,195,114
"01230 Vaarala   (Vantaa )",2929,1432,1497,39,98,134,196,87,51,72,161,195,234,219,222,250,236,200,172,139,134,78,30,21
"01260 Itä-Hakkila   (Vantaa )",4788,2372,2416,39,154,260,427,206,124,144,191,174,243,318,370,395,423,321,324,308,196,95,70,45
"01280 Länsimäki   (Vantaa )",9694,4942,4752,39,382,448,647,310,212,212,485,605,781,727,651,656,761,682,684,625,410,241,108,67
"01300 Tikkurila   (Vantaa )",18784,9711,9073,42,534,689,972,465,327,368,1365,1678,1564,1281,1097,1123,1329,1238,1157,1170,844,698,478,407
"01340 Leinelä   (Vantaa )",795,420,375,34,31,36,26,7,11,25,147,125,71,49,37,34,34,41,35,36,23,21,4,2
"01350 Hiekkaharju   (Vantaa )",9915,5116,4799,38,341,442,655,331,233,235,761,915,742,689,597,643,697,604,588,431,372,310,197,132
"01360 Koivukylä-Havukoski   (Vantaa )",12635,6511,6124,39,459,572,707,306,243,305,1067,1080,966,967,752,802,827,802,742,771,516,355,224,172
"01370 Jokiniemi   (Vantaa )",6565,3431,3134,34,276,310,387,169,147,130,889,822,623,514,371,361,459,341,287,204,116,87,48,24
"01380 Kuusikko-Hakkila   (Vantaa )",1934,972,962,37,89,116,168,84,64,52,72,90,139,138,131,142,166,128,105,90,65,43,29,23
"01390 Ruskeasanta-Ilola   (Vantaa )",8927,4481,4446,36,356,534,781,353,231,233,448,493,694,696,668,663,721,625,494,399,236,149,94,59
"01400 Rekola   (Vantaa )",8321,4219,4102,40,276,427,688,378,237,205,395,413,493,544,547,645,654,532,477,486,373,237,143,171
"01420 Päiväkumpu   (Vantaa )",3211,1572,1639,38,106,169,305,154,121,107,135,72,147,196,251,291,329,237,187,166,99,69,47,23
"01450 Korso   (Vantaa )",18313,9185,9128,39,635,927,1404,626,444,423,1025,1175,1325,1377,1320,1326,1394,1237,1044,970,717,465,269,210
"01480 Mikkola   (Vantaa )",6321,3165,3156,38,206,327,497,227,167,135,334,457,436,451,427,529,502,415,357,316,235,172,73,58
"01490 Nikinmäki   (Sipoo )",4117,2054,2063,35,160,283,483,230,133,91,147,133,243,355,398,382,265,251,175,159,102,76,33,18
"01510 Kirkonkylä-Veromäki   (Vantaa )",6350,3163,3187,33,338,445,481,189,94,99,405,659,757,655,510,389,361,262,229,199,124,86,46,22
"01520 Tammisto   (Vantaa )",7847,4064,3783,31,432,542,814,312,138,148,427,696,827,901,772,583,398,252,197,201,124,53,23,7
"01530 Veromiehenkylä   (Vantaa )",464,214,250,34,18,21,11,4,5,9,66,66,60,50,33,33,35,21,15,11,4,0,1,1
"01600 Myyrmäki   (Vantaa )",16658,8841,7817,42,520,656,921,425,271,305,1215,1452,1308,1104,893,936,933,855,979,1115,1022,780,562,406
"01610 Kaivoksela   (Vantaa )",5061,2517,2544,40,214,190,237,114,67,85,386,527,463,379,324,322,345,305,275,298,223,145,77,85
"01620 Martinlaakso   (Vantaa )",11742,5945,5797,41,377,510,754,335,248,222,702,911,891,812,731,691,705,682,677,757,691,544,326,176
"01630 Hämeenkylä   (Vantaa )",2105,1064,1041,39,73,126,173,87,59,41,69,103,163,150,153,149,143,149,158,149,95,41,18,6
"01640 Hämevaara   (Vantaa )",3325,1663,1662,40,121,172,229,96,77,76,173,217,248,250,211,248,257,244,211,167,123,94,70,41
"01650 Vapaala   (Vantaa )",4069,2016,2053,41,119,172,277,132,71,85,256,240,251,286,272,283,305,309,238,256,242,153,71,51
"01660 Varisto   (Vantaa )",2328,1187,1141,42,72,94,163,81,62,38,99,130,153,149,167,167,172,162,147,162,147,87,49,27
"01670 Vantaanlaakso   (Vantaa )",2774,1404,1370,40,115,131,203,91,56,69,97,144,231,242,195,189,201,170,147,209,153,74,32,25
"01680 Askisto   (Vantaa )",2096,1049,1047,37,62,132,195,105,63,63,77,77,116,149,174,184,186,128,122,123,66,43,18,13
"01690 Ylästö   (Vantaa )",4651,2346,2305,34,167,322,585,262,151,134,147,99,258,392,462,426,417,222,201,174,114,69,29,20
"01700 Kivistö   (Vantaa )",6211,3176,3035,32,303,388,511,180,117,189,667,613,595,544,467,386,320,259,227,160,117,86,51,31
"01710 Pähkinärinne   (Vantaa )",5106,2606,2500,41,187,223,309,129,77,95,319,398,421,380,362,305,330,329,312,370,213,152,94,101
"01720 Petikko   (Vantaa )",63,28,35,44,1,0,1,2,3,1,0,8,7,2,5,7,12,2,1,5,4,1,1,0
"01730 Vantaanpuisto   (Vantaa )",2487,1177,1310,40,83,133,192,92,52,50,129,163,177,179,184,208,146,139,121,123,125,95,64,32
"01740 Tuupakan teollisuusalue   (Vantaa )",198,90,108,46,1,5,17,8,2,4,6,5,8,6,21,18,13,20,20,21,5,10,3,5
"01750 Keimola   (Vantaa )",847,414,433,39,22,30,89,40,28,23,32,29,36,56,79,82,77,67,48,33,31,30,7,8
"01760 Seutula   (Vantaa )",2114,1034,1080,41,63,103,162,97,57,54,64,73,127,120,152,169,213,163,168,105,90,69,37,28
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",8036,4156,3880,39,294,443,676,292,195,191,431,395,479,577,554,615,588,479,456,472,352,276,159,112
"01810 Luhtajoki   (Nurmijärvi )",708,334,374,38,16,41,73,41,31,25,20,12,26,43,61,68,69,38,40,39,24,22,8,11
"01820 Haikala   (Nurmijärvi )",3428,1747,1681,36,151,206,336,185,131,88,107,136,192,300,281,284,287,205,150,149,131,77,20,12
"01830 Lepsämä   (Nurmijärvi )",2544,1246,1298,36,116,179,257,135,102,71,77,87,133,159,189,239,216,156,97,136,98,60,29,8
"01840 Klaukkala   (Nurmijärvi )",4145,2090,2055,35,147,250,508,213,161,106,136,131,190,308,371,391,394,275,188,144,116,70,30,16
"01860 Perttula   (Nurmijärvi )",2121,998,1123,39,76,115,214,97,56,57,75,50,101,152,159,172,184,154,122,137,92,55,27,26
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8969,4579,4390,41,297,413,719,390,264,262,437,390,429,525,622,673,694,579,516,523,430,359,250,197
"01940 Palojoki   (Nurmijärvi )",765,382,383,42,15,27,80,50,25,23,15,15,26,38,69,68,64,49,50,53,39,32,13,14
"02100 Tapiola   (Espoo )",4775,2551,2224,45,110,172,230,93,60,64,343,472,408,320,247,245,223,229,308,321,284,233,189,224
"02110 Otsolahti   (Espoo )",2784,1441,1343,41,92,127,126,49,42,47,170,313,341,215,162,146,119,144,162,152,115,89,75,98
"02120 Länsikorkee-Suvikumpu   (Espoo )",2823,1466,1357,42,88,110,151,48,28,41,198,284,292,222,189,143,133,158,133,150,136,123,71,125
"02130 Pohjois-Tapiola   (Espoo )",6154,3122,3032,40,222,383,471,218,139,131,305,335,364,470,424,415,407,398,357,351,277,212,133,142
"02140 Laajalahti   (Espoo )",3753,1864,1889,37,149,255,356,140,105,97,153,160,227,292,297,319,253,217,211,186,153,94,41,48
"02150 Otaniemi   (Espoo )",3960,1189,2771,27,37,33,28,7,7,103,1998,969,362,125,77,35,33,34,30,30,15,17,9,11
"02160 Westend   (Espoo )",3142,1603,1539,42,80,154,272,142,93,96,134,92,138,150,251,244,259,201,209,213,149,111,77,77
"02170 Haukilahti   (Espoo )",5714,2983,2731,43,170,235,412,229,145,138,263,261,311,327,376,432,459,365,290,343,312,247,198,201
"02180 Mankkaa   (Espoo )",6818,3511,3307,37,277,466,692,328,206,182,230,202,361,537,591,526,506,433,411,334,247,137,81,71
"02200 Niittykumpu   (Espoo )",7836,3990,3846,40,296,409,509,198,132,145,415,619,648,636,543,497,491,422,405,495,426,270,148,132
"02210 Olari   (Espoo )",11021,5715,5306,41,340,504,738,311,214,216,707,715,826,850,709,610,691,640,653,736,700,411,223,227
"02230 Matinkylä   (Espoo )",20910,10902,10008,38,769,964,1342,605,417,433,1544,2075,1756,1535,1270,1346,1291,1138,1109,1164,901,589,366,296
"02240 Friisilä   (Espoo )",2148,1080,1068,40,57,99,217,106,56,69,96,66,82,125,165,195,190,151,116,139,120,68,18,13
"02250 Henttaa   (Espoo )",3809,1945,1864,31,218,303,285,95,65,84,362,415,427,363,282,210,190,153,118,129,67,23,9,11
"02260 Kaitaa   (Espoo )",3727,1943,1784,38,119,204,345,167,94,91,176,154,208,262,261,302,326,307,226,186,108,99,57,35
"02270 Finnoo-Eestinmalmi   (Espoo )",2254,1139,1115,38,76,125,229,119,63,62,86,68,128,176,178,184,175,155,129,141,65,57,19,19
"02280 Malminmäki-Eestinlaakso   (Espoo )",4447,2221,2226,35,233,294,372,188,121,110,194,204,375,380,369,347,376,300,225,157,83,63,29,27
"02290 Puolarmetsän sairaala   (Espoo )",12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",2534,1271,1263,37,71,144,269,136,97,88,106,59,109,138,207,252,243,177,148,117,87,56,17,13
"02320 Espoonlahti   (Espoo )",16342,8655,7687,42,530,710,1007,497,306,363,875,991,1173,1143,1035,1054,1099,976,990,1250,1020,629,385,309
"02330 Saunalahti-Kattilalaakso   (Espoo )",9071,4530,4541,35,342,661,979,370,228,211,479,441,501,819,850,767,612,509,395,380,285,137,54,51
"02340 Latokaski   (Espoo )",5018,2549,2469,35,288,362,515,218,130,105,170,215,357,457,451,364,358,301,220,218,168,69,31,21
"02360 Soukka   (Espoo )",9757,5004,4753,42,318,436,692,352,219,227,502,472,613,656,608,730,739,626,597,624,570,428,196,152
"02380 Suvisaaristo   (Espoo )",640,319,321,44,10,28,50,37,29,16,16,9,13,27,35,61,74,37,41,65,39,31,13,9
"02390 Sarvvik   (Kirkkonummi )",422,213,209,38,16,17,13,8,6,16,48,31,35,40,29,31,35,31,27,22,15,1,1,0
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12378,6380,5998,41,347,585,1036,533,360,327,604,563,620,735,866,946,931,773,879,799,600,426,253,195
"02410 Gesterby   (Kirkkonummi )",2071,998,1073,43,68,70,90,55,42,44,145,142,143,135,117,148,139,150,160,163,120,84,34,22
"02420 Jorvas   (Kirkkonummi )",1852,927,925,40,41,82,195,101,60,63,71,25,63,106,126,195,174,120,120,110,92,55,30,23
"02430 Masala   (Kirkkonummi )",4363,2175,2188,36,197,307,403,186,112,92,187,251,335,355,343,363,289,232,216,206,115,84,47,43
"02440 Luoma   (Kirkkonummi )",625,327,298,43,17,30,55,26,14,19,19,13,23,32,42,58,51,60,39,46,37,17,15,12
"02450 Sundsberg   (Kirkkonummi )",1916,980,936,29,132,189,311,75,36,22,25,62,166,245,261,174,64,61,33,26,17,12,4,1
"02460 Kantvik   (Kirkkonummi )",1757,850,907,39,57,75,140,88,38,47,86,108,97,102,110,156,146,145,137,103,47,40,23,12
"02470 Upinniemi   (Kirkkonummi )",315,154,161,42,4,2,13,4,9,9,31,29,16,14,17,30,38,43,24,15,14,3,0,0
"02480 Porkkala   (Kirkkonummi )",4448,2178,2270,37,162,310,426,201,119,122,196,153,227,338,412,378,347,262,235,221,171,101,42,25
"02490 Pikkala   (Siuntio )",312,141,171,42,7,19,13,5,4,2,19,23,17,30,38,24,12,20,27,27,10,4,4,7
"02510 Oitmäki   (Kirkkonummi )",514,249,265,41,15,24,32,19,19,18,20,24,33,34,30,48,40,40,33,29,19,18,13,6
"02520 Lapinkylä   (Kirkkonummi )",787,399,388,43,15,45,69,30,17,18,15,19,23,52,78,59,66,51,55,67,57,25,17,9
"02540 Kylmälä   (Kirkkonummi )",649,327,322,41,13,32,58,24,17,23,19,19,27,45,52,65,53,50,50,32,24,21,17,8
"02550 Evitskog   (Kirkkonummi )",870,420,450,40,31,53,77,25,17,17,23,34,44,65,78,62,76,72,66,46,41,26,10,7
"02570 Siuntio Kirkonkylä   (Siuntio )",1294,614,680,41,31,65,107,59,38,20,44,46,51,88,96,136,126,98,82,86,62,26,18,15
"02580 Siuntio Asemanseutu   (Siuntio )",3440,1738,1702,40,127,184,335,157,99,86,116,79,174,257,231,279,259,229,212,229,173,101,63,50
"02590 Lappers   (Siuntio )",248,116,132,39,7,16,29,10,9,6,7,5,7,10,31,19,23,14,9,17,13,9,5,2
"02600 Etelä-Leppävaara   (Espoo )",11021,5527,5494,35,477,609,683,301,229,197,898,1237,1228,1037,730,653,542,493,393,465,370,235,139,105
"02610 Kilo   (Espoo )",6232,2972,3260,32,304,399,462,220,142,171,597,621,630,553,438,410,364,298,206,200,88,64,36,29
"02620 Karakallio   (Espoo )",8397,4361,4036,38,323,523,775,350,197,185,406,460,576,639,655,617,543,444,346,331,284,287,226,230
"02630 Nihtisilta   (Espoo )",3418,1727,1691,35,181,203,264,110,70,69,265,268,296,306,258,215,234,229,175,124,76,33,17,25
"02650 Pohjois-Leppävaara   (Espoo )",10459,5225,5234,38,450,510,503,186,127,163,774,1197,1230,923,677,567,610,575,557,500,389,247,165,109
"02660 Lintuvaara   (Espoo )",6149,3005,3144,35,227,358,638,307,186,182,427,334,318,493,422,504,482,402,287,217,173,94,63,35
"02680 Uusmäki   (Espoo )",2471,1290,1181,32,149,209,222,64,40,39,167,213,266,278,176,151,135,97,68,82,46,29,23,17
