"Postal code area","Inhabitants, 2014 (PT)","Labour force, 2014 (PT)","Employed, 2014 (PT)","Unemployed, 2014 (PT)","Persons outside the labour force, 2014 (PT)","Children aged 0 to 14, 2014 (PT)","Students, 2014 (PT)","Pensioners, 2014 (PT)","Others, 2014 (PT)"
"02160 Westend   (Espoo )",3155,1442,1351,91,1713,622,270,654,167
"02170 Haukilahti   (Espoo )",5708,2731,2510,221,2977,951,442,1390,194
"02180 Mankkaa   (Espoo )",6622,3351,3136,215,3271,1629,525,916,201
"02200 Niittykumpu   (Espoo )",10032,5534,5111,423,4498,1830,642,1694,332
"02210 Olari   (Espoo )",11120,5611,5083,528,5509,1821,866,2457,365
"02230 Matinkylä   (Espoo )",20122,10634,9322,1312,9488,3453,1529,3567,939
"02240 Friisilä   (Espoo )",2020,1040,978,62,980,449,163,326,42
"02260 Kaitaa   (Espoo )",3784,1961,1798,163,1823,817,306,570,130
"02270 Finnoo-Eestinmalmi   (Espoo )",2276,1175,1077,98,1101,513,180,321,87
"02280 Malminmäki-Eestinlaakso   (Espoo )",4370,2420,2187,233,1950,1008,372,420,150
"02290 Puolarmetsän sairaala   (Espoo )",16,0,0,0,16,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",2530,1323,1244,79,1207,585,237,329,56
"02320 Espoonlahti   (Espoo )",16205,7997,7018,979,8208,2514,1136,3909,649
"02330 Saunalahti-Kattilalaakso   (Espoo )",8521,4558,4199,359,3963,2163,626,922,252
"02340 Latokaski   (Espoo )",5051,2675,2495,180,2376,1334,352,550,140
"02360 Soukka   (Espoo )",9408,4624,4100,524,4784,1608,675,2138,363
"02380 Suvisaaristo   (Espoo )",643,265,247,18,378,132,47,148,51
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12406,6088,5513,575,6318,2427,945,2552,394
"02410 Gesterby   (Kirkkonummi )",2110,1088,879,209,1022,263,149,513,97
"02420 Jorvas   (Kirkkonummi )",1866,915,848,67,951,421,153,323,54
"02430 Masala   (Kirkkonummi )",4169,2156,1870,286,2013,1054,289,519,151
"02440 Luoma   (Kirkkonummi )",638,307,288,19,331,119,51,133,28
"02450 Sundsberg   (Kirkkonummi )",1825,990,950,40,835,648,62,89,36
"02460 Kantvik   (Kirkkonummi )",1634,912,830,82,722,298,126,253,45
"02470 Upinniemi   (Kirkkonummi )",354,242,221,21,112,33,19,49,11
"02480 Porkkala   (Kirkkonummi )",4393,2295,2145,150,2098,1060,295,619,124
"02490 Pikkala   (Siuntio )",322,194,169,25,128,48,12,56,12
"02510 Oitmäki   (Kirkkonummi )",485,258,237,21,227,85,41,85,16
"02520 Lapinkylä   (Kirkkonummi )",817,396,369,27,421,166,41,188,26
"02540 Kylmälä   (Kirkkonummi )",666,342,316,26,324,127,50,119,28
"02550 Evitskog   (Kirkkonummi )",893,474,438,36,419,184,50,152,33
"02570 Siuntio Kirkonkylä   (Siuntio )",1335,715,650,65,620,257,67,243,53
"02580 Siuntio Asemanseutu   (Siuntio )",3422,1689,1559,130,1733,765,223,663,82
"02590 Lappers   (Siuntio )",249,124,119,5,125,64,18,40,3
"02600 Etelä-Leppävaara   (Espoo )",10832,6208,5599,609,4624,1909,892,1417,406
"02610 Kilo   (Espoo )",5979,3256,2874,382,2723,1249,637,525,312
"02620 Karakallio   (Espoo )",8234,4075,3659,416,4159,1843,586,1474,256
"02630 Nihtisilta   (Espoo )",3058,1765,1570,195,1293,656,212,320,105
"02650 Pohjois-Leppävaara   (Espoo )",10082,5949,5285,664,4133,1462,660,1591,420
"02660 Lintuvaara   (Espoo )",6152,3151,2919,232,3001,1467,657,609,268
"02680 Uusmäki   (Espoo )",1705,984,913,71,721,397,93,189,42
"02700 Kauniainen   (Kauniainen )",9233,4248,3956,292,4985,1692,845,2097,351
"02710 Viherlaakso   (Espoo )",6089,3038,2734,304,3051,1039,397,1433,182
"02720 Lähderanta   (Espoo )",2924,1465,1345,120,1459,523,260,581,95
"02730 Jupperi   (Espoo )",4499,2302,2176,126,2197,936,380,769,112
"02740 Bemböle-Pakankylä   (Espoo )",3041,1723,1603,120,1318,771,210,236,101
"02750 Sepänkylä-Kuurinniitty   (Espoo )",6093,3334,3031,303,2759,1533,494,520,212
"02760 Tuomarila-Suvela   (Espoo )",14251,7928,6996,932,6323,2829,1071,1806,617
"02770 Espoon Keskus   (Espoo )",10429,5513,4815,698,4916,1955,1069,1434,458
"02780 Kauklahti   (Espoo )",8766,4623,4203,420,4143,2287,618,975,263
"02810 Gumböle-Karhusuo   (Espoo )",1688,856,800,56,832,506,126,161,39
"02820 Nupuri-Nuuksio   (Espoo )",1437,682,628,54,755,268,106,347,34
"02860 Siikajärvi   (Espoo )",689,332,298,34,357,138,52,143,24
