"Postal code area","Households, total, 2014 (TR)","Average income of households, 2014 (TR)","Median income of households, 2014 (TR)","Households belonging to the lowest income category, 2014 (TR)","Households belonging to the middle income category, 2014 (TR)","Households belonging to the highest income category, 2014 (TR)","Accumulated purchasing power of households, 2014 (TR)"
"01840 Klaukkala   (Nurmijärvi )",1514,59263,56055,134,747,633,89723933
"01860 Perttula   (Nurmijärvi )",793,53360,51258,99,423,271,42314115
"01900 Nurmijärvi Keskus   (Nurmijärvi )",3918,46459,38062,631,2288,999,182024453
"01940 Palojoki   (Nurmijärvi )",282,53574,53027,26,159,97,15107869
"02100 Tapiola   (Espoo )",2424,49001,35525,363,1117,944,118778743
"02110 Otsolahti   (Espoo )",1445,48541,38414,229,647,569,70141869
"02120 Länsikorkee-Suvikumpu   (Espoo )",1571,48313,34882,251,764,556,75899317
"02130 Pohjois-Tapiola   (Espoo )",2606,64742,52315,291,1023,1292,168717725
"02140 Laajalahti   (Espoo )",1409,69748,57920,135,589,685,98274923
"02150 Otaniemi   (Espoo )",1814,22514,17771,1121,588,105,40841124
"02160 Westend   (Espoo )",1232,123783,73313,90,302,840,152500239
"02170 Haukilahti   (Espoo )",2642,69732,50592,302,996,1344,184231100
"02180 Mankkaa   (Espoo )",2402,75064,66326,161,825,1416,180304247
"02200 Niittykumpu   (Espoo )",4695,53356,43597,537,2194,1964,250505353
"02210 Olari   (Espoo )",5427,46344,38074,908,2686,1833,251507590
"02230 Matinkylä   (Espoo )",10046,45689,33565,1998,5210,2838,458991613
"02240 Friisilä   (Espoo )",736,82891,72580,39,223,474,61008078
"02260 Kaitaa   (Espoo )",1594,55999,44797,214,800,580,89262136
"02270 Finnoo-Eestinmalmi   (Espoo )",823,70261,59092,66,336,421,57824573
"02280 Malminmäki-Eestinlaakso   (Espoo )",1751,51441,45287,225,914,612,90074063
"02290 Puolarmetsän sairaala   (Espoo )",.,.,.,.,.,.,.
"02300 Nöykkiönpuro   (Espoo )",851,81033,69772,36,299,516,68958853
"02320 Espoonlahti   (Espoo )",8006,42624,35019,1506,4318,2182,341251065
"02330 Saunalahti-Kattilalaakso   (Espoo )",3310,62937,53450,397,1420,1493,208319984
"02340 Latokaski   (Espoo )",1795,60948,56774,99,910,786,109400885
"02360 Soukka   (Espoo )",4342,52753,40122,677,2204,1461,229053709
"02380 Suvisaaristo   (Espoo )",242,115470,60916,26,89,127,27943810
"02400 Kirkkonummi Keskus   (Kirkkonummi )",5386,46215,40083,881,3071,1434,248916252
"02410 Gesterby   (Kirkkonummi )",1215,31207,25873,370,697,148,37916993
"02420 Jorvas   (Kirkkonummi )",674,77030,58852,51,309,314,51918101
"02430 Masala   (Kirkkonummi )",1725,43639,38307,333,986,406,75276893
"02440 Luoma   (Kirkkonummi )",240,69993,57384,21,112,107,16798229
"02450 Sundsberg   (Kirkkonummi )",586,83916,68155,27,212,347,49174632
"02460 Kantvik   (Kirkkonummi )",710,52082,44935,83,375,252,36978412
"02470 Upinniemi   (Kirkkonummi )",211,34261,28923,28,151,32,7229075
"02480 Porkkala   (Kirkkonummi )",1650,59347,53022,186,821,643,97921778
"02490 Pikkala   (Siuntio )",167,42091,35296,20,100,47,7029225
"02510 Oitmäki   (Kirkkonummi )",198,54073,45696,34,100,64,10706381
"02520 Lapinkylä   (Kirkkonummi )",319,59916,49861,45,164,110,19113336
"02540 Kylmälä   (Kirkkonummi )",256,64928,50513,38,131,87,16621667
"02550 Evitskog   (Kirkkonummi )",342,56317,44677,55,181,106,19260467
"02570 Siuntio Kirkonkylä   (Siuntio )",547,47770,43992,102,283,162,26130112
"02580 Siuntio Asemanseutu   (Siuntio )",1385,50486,45407,208,765,412,69922831
"02590 Lappers   (Siuntio )",89,57426,53789,9,44,36,5110941
"02600 Etelä-Leppävaara   (Espoo )",5392,42246,35412,869,3006,1517,227790013
"02610 Kilo   (Espoo )",2590,44206,34872,560,1314,716,114494221
"02620 Karakallio   (Espoo )",3499,47831,38743,517,1980,1002,167361962
"02630 Nihtisilta   (Espoo )",1333,50206,42940,213,645,475,66925164
"02650 Pohjois-Leppävaara   (Espoo )",5430,40784,34268,978,2812,1640,221457240
"02660 Lintuvaara   (Espoo )",2179,61815,54809,320,951,908,134694635
"02680 Uusmäki   (Espoo )",733,53917,45927,82,367,284,39520939
"02700 Kauniainen   (Kauniainen )",3786,85101,57119,391,1331,2064,322193595
"02710 Viherlaakso   (Espoo )",2811,50038,40020,415,1441,955,140655927
"02720 Lähderanta   (Espoo )",1329,50571,41176,203,692,434,67208779
"02730 Jupperi   (Espoo )",1610,78241,67943,61,577,972,125967722
"02740 Bemböle-Pakankylä   (Espoo )",1185,54681,47594,120,660,405,64797086
"02750 Sepänkylä-Kuurinniitty   (Espoo )",2428,58885,48151,313,1117,998,142972003
"02760 Tuomarila-Suvela   (Espoo )",6471,41840,36226,1210,3692,1569,270748369
"02770 Espoon Keskus   (Espoo )",4730,41124,32405,1105,2591,1034,194517636
"02780 Kauklahti   (Espoo )",3400,54553,45374,507,1766,1127,185479497
"02810 Gumböle-Karhusuo   (Espoo )",576,62177,55903,39,295,242,35813785
"02820 Nupuri-Nuuksio   (Espoo )",546,62333,52704,55,268,223,34033566
"02860 Siikajärvi   (Espoo )",267,53204,48253,24,156,87,14205582
"02880 Veikkola   (Kirkkonummi )",2145,57929,53500,188,1122,835,124256994
"02920 Niipperi   (Espoo )",1770,59884,54447,183,931,656,105995358
"02940 Lippajärvi-Järvenperä   (Espoo )",4134,53364,47477,534,2065,1535,220608396
"02970 Kalajärvi   (Espoo )",1390,56746,51768,153,721,516,78877086
"02980 Lakisto   (Espoo )",196,37292,29268,26,141,29,7309143
"03100 Nummela   (Vihti )",6851,42694,36242,1259,3998,1594,292496270
"03150 Huhmari   (Vihti )",328,51700,47673,44,159,125,16957569
"03220 Tervalampi   (Vihti )",252,52273,48261,29,141,82,13172713
"03250 Ojakkala   (Vihti )",736,54158,50659,74,430,232,39860152
"03300 Otalampi   (Vihti )",912,51438,48904,108,515,289,46911511
"03320 Selki   (Vihti )",137,47903,44144,22,81,34,6562722
"03400 Vihti Kirkonkylä   (Vihti )",2747,44494,41149,495,1603,649,122223764
"03430 Jokikunta   (Vihti )",206,47726,46380,33,126,47,9831565
"03600 Karkkila Keskus   (Karkkila )",3207,36315,30933,793,1923,491,116462829
"03620 Polari   (Karkkila )",981,38463,32465,214,612,155,37732186
"03710 Uusitalo   (Karkkila )",83,44185,38927,14,52,17,3667317
"03790 Vihtijärvi   (Vihti )",213,50071,48045,28,120,65,10665172
"03810 Ikkala   (Lohja )",287,38025,34346,61,174,52,10913246
"03850 Pusula   (Lohja )",769,38279,31645,203,430,136,29436269
"03870 Hyönölä   (Lohja )",94,39073,33598,25,53,16,3672815
"04130 Sipoo   (Sipoo )",3050,46746,40282,446,1778,826,142574250
"04150 Martinkylä   (Sipoo )",249,56469,48500,20,153,76,14060729
"04170 Paippinen   (Sipoo )",473,52043,49936,54,273,146,24616565
"04200 Kerava Keskus   (Kerava )",6157,37742,30728,1245,3617,1295,232378512
"04220 Ahjo-Kaskela   (Kerava )",2195,45390,38274,396,1268,531,99630241
"04230 Pihkaniitty   (Kerava )",3244,46851,43571,351,1968,925,151986138
"04240 Talma   (Sipoo )",472,53611,51057,51,257,164,25304254
"04250 Alikerava   (Kerava )",2466,36175,31506,457,1583,426,89207707
"04260 Savio   (Kerava )",2943,41519,35776,497,1830,616,122190796
"04300 Hyrylä   (Tuusula )",4578,48179,38791,642,2652,1284,220561614
"04310 Tuusula Keskus   (Tuusula )",1044,59819,51127,87,521,436,62450758
"04320 Riihikallio   (Tuusula )",2043,47256,41617,260,1210,573,96544061
"04330 Lahela   (Tuusula )",793,64361,61504,38,388,367,51038252
"04340 Mattila   (Tuusula )",988,48193,43384,128,564,296,47615059
"04350 Nahkela   (Tuusula )",194,59527,50501,20,106,68,11548315
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",476,53532,48161,47,271,158,25481024
"04370 Rusutjärvi   (Tuusula )",295,59640,53967,33,150,112,17593756
"04380 Tuomala   (Tuusula )",219,61051,52403,27,110,82,13370217
"04390 Jäniksenlinna   (Tuusula )",184,53671,51494,21,100,63,9875516
"04400 Loutti   (Järvenpää )",5233,38840,31479,997,3074,1162,203247496
"04410 Järvenpää Keskus   (Järvenpää )",4806,39386,33820,950,2875,981,189290527
"04420 Kyrölä   (Järvenpää )",1582,49334,46924,134,920,528,78046578
"04430 Kinnari-Mikonkorpi   (Järvenpää )",3823,50310,45293,418,2195,1210,192336560
"04440 Jamppa   (Järvenpää )",2324,34850,27820,657,1302,365,80992125
"04460 Nummenkylä   (Tuusula )",769,48906,46577,105,439,225,37608743
"04480 Haarajoki   (Mäntsälä )",795,56221,54120,69,452,274,44695946
"04500 Kellokoski   (Tuusula )",2353,47165,46206,344,1404,605,110979535
"04530 Ohkola   (Mäntsälä )",342,49703,47487,48,209,85,16998380
"04600 Mäntsälä Keskus   (Mäntsälä )",4326,39238,32974,922,2640,764,169743605
"04620 Kaunismäki   (Mäntsälä )",657,55447,54288,48,387,222,36428705
"04630 Sääksjärvi   (Mäntsälä )",345,45779,40360,70,192,83,15793595
"04660 Numminen   (Mäntsälä )",644,49391,48807,91,393,160,31807823
"04680 Hirvihaara   (Mäntsälä )",252,45986,44429,47,145,60,11588453
"04740 Sälinkää   (Mäntsälä )",481,44604,40731,97,290,94,21454698
"04770 Sahakylä   (Mäntsälä )",88,43390,39249,24,45,19,3818359
"04820 Kaukalampi   (Mäntsälä )",114,56330,48060,19,52,43,6421664
"04840 Hautjärvi   (Mäntsälä )",112,48311,41469,23,57,32,5410864
"04920 Saarentaus   (Mäntsälä )",144,43488,40141,17,91,36,6262281
"04940 Levanto   (Mäntsälä )",116,44062,41370,23,67,26,5111244
"05100 Röykkä   (Nurmijärvi )",893,49342,47668,103,538,252,44062230
"05200 Rajamäki   (Nurmijärvi )",2727,47217,42688,417,1638,672,128760997
"05250 Kiljava   (Nurmijärvi )",77,43239,42731,12,50,15,3329404
"05400 Jokela   (Tuusula )",2656,46309,42994,399,1573,684,122996407
"05430 Nuppulinna   (Tuusula )",405,50768,46715,36,250,119,20560980
"05440 Hyvinkää   (Hyvinkää )",96,60489,61115,9,43,44,5806917
"05450 Nukari   (Nurmijärvi )",406,51903,48467,57,232,117,21072710
"05460 Hakalanmäki-Hakala   (Hyvinkää )",1567,42039,37464,228,996,343,65874671
"05470 Palopuro   (Hyvinkää )",131,44617,39687,28,74,29,5844783
"05510 Päivärinta   (Hyvinkää )",209,43784,36764,43,115,51,9150860
"05620 Noppo   (Hyvinkää )",488,53269,51313,52,281,155,25995149
"05720 Kytäjä   (Hyvinkää )",206,52902,45725,35,108,63,10897850
"05800 Hyvinkää Keskus   (Hyvinkää )",5531,33716,26624,1471,3204,856,186484660
"05810 Martti   (Hyvinkää )",2045,50996,47869,315,1146,584,104286966
"05820 Mustamännistö   (Hyvinkää )",2249,44680,37448,485,1322,442,100486151
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",3537,41528,35306,592,2129,816,146884962
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",1726,42321,35659,331,1036,359,73045574
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",.,.,.,.,.,.,.
"05860 Talvisilta   (Hyvinkää )",674,39667,35452,131,403,140,26735288
"05880 Paavola-Vaivero   (Hyvinkää )",1817,32017,27672,574,1045,198,58174843
"05900 Vieremä   (Hyvinkää )",2129,36812,29570,492,1254,383,78373313
"05950 Ridasjärvi   (Hyvinkää )",177,43358,38615,28,105,44,7674402
"06100 Porvoo Keskus   (Porvoo )",9222,42460,32824,1929,5038,2255,391568943
"06150 Kevätkumpu   (Porvoo )",2832,38110,31940,658,1697,477,107927719
"06200 Porvoo itäinen   (Porvoo )",1066,49750,44644,165,614,287,53033436
"06400 Gammelbacka   (Porvoo )",3273,40843,34463,746,1794,733,133678149
"06450 Eestinmäki-Ernestas   (Porvoo )",925,46839,41024,123,517,285,43326160
"06500 Saksala-Suomenkylä   (Porvoo )",862,52109,47419,118,482,262,44918360
"06530 Kerkkoo   (Porvoo )",316,50432,46842,31,192,93,15936462
"06650 Hamari   (Porvoo )",626,49423,44780,87,347,192,30938667
"06750 Tolkkinen   (Porvoo )",668,52340,49533,55,421,192,34963331
"06830 Kulloonkylä   (Porvoo )",418,52195,50262,47,246,125,21817476
"06850 Kulloo   (Porvoo )",9,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",154,52629,46002,29,75,50,8104853
"06950 Emäsalo   (Porvoo )",190,42775,37772,39,94,57,8127156
"07110 Hinthaara   (Porvoo )",548,54091,50640,72,319,157,29642080
"07130 Anttila   (Porvoo )",258,46877,44468,45,149,64,12094149
"07150 Laukkoski   (Pornainen )",377,51022,46392,58,213,106,19235462
"07170 Keski-Pornainen   (Pornainen )",948,47669,45825,164,529,255,45190223
"07190 Halkia   (Pornainen )",523,49495,49379,82,299,142,25885797
"07220 Kaarenkylä   (Porvoo )",136,45084,42497,28,71,37,6131477
"07230 Monninkylä   (Askola )",668,49069,40805,106,410,152,32778236
"07280 Ilola   (Porvoo )",351,48382,45985,53,211,87,16982193
"07310 Sannainen   (Porvoo )",152,49198,49972,21,91,40,7478087
"07320 Jakari-Sannäs   (Porvoo )",190,48807,47356,27,110,53,9273309
"07350 Gäddrag   (Porvoo )",38,47306,40055,7,20,11,1797616
"07360 Tirmo   (Porvoo )",27,..,..,..,..,..,..
"07370 Pellinki   (Porvoo )",68,39748,32473,20,35,13,2702889
"07390 Suurpellinki   (Porvoo )",49,42766,37997,12,27,10,2095558
"07410 Kråkö   (Porvoo )",149,52268,45119,27,85,37,7787979
"07450 Voolahti   (Porvoo )",172,46678,41647,25,106,41,8028558
"07500 Askola Kirkonkylä   (Askola )",468,42946,38495,86,284,98,20098548
"07510 Vakkola   (Askola )",280,46510,44320,45,165,70,13022754
"07530 Onkimaa   (Askola )",139,41756,38805,36,70,33,5804053
"07550 Torpinkylä   (Pukkila )",119,44042,42347,27,67,25,5240975
"07560 Pukkila Keskus   (Pukkila )",636,39781,35532,138,382,116,25300550
"07565 Kantele   (Pukkila )",115,43890,42681,25,62,28,5047299
"07580 Tiilää   (Askola )",34,44862,33698,4,22,8,1525309
"07590 Huuvari-Tiilää   (Askola )",253,47466,44131,37,147,69,12008883
"07600 Myrskylä Keskus   (Myrskylä )",782,36851,32219,219,453,110,28817305
"07680 Juornaankylä   (Askola )",226,43436,38587,56,126,44,9816645
"07690 Kankkila   (Myrskylä )",61,42018,37606,9,42,10,2563079
"07700 Koskenkylän saha-alue   (Loviisa )",535,41689,38299,109,312,114,22303680
"07720 Malmgård   (Loviisa )",40,37955,33029,16,15,9,1518215
"07740 Gammelby   (Loviisa )",177,45968,42109,25,100,52,8136373
"07750 Isnäs   (Loviisa )",251,38729,34207,69,137,45,9721026
"07780 Härkäpää   (Loviisa )",93,38479,27050,33,34,26,3578524
"07800 Lapinjärvi Keskus   (Lapinjärvi )",460,32852,28349,145,262,53,15111932
"07810 Ingermaninkylä   (Lapinjärvi )",130,38035,32777,34,77,19,4944531
"07820 Porlammi   (Lapinjärvi )",261,34266,29025,91,128,42,8943339
"07830 Pukaro   (Lapinjärvi )",133,44542,36964,26,82,25,5924149
"07840 Lindkoski   (Lapinjärvi )",87,43105,33842,27,45,15,3750151
"07850 Heikinkylä   (Lapinjärvi )",135,42295,34929,30,86,19,5709773
"07870 Skinnarby   (Loviisa )",196,42123,38134,43,114,39,8256193
"07880 Liljendal Keskus   (Loviisa )",476,38484,31729,135,262,79,18318617
"07890 Mickelspiltom   (Loviisa )",90,40666,36507,25,50,15,3659974
"07900 Loviisa Keskus   (Loviisa )",2266,33878,28191,629,1280,357,76766529
"07910 Valko   (Loviisa )",584,36045,30285,147,345,92,21050075
"07920 Etelä-Harju   (Loviisa )",693,40920,35582,139,418,136,28357474
"07930 Pernaja Kirkonkylä   (Loviisa )",290,41923,35607,53,164,73,12157812
"07940 Määrlahti   (Loviisa )",559,30424,24569,218,268,73,17007024
"07945 Kuggom   (Loviisa )",217,42486,35811,44,125,48,9219444
"07955 Tesjoki   (Loviisa )",548,39808,36384,122,320,106,21814822
"07960 Ahvenkoski   (Loviisa )",66,41307,35589,11,40,15,2726244
"07970 Ruotsinpyhtää Keskus   (Loviisa )",298,36580,31028,63,179,56,10900882
"07980 Kuninkaankylä   (Loviisa )",159,35167,28621,52,82,25,5591551
"07990 Ruotsinkylä-Koskisto   (Loviisa )",131,40914,33171,36,66,29,5359721
"08100 Lohja Keskus   (Lohja )",4428,36180,28441,1109,2512,807,160205466
"08150 Keskilohja   (Lohja )",2211,46724,41628,346,1304,561,103307091
"08200 Ojamo   (Lohja )",2048,32645,28589,537,1283,228,66857366
"08350 Routio   (Lohja )",1264,37895,29933,319,701,244,47899702
"08360 Kisakallio   (Lohja )",.,.,.,.,.,.,.
