"Postal code area","Aged 18 or over, total, 2012 (HR)","Average income of inhabitants, 2012 (HR)","Median income of inhabitants, 2012 (HR)","Inhabintants belonging to the lowest income category, 2012 (HR)","Inhabitants belonging to the middle income category, 2012 (HR)","Inhabintants belonging to the highest income category, 2012 (HR)","Accumulated purchasing power of inhabitants, 2012 (HR)"
"00980 Etelä-Vuosaari  (Helsinki)",17353,21852,20426,3482,10661,3210,379199466
"00990 Aurinkolahti  (Helsinki)",5939,27658,24735,770,3244,1925,164259259
"01120 Västerskog  (Sipoo)",1010,29787,24044,200,466,344,30085107
"01150 Söderkulla  (Sipoo)",3289,31350,26308,456,1557,1276,103111135
"01180 Kalkkiranta  (Sipoo)",366,29348,24668,61,180,125,10741460
"01190 Box  (Sipoo)",776,25478,23976,114,448,214,19770850
"01200 Hakunila  (Vantaa)",9168,21308,20525,1657,6013,1498,195353827
"01230 Vaarala  (Vantaa)",2259,26297,25414,316,1230,713,59404753
"01260 Itä-Hakkila  (Vantaa)",3536,28334,25332,490,1845,1201,100189241
"01280 Länsimäki  (Vantaa)",7501,23122,22316,1187,4709,1605,173439781
"01300 Tikkurila  (Vantaa)",14378,24501,22815,2002,8871,3505,352276775
"01340 Leinelä  (Vantaa)",329,21694,21265,42,236,51,7137334
"01350 Hiekkaharju  (Vantaa)",7069,23959,22368,971,4525,1573,169363153
"01360 Koivukylä-Havukoski  (Vantaa)",9816,21075,19814,1811,6464,1541,206871847
"01370 Jokiniemi  (Vantaa)",4601,21934,21442,889,2846,866,100917213
"01380 Kuusikko-Hakkila  (Vantaa)",1445,27751,25916,191,759,495,40100674
"01390 Ruskeasanta-Ilola  (Vantaa)",6312,27479,25624,881,3319,2112,173449570
"01400 Rekola  (Vantaa)",5950,24765,23102,831,3603,1516,147352223
"01420 Päiväkumpu  (Vantaa)",2273,28257,25837,338,1125,810,64228746
"01450 Korso  (Vantaa)",14129,23879,22652,2236,8495,3398,337383129
"01480 Mikkola  (Vantaa)",4966,22795,21888,867,3049,1050,113197901
"01490 Nikinmäki  (Vantaa)",2577,29172,27140,340,1197,1040,75177402
"01510 Kirkonkylä-Veromäki  (Vantaa)",4070,24635,23929,510,2547,1013,100265453
"01520 Tammisto  (Vantaa)",5436,28449,26659,535,2912,1989,154647985
"01530 Veromiehenkylä  (Vantaa)",456,21582,21321,74,304,78,9841444
"01600 Myyrmäki  (Vantaa)",13171,22751,21796,1853,8696,2622,299654482
"01610 Kaivoksela  (Vantaa)",3402,24351,23231,466,2115,821,82840558
"01620 Martinlaakso  (Vantaa)",9637,23054,21767,1460,6146,2031,222175707
"01630 Hämeenkylä  (Vantaa)",1571,30296,27345,174,787,610,47594344
"01640 Hämevaara  (Vantaa)",2149,29855,26060,267,1066,816,64158092
"01650 Vapaala  (Vantaa)",3276,27272,24126,511,1720,1045,89343282
"01660 Varisto  (Vantaa)",1868,24736,23112,265,1121,482,46206250
"01670 Vantaanlaakso  (Vantaa)",2119,28504,26302,233,1105,781,60400694
"01680 Askisto  (Vantaa)",1466,28514,25745,198,734,534,41802184
"01690 Ylästö  (Vantaa)",3063,31539,29202,358,1284,1421,96603105
"01700 Kivistö  (Vantaa)",2061,31129,28005,242,922,897,64157167
"01710 Pähkinärinne  (Vantaa)",3842,24165,23261,501,2397,944,92843769
"01720 Petikko  (Vantaa)",58,39239,24757,7,37,14,2275860
"01730 Vantaanpuisto  (Vantaa)",1763,26352,23727,250,1018,495,46458937
"01740 Tuupakan teollisuusalue  (Vantaa)",164,27375,25714,23,88,53,4489580
"01750 Keimola  (Vantaa)",623,30307,25639,100,295,228,18881292
"01760 Seutula  (Vantaa)",1613,25983,23836,249,911,453,41911105
"01770 Martinlaakson teollisuusalue  (Vantaa)",.,.,.,.,.,.,.
"01800 Klaukkala Keskus  (Nurmijärvi)",5443,26472,24331,739,3009,1695,144084882
"01810 Luhtajoki  (Nurmijärvi)",481,28307,26355,73,228,180,13615590
"01820 Haikala  (Nurmijärvi)",2416,28837,27101,286,1189,941,69669039
"01830 Lepsämä  (Nurmijärvi)",1653,28621,25343,223,860,570,47310949
"01840 Klaukkala  (Nurmijärvi)",2849,30327,28011,321,1293,1235,86402962
"01860 Perttula  (Nurmijärvi)",1550,26669,25067,246,787,517,41337340
"01900 Nurmijärvi Keskus  (Nurmijärvi)",6588,26428,23478,925,3770,1893,174105793
"01940 Palojoki  (Nurmijärvi)",575,27099,24446,71,306,198,15581933
"02100 Tapiola  (Espoo)",3383,29343,24921,530,1643,1210,99267926
"02110 Otsolahti  (Espoo)",2253,30543,25816,381,985,887,68813568
"02120 Länsikorkee-Hakalehto  (Espoo)",2368,29144,24039,378,1165,825,69012625
"02130 Pohjois-Tapiola  (Espoo)",4619,35784,28979,731,1692,2196,165288384
"02140 Laajalahti-Friisinmäki  (Espoo)",2695,33371,28531,410,1047,1238,89933778
"02150 Otaniemi  (Espoo)",3595,12547,11062,2050,1359,186,45106731
"02160 Westend  (Espoo)",2324,65443,35375,372,621,1331,152090571
"02170 Haukilahti  (Espoo)",4571,39279,28395,726,1735,2110,179543607
"02180 Mankkaa  (Espoo)",4692,37353,31602,692,1525,2475,175260101
"02200 Niittykumpu  (Espoo)",7017,32285,27281,991,3051,2975,226544180
"02210 Olari-Kuitinmäki  (Espoo)",9022,28200,24937,1485,4373,3164,254416429
"02230 Matinkylä  (Espoo)",15367,28415,22919,2732,7931,4704,436652183
"02240 Friisilä  (Espoo)",1454,40273,33052,217,436,801,58556679
"02260 Iivisniemi  (Espoo)",2815,30341,25549,477,1293,1045,85408722
"02270 Suomenoja  (Espoo)",1614,34135,29161,247,607,760,55093617
"02280 Puolarmetsä  (Espoo)",3167,27971,25964,473,1516,1178,88583616
"02290 Puolarmetsän sairaala  (Espoo)",26,..,..,..,..,..,..
"02300 Nöykkiö  (Espoo)",1779,36857,30840,278,592,909,65568650
"02320 Kivenlahti  (Espoo)",12635,26237,23292,1980,6908,3747,331503165
"02330 Kattilalaakso  (Espoo)",5651,33732,28009,822,2315,2514,190617266
"02340 Latokaski  (Espoo)",3507,30721,28095,438,1583,1486,107738475
"02360 Espoonlahti  (Espoo)",7355,30730,24035,1150,3666,2539,226020374
"02380 Suvisaaristo  (Espoo)",485,52451,26393,103,169,213,25438722
"02400 Kirkkonummi Keskus  (Kirkkonummi)",9221,26344,23752,1336,5083,2802,242913854
"02410 Gesterby  (Kirkkonummi)",1806,21197,19647,295,1215,296,38282381
"02420 Jorvas  (Kirkkonummi)",1335,32790,27872,217,526,592,43774039
"02430 Masala  (Kirkkonummi)",2879,25483,24208,433,1602,844,73364710
"02440 Luoma  (Kirkkonummi)",486,34992,26891,92,185,209,17006089
"02450 Sundsberg  (Kirkkonummi)",1046,42497,32952,114,326,606,44451722
"02460 Kantvik  (Kirkkonummi)",1246,28904,26189,173,589,484,36014766
"02470 Upinniemi  (Kirkkonummi)",266,23633,23569,33,169,64,6286333
"02480 Porkkala  (Kirkkonummi)",2918,29859,26931,419,1315,1184,87127695
"02490 Pikkala  (Siuntio)",254,24922,24409,47,134,73,6330113
"02510 Oitmäki  (Kirkkonummi)",370,28373,24312,67,182,121,10497947
"02520 Lapinkylä  (Kirkkonummi)",624,29158,23457,105,324,195,18194501
"02540 Kylmälä  (Kirkkonummi)",505,39332,25115,82,239,184,19862829
"02550 Evitskog  (Kirkkonummi)",656,26364,23728,132,332,192,17295048
"02570 Siuntio Kirkonkylä  (Siuntio)",1032,24583,22966,204,542,286,25369960
"02580 Siuntio Asemanseutu  (Siuntio)",2443,27878,23847,356,1295,792,68105715
"02590 Lappers  (Siuntio)",184,29054,23065,30,92,62,5345977
"02600 Etelä-Leppävaara  (Espoo)",8433,25651,23447,1360,4582,2491,216316414
"02610 Kilo  (Espoo)",4403,25554,22995,931,2108,1364,112514328
"02620 Karakallio  (Espoo)",5967,27268,24242,867,3204,1896,162705752
"02630 Nihtisilta  (Espoo)",2217,29311,25898,332,1029,856,64982639
"02650 Pohjois-Leppävaara  (Espoo)",8172,25453,23407,1327,4411,2434,207999756
"02660 Lintuvaara  (Espoo)",4439,30710,26188,869,1781,1789,136321179
"02680 Uusmäki  (Espoo)",476,33532,28793,71,182,223,15961312
"02700 Suur-Kauniainen  (Kauniainen)",6725,44965,29183,1221,2271,3233,302387191
"02710 Viherlaakso  (Espoo)",4804,28537,25091,705,2405,1694,137090708
"02720 Laaksolahti-Lähderanta  (Espoo)",2087,28618,25134,333,1013,741,59725232
"02730 Laaksolahti  (Espoo)",3345,36537,30923,484,1146,1715,122215262
"02740 Karvasmäki-Kunnarla  (Espoo)",1897,29114,26464,260,945,692,55228419
"02750 Sepänkylä  (Espoo)",4138,32441,27790,586,1744,1808,134238863
"02760 Espoon Keskus Itäinen  (Espoo)",11039,24274,22844,1935,6230,2874,267956110
"02770 Espoon Keskus Läntinen  (Espoo)",7675,24219,21780,1537,4113,2025,185880887
"02780 Kauklahti  (Espoo)",5536,29683,25181,808,2710,2018,164324439
"02810 Kumpyöli-Karhusuo  (Espoo)",1187,30903,28142,155,528,504,36682257
"02820 Nupuri-Nuuksio  (Espoo)",1110,31760,25746,181,507,422,35253135
"02860 Siikajärvi  (Espoo)",532,27023,24167,79,287,166,14376137
"02880 Veikkola  (Kirkkonummi)",4066,29915,27192,482,1938,1646,121635013
"02920 Niipperi  (Espoo)",3394,29557,26906,465,1579,1350,100317064
"02940 Lippajärvi  (Espoo)",7362,29784,26520,973,3501,2888,219268255
"02970 Kalajärvi  (Espoo)",2607,28557,25546,384,1239,984,74447900
"02980 Lakisto  (Espoo)",368,22152,21593,66,254,48,8151942
"03100 Nummela  (Vihti)",11151,25422,23483,1662,6434,3055,283475876
"03150 Huhmari  (Vihti)",618,27417,25131,97,313,208,16943556
"03220 Tervalampi  (Vihti)",482,25828,23745,68,262,152,12449003
"03250 Ojakkala  (Vihti)",1432,27308,24839,211,737,484,39105755
"03300 Otalampi  (Vihti)",1767,25249,24266,267,959,541,44615381
"03320 Selki  (Vihti)",255,24575,22968,48,137,70,6266611
"03400 Vihti Kirkonkylä  (Vihti)",4929,24640,23056,764,2840,1325,121449953
"03430 Jokikunta  (Vihti)",378,25380,24315,57,216,105,9593636
"03600 Karkkila Keskus  (Karkkila)",5380,21837,20068,960,3481,939,117484853
"03620 Polari  (Karkkila)",1663,22241,21394,296,1040,327,36986678
"03710 Uusitalo  (Karkkila)",157,24873,22493,30,84,43,3905116
"03790 Vihtijärvi  (Vihti)",407,24700,22933,79,222,106,10053053
"03810 Ikkala  (Lohja)",507,21262,19730,109,303,95,10779882
"03850 Pusula  (Lohja)",1396,21523,19157,347,783,266,30045620
"03870 Hyönölä  (Lohja)",156,22696,18230,38,89,29,3540653
"04130 Nikkilä  (Sipoo)",5325,26235,23920,736,2976,1613,139702407
"04150 Martinkylä  (Sipoo)",491,27338,23446,85,253,153,13423106
"04170 Paippinen  (Sipoo)",922,25549,23718,145,507,270,23556136
"04200 Kerava Keskus  (Kerava)",9243,23934,21700,1386,5711,2146,221226529
"04220 Ahjo-Kaskela  (Kerava)",3618,25959,24030,553,1986,1079,93920893
"04230 Pihkaniitty  (Kerava)",5631,26859,24970,720,3146,1765,151243539
"04240 Talma  (Sipoo)",941,26532,24758,162,471,308,24966902
"04250 Alikerava  (Kerava)",3853,23040,22180,550,2541,762,88774486
"04260 Savio  (Kerava)",4861,24606,22804,725,2917,1219,119611234
"04300 Hyrylä  (Tuusula)",7717,27661,24716,1008,4239,2470,213462374
"04310 Tuusula Keskus  (Tuusula)",1945,33353,26501,270,894,781,64870878
"04320 Riihikallio  (Tuusula)",3400,26558,24490,470,1904,1026,90297278
"04330 Lahela  (Tuusula)",1545,31343,28848,184,657,704,48425173
"04340 Mattila  (Tuusula)",1734,27777,25032,246,934,554,48164584
"04350 Nahkela  (Tuusula)",388,28446,25129,69,176,143,11036883
"04360 Ruotsinkylä-Kiilinmäki  (Tuusula)",923,26981,24916,155,464,304,24903585
"04370 Rusutjärvi  (Tuusula)",584,28390,26249,80,292,212,16579978
"04380 Tuomala  (Tuusula)",439,27972,23584,84,197,158,12279578
"04390 Jäniksenlinna  (Tuusula)",340,27382,25888,44,180,116,9309751
"04400 Loutti  (Järvenpää)",7657,24845,22569,1112,4599,1946,190235153
"04410 Järvenpää Keskus  (Järvenpää)",7664,23776,22413,1158,4715,1791,182218824
"04420 Kyrölä  (Järvenpää)",3084,26637,25329,425,1644,1015,82148405
"04430 Kinnari-Mikonkorpi  (Järvenpää)",6796,28090,25817,903,3555,2338,190902228
"04440 Jamppa  (Järvenpää)",3553,21872,20358,621,2285,647,77709665
"04460 Nummenkylä  (Järvenpää)",1338,27018,26132,156,739,443,36149506
"04480 Haarajoki  (Järvenpää)",1500,27992,26936,191,730,579,41988039
"04500 Kellokoski  (Tuusula)",4170,25841,24786,572,2323,1275,107758837
"04530 Ohkola  (Mäntsälä)",659,25034,23510,120,356,183,16497662
"04600 Mäntsälä Keskus  (Mäntsälä)",7141,23283,21577,1142,4436,1563,166266130
"04620 Kaunismäki  (Mäntsälä)",1127,28916,27513,119,545,463,32587771
"04630 Sääksjärvi  (Mäntsälä)",641,23656,22732,142,322,177,15163272
"04660 Numminen  (Mäntsälä)",1245,24607,23683,212,669,364,30635194
"04680 Hirvihaara  (Mäntsälä)",475,24567,22594,79,266,130,11669449
"04740 Sälinkää  (Mäntsälä)",915,21576,21137,204,528,183,19742215
"04770 Sahakylä  (Mäntsälä)",163,24025,19450,32,97,34,3916094
"04820 Kaukalampi  (Mäntsälä)",234,25624,22210,55,122,57,5995949
"04840 Hautjärvi  (Mäntsälä)",198,26880,22096,42,99,57,5322144
"04920 Saarentaus  (Mäntsälä)",244,23308,22753,41,154,49,5687230
"04940 Levanto  (Mäntsälä)",202,23238,21787,42,111,49,4694041
"05100 Röykkä  (Nurmijärvi)",1634,25636,24761,245,910,479,41889347
"05200 Rajamäki  (Nurmijärvi)",4697,25288,24331,658,2668,1371,118776408
"05250 Kiljava  (Nurmijärvi)",147,25334,23849,19,87,41,3724110
"05400 Jokela  (Tuusula)",4782,25362,24320,708,2631,1443,121283337
"05430 Nuppulinna  (Tuusula)",797,26461,24682,104,460,233,21089645
"05450 Nukari  (Nurmijärvi)",803,25971,23793,145,405,253,20854518
"05460 Hakalanmäki-Hakala  (Hyvinkää)",2705,24226,23088,359,1726,620,65531676
"05470 Palopuro  (Hyvinkää)",249,23187,22039,49,141,59,5773552
"05510 Päivärinta  (Hyvinkää)",364,23711,20598,75,203,86,8630779
"05620 Noppo  (Nurmijärvi)",961,26687,25170,129,513,319,25646508
"05720 Kytäjä  (Hyvinkää)",355,26719,21830,67,179,109,9485082
"05800 Hyvinkää Keskus  (Hyvinkää)",7864,22488,19718,1330,5109,1425,176844088
"05810 Martti  (Hyvinkää)",3606,28160,25995,496,1819,1291,101546258
"05820 Mustamännistö  (Hyvinkää)",3876,24232,22517,637,2293,946,93921689
"05830 Kirjavatolppa-Kruununpuisto  (Hyvinkää)",5817,24598,22539,872,3470,1475,143086171
"05840 Hyvinkäänkylä-Vehkoja  (Hyvinkää)",2982,24807,22866,459,1781,742,73973230
"05850 Hyvinkää, sairaala-alue  (Hyvinkää)",.,.,.,.,.,.,.
"05860 Talvisilta  (Hyvinkää)",1112,23547,22203,159,706,247,26184814
"05880 Paavola-Vaivero  (Hyvinkää)",2956,19966,18191,598,1990,368,59018369
"05900 Vieremä  (Hyvinkää)",3401,23409,20306,508,2180,713,79613495
"05950 Ridasjärvi  (Hyvinkää)",314,24621,23493,53,173,88,7730978
"06100 Porvoo Keskus  (Porvoo)",14668,25151,21854,2379,8414,3875,368915298
"06150 Kevätkumpu  (Porvoo)",4593,22447,20683,828,2887,878,103097215
"06200 Porvoo itäinen  (Porvoo)",2023,25924,22530,352,1120,551,52444885
"06400 Gammelbacka  (Porvoo)",5202,24043,22169,867,3036,1299,125070390
"06450 Eestinmäki-Ernestas  (Porvoo)",1613,26315,24317,251,839,523,42446555
"06500 Saksala-Suomenkylä  (Porvoo)",1685,25638,23421,323,884,478,43199758
"06530 Kerkkoo  (Porvoo)",617,25236,24266,89,342,186,15570498
"06650 Hamari  (Porvoo)",1143,25888,23426,200,596,347,29589677
"06750 Tolkkinen  (Porvoo)",1221,27547,25056,146,657,418,33634347
"06830 Kulloonkylä  (Porvoo)",795,26877,25010,119,411,265,21367408
"06850 Kulloo  (Porvoo)",18,..,..,..,..,..,..
"06880 Kärrby  (Sipoo)",282,29259,24980,47,140,95,8251175
"06950 Emäsalo  (Porvoo)",313,24882,22729,64,158,91,7788056
"07110 Hinthaara  (Porvoo)",1043,27107,25320,147,552,344,28272775
"07130 Anttila  (Porvoo)",472,23815,22807,87,264,121,11240731
"07150 Laukkoski  (Pornainen)",697,26592,24632,117,375,205,18534781
"07170 Keski-Pornainen  (Pornainen)",1763,24594,23848,281,967,515,43358928
"07190 Halkia  (Pornainen)",1044,24474,24174,203,532,309,25551334
"07220 Kaarenkylä  (Porvoo)",250,23608,21035,47,145,58,5902105
"07230 Monninkylä  (Askola)",1186,24973,22504,187,681,318,29618131
"07280 Ilola  (Porvoo)",681,24127,23525,132,362,187,16430685
"07310 Sannainen  (Porvoo)",295,24508,24057,55,154,86,7229918
"07320 Jakari-Sannäs  (Porvoo)",350,23788,23365,66,205,79,8325628
"07350 Gäddrag  (Porvoo)",77,22765,19886,21,39,17,1752896
"07360 Tirmo  (Porvoo)",40,28137,25358,6,20,14,1125491
"07370 Pellinki  (Porvoo)",129,23289,19548,25,74,30,3004293
"07390 Suurpellinki  (Porvoo)",98,20506,19543,34,43,21,2009583
"07410 Kråkö  (Porvoo)",271,25333,22349,45,174,52,6865301
"07450 Voolahti  (Porvoo)",323,23563,21600,56,191,76,7610926
"07500 Askola Kirkonkylä  (Askola)",841,23904,21944,153,479,209,20103594
"07510 Vakkola  (Askola)",500,24772,23199,90,271,139,12386224
"07530 Onkimaa  (Askola)",251,23813,20608,57,132,62,5977008
"07550 Torpinkylä  (Pukkila)",242,22423,21456,61,132,49,5426316
"07560 Pukkila Keskus  (Pukkila)",1086,23316,21205,219,627,240,25320991
"07565 Kantele  (Pukkila)",221,22439,19261,63,108,50,4959086
"07580 Tiilää  (Askola)",55,31961,24112,7,33,15,1757848
"07590 Huuvari-Tiilää  (Askola)",482,23598,22397,97,260,125,11374465
"07600 Myrskylä Keskus  (Myrskylä)",1405,20895,18246,343,824,238,29357175
"07680 Juornaankylä  (Askola)",406,22208,20408,91,230,85,9016392
"07690 Kankkila  (Myrskylä)",114,22792,19952,26,66,22,2598293
"07700 Koskenkylän saha-alue  (Loviisa)",914,23570,22403,164,545,205,21543044
"07720 Malmgård  (Loviisa)",72,20518,17501,21,39,12,1477319
"07740 Gammelby  (Loviisa)",329,23546,22088,69,189,71,7746786
"07750 Isnäs  (Loviisa)",420,22090,19795,96,232,92,9277870
"07780 Härkäpää  (Loviisa)",156,21881,17094,49,76,31,3413491
"07800 Lapinjärvi Keskus  (Lapinjärvi)",757,20042,18196,161,496,100,15171452
"07810 Ingermaninkylä  (Lapinjärvi)",220,21095,18852,45,141,34,4640865
"07820 Porlammi  (Lapinjärvi)",452,26913,17484,121,253,78,12164858
"07830 Pukaro  (Lapinjärvi)",244,25808,19848,57,136,51,6297069
"07840 Lindkoski  (Lapinjärvi)",162,22487,19492,34,93,35,3642901
"07850 Heikinkylä  (Lapinjärvi)",253,22616,20042,70,131,52,5721861
"07870 Skinnarby  (Loviisa)",378,22891,20738,101,195,82,8652865
"07880 Liljendal Keskus  (Loviisa)",831,21239,19404,196,496,139,17649662
"07890 Mickelspiltom  (Loviisa)",171,19512,18564,46,105,20,3336548
"07900 Loviisa Keskus  (Loviisa)",3426,21654,19377,641,2189,596,74185950
"07910 Valko  (Loviisa)",949,21676,19691,177,605,167,20570498
"07920 Etelä-Harju  (Loviisa)",1187,23513,20760,197,729,261,27909476
"07930 Pernaja Kirkonkylä  (Loviisa)",543,23370,20872,76,345,122,12689763
"07940 Määrlahti  (Loviisa)",841,20604,17433,139,586,116,17327900
"07945 Kuggom  (Loviisa)",401,22924,20973,84,231,86,9192609
"07955 Tesjoki  (Loviisa)",977,22744,21265,166,593,218,22221040
"07960 Ahvenkoski  (Loviisa)",122,25919,22334,19,76,27,3162169
"07970 Ruotsinpyhtää Keskus  (Loviisa)",490,21201,19669,67,347,76,10388476
"07980 Kuninkaankylä  (Loviisa)",269,20390,17231,66,162,41,5484894
"07990 Ruotsinkylä-Koskisto  (Loviisa)",258,20971,17982,63,140,55,5410566
"08100 Lohja Keskus  (Lohja)",6587,23054,19854,1088,4134,1365,151856501
