"Postal code area","Inhabitants, 2016 (PT)","Employed, 2016 (PT)","Unemployed, 2016 (PT)","Children aged 0 to 14, 2016 (PT)","Students, 2016 (PT)","Pensioners, 2016 (PT)","Others, 2016 (PT)"
"07890 Mickelspiltom   (Loviisa )",202,90,4,28,8,66,6
"07900 Loviisa Keskus   (Loviisa )",4132,1498,257,525,260,1465,127
"07910 Valko   (Loviisa )",1114,417,57,150,63,394,33
"07920 Etelä-Harju   (Loviisa )",1427,558,68,204,75,489,33
"07930 Pernaja Kirkonkylä   (Loviisa )",662,266,39,109,35,201,12
"07940 Määrlahti   (Loviisa )",965,324,87,107,56,353,38
"07945 Kuggom   (Loviisa )",488,216,27,80,24,129,12
"07955 Tesjoki   (Loviisa )",1180,474,56,203,71,348,28
"07960 Ahvenkoski   (Loviisa )",116,45,8,12,6,43,2
"07970 Ruotsinpyhtää Keskus   (Loviisa )",556,198,49,62,31,198,18
"07980 Kuninkaankylä   (Loviisa )",284,120,13,38,8,100,5
"07990 Ruotsinkylä-Koskisto   (Loviisa )",297,118,14,40,21,91,13
"08100 Lohja Keskus   (Lohja )",7931,3013,476,860,467,2914,201
"08150 Keskilohja   (Lohja )",5272,2416,258,1046,424,1023,105
"08200 Ojamo   (Lohja )",3801,1410,312,646,271,1033,129
"08350 Routio   (Lohja )",2342,979,187,367,137,598,74
"08360 Kisakallio   (Lohja )",0,0,0,0,0,0,0
"08450 Hormajärvi   (Lohja )",289,103,16,37,26,99,8
"08480 Karstu   (Lohja )",270,126,6,55,17,57,9
"08500 Ventelä-Millola   (Lohja )",6544,2958,368,1310,398,1351,159
"08680 Muijala   (Lohja )",1828,898,95,412,154,218,51
"08700 Virkkala   (Lohja )",7484,3106,409,1359,487,1932,191
"08800 Kirkniemi   (Lohja )",1622,754,80,306,124,318,40
"09120 Karjalohja   (Lohja )",1232,455,88,202,78,373,36
"09220 Sammatti   (Lohja )",1681,704,89,354,107,394,33
"09430 Saukkola   (Lohja )",1686,758,92,294,101,399,42
"09520 Millola   (Lohja )",122,53,7,12,5,42,3
"09630 Koisjärvi   (Lohja )",499,208,33,102,25,115,16
"09810 Nummi-Oinola   (Lohja )",997,419,63,167,51,276,21
"09930 Leppäkorpi   (Lohja )",305,109,12,42,24,114,4
"10120 Tähtelä   (Inkoo )",637,306,20,110,37,152,12
"10140 Päivölä   (Inkoo )",306,155,13,51,25,54,8
"10160 Degerby   (Inkoo )",905,439,28,192,66,157,23
"10210 Inkoo Keskus   (Inkoo )",2777,1120,109,478,155,848,67
"10230 Inkoo Asemanseutu   (Inkoo )",394,180,14,77,30,81,12
"10250 Fagervik   (Inkoo )",134,55,7,19,2,49,2
"10270 Barösund   (Inkoo )",137,53,4,18,7,48,7
"10300 Karjaa Keskus   (Raasepori )",7332,2997,401,1119,507,2095,213
"10320 Bäljars   (Raasepori )",1304,504,106,228,81,328,57
"10330 Pinjainen   (Raasepori )",605,280,40,97,48,123,17
"10350 Meltolan sairaala-alue   (Raasepori )",60,9,6,3,4,37,1
"10360 Mustio   (Raasepori )",1307,590,78,228,68,303,40
"10380 Kaunislahti   (Raasepori )",112,59,3,17,7,21,5
"10410 Åminnefors   (Raasepori )",362,128,33,37,12,129,23
"10420 Pohjankuru   (Raasepori )",1793,652,104,293,89,591,64
