"Postal code area","Inhabitants, 2016 (PT)","Employed, 2016 (PT)","Unemployed, 2016 (PT)","Children aged 0 to 14, 2016 (PT)","Students, 2016 (PT)","Pensioners, 2016 (PT)","Others, 2016 (PT)"
"25830 Västanfjärd Keskus   (Kemiönsaari )",479,172,15,56,32,188,16
"25840 Nivelax   (Kemiönsaari )",275,117,7,52,20,75,4
"25860 Björkboda   (Kemiönsaari )",312,120,20,37,18,102,15
"25870 Dragsfjärd   (Kemiönsaari )",921,355,28,93,45,373,27
"25900 Taalintehdas   (Kemiönsaari )",1385,454,69,137,71,615,39
"25910 Vänoxa   (Kemiönsaari )",10,..,..,..,..,..,..
"25930 Kasnäs   (Kemiönsaari )",77,32,3,9,5,28,0
"25940 Hiittinen   (Kemiönsaari )",64,18,3,8,1,34,0
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",113,50,5,10,4,42,2
"25960 Högsåra   (Kemiönsaari )",45,15,0,5,0,24,1
"26100 Rauma Keskus   (Rauma )",15986,6042,1078,1927,1289,5116,534
"26200 Merirauma-Kappelinluhta   (Rauma )",5066,2166,311,826,318,1297,148
"26410 Kaaro   (Rauma )",1583,739,80,416,90,231,27
"26510 Uotila   (Rauma )",2635,1104,148,426,177,717,63
"26560 Kolla   (Rauma )",703,314,38,127,41,163,20
"26660 Paroalho   (Rauma )",4882,1976,324,657,320,1475,130
"26720 Monnanummi   (Rauma )",385,178,15,81,31,75,5
"26740 Vasarainen   (Rauma )",542,257,26,90,36,116,17
"26820 Sampaanala   (Rauma )",1562,611,135,193,119,432,72
"26840 Kortela   (Rauma )",793,339,43,137,48,208,18
"26910 Unaja   (Rauma )",687,303,24,154,49,144,13
"26930 Vermuntila   (Rauma )",591,242,41,102,33,156,17
"26950 Voiluoto   (Rauma )",388,180,24,53,30,94,7
"27100 Eurajoki Keskus   (Eurajoki )",3380,1349,140,602,218,996,75
"27110 Irjanne   (Eurajoki )",571,245,31,113,27,135,20
"27130 Eurajoki asemanseutu   (Eurajoki )",324,131,25,53,15,97,3
"27150 Lapijoki   (Eurajoki )",1392,664,64,234,70,333,27
"27160 Olkiluoto   (Eurajoki )",0,0,0,0,0,0,0
"27170 Kuivalahti   (Eurajoki )",348,137,22,42,20,116,11
"27220 Ala-Kieri   (Rauma )",629,260,31,120,37,166,15
"27230 Lappi   (Rauma )",2070,812,131,372,105,611,39
"27250 Kodiksami   (Rauma )",144,56,6,22,16,43,1
"27260 Kuolimaa   (Rauma )",183,66,7,27,11,66,6
"27310 Kodisjoki   (Rauma )",513,211,20,97,29,146,10
"27320 Ihode   (Pyhäranta )",755,321,24,135,66,191,18
"27340 Reila   (Pyhäranta )",466,202,29,75,16,136,8
"27400 Kiukainen Keskus   (Eura )",1313,501,63,197,81,433,38
"27420 Panelia Asemanseutu   (Eura )",258,106,9,43,8,86,6
"27430 Panelia   (Eura )",1203,491,55,195,49,385,28
"27450 Harola   (Eura )",210,100,10,31,11,54,4
"27500 Kauttua   (Eura )",3289,1406,178,603,195,822,85
"27510 Eura Keskus   (Eura )",4183,1661,144,644,237,1396,101
"27600 Hinnerjoki   (Eura )",728,283,39,132,23,234,17
"27640 Honkilahti kk   (Eura )",307,118,11,44,16,109,9
"27650 Honkilahti   (Eura )",309,113,19,35,19,116,7
"27670 Mannila   (Eura )",162,57,6,27,8,60,4
"27710 Köyliö Keskus   (Säkylä )",1072,414,54,146,51,373,34
"27730 Tuiskula   (Säkylä )",207,92,9,30,11,52,13
"27740 Voitoinen   (Säkylä )",160,63,13,22,8,48,6
"27750 Yttilä   (Säkylä )",321,116,15,40,20,123,7
"27800 Säkylä Keskus   (Säkylä )",3137,1259,120,447,166,1078,67
"27820 Iso-Vimma   (Säkylä )",729,298,31,112,43,225,20
"27840 Kakkuri   (Säkylä )",440,187,18,51,18,159,7
"27860 Vuori   (Säkylä )",349,159,9,53,25,99,4
"27910 Huovinrinne   (Säkylä )",165,81,11,23,9,37,4
"27920 Otajoki   (Säkylä )",272,126,12,34,17,76,7
"28100 Pori Keskus   (Pori )",12644,4296,1094,790,1083,5022,359
"28120 Käppärä-Isomäki   (Pori )",3561,1361,348,440,328,969,115
"28130 Impola   (Pori )",6375,2545,680,685,612,1647,206
"28190 Pormestarinluoto   (Pori )",3780,1127,398,492,273,1358,132
"28200 Toejoki   (Pori )",4898,2031,360,918,280,1213,96
"28220 Ruosniemi   (Pori )",4952,2171,364,1078,312,915,112
"28240 Isojoenranta   (Pori )",751,316,44,141,30,197,23
"28260 Harjunpää   (Ulvila )",986,403,64,204,60,230,25
"28300 Kalaholma-Väinölä   (Pori )",2588,1218,144,485,193,507,41
"28330 Koivistonluoto   (Pori )",2762,1020,279,420,238,692,113
"28360 Vanhakoivisto   (Pori )",4149,1522,326,564,254,1380,103
"28370 Sampola   (Pori )",3175,765,354,308,186,1428,134
"28400 Ulvila Keskus   (Ulvila )",5664,2157,374,974,386,1628,145
"28430 Kartano-Harmaalinna   (Pori )",1636,727,115,325,98,330,41
"28450 Vanha-Ulvila   (Ulvila )",4311,1646,283,811,280,1204,87
"28500 Keskussairaala-alue-Tiilimäki   (Pori )",867,227,74,37,83,413,33
"28540 Pinomäki   (Pori )",635,310,44,106,56,105,14
"28560 Lattomeri   (Pori )",484,223,29,99,27,95,11
"28580 Niittymaa   (Pori )",573,242,44,98,30,143,16
"28600 Vähärauma   (Pori )",5026,2219,313,1086,401,908,99
"28610 Musa-Tiiliruukki   (Pori )",3909,1698,294,590,314,917,96
"28660 Pietniemi-Leppäkorpi   (Pori )",3793,1608,288,722,254,846,75
"28760 Kyläsaari   (Pori )",2279,916,178,418,147,577,43
"28800 Pihlava   (Pori )",4295,1402,467,693,227,1365,141
"28840 Yyteri-Kaanaa   (Pori )",884,296,86,128,47,296,31
"28880 Mäntyluoto   (Pori )",400,126,56,30,21,150,17
"28900 Tahkoluoto-Reposaari   (Pori )",981,272,90,104,48,446,21
"29100 Luvia Keskus   (Eurajoki )",3063,1197,166,599,192,845,64
"29180 Peränkylä   (Eurajoki )",266,99,17,39,13,93,5
"29200 Harjavalta Keskus   (Harjavalta )",7182,2579,412,1051,421,2499,220
"29250 Nakkila Keskus   (Nakkila )",4750,1748,320,781,323,1447,131
"29270 Hormisto   (Nakkila )",433,152,23,57,29,164,8
"29280 Järvimaa   (Nakkila )",283,114,14,45,18,84,8
"29310 Kaasmarkku   (Ulvila )",569,241,34,100,31,149,14
"29320 Leineperi   (Ulvila )",232,97,23,37,22,51,2
"29340 Kullaa Keskus   (Ulvila )",914,355,76,130,44,286,23
"29350 Palus   (Ulvila )",302,96,16,59,17,104,10
"29570 Söörmarkku   (Pori )",994,393,53,252,75,204,17
"29600 Noormarkku Keskus   (Pori )",4778,1846,328,857,273,1355,119
"29630 Pomarkku Keskus   (Pomarkku )",1922,640,124,319,114,661,64
"29640 Honkakoski   (Pomarkku )",274,86,18,34,19,109,8
"29680 Kairila   (Pori )",297,91,24,37,12,120,13
"29700 Ahlainen   (Pori )",801,226,80,109,49,313,24
"29720 Lamppi   (Pori )",201,55,16,34,10,82,4
"29740 Etelämaa   (Merikarvia )",91,37,4,15,4,30,1
"29750 Pohjansaha   (Merikarvia )",115,36,5,18,7,44,5
"29760 Köörtilä   (Merikarvia )",80,28,3,10,7,32,0
"29790 Tuorila   (Merikarvia )",313,116,19,52,9,106,11
"29810 Siikainen Keskus   (Siikainen )",871,287,62,92,38,360,32
"29830 Sammi   (Siikainen )",186,71,12,35,8,59,1
"29860 Otamo   (Siikainen )",144,40,13,18,10,57,6
"29880 Leväsjoki-Saarineva   (Siikainen )",199,63,17,25,18,74,2
"29900 Merikarvia Keskus-Rannikko   (Merikarvia )",2252,722,161,315,107,901,46
"29940 Kuvaskangas   (Merikarvia )",267,86,16,34,15,108,8
"30100 Forssa Keskus   (Tammela )",10395,3996,662,1353,613,3505,266
"30300 Viksberg   (Forssa )",2524,794,269,254,171,861,175
"30420 Tölö   (Forssa )",4877,1900,331,691,258,1559,138
"31110 Matku   (Forssa )",563,244,29,88,30,152,20
"31130 Koijärvi   (Forssa )",256,100,12,35,14,91,4
"31140 Menonen   (Urjala )",178,64,13,27,8,64,2
"31160 Nuutajärvi   (Urjala )",277,90,24,26,22,98,17
"31170 Savijoki   (Forssa )",198,73,4,23,12,76,10
"31230 Susikas   (Tammela )",201,74,11,28,13,66,9
"31250 Teuro   (Tammela )",210,98,9,31,6,62,4
"31300 Tammela Keskus   (Tammela )",3155,1248,149,512,196,985,65
"31310 Mustiala   (Tammela )",91,42,3,8,16,21,1
"31340 Porras   (Tammela )",556,241,31,91,41,145,7
"31350 Vistinkoski   (Tammela )",257,89,19,43,9,90,7
"31370 Eerikkilän Urheiluopisto   (Tammela )",1,..,..,..,..,..,..
"31380 Letku-Torro   (Tammela )",335,144,19,70,17,78,7
"31400 Somero Keskus   (Somero )",6236,2191,327,896,313,2336,173
"31410 Ylöpirtti   (Somero )",370,156,19,58,18,104,15
"31450 Häntälä   (Somero )",356,171,19,55,31,75,5
"31460 Hirsjärvi   (Somero )",237,90,21,25,12,85,4
"31470 Somerniemi   (Somero )",691,268,32,94,45,235,17
"31490 Terttilä   (Somero )",253,95,10,40,17,82,9
"31500 Koski Tl   (Koski Tl )",2424,924,105,337,145,851,62
"31520 Pitkäjärvi   (Somero )",525,206,35,92,40,139,13
"31530 Pyöli   (Somero )",314,133,20,38,10,100,13
"31600 Jokioinen Keskus   (Jokioinen )",3702,1471,214,622,239,1058,98
"31610 Vaulammi   (Jokioinen )",460,198,25,63,37,124,13
"31620 Latovainio   (Jokioinen )",407,176,30,61,32,102,6
"31630 Minkiö   (Jokioinen )",597,245,33,124,37,140,18
"31640 Humppila Keskus   (Humppila )",2067,790,117,306,139,654,61
"31650 Venäjänkangas   (Humppila )",273,124,16,46,15,65,7
"31700 Urjala Asemanseutu-Hanhisuo   (Urjala )",1441,536,99,233,92,427,54
"31720 Urjalankylä-Kehro   (Urjala )",378,132,34,49,17,138,8
"31730 Honkola   (Urjala )",120,56,15,10,7,31,1
"31750 Kehro   (Urjala )",51,14,3,1,1,29,3
"31760 Urjala Keskus   (Urjala )",1852,593,111,233,97,747,71
"31810 Oriniemi   (Punkalaidun )",412,156,25,74,15,126,16
"31830 Halkivaha   (Urjala )",291,110,14,47,19,95,6
"31850 Koskioinen   (Punkalaidun )",149,61,5,27,10,45,1
"31860 Tursa   (Urjala )",307,106,25,29,17,114,16
"31900 Punkalaidun Keskus   (Punkalaidun )",1854,615,86,204,119,765,65
"31930 Vanttila   (Punkalaidun )",122,50,3,20,10,37,2
"31950 Sadonmaa   (Punkalaidun )",164,61,5,27,7,59,5
"31960 Orisuo   (Loimaa )",66,21,7,7,5,24,2
"31970 Kanteenmaa   (Punkalaidun )",158,66,2,19,14,53,4
"32100 Ypäjä Keskus   (Ypäjä )",2023,807,130,276,109,647,54
"32140 Ypäjä Asemanseutu   (Ypäjä )",309,138,13,48,20,83,7
"32200 Loimaa Keskus   (Loimaa )",8256,3238,433,1143,482,2760,200
"32210 Loimaa kk   (Loimaa )",2350,872,115,333,137,835,58
"32250 Kojonkulma   (Loimaa )",312,125,15,68,20,78,6
"32260 Kojonperä   (Loimaa )",155,56,6,20,5,62,6
"32270 Metsämaa-Murto   (Loimaa )",461,179,16,67,22,169,8
"32280 Metsäkorpi   (Loimaa )",174,67,12,29,10,45,11
"32300 Mellilä   (Loimaa )",1302,506,79,167,75,439,36
"32410 Niinijoki   (Loimaa )",571,259,18,94,48,140,12
"32430 Ylhäinen   (Loimaa )",94,45,2,11,4,30,2
"32440 Alastaro Keskus   (Loimaa )",1778,665,83,232,74,668,56
"32450 Tammiainen   (Loimaa )",264,110,12,36,19,84,3
"32500 Oripää Keskus   (Oripää )",1175,448,55,229,68,351,24
"32520 Latva   (Oripää )",156,74,4,27,14,34,3
"32560 Virttaa   (Loimaa )",455,199,19,71,33,121,12
"32610 Vampula Keskus   (Huittinen )",1035,401,34,142,63,358,37
"32620 Rutava   (Huittinen )",398,158,17,50,23,136,14
"32700 Huittinen Keskus   (Huittinen )",7850,3072,362,1149,462,2544,261
"32710 Sampu   (Huittinen )",632,295,23,128,37,137,12
"32730 Keikyä   (Sastamala )",749,285,37,106,45,250,26
"32740 Äetsä Keskus   (Sastamala )",1765,641,120,232,85,633,54
"32760 Suttila   (Huittinen )",171,70,12,18,10,51,10
"32770 Huhtamo   (Huittinen )",218,99,8,32,7,62,10
"32800 Kokemäki Keskus   (Kokemäki )",4062,1514,253,531,205,1440,119
"32810 Peipohja   (Kokemäki )",1840,690,121,284,122,556,67
"32830 Riste   (Kokemäki )",475,170,30,65,33,173,4
"32860 Korkeaoja   (Kokemäki )",154,66,16,19,15,35,3
"32910 Kauvatsa Asemanseutu   (Kokemäki )",293,117,18,44,14,87,13
"32920 Kauvatsa   (Kokemäki )",572,189,33,65,32,241,12
"33100 Tampere Keskus   (Tampere )",17046,8351,1418,1213,1954,3687,423
"33180 Lapinniemi-Käpylä   (Tampere )",2250,817,115,184,203,883,48
"33200 Tampere Keskus Läntinen   (Tampere )",6496,2979,612,364,583,1771,187
"33210 Itä-Amuri-Tammerkoski   (Tampere )",5954,2574,565,370,461,1786,198
"33230 Länsi-Amuri   (Tampere )",6037,2681,442,589,430,1759,136
"33240 Tahmela   (Tampere )",1653,757,160,258,123,294,61
"33250 Pispala   (Tampere )",2346,1087,275,338,196,372,78
"33270 Epilä   (Tampere )",7376,3161,698,1270,529,1493,225
"33300 Rahola   (Tampere )",5112,2218,413,875,360,1104,142
"33310 Tesoma   (Tampere )",7275,2339,889,1223,529,2032,263
"33330 Myllypuro-Kalkku   (Tampere )",3388,1396,382,666,237,595,112
"33340 Haukiluoma-Ikuri   (Tampere )",5119,2152,350,914,346,1233,124
"33380 Pitkäniemi   (Nokia )",32,5,4,1,4,17,1
"33400 Luoteis-Tampere   (Tampere )",8270,3496,679,1435,700,1706,254
"33410 Lentävänniemi   (Tampere )",4703,1781,481,579,277,1456,129
"33420 Lamminpää   (Tampere )",2098,868,178,366,153,457,76
"33430 Vuorentausta   (Ylöjärvi )",2919,1336,153,535,186,639,70
"33450 Siivikkala   (Ylöjärvi )",2862,1362,135,621,184,496,64
"33470 Ylöjärvi Keskus   (Ylöjärvi )",6202,2341,454,1077,396,1726,208
"33480 Manninmäki-Haavisto   (Ylöjärvi )",7401,3266,375,1817,514,1271,158
"33500 Osmonmäki-Petsamo   (Tampere )",11200,4986,907,981,1109,2922,295
"33520 Keskussairaala-alue-Kauppi   (Tampere )",972,427,65,144,84,209,43
"33530 Kissanmaa   (Tampere )",4885,2102,393,453,610,1169,158
"33540 Kaleva   (Tampere )",8927,4095,882,721,1273,1716,240
"33560 Takahuhti   (Tampere )",10111,4051,649,1589,837,2723,262
"33580 Atala-Linnainmaa   (Tampere )",15225,6779,1176,2880,1111,2912,367
"33610 Olkahinen-Tasanne   (Tampere )",3872,1864,209,751,273,701,74
"33680 Aitolahti   (Tampere )",1670,676,94,290,120,462,28
"33700 Messukylä   (Tampere )",1768,770,117,282,187,358,54
"33710 Kaukajärvi   (Tampere )",18063,7307,1661,3235,1655,3569,636
"33720 Hervanta   (Tampere )",25095,8898,2654,3157,4106,4941,1339
"33730 Leinola-Vehmainen   (Tampere )",1860,861,106,324,140,383,46
"33800 Nekala   (Tampere )",5289,2254,640,759,489,980,167
"33820 Koivistonkylä   (Tampere )",9169,4082,677,1545,848,1776,241
"33840 Peltolammi   (Tampere )",3462,1374,375,411,340,836,126
"33850 Multisilta   (Pirkkala )",2456,913,331,370,195,538,109
"33870 Vuores   (Lempäälä )",2977,1533,253,643,225,238,85
"33880 Höytämö   (Lempäälä )",3778,1660,259,766,260,732,101
"33900 Härmälä-Rantaperkiö   (Tampere )",11021,4950,1153,1371,976,2204,367
"33920 Toivio   (Pirkkala )",1262,590,51,356,83,162,20
"33950 Killo   (Pirkkala )",5659,2617,311,1055,361,1165,150
"33960 Suuppa   (Pirkkala )",10490,4534,568,2237,740,2141,270
"33980 Pirkkala kk   (Pirkkala )",1478,657,59,370,106,248,38
"34110 Lakiala   (Ylöjärvi )",1345,584,56,434,109,134,28
"34130 Ylinen   (Ylöjärvi )",1261,573,80,274,107,191,36
"34140 Mutala   (Ylöjärvi )",792,342,29,205,54,141,21
"34150 Kyrönlahti   (Ylöjärvi )",411,165,28,85,17,103,13
"34180 Länsi-Teisko   (Ylöjärvi )",154,57,15,23,2,51,6
"34240 Kämmenteisko   (Tampere )",1698,695,94,392,130,339,48
"34260 Terälahti   (Tampere )",881,345,83,147,43,248,15
"34270 Velaatta   (Tampere )",300,116,29,33,17,99,6
"34300 Kuru Keskus   (Ylöjärvi )",1535,501,119,217,85,562,51
"34320 Parkkuu   (Ylöjärvi )",221,83,12,33,12,79,2
"34330 Poikelus   (Ylöjärvi )",281,105,22,58,20,63,13
"34410 Murole   (Ruovesi )",178,61,16,35,2,57,7
"34420 Muroleen Kanava   (Ruovesi )",46,13,3,5,2,21,2
"34430 Kekkonen   (Ruovesi )",128,48,8,16,9,41,6
"34450 Jäminkipohja   (Ruovesi )",331,121,22,31,15,125,17
"34510 Luode   (Ylöjärvi )",103,31,6,20,3,41,2
"34530 Länsi-Aure   (Ylöjärvi )",73,19,9,12,6,27,0
"34550 Itä-Aure   (Ylöjärvi )",159,44,15,9,6,82,3
"34600 Ruovesi Keskus-Nenonen   (Ruovesi )",2612,897,110,322,129,1084,70
"34640 Mustajärvi   (Ruovesi )",205,83,7,33,10,69,3
"34710 Vaskivesi   (Virrat )",359,140,19,50,23,122,5
"34730 Vaskuu   (Virrat )",98,32,4,11,7,40,4
"34740 Koro   (Virrat )",79,16,6,9,4,42,2
"34770 Kurjenkylä   (Virrat )",226,82,23,27,18,72,4
"34800 Virrat Keskus   (Virrat )",4560,1491,267,581,235,1857,129
"34870 Visuvesi   (Ruovesi )",563,172,33,67,28,238,25
"34910 Äijänneva   (Virrat )",104,50,8,10,5,29,2
"34930 Liedenpohja   (Virrat )",312,114,19,40,15,118,6
"34950 Ohtola   (Virrat )",211,73,10,42,9,73,4
"34970 Toisvesi   (Virrat )",113,36,9,21,6,39,2
"34980 Killinkoski   (Virrat )",370,125,22,43,12,150,18
"35100 Orivesi Asemanseutu   (Orivesi )",2959,1201,203,562,172,754,67
"35220 Eräjärvi   (Orivesi )",517,168,31,56,27,216,19
"35240 Ristakallio   (Orivesi )",186,68,18,25,11,57,7
"35260 Leväslahti   (Orivesi )",13,..,..,..,..,..,..
"35270 Västilä   (Orivesi )",157,56,13,19,7,58,4
"35300 Orivesi Keskus   (Orivesi )",4599,1632,268,645,252,1659,143
"35320 Hirsilä   (Orivesi )",569,210,40,112,37,158,12
"35400 Länkipohja   (Jämsä )",888,286,67,95,34,386,20
"35420 Talviainen   (Orivesi )",109,41,6,16,5,38,3
"35480 Längelmäki   (Orivesi )",56,20,3,3,1,29,0
"35500 Korkeakoski   (Juupajoki )",1059,356,72,175,50,380,26
"35520 Pirttikangas   (Juupajoki )",84,32,4,17,3,28,0
"35530 Lyly   (Juupajoki )",284,89,22,39,8,118,8
"35540 Juupajoki   (Juupajoki )",416,186,15,69,26,110,10
"35550 Salokunta   (Juupajoki )",162,68,8,20,8,56,2
"35600 Halli   (Jämsä )",1314,460,105,126,66,530,27
"35610 Pihlaisto   (Jämsä )",91,29,4,18,4,35,1
"35630 Suinula-Valkamanperä   (Jämsä )",175,47,7,32,8,77,4
"35700 Vilppula Keskus   (Mänttä-Vilppula )",3321,1210,185,431,182,1173,140
"35740 Ylä-Vääri   (Ruovesi )",104,43,4,8,6,41,2
"35750 Väärinmaja   (Ruovesi )",286,108,13,36,19,101,9
"35800 Mänttä   (Mänttä-Vilppula )",4168,1389,258,436,233,1729,123
"35820 Asemakulma-Mustalahti   (Jämsä )",2109,792,132,337,118,671,59
"35990 Kolho   (Mänttä-Vilppula )",1109,338,74,136,43,488,30
"36100 Kangasala Asemanseutu   (Kangasala )",1265,595,65,332,108,142,23
"36110 Ruutana   (Kangasala )",2859,1366,137,807,169,333,47
"36120 Suinula-Haviseva   (Kangasala )",1105,468,74,242,76,230,15
"36200 Kangasala Keskus   (Kangasala )",10027,4044,543,1820,631,2755,234
"36220 Suorama   (Kangasala )",5146,2135,415,1044,335,1093,124
"36240 Nattari   (Kangasala )",4822,2198,281,1002,321,917,103
"36270 Huutijärvi   (Kangasala )",1427,621,83,301,93,290,39
"36280 Pikonlinna   (Kangasala )",168,43,6,20,7,89,3
"36340 Tohkala   (Kangasala )",241,98,11,51,14,59,8
"36420 Sahalahti Keskus   (Kangasala )",1796,722,129,356,101,440,48
"36430 Pakkala   (Kangasala )",472,193,34,88,27,124,6
"36450 Salmentaka   (Pälkäne )",222,90,20,28,10,69,5
"36520 Raikku   (Kangasala )",363,150,18,39,20,130,6
"36570 Kaivanto   (Kangasala )",298,120,20,62,14,78,4
"36600 Pälkäne Keskus   (Pälkäne )",3475,1379,196,606,186,1002,106
"36640 Iltasmäki   (Pälkäne )",395,173,19,77,21,94,11
"36660 Laitikkala   (Pälkäne )",208,94,8,27,19,54,6
"36720 Aitoo   (Pälkäne )",564,203,43,89,37,176,16
"36760 Luopioinen Keskus   (Pälkäne )",824,261,50,97,36,366,14
"36810 Kuhmalahti Keskus   (Kangasala )",537,217,48,71,27,164,10
"36840 Kuhmajärvi   (Kangasala )",327,121,22,33,12,133,6
"36880 Vehkajärvi   (Kangasala )",138,49,9,7,3,68,2
"36910 Rautajärvi   (Pälkäne )",370,141,16,44,14,149,6
"36930 Kyynärö   (Pälkäne )",172,61,13,14,9,66,9
"37100 Nokia Keskus   (Nokia )",6645,2230,506,734,399,2562,214
"37120 Koskenmäki   (Nokia )",10283,4606,658,2269,693,1828,229
"37130 Alhoniitty   (Nokia )",4695,1966,338,995,326,927,143
"37140 Harjuniitty   (Nokia )",2555,1122,135,733,109,404,52
"37150 Kankaantaka   (Nokia )",4093,1668,276,814,250,962,123
"37180 Sarkola   (Nokia )",383,147,21,85,27,90,13
"37200 Siuro   (Nokia )",2513,1108,155,475,163,544,68
"37210 Kulovesi   (Nokia )",24,..,..,..,..,..,..
"37240 Linnavuori   (Nokia )",791,286,104,174,40,149,38
"37310 Tottijärvi   (Nokia )",856,380,50,181,45,178,22
"37350 Rämsöö   (Vesilahti )",153,64,11,29,4,41,4
"37370 Narva   (Vesilahti )",1059,396,58,210,57,304,34
"37380 Krääkkiö   (Vesilahti )",184,61,20,34,9,56,4
"37420 Valkkinen   (Vesilahti )",790,358,45,150,60,160,17
"37470 Vesilahti Keskus   (Vesilahti )",1990,848,115,517,156,308,46
"37500 Lempäälä Keskus   (Lempäälä )",8213,3266,455,1731,513,1999,249
"37530 Säijä   (Lempäälä )",565,252,32,126,27,117,11
"37550 Kuivaspää   (Lempäälä )",5040,2165,268,1409,358,706,134
"37560 Kulju   (Lempäälä )",4545,2124,274,1205,325,491,126
"37570 Koivuniemi   (Lempäälä )",440,201,19,121,23,66,10
"37600 Valkeakoski Keskus   (Valkeakoski )",11493,4071,820,1696,672,3822,412
"37630 Vääräkoivu   (Valkeakoski )",7236,2793,420,1271,646,1823,283
"37700 Sääksmäki   (Valkeakoski )",449,175,34,82,30,115,13
"37720 Ritvala   (Valkeakoski )",207,73,17,47,10,53,7
"37740 Haukila   (Valkeakoski )",279,119,13,41,20,73,13
"37770 Tarttila   (Valkeakoski )",484,192,37,94,31,116,14
"37800 Toijala keskus   (Akaa )",9363,3689,644,1629,565,2497,339
"37830 Viiala Keskus   (Akaa )",5626,2227,369,1167,320,1345,198
"37850 Metsäkansa   (Valkeakoski )",348,159,11,56,19,92,11
"37860 Kärjenniemi   (Valkeakoski )",893,372,57,236,61,149,18
"37900 Kylmäkoski Asemanseutu   (Akaa )",295,114,22,35,17,99,8
"37910 Kylmäkoski Keskus   (Akaa )",1326,528,93,218,77,370,40
"37960 Sotkia   (Akaa )",263,99,9,40,11,95,9
"38100 Karkku   (Sastamala )",860,367,52,139,70,211,21
"38120 Kutala   (Sastamala )",230,96,10,27,8,82,7
"38130 Ellivuori   (Sastamala )",20,..,..,..,..,..,..
"38140 Kärppälä   (Sastamala )",382,145,23,69,30,101,14
"38200 Vammala Keskus   (Sastamala )",6318,2157,306,837,374,2459,185
"38210 Vammala Asemanseutu   (Sastamala )",4225,1535,235,645,288,1323,199
"38220 Stormi   (Sastamala )",817,322,37,128,59,244,27
"38250 Roismala   (Sastamala )",1405,606,71,274,101,319,34
"38270 Sammaljoki   (Sastamala )",353,134,17,41,30,119,12
"38280 Illo   (Sastamala )",452,184,21,94,35,104,14
"38300 Kiikka   (Sastamala )",1857,670,91,322,120,608,46
"38360 Kiikoinen   (Sastamala )",1178,453,48,192,80,361,44
"38420 Häijää   (Sastamala )",1039,469,47,193,66,236,28
"38460 Mouhijärvi Keskus   (Sastamala )",1757,706,91,310,109,476,65
"38470 Hyynilä   (Sastamala )",265,101,18,47,18,74,7
"38490 Haukijärvi   (Hämeenkyrö )",78,27,2,15,3,28,3
"38510 Suodenniemi   (Sastamala )",1200,436,67,158,67,428,44
"38600 Lavia Keskus   (Pori )",1493,511,111,187,76,558,50
"38650 Yli-Putto   (Pori )",165,47,11,34,3,63,7
"38670 Kalliala-Haunia   (Pori )",186,56,15,23,9,77,6
"38680 Tuunajärvi   (Pomarkku )",99,33,5,8,7,45,1
"38700 Kankaanpää Keskus   (Kankaanpää )",6169,2408,381,973,415,1777,215
"38710 Myllymäki   (Kankaanpää )",2059,703,140,239,126,752,99
"38720 Vihteljärvi   (Kankaanpää )",431,164,22,59,27,145,14
"38740 Hapuoja   (Kankaanpää )",416,166,22,63,22,134,9
"38750 Veneskoski   (Kankaanpää )",249,107,14,28,14,82,4
"38760 Venesjärvi   (Kankaanpää )",372,154,14,78,23,88,15
"38770 Lohikko   (Kankaanpää )",449,178,18,90,34,116,13
"38800 Jämijärvi Keskus   (Jämijärvi )",1623,593,80,234,88,583,45
"38840 Niinisalo   (Kankaanpää )",838,318,51,113,66,262,28
"38860 Suurimaa   (Jämijärvi )",217,85,11,39,18,58,6
"38910 Ala-Honkajoki   (Kankaanpää )",539,216,31,79,32,155,26
"38920 Vatajankoski   (Honkajoki )",218,78,14,20,15,84,7
"38950 Honkajoki Keskus   (Honkajoki )",1330,533,70,194,68,421,44
"38970 Lauhala   (Honkajoki )",267,103,21,32,11,90,10
"39100 Hämeenkyrö Keskus   (Hämeenkyrö )",3469,1323,199,574,205,1058,110
"39110 Simuna   (Hämeenkyrö )",221,83,9,32,23,70,4
"39130 Sasi   (Hämeenkyrö )",771,332,45,169,56,149,20
"39150 Pinsiö   (Hämeenkyrö )",897,421,47,233,56,116,24
"39160 Julkujärvi   (Ylöjärvi )",3880,1857,142,1231,232,343,75
"39170 Jumesniemi   (Hämeenkyrö )",181,84,10,35,13,34,5
"39180 Herttuala   (Hämeenkyrö )",102,45,4,20,6,21,6
"39195 Kaipio   (Hämeenkyrö )",158,63,8,24,13,42,8
"39200 Kyröskoski   (Hämeenkyrö )",4909,1932,297,913,290,1337,140
"39230 Osara   (Hämeenkyrö )",197,85,11,18,14,65,4
"39290 Vesajärvi   (Hämeenkyrö )",160,59,14,16,6,59,6
"39310 Viljakkala Keskus   (Ylöjärvi )",1013,385,70,200,51,284,23
"39340 Karhe   (Ylöjärvi )",289,109,16,71,9,69,15
"39360 Komi   (Ylöjärvi )",232,108,10,43,15,49,7
"39380 Lavajärvi   (Hämeenkyrö )",194,81,10,54,11,33,5
"39410 Luhalahti   (Ikaalinen )",316,113,13,37,9,135,9
"39430 Röyhiö   (Ikaalinen )",173,61,17,27,4,54,10
"39450 Sisättö   (Ikaalinen )",124,43,7,13,3,54,4
