"Postal code area","Aged 18 or over, total, 2016 (HR)","Average income of inhabitants, 2016 (HR)","Median income of inhabitants, 2016 (HR)","Inhabintants belonging to the lowest income category, 2016 (HR)","Inhabitants belonging to the middle income category, 2016 (HR)","Inhabintants belonging to the highest income category, 2016 (HR)","Accumulated purchasing power of inhabitants, 2016 (HR)"
"01700 Kivistö   (Vantaa )",4712,28674,25727,630,2565,1517,135113950
"01710 Pähkinärinne   (Vantaa )",4181,24230,23275,608,2666,907,101305692
"01720 Petikko   (Vantaa )",56,22728,23838,9,31,16,1272742
"01730 Vantaanpuisto   (Vantaa )",1935,27374,24952,263,1075,597,52969404
"01740 Tuupakan teollisuusalue   (Vantaa )",165,27358,25318,27,90,48,4514126
"01750 Keimola   (Vantaa )",638,30438,26981,97,307,234,19419196
"01760 Seutula   (Vantaa )",1632,27053,24602,254,906,472,44150410
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",6136,27832,24629,770,3542,1824,170779549
"01810 Luhtajoki   (Nurmijärvi )",506,30755,26266,85,245,176,15562236
"01820 Haikala   (Nurmijärvi )",2419,29556,27699,280,1217,922,71496411
"01830 Lepsämä   (Nurmijärvi )",1755,29678,26284,255,905,595,52084272
"01840 Klaukkala   (Nurmijärvi )",2866,31209,28319,356,1321,1189,89444858
"01860 Perttula   (Nurmijärvi )",1563,26813,25417,277,782,504,41908152
"01900 Nurmijärvi Keskus   (Nurmijärvi )",6886,27047,23927,1026,3943,1917,186246971
"01940 Palojoki   (Nurmijärvi )",568,28044,25630,74,297,197,15929086
"02100 Tapiola   (Espoo )",4110,34268,27093,595,1894,1621,140840621
"02110 Otsolahti   (Espoo )",2348,31701,26979,378,1048,922,74434299
"02120 Länsikorkee-Suvikumpu   (Espoo )",2398,31464,25885,371,1164,863,75450036
"02130 Pohjois-Tapiola   (Espoo )",4721,38285,30783,729,1687,2305,180744048
"02140 Laajalahti   (Espoo )",2748,35377,29607,434,1046,1268,97216123
"02150 Otaniemi   (Espoo )",3848,12124,10469,2407,1248,193,46654418
"02160 Westend   (Espoo )",2401,63599,35612,435,628,1338,152702235
"02170 Haukilahti   (Espoo )",4523,41474,29629,730,1668,2125,187584814
"02180 Mankkaa   (Espoo )",4849,42319,33121,716,1529,2604,205203572
"02200 Niittykumpu   (Espoo )",6292,32833,28167,921,2686,2685,206586799
"02210 Olari   (Espoo )",8914,28471,25330,1531,4331,3052,253787197
"02230 Matinkylä   (Espoo )",16813,29924,23671,3139,8651,5023,503106332
"02240 Friisilä   (Espoo )",1613,41285,33470,223,510,880,66593241
"02250 Henttaa   (Espoo )",2843,27039,23919,531,1500,812,76871052
"02260 Kaitaa   (Espoo )",2798,32246,26411,441,1320,1037,90224705
"02270 Finnoo-Eestinmalmi   (Espoo )",1642,35623,29875,277,603,762,58492213
"02280 Malminmäki-Eestinlaakso   (Espoo )",3239,28913,26624,514,1545,1180,93648740
"02290 Puolarmetsän sairaala   (Espoo )",12,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",1817,39248,32329,294,579,944,71313822
"02320 Espoonlahti   (Espoo )",13292,26529,23376,2287,7333,3672,352618994
"02330 Saunalahti-Kattilalaakso   (Espoo )",6491,35384,28603,985,2652,2854,229677951
"02340 Latokaski   (Espoo )",3505,31457,28515,500,1526,1479,110255904
"02360 Soukka   (Espoo )",7740,31458,24515,1351,3818,2571,243482735
"02380 Suvisaaristo   (Espoo )",486,58026,30732,86,163,237,28200529
"02390 Sarvvik   (Kirkkonummi )",362,45802,24319,76,158,128,16580148
"02400 Kirkkonummi Keskus   (Kirkkonummi )",9517,27131,24372,1495,5170,2852,258205215
"02410 Gesterby   (Kirkkonummi )",1746,21027,19624,335,1154,257,36713406
"02420 Jorvas   (Kirkkonummi )",1373,33149,28464,231,551,591,45513000
"02430 Masala   (Kirkkonummi )",3158,25429,23403,524,1783,851,80306090
"02440 Luoma   (Kirkkonummi )",483,37341,27030,94,183,206,18035624
"02450 Sundsberg   (Kirkkonummi )",1173,37485,34122,100,400,673,43970157
"02460 Kantvik   (Kirkkonummi )",1359,29895,26538,182,682,495,40627730
"02470 Upinniemi   (Kirkkonummi )",283,22929,22928,34,210,39,6488944
"02480 Porkkala   (Kirkkonummi )",3230,31113,27972,524,1363,1343,100496586
"02490 Pikkala   (Siuntio )",264,25497,23331,36,159,69,6731223
"02510 Oitmäki   (Kirkkonummi )",405,29620,22720,81,202,122,11995914
"02520 Lapinkylä   (Kirkkonummi )",611,29590,24506,108,309,194,18079555
"02540 Kylmälä   (Kirkkonummi )",505,33044,25854,92,244,169,16687296
"02550 Evitskog   (Kirkkonummi )",667,28522,23997,137,328,202,19024091
"02570 Siuntio Kirkonkylä   (Siuntio )",994,25738,23717,186,531,277,25583402
"02580 Siuntio Asemanseutu   (Siuntio )",2538,27846,24162,392,1386,760,70672018
"02590 Lappers   (Siuntio )",177,28217,25826,25,90,62,4994430
"02600 Etelä-Leppävaara   (Espoo )",8722,26828,23841,1531,4705,2486,233992069
"02610 Kilo   (Espoo )",4705,25879,22653,1112,2241,1352,121758723
"02620 Karakallio   (Espoo )",6229,28348,25038,926,3288,2015,176580013
"02630 Nihtisilta   (Espoo )",2590,28965,25796,414,1255,921,75019889
"02650 Pohjois-Leppävaara   (Espoo )",8683,26999,24349,1428,4649,2606,234434976
"02660 Lintuvaara   (Espoo )",4433,31522,27204,914,1738,1781,139737372
"02680 Uusmäki   (Espoo )",1787,32190,28312,234,781,772,57523945
"02700 Kauniainen   (Kauniainen )",7133,53715,30517,1313,2330,3490,383150625
"02710 Viherlaakso   (Espoo )",4858,29274,25150,777,2422,1659,142213045
"02720 Lähderanta   (Espoo )",2311,29809,25995,375,1133,803,68887450
"02730 Jupperi   (Espoo )",3393,38914,32085,461,1175,1757,132033762
"02740 Bemböle-Pakankylä   (Espoo )",2258,30227,26473,352,1116,790,68252466
"02750 Sepänkylä-Kuurinniitty   (Espoo )",4430,35477,28111,699,1864,1867,157164170
"02760 Tuomarila-Suvela   (Espoo )",10930,25436,23163,2080,6034,2816,278010316
"02770 Espoon Keskus   (Espoo )",8193,24518,21920,1753,4443,1997,200875498
"02780 Kauklahti   (Espoo )",7143,30496,26111,1081,3482,2580,217834381
"02810 Gumböle-Karhusuo   (Espoo )",1110,33551,29355,146,477,487,37241416
"02820 Nupuri-Nuuksio   (Espoo )",1096,33193,26813,191,481,424,36379767
"02860 Siikajärvi   (Espoo )",512,28224,24738,81,261,170,14450801
"02880 Veikkola   (Kirkkonummi )",4130,31401,27549,578,1914,1638,129687381
"02920 Niipperi   (Espoo )",3602,31278,27727,523,1620,1459,112664706
"02940 Lippajärvi-Järvenperä   (Espoo )",7552,30340,26978,1091,3597,2864,229125106
"02970 Kalajärvi   (Espoo )",2657,30138,26305,392,1299,966,80076226
"02980 Lakisto   (Espoo )",319,29319,22400,67,193,59,9352654
"03100 Nummela   (Vihti )",11618,25825,23543,1803,6786,3029,300030429
"03150 Huhmari   (Vihti )",615,27141,24927,99,316,200,16691429
"03220 Tervalampi   (Vihti )",482,28304,24814,62,270,150,13642682
"03250 Ojakkala   (Vihti )",1439,29557,26020,216,731,492,42532899
"03300 Otalampi   (Vihti )",1780,26098,24992,283,939,558,46454960
"03320 Selki   (Vihti )",263,25554,24723,43,151,69,6720833
"03400 Vihti Kirkonkylä   (Vihti )",4971,25224,23437,803,2877,1291,125389912
"03430 Jokikunta   (Vihti )",382,25011,24082,65,220,97,9554299
"03600 Karkkila Keskus   (Karkkila )",5252,22434,20585,937,3446,869,117824645
"03620 Polari   (Karkkila )",1639,23129,21811,287,1051,301,37908529
"03710 Uusitalo   (Karkkila )",151,23505,21453,30,85,36,3549195
"03790 Vihtijärvi   (Vihti )",413,26880,24197,69,234,110,11101397
"03810 Ikkala   (Lohja )",482,22391,19978,104,284,94,10792314
"03850 Pusula   (Lohja )",1388,21994,19618,318,839,231,30527398
"03870 Hyönölä   (Lohja )",159,24433,21099,39,88,32,3884868
"04130 Sipoo   (Sipoo )",5493,27244,24405,829,3035,1629,149651417
"04150 Martinkylä   (Sipoo )",496,27674,24908,82,256,158,13726371
"04170 Paippinen   (Sipoo )",949,27265,25520,134,509,306,25874342
