"Postal code area","Inhabitants, total, 2013 (HE)","Females, 2013 (HE)","Males, 2013 (HE)","Average age of inhabitants, 2013 (HE)","0-2 years, 2013 (HE)","3-6 years, 2013 (HE)","7-12 years, 2013 (HE)","13-15 years, 2013 (HE)","16-17 years, 2013 (HE)","18-19 years, 2013 (HE)","20-24 years, 2013 (HE)","25-29 years, 2013 (HE)","30-34 years, 2013 (HE)","35-39 years, 2013 (HE)","40-44 years, 2013 (HE)","45-49 years, 2013 (HE)","50-54 years, 2013 (HE)","55-59 years, 2013 (HE)","60-64 years, 2013 (HE)","65-69 years, 2013 (HE)","70-74 years, 2013 (HE)","75-79 years, 2013 (HE)","80-84 years, 2013 (HE)","85 years or over, 2013 (HE)"
"00540 Kalasatama  (Helsinki)",1139,624,515,34,53,43,29,13,9,27,203,173,140,89,55,49,44,60,56,44,22,10,11,9
"00550 Vallila  (Helsinki)",9221,4914,4307,38,224,203,185,110,78,176,1263,1448,1247,812,466,510,501,406,447,400,246,171,162,166
"00560 Toukola-Vanhakaupunki  (Helsinki)",12256,6585,5671,35,595,629,633,208,155,197,1342,1413,1411,1173,667,721,656,613,633,543,279,197,112,79
"00570 Kulosaari  (Helsinki)",3822,2077,1745,42,118,154,234,138,84,88,229,272,265,309,247,255,233,208,189,230,178,132,124,135
"00580 Verkkosaari  (Helsinki)",2228,1161,1067,39,111,141,98,35,24,32,103,229,280,222,153,143,112,98,106,90,65,48,53,85
"00590 Kaitalahti  (Helsinki)",376,189,187,40,18,18,33,11,16,6,13,9,20,27,28,29,35,40,17,21,12,11,8,4
"00600 Koskela-Helsinki  (Helsinki)",4136,2214,1922,44,125,150,203,112,74,81,356,320,263,223,209,230,275,237,252,301,196,169,158,202
"00610 Käpylä  (Helsinki)",7902,4456,3446,42,315,360,359,178,143,129,383,553,857,684,491,526,526,468,475,424,258,223,208,342
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",3145,1686,1459,44,95,122,155,80,57,73,206,239,220,213,165,204,218,202,175,190,132,123,118,158
"00630 Maunula-Suursuo  (Helsinki)",7852,4209,3643,44,227,299,366,184,127,150,519,521,540,509,470,529,530,568,560,470,396,316,275,296
"00640 Oulunkylä-Patola  (Helsinki)",7886,4231,3655,42,233,318,434,208,143,175,558,668,560,489,444,503,536,485,533,515,327,286,243,228
"00650 Veräjämäki  (Helsinki)",4265,2234,2031,38,160,230,285,134,102,111,235,278,340,339,289,334,315,288,265,203,138,92,73,54
"00660 Länsi-Pakila  (Helsinki)",6504,3303,3201,43,182,292,496,274,170,170,272,176,290,374,439,495,519,431,459,478,336,263,182,206
"00670 Paloheinä  (Helsinki)",6036,3067,2969,39,208,346,527,249,181,197,257,138,266,428,429,487,562,429,438,426,202,119,75,72
"00680 Itä-Pakila  (Helsinki)",3682,1807,1875,40,124,189,295,173,132,95,141,119,162,242,275,320,306,239,229,198,170,127,92,54
"00690 Tuomarinkylä-Torpparinmäki  (Helsinki)",2740,1394,1346,37,113,166,225,130,84,74,123,104,163,206,220,217,197,178,194,200,71,40,26,9
"00700 Malmi  (Helsinki)",13184,7047,6137,40,459,561,703,395,297,305,1059,1139,983,789,774,913,1014,968,866,698,444,346,266,205
"00710 Pihlajamäki  (Helsinki)",12347,6545,5802,41,466,534,640,307,202,256,760,1002,1006,878,701,877,828,821,795,758,512,448,313,243
"00720 Pukinmäki-Savela  (Helsinki)",8413,4562,3851,41,288,322,370,180,160,195,714,758,652,501,432,495,540,625,614,536,353,294,218,166
"00730 Tapanila  (Helsinki)",11205,5899,5306,38,396,599,834,403,297,314,590,662,792,830,712,915,995,841,701,565,346,202,131,80
"00740 Siltamäki  (Helsinki)",10116,5209,4907,39,347,488,706,361,260,309,760,610,665,624,617,761,731,622,648,672,368,281,189,97
"00750 Puistola  (Helsinki)",9202,4798,4404,38,360,473,584,289,224,241,692,675,685,651,563,714,689,610,604,461,284,169,125,109
"00760 Suurmetsä  (Helsinki)",7734,3955,3779,39,249,441,621,349,234,241,394,310,439,514,492,653,661,572,480,464,263,172,127,58
"00770 Jakomäki  (Helsinki)",6433,3367,3066,39,247,265,380,204,151,208,586,509,417,355,379,491,457,359,312,400,256,238,124,95
"00780 Tapaninvainio  (Helsinki)",7034,3638,3396,43,239,291,412,213,164,188,362,374,421,422,347,528,588,562,574,471,295,245,164,174
"00790 Viikki  (Helsinki)",10372,5570,4802,31,550,723,851,332,170,210,1096,1198,1103,975,646,646,500,368,283,292,175,112,77,65
"00800 Länsi-Herttoniemi  (Helsinki)",7090,3834,3256,42,205,254,312,156,119,146,522,580,599,515,408,536,503,502,413,386,280,207,197,250
"00810 Herttoniemi  (Helsinki)",11200,5922,5278,37,463,488,661,310,209,229,830,1041,1058,917,748,908,786,700,620,510,306,201,129,86
"00820 Roihuvuori  (Helsinki)",7254,3992,3262,41,225,277,352,172,133,161,566,517,648,528,450,567,536,454,407,343,249,257,211,201
"00830 Tammisalo  (Helsinki)",2300,1212,1088,43,71,127,193,82,58,53,88,53,85,150,156,182,201,117,130,190,121,85,77,81
"00840 Laajasalo  (Helsinki)",8133,4418,3715,44,267,325,460,235,149,197,361,368,491,546,454,598,542,530,631,758,460,315,249,197
"00850 Jollas  (Helsinki)",3148,1595,1553,38,116,198,294,140,105,76,136,101,128,199,239,328,284,209,209,199,84,56,27,20
"00860 Santahamina  (Helsinki)",452,212,240,28,34,44,41,11,6,7,22,49,62,56,31,44,26,8,9,1,1,0,0,0
"00870 Etelä-Laajasalo  (Helsinki)",4838,2569,2269,40,185,235,314,141,110,129,381,328,304,310,288,338,318,271,287,270,207,160,144,118
"00880 Roihupellon teollisuusalue  (Helsinki)",426,223,203,38,15,16,17,11,6,2,38,44,40,46,33,31,38,25,21,21,8,11,2,1
"00890 Itäsalmi  (Helsinki)",2094,1054,1040,35,58,102,255,162,102,94,60,30,55,102,195,332,183,106,70,97,40,27,17,7
"00900 Puotinharju  (Helsinki)",4066,2148,1918,43,108,126,166,110,61,108,348,311,269,247,229,307,289,252,245,220,183,195,166,126
"00910 Puotila  (Helsinki)",6144,3346,2798,43,193,233,290,133,104,128,476,483,440,435,407,391,401,356,364,331,226,252,250,251
"00920 Myllypuro  (Helsinki)",11110,5804,5306,42,427,507,641,367,244,260,625,606,663,715,666,855,825,754,660,705,477,473,375,265
"00930 Itäkeskus-Marjaniemi  (Helsinki)",6729,3597,3132,41,208,273,418,213,167,170,493,459,416,356,386,526,490,468,435,432,277,223,184,135
"00940 Kontula  (Helsinki)",25367,13459,11908,40,868,1136,1637,805,620,680,1881,1706,1662,1493,1592,1838,1809,1585,1440,1372,1108,964,678,493
"00950 Vartioharju  (Helsinki)",5516,2802,2714,41,144,257,440,210,158,173,250,189,282,333,344,517,491,427,398,352,256,142,104,49
"00960 Pohjois-Vuosaari  (Helsinki)",6941,3635,3306,42,191,283,436,217,156,197,385,371,452,467,467,613,535,452,437,474,315,241,151,101
"00970 Mellunkylä  (Helsinki)",10641,5686,4955,42,349,426,535,331,250,261,710,746,700,633,569,858,817,735,718,718,508,386,234,157
"00980 Etelä-Vuosaari  (Helsinki)",22447,12064,10383,39,880,1133,1684,808,564,552,1507,1540,1413,1454,1404,1830,1642,1295,1232,1165,836,664,463,381
"00990 Aurinkolahti  (Helsinki)",7444,3961,3483,40,279,359,416,178,94,128,406,542,630,628,540,531,497,496,482,497,311,251,129,50
"01120 Västerskog  (Sipoo)",1281,611,670,42,35,57,105,39,37,28,60,39,69,79,83,119,110,102,83,95,56,38,35,12
"01150 Söderkulla  (Sipoo)",4632,2337,2295,38,209,305,455,165,134,112,143,152,272,398,390,419,279,276,253,264,140,104,81,81
"01180 Kalkkiranta  (Sipoo)",496,239,257,40,11,28,46,23,15,18,18,11,20,28,38,53,40,29,33,27,23,16,10,9
"01190 Box  (Sipoo)",1007,519,488,40,31,60,71,49,28,23,29,30,69,63,79,107,63,73,62,57,51,38,16,8
"01200 Hakunila  (Vantaa)",11948,6156,5792,38,475,668,824,411,284,338,709,845,907,860,790,867,823,735,752,726,398,270,168,98
"01230 Vaarala  (Vantaa)",2915,1435,1480,38,101,141,184,96,83,93,140,176,252,208,231,274,221,183,147,166,109,62,34,14
"01260 Itä-Hakkila  (Vantaa)",4759,2306,2453,38,175,255,414,204,141,135,213,177,265,348,358,454,357,319,346,296,120,100,51,31
"01280 Länsimäki  (Vantaa)",9529,4808,4721,39,365,472,649,326,225,214,458,608,712,724,644,731,719,718,739,581,330,159,105,50
"01300 Tikkurila  (Vantaa)",17635,9237,8398,42,506,642,867,456,361,373,1303,1426,1407,1156,998,1215,1242,1237,1157,1102,729,638,479,341
"01340 Leinelä  (Vantaa)",510,284,226,37,23,20,16,10,6,11,64,76,48,23,25,21,31,41,38,33,10,9,3,2
"01350 Hiekkaharju  (Vantaa)",9177,4792,4385,38,322,406,614,331,210,229,748,744,636,598,539,694,674,598,516,417,350,273,184,94
"01360 Koivukylä-Havukoski  (Vantaa)",12142,6296,5846,39,454,557,602,329,250,310,1121,995,947,821,771,807,814,770,773,727,448,306,195,145
"01370 Jokiniemi  (Vantaa)",5781,2999,2782,33,235,281,324,179,109,195,785,673,589,419,294,421,365,299,244,164,85,69,33,18
"01380 Kuusikko-Hakkila  (Vantaa)",1963,981,982,37,86,109,164,91,69,54,80,82,147,147,132,173,160,117,112,107,51,38,26,18
"01390 Ruskeasanta-Ilola  (Vantaa)",8843,4430,4413,35,376,535,771,361,258,253,531,507,629,727,623,752,720,565,423,368,185,128,94,37
"01400 Rekola  (Vantaa)",8012,4106,3906,38,288,439,709,335,232,211,403,414,490,534,575,665,566,505,459,482,253,165,141,146
"01420 Päiväkumpu  (Vantaa)",3221,1572,1649,37,95,195,313,187,138,108,133,86,134,220,262,310,292,210,174,154,92,71,34,13
"01450 Korso  (Vantaa)",18348,9283,9065,38,741,976,1361,648,424,509,1129,1164,1332,1364,1322,1432,1427,1165,1039,938,564,403,253,157
"01480 Mikkola  (Vantaa)",6561,3304,3257,37,263,389,517,254,179,161,394,444,484,441,485,554,468,396,345,365,183,129,71,39
"01490 Nikinmäki  (Vantaa)",3967,1978,1989,33,170,335,474,201,110,114,119,135,254,386,416,313,246,200,165,128,90,57,33,21
"01510 Kirkonkylä-Veromäki  (Vantaa)",5716,2881,2835,33,335,399,361,124,94,109,455,659,753,557,361,386,280,245,217,174,87,74,27,19
"01520 Tammisto  (Vantaa)",7624,3926,3698,30,481,583,728,220,124,72,491,804,987,942,649,508,315,249,177,155,78,41,11,9
"01530 Veromiehenkylä  (Vantaa)",529,248,281,34,27,13,13,8,9,14,67,81,63,43,47,33,49,25,23,9,3,1,0,1
"01600 Myyrmäki  (Vantaa)",15771,8437,7334,42,514,615,822,326,268,317,1174,1314,1252,983,813,967,848,937,1060,1196,884,679,483,319
"01610 Kaivoksela  (Vantaa)",4077,2013,2064,41,125,146,204,89,60,89,282,337,350,319,261,301,266,252,284,292,156,107,76,81
"01620 Martinlaakso  (Vantaa)",11801,6083,5718,41,425,537,657,337,221,280,832,888,917,738,662,743,718,699,773,868,637,483,249,137
"01630 Hämeenkylä  (Vantaa)",2136,1096,1040,38,91,120,191,85,44,57,82,95,146,181,132,174,148,166,179,131,63,33,15,3
"01640 Hämevaara  (Vantaa)",2751,1386,1365,40,101,147,193,99,44,61,118,139,175,193,209,208,220,227,185,146,114,80,59,33
"01650 Vapaala  (Vantaa)",4007,1992,2015,41,114,172,240,96,93,131,254,232,242,271,247,312,327,278,273,283,202,131,61,48
"01660 Varisto  (Vantaa)",2368,1222,1146,41,77,120,165,65,66,52,118,117,173,167,147,170,168,153,174,193,118,66,29,30
"01670 Vantaanlaakso  (Vantaa)",2731,1397,1334,40,110,132,185,99,73,58,105,157,218,202,182,208,194,175,184,229,115,44,37,24
"01680 Askisto  (Vantaa)",2053,1019,1034,37,68,114,208,108,74,59,71,61,104,164,189,187,153,127,145,106,54,31,16,14
"01690 Ylästö  (Vantaa)",4673,2344,2329,33,226,353,588,237,153,132,142,125,288,468,427,493,299,216,185,160,89,51,28,13
"01700 Kivistö  (Vantaa)",3195,1566,1629,34,170,288,359,108,76,72,115,116,225,351,281,252,180,162,122,113,69,73,37,26
"01710 Pähkinärinne  (Vantaa)",4704,2462,2242,40,171,207,259,132,72,77,276,367,404,373,319,313,346,294,343,302,170,110,92,77
"01720 Petikko  (Vantaa)",82,38,44,38,5,2,1,3,0,0,12,6,9,8,5,6,8,3,5,3,3,0,2,1
"01730 Vantaanpuisto  (Vantaa)",2353,1138,1215,39,67,145,182,78,57,60,110,143,148,170,195,179,144,142,123,142,105,91,44,28
"01740 Tuupakan teollisuusalue  (Vantaa)",213,97,116,44,4,9,14,6,5,4,6,11,13,14,14,15,15,19,29,11,10,6,3,5
"01750 Keimola  (Vantaa)",853,414,439,38,20,58,81,42,28,24,26,23,49,66,81,70,79,52,49,35,40,19,6,5
"01760 Seutula  (Vantaa)",2093,1022,1071,41,59,97,175,83,62,54,65,90,80,129,166,202,197,165,143,115,85,67,35,24
"01770 Martinlaakson teollisuusalue  (Vantaa)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus  (Nurmijärvi)",7399,3820,3579,39,298,411,562,286,198,189,398,324,482,540,484,612,560,446,475,410,293,220,134,77
"01810 Luhtajoki  (Nurmijärvi)",735,341,394,36,30,49,82,50,26,26,12,16,24,58,74,74,50,39,35,36,22,16,9,7
"01820 Haikala  (Nurmijärvi)",3467,1790,1677,34,173,216,356,189,111,99,110,152,254,312,292,303,240,187,136,162,96,58,12,9
"01830 Lepsämä  (Nurmijärvi)",2415,1195,1220,36,79,146,281,148,91,60,72,62,110,184,193,247,197,117,130,142,82,48,17,9
"01840 Klaukkala  (Nurmijärvi)",4253,2183,2070,34,189,283,507,232,150,122,136,139,238,367,375,438,336,234,175,154,91,52,24,11
"01860 Perttula  (Nurmijärvi)",2128,998,1130,38,76,137,198,97,62,67,66,62,123,167,155,191,172,128,133,141,73,35,29,16
"01900 Nurmijärvi Keskus  (Nurmijärvi)",8815,4518,4297,40,304,460,746,407,259,251,406,318,454,564,681,723,596,541,534,520,372,297,220,162
"01940 Palojoki  (Nurmijärvi)",784,389,395,40,21,45,90,38,25,18,16,15,29,63,66,66,55,56,44,57,34,24,10,12
"02100 Tapiola  (Espoo)",4068,2202,1866,45,105,133,166,71,54,56,284,388,365,242,183,201,207,267,242,319,205,189,183,208
"02110 Otsolahti  (Espoo)",2659,1387,1272,40,118,131,118,46,25,30,192,283,284,228,169,135,120,152,145,131,90,77,86,99
"02120 Länsikorkee-Hakalehto  (Espoo)",2737,1420,1317,42,91,97,132,46,35,46,187,311,265,205,156,136,137,146,148,144,119,118,106,112
"02130 Pohjois-Tapiola  (Espoo)",5946,3007,2939,40,229,323,421,201,140,159,300,281,378,436,394,443,424,406,369,371,232,184,143,112
"02140 Laajalahti-Friisinmäki  (Espoo)",3690,1854,1836,37,147,253,295,152,123,121,143,134,248,292,294,287,286,221,193,227,120,66,47,41
"02150 Otaniemi  (Espoo)",3731,1177,2554,26,41,40,31,11,10,99,1973,877,254,101,53,35,36,39,48,22,19,17,12,13
"02160 Westend  (Espoo)",3153,1610,1543,41,101,159,275,154,96,84,133,87,130,191,220,293,222,216,209,210,132,102,75,64
"02170 Haukilahti  (Espoo)",5761,2995,2766,42,162,245,415,212,157,159,291,294,292,362,345,492,423,347,299,391,284,235,206,150
"02180 Mankkaa  (Espoo)",6599,3368,3231,36,305,484,610,297,203,203,233,173,405,529,515,539,489,430,395,355,188,113,69,64
"02200 Niittykumpu  (Espoo)",9340,4830,4510,38,447,488,560,240,196,194,606,733,826,762,585,635,606,531,553,580,348,207,146,97
"02210 Olari-Kuitinmäki  (Espoo)",11159,5836,5323,41,384,510,695,308,207,259,717,806,842,839,658,721,709,660,739,846,571,327,210,151
"02230 Matinkylä  (Espoo)",19558,10185,9373,38,747,924,1231,570,387,440,1454,1814,1652,1354,1258,1317,1231,1139,1163,1145,687,499,297,249
"02240 Friisilä  (Espoo)",2000,1012,988,39,51,112,201,91,65,55,92,43,101,115,164,196,176,118,134,127,90,30,23,16
"02260 Iivisniemi  (Espoo)",3792,1967,1825,37,152,223,353,149,107,105,178,153,231,296,245,345,332,274,206,150,115,94,59,25
"02270 Suomenoja  (Espoo)",2246,1107,1139,36,91,139,227,96,76,75,73,74,141,196,166,204,157,146,137,120,62,36,14,16
"02280 Puolarmetsä  (Espoo)",4365,2197,2168,34,221,279,376,204,132,118,210,208,403,366,340,395,354,270,175,139,82,46,24,23
"02290 Puolarmetsän sairaala  (Espoo)",19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"02300 Nöykkiö  (Espoo)",2564,1289,1275,36,76,145,293,155,99,97,105,59,84,168,221,274,210,184,125,120,83,34,22,10
"02320 Kivenlahti  (Espoo)",16047,8454,7593,41,553,706,958,458,340,370,913,998,1186,1118,1012,1100,1056,1013,1181,1301,716,502,319,247
"02330 Kattilalaakso  (Espoo)",8303,4156,4147,34,425,627,786,331,204,229,439,399,572,810,771,650,574,424,371,361,164,85,47,34
"02340 Latokaski  (Espoo)",5033,2540,2493,34,297,410,476,202,142,107,176,221,399,503,398,389,366,279,236,238,95,52,24,23
"02360 Espoonlahti  (Espoo)",9283,4807,4476,42,297,404,655,306,264,256,455,409,532,544,631,738,668,631,639,667,545,312,186,144
"02380 Suvisaaristo  (Espoo)",647,317,330,42,16,31,61,34,24,18,18,11,14,38,50,60,48,43,50,64,33,19,8,7
"02400 Kirkkonummi Keskus  (Kirkkonummi)",12435,6398,6037,39,415,673,1060,537,394,336,609,521,659,811,891,985,859,859,862,724,474,333,234,199
"02410 Gesterby  (Kirkkonummi)",2126,1053,1073,42,63,70,102,62,35,52,141,150,153,121,135,158,154,178,172,163,102,62,39,14
"02420 Jorvas  (Kirkkonummi)",1852,922,930,38,54,96,210,94,68,47,53,32,83,122,162,206,128,105,129,99,74,47,26,17
"02430 Masala  (Kirkkonummi)",4170,2093,2077,34,232,301,414,180,111,74,159,252,334,373,344,344,245,217,221,163,101,53,32,20
"02440 Luoma  (Kirkkonummi)",643,336,307,41,20,35,52,26,21,23,28,12,19,39,47,61,50,53,40,53,19,21,17,7
"02450 Sundsberg  (Kirkkonummi)",1712,868,844,29,126,215,232,48,18,16,22,60,152,275,215,105,64,61,37,37,13,8,6,2
"02460 Kantvik  (Kirkkonummi)",1626,787,839,39,39,75,126,71,45,61,89,61,93,92,135,137,155,145,100,92,51,35,19,5
"02470 Upinniemi  (Kirkkonummi)",365,160,205,37,12,18,16,14,7,5,34,28,31,24,28,35,38,29,26,14,4,1,0,1
"02480 Porkkala  (Kirkkonummi)",4160,2037,2123,36,188,302,396,163,121,118,155,118,260,385,326,361,310,221,235,237,124,76,30,34
"02490 Pikkala  (Siuntio)",315,145,170,40,14,17,14,7,1,2,24,14,32,34,29,16,19,27,26,24,3,6,3,3
"02510 Oitmäki  (Kirkkonummi)",507,241,266,39,19,27,37,29,15,15,23,13,24,36,42,44,39,38,34,19,27,15,9,2
"02520 Lapinkylä  (Kirkkonummi)",821,419,402,41,27,48,78,27,16,16,20,21,36,76,68,62,50,68,60,72,33,20,18,5
"02540 Kylmälä  (Kirkkonummi)",665,347,318,40,21,30,58,29,26,10,18,22,29,62,46,73,47,69,29,31,24,24,11,6
"02550 Evitskog  (Kirkkonummi)",889,435,454,39,39,54,77,27,19,18,27,35,57,66,70,79,81,67,61,44,32,18,11,7
"02570 Siuntio Kirkonkylä  (Siuntio)",1355,656,699,39,45,69,124,52,25,45,60,39,76,81,115,154,105,88,88,87,34,30,18,20
"02580 Siuntio Asemanseutu  (Siuntio)",3387,1709,1678,39,113,219,334,163,103,63,95,94,193,259,254,290,214,248,212,231,118,81,60,43
"02590 Lappers  (Siuntio)",250,123,127,38,9,21,27,12,8,3,6,2,5,24,24,26,22,7,14,19,7,8,4,2
"02600 Etelä-Leppävaara  (Espoo)",10581,5304,5277,35,488,540,654,278,164,166,983,1325,1344,946,670,595,492,427,410,453,261,169,132,84
"02610 Kilo  (Espoo)",5781,2792,2989,32,308,316,419,209,137,143,576,623,656,497,403,395,317,249,220,137,71,49,31,25
"02620 Karakallio  (Espoo)",8156,4229,3927,38,327,524,721,290,195,180,423,489,623,625,594,602,499,409,358,347,277,274,204,195
"02630 Nihtisilta  (Espoo)",2924,1476,1448,35,142,195,231,93,66,81,136,204,285,267,202,223,217,193,156,116,46,22,36,13
"02650 Pohjois-Leppävaara  (Espoo)",9953,5051,4902,38,449,429,422,163,122,161,815,1265,1174,837,565,593,606,570,560,473,267,237,142,103
"02660 Lintuvaara  (Espoo)",6485,3226,3259,34,273,408,630,294,212,228,483,345,431,461,472,574,496,354,275,230,153,82,47,37
"02680 Uusmäki  (Espoo)",744,372,372,37,27,50,76,36,10,26,32,17,58,52,54,65,56,46,43,35,16,21,16,8
"02700 Suur-Kauniainen  (Kauniainen)",8990,4641,4349,41,211,430,751,400,263,349,518,291,344,499,577,768,670,554,500,595,445,354,253,218
"02710 Viherlaakso  (Espoo)",5965,3162,2803,42,215,294,405,174,134,124,263,303,376,442,415,439,403,392,347,388,310,229,172,140
"02720 Laaksolahti-Lähderanta  (Espoo)",2709,1383,1326,40,93,136,179,116,74,89,152,124,173,171,178,204,211,163,162,179,121,100,48,36
