"Postal code area","Workplaces, 2014 (TP)","Primary production, 2014 (TP)","Processing, 2014 (TP)","Services, 2014 (TP)","A Agriculture, forestry and fishing, 2014 (TP)","B Mining and quarrying, 2014 (TP)","C Manufacturing, 2014 (TP)","D Electricity, gas, steam and air conditioning supply, 2014 (TP)","E Water supply; sewerage, waste management and remediation activities, 2014 (TP)","F Construction, 2014 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2014 (TP)","H Transportation and storage, 2014 (TP)","I Accommodation and food service activities, 2014 (TP)","J Information and communication, 2014 (TP)","K Financial and insurance activities, 2014 (TP)","L Real estate activities, 2014 (TP)","M Professional, scientific and technical activities, 2014 (TP)","N Administrative and support service activities, 2014 (TP)","O Public administration and defence; compulsory social security, 2014 (TP)","P Education, 2014 (TP)","Q Human health and social work activities, 2014 (TP)","R Arts, entertainment and recreation, 2014 (TP)","S Other service activities, 2014 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2014 (TP)","U Activities of extraterritorial organisations and bodies, 2014 (TP)","X Industry unknown, 2014 (TP)"
"00240 Länsi-Pasila   (Helsinki )",12394,33,466,11895,33,0,83,120,129,134,296,1088,434,4193,707,185,699,578,2060,65,759,553,278,0,0,0
"00250 Taka-Töölö   (Helsinki )",8013,29,149,7834,29,0,12,0,0,137,291,123,317,92,25,68,499,490,576,513,3799,667,374,0,0,1
"00260 Keski-Töölö   (Helsinki )",7333,5,23,7305,5,0,7,0,0,16,193,118,522,88,16,35,1042,392,0,448,3445,731,270,0,5,0
"00270 Pohjois-Meilahti   (Helsinki )",2244,2,592,1650,2,0,13,0,0,579,152,19,88,253,6,71,333,82,0,205,304,43,94,0,0,0
"00280 Ruskeasuo   (Helsinki )",3833,2,990,2841,2,0,84,0,0,906,304,768,55,96,30,116,250,59,11,410,616,30,96,0,0,0
"00290 Meilahden sairaala-alue   (Helsinki )",10702,0,304,10398,0,0,3,0,0,301,141,0,107,13,1,0,251,3,22,996,8797,61,6,0,0,0
"00300 Pikku Huopalahti   (Helsinki )",3864,0,78,3786,0,0,18,0,0,60,128,71,53,392,536,241,901,41,175,326,853,15,54,0,0,0
"00310 Kivihaka   (Helsinki )",1150,0,414,736,0,0,7,0,0,407,113,1,20,1,8,32,86,69,12,0,393,0,1,0,0,0
"00320 Etelä-Haaga   (Helsinki )",1858,1,240,1617,1,0,15,0,2,223,283,8,101,42,1,46,85,31,50,370,497,31,72,0,0,0
"00330 Munkkiniemi   (Helsinki )",2861,4,54,2803,4,0,10,0,0,44,407,38,158,879,38,27,346,65,0,245,412,40,148,0,0,0
"00340 Kuusisaari-Lehtisaari   (Helsinki )",298,5,31,262,5,0,2,0,0,29,7,11,10,82,10,13,35,2,0,2,67,18,1,0,4,0
"00350 Munkkivuori-Niemenmäki   (Helsinki )",1856,3,90,1763,3,0,3,0,7,80,615,48,81,140,32,70,71,47,0,174,394,27,64,0,0,0
"00360 Pajamäki   (Helsinki )",95,0,10,85,0,0,0,0,0,10,24,8,12,4,0,14,19,0,0,1,1,2,0,0,0,0
"00370 Reimarla   (Helsinki )",4474,0,1877,2597,0,0,1328,0,0,549,702,88,231,491,114,3,196,200,0,64,391,67,50,0,0,0
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",16137,4,3869,12264,4,0,3707,0,1,161,2449,37,240,4267,624,385,833,1145,900,512,429,137,306,0,0,0
"00390 Konala   (Helsinki )",4553,1,809,3743,1,0,243,0,4,562,1804,888,57,322,57,20,232,68,1,33,139,52,70,0,0,0
"00400 Pohjois-Haaga   (Helsinki )",2361,2,526,1833,2,0,11,5,8,502,139,152,54,192,9,54,183,46,0,363,447,56,138,0,0,0
"00410 Malminkartano   (Helsinki )",1322,3,260,1059,3,0,86,0,0,174,138,37,41,32,3,46,141,63,0,285,221,14,38,0,0,0
"00420 Kannelmäki   (Helsinki )",2965,1,378,2586,1,0,137,0,0,241,627,71,363,46,34,27,160,78,0,168,726,46,240,0,0,0
"00430 Maununneva   (Helsinki )",873,2,363,508,2,0,185,0,86,92,48,101,13,20,1,3,88,15,0,94,104,13,8,0,0,0
"00440 Lassila   (Helsinki )",6238,1,841,5396,1,0,145,0,38,658,311,8,52,1307,863,38,344,1324,5,33,1057,25,29,0,0,0
"00500 Sörnäinen   (Helsinki )",8362,1,256,8105,1,0,112,0,0,144,510,294,569,506,2477,52,369,224,974,140,1067,207,716,0,0,0
"00510 Etu-Vallila - Alppila   (Helsinki )",12590,1,1191,11398,1,0,995,0,0,196,1968,229,412,2378,2885,132,1020,402,216,681,670,213,190,2,0,0
"00520 Itä-Pasila   (Helsinki )",12967,9,878,12080,9,0,155,0,115,608,504,338,422,1786,65,23,1570,1802,2812,713,529,282,1234,0,0,0
"00530 Kallio   (Helsinki )",14191,1,632,13558,1,0,443,96,0,93,767,188,763,656,193,357,1154,360,4045,703,2194,537,1641,0,0,0
"00540 Kalasatama   (Helsinki )",296,0,48,248,0,0,5,41,1,1,20,2,11,29,1,8,46,5,0,0,24,73,29,0,0,0
"00550 Vallila   (Helsinki )",3016,1,332,2683,1,0,56,0,2,274,417,618,132,38,4,27,86,208,0,584,273,152,144,0,0,0
"00560 Toukola-Vanhakaupunki   (Helsinki )",5672,2,990,4680,2,0,547,31,0,412,429,152,199,248,54,7,1030,181,7,1900,259,82,132,0,0,0
"00570 Kulosaari   (Helsinki )",1209,3,22,1184,3,0,3,0,0,19,162,39,96,313,6,9,43,18,10,189,142,132,15,0,10,0
"00580 Verkkosaari   (Helsinki )",6961,0,842,6119,0,0,283,304,0,255,1093,202,158,765,215,82,515,358,2008,13,328,10,372,0,0,0
"00590 Kaitalahti   (Helsinki )",24,1,1,22,1,0,0,0,0,1,0,1,0,0,2,3,14,0,0,0,2,0,0,0,0,0
"00600 Koskela-Helsinki   (Helsinki )",1348,0,16,1332,0,0,1,0,0,15,68,77,83,10,0,44,40,192,42,74,652,7,43,0,0,0
"00610 Käpylä   (Helsinki )",3502,0,253,3249,0,0,126,0,0,127,140,513,120,67,8,120,353,147,201,330,1141,65,44,0,0,0
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",6747,2,2581,4164,2,0,172,263,0,2146,527,812,227,649,3,41,182,657,138,81,706,12,129,0,0,0
"00630 Maunula-Suursuo   (Helsinki )",1489,2,126,1361,2,0,18,0,2,106,78,27,55,7,2,1,37,131,0,147,640,211,25,0,0,0
"00640 Oulunkylä-Patola   (Helsinki )",1917,6,162,1749,6,0,55,60,0,47,241,126,45,27,32,53,90,94,0,195,687,51,108,0,0,0
"00650 Veräjämäki   (Helsinki )",487,0,82,405,0,0,1,0,1,80,20,16,13,14,63,2,45,51,0,1,143,25,12,0,0,0
"00660 Länsi-Pakila   (Helsinki )",1381,5,145,1231,5,0,13,0,0,132,172,93,24,23,25,57,74,25,1,83,588,16,50,0,0,0
"00670 Paloheinä   (Helsinki )",552,1,20,531,1,0,2,0,0,18,46,68,25,18,3,3,44,5,0,42,199,68,10,0,0,0
"00680 Itä-Pakila   (Helsinki )",1004,3,344,657,3,0,22,0,0,322,76,47,47,12,5,3,44,31,0,129,213,13,37,0,0,0
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",262,2,39,221,2,0,30,0,0,9,66,15,8,4,1,1,12,33,0,23,53,2,3,0,0,0
"00700 Malmi   (Helsinki )",9354,13,1129,8212,13,0,311,0,0,818,1745,469,230,127,135,95,965,588,395,784,2012,168,499,0,0,0
"00710 Pihlajamäki   (Helsinki )",1326,0,251,1075,0,0,51,0,74,126,258,74,84,101,8,14,112,25,0,136,223,10,30,0,0,0
"00720 Pukinmäki-Savela   (Helsinki )",1873,1,218,1654,1,0,39,0,0,179,296,195,75,18,15,33,150,256,0,134,418,9,55,0,0,0
"00730 Tapanila   (Helsinki )",1246,6,206,1034,6,0,34,0,0,172,174,91,49,17,1,17,77,126,0,156,187,91,48,0,0,0
"00740 Siltamäki   (Helsinki )",1120,4,119,997,4,0,43,0,0,76,245,88,25,19,2,15,55,54,0,83,364,34,13,0,0,0
"00750 Puistola   (Helsinki )",2197,2,476,1719,2,0,116,0,0,360,621,200,102,18,10,15,89,149,0,37,430,21,27,0,0,0
"00760 Suurmetsä   (Helsinki )",1277,1,509,767,1,0,168,0,0,341,202,160,14,14,2,4,44,118,0,116,63,19,11,0,0,0
"00770 Jakomäki - Alppikylä   (Helsinki )",1703,0,622,1081,0,0,136,0,67,419,246,334,40,2,2,2,48,51,0,46,297,6,7,0,0,0
"00780 Tapaninvainio   (Helsinki )",683,5,50,628,5,0,4,0,0,46,74,82,29,6,2,16,36,21,0,14,299,9,40,0,0,0
"00790 Viikki   (Helsinki )",4534,14,150,4370,14,0,56,0,0,94,273,17,98,63,0,17,925,32,642,1864,378,44,17,0,0,0
"00800 Länsi-Herttoniemi   (Helsinki )",1251,1,25,1225,1,0,1,0,0,24,45,43,36,33,0,5,73,78,0,113,691,26,82,0,0,0
"00810 Herttoniemi   (Helsinki )",3738,5,525,3208,5,0,300,0,0,225,803,89,162,256,62,188,188,759,0,182,371,61,86,0,1,0
"00820 Roihuvuori   (Helsinki )",991,1,40,950,1,0,2,0,0,38,49,20,74,7,0,20,27,10,0,353,316,13,61,0,0,0
"00830 Tammisalo   (Helsinki )",118,1,10,106,1,0,0,0,0,10,12,14,2,4,3,4,19,8,0,3,31,1,5,0,0,1
"00840 Laajasalo   (Helsinki )",816,6,65,745,6,0,15,0,0,50,121,34,29,11,5,19,59,21,0,103,292,39,12,0,0,0
"00850 Jollas   (Helsinki )",315,1,19,295,1,0,2,0,0,17,35,26,15,6,19,3,35,11,0,84,52,3,6,0,0,0
"00860 Santahamina   (Helsinki )",723,0,0,723,0,0,0,0,0,0,0,0,37,0,0,82,0,4,588,9,0,0,3,0,0,0
"00870 Etelä-Laajasalo   (Helsinki )",349,1,35,313,1,0,11,0,0,24,30,17,10,7,1,1,17,32,0,13,184,0,1,0,0,0
"00880 Roihupellon teollisuusalue   (Helsinki )",6793,0,2258,4535,0,0,1485,6,2,765,1988,773,73,115,324,35,836,174,71,64,31,32,19,0,0,0
"00890 Itäsalmi   (Helsinki )",409,22,62,325,22,0,21,0,0,41,89,16,13,15,0,5,26,17,0,45,79,5,15,0,0,0
"00900 Puotinharju   (Helsinki )",1044,1,23,1020,1,0,9,0,0,14,298,16,44,11,0,0,14,36,0,241,127,166,67,0,0,0
"00910 Puotila   (Helsinki )",704,5,35,664,5,0,6,0,0,29,47,27,52,16,0,44,21,32,0,80,300,37,8,0,0,0
"00920 Myllypuro   (Helsinki )",1699,0,86,1613,0,0,4,0,0,82,120,137,82,7,1,21,33,121,0,100,773,180,38,0,0,0
"00930 Itäkeskus-Marjaniemi   (Helsinki )",4532,1,108,4423,1,0,26,0,0,82,1547,497,309,41,163,43,143,314,34,13,1078,137,103,1,0,0
"00940 Kontula - Vesala   (Helsinki )",3330,2,498,2830,2,0,179,0,5,314,504,261,170,16,15,17,69,257,0,293,998,84,146,0,0,0
"00950 Vartioharju   (Helsinki )",1078,0,251,827,0,0,57,0,10,184,181,106,33,30,5,7,55,53,69,48,194,5,41,0,0,0
"00960 Pohjois-Vuosaari   (Helsinki )",431,7,40,384,7,1,9,0,0,30,36,36,34,6,0,10,24,38,0,18,166,6,10,0,0,0
"00970 Mellunmäki   (Helsinki )",677,2,89,586,2,0,5,0,0,84,106,49,30,12,1,5,13,30,0,70,202,9,59,0,0,0
"00980 Etelä-Vuosaari   (Helsinki )",5127,4,1024,4098,4,0,755,76,0,193,419,1495,228,27,21,95,121,171,101,349,762,160,149,0,0,1
"00990 Aurinkolahti   (Helsinki )",827,0,74,753,0,0,5,0,0,69,47,58,91,11,2,11,63,29,23,80,299,16,23,0,0,0
"01120 Västerskog   (Sipoo )",237,5,94,138,5,0,10,0,0,84,41,10,6,2,1,1,11,14,0,11,34,4,3,0,0,0
"01150 Söderkulla   (Sipoo )",1408,19,625,764,19,0,500,0,0,125,182,94,34,11,15,8,69,34,12,85,184,19,17,0,0,0
"01180 Kalkkiranta   (Porvoo )",41,4,17,20,4,9,2,0,0,6,1,1,0,0,0,0,4,1,0,6,5,1,1,0,0,0
"01190 Box   (Sipoo )",119,9,20,90,9,0,1,0,0,19,17,29,2,0,0,0,9,9,0,8,5,10,1,0,0,0
"01200 Hakunila   (Vantaa )",2771,4,337,2430,4,1,42,0,107,187,910,478,77,4,0,13,72,120,87,205,299,81,84,0,0,0
"01230 Vaarala   (Vantaa )",2283,2,1888,393,2,0,1769,0,0,119,140,70,67,3,0,1,14,35,0,2,27,16,18,0,0,0
"01260 Itä-Hakkila   (Vantaa )",1964,4,768,1192,4,0,294,0,142,332,514,249,19,72,0,4,51,122,0,47,98,5,11,0,0,0
"01280 Länsimäki   (Vantaa )",661,1,127,533,1,0,6,0,0,121,57,37,27,13,0,4,22,48,0,101,166,33,25,0,0,0
"01300 Tikkurila   (Vantaa )",11784,188,1949,9647,188,75,806,188,3,877,1133,483,419,113,354,195,757,509,1797,730,1917,440,800,0,0,0
"01340 Leinelä   (Vantaa )",38,0,1,37,0,0,0,0,0,1,1,1,3,0,0,0,2,1,0,0,29,0,0,0,0,0
"01350 Hiekkaharju   (Vantaa )",891,0,111,780,0,0,3,0,1,107,82,64,24,27,1,2,53,20,58,176,234,4,35,0,0,0
"01360 Koivukylä-Havukoski   (Vantaa )",1528,12,102,1414,12,0,6,0,0,96,187,117,30,14,0,13,19,107,5,177,662,52,31,0,0,0
"01370 Jokiniemi   (Vantaa )",1902,8,57,1837,8,0,17,0,0,40,50,44,23,200,0,0,289,84,614,294,134,53,52,0,0,0
"01380 Kuusikko-Hakkila   (Vantaa )",4439,0,1016,3423,0,0,934,0,28,54,1315,1766,59,8,5,0,43,63,32,35,39,7,51,0,0,0
"01390 Ruskeasanta-Ilola   (Vantaa )",1075,1,394,680,1,0,56,0,6,332,134,130,65,14,4,4,34,31,0,29,194,21,20,0,0,0
"01400 Rekola   (Vantaa )",2607,0,230,2377,0,0,26,0,0,204,245,59,61,3,1,10,24,77,0,110,1728,13,46,0,0,0
"01420 Päiväkumpu   (Vantaa )",254,4,60,190,4,0,2,0,0,58,22,28,5,7,5,0,20,11,0,24,64,0,4,0,0,0
"01450 Korso   (Vantaa )",3000,6,702,2292,6,0,107,0,21,574,549,262,76,17,54,31,92,136,58,250,595,58,114,0,0,0
"01480 Mikkola   (Vantaa )",789,0,250,539,0,0,53,0,0,197,140,65,8,6,2,6,12,35,0,131,111,4,19,0,0,0
"01490 Nikinmäki   (Sipoo )",418,2,130,286,2,0,5,0,0,125,56,113,5,2,2,6,23,18,0,1,42,11,7,0,0,0
"01510 Kirkonkylä-Veromäki   (Vantaa )",16906,14,4317,12575,14,75,2641,57,363,1181,6897,804,1045,563,159,55,962,1074,38,116,310,58,494,0,0,0
"01520 Tammisto   (Vantaa )",734,1,266,467,1,0,215,0,1,50,54,56,29,14,0,3,21,28,0,113,125,14,10,0,0,0
"01530 Veromiehenkylä   (Vantaa )",16201,0,1451,14750,0,1,1099,9,26,316,1790,9845,1005,170,9,41,237,929,530,132,41,14,7,0,0,0
"01600 Myyrmäki   (Vantaa )",4844,2,417,4425,2,0,65,0,0,352,621,142,128,110,115,58,490,269,538,462,1132,164,196,0,0,0
"01610 Kaivoksela   (Vantaa )",2600,0,929,1671,0,0,85,0,0,844,1194,53,47,25,10,22,88,108,0,46,59,0,19,0,0,0
"01620 Martinlaakso   (Vantaa )",4807,2,2135,2670,2,0,1765,65,0,305,473,97,94,80,27,19,1004,218,29,242,311,42,34,0,0,0
"01630 Hämeenkylä   (Vantaa )",282,1,20,261,1,0,4,0,0,16,76,60,38,5,0,3,3,8,0,12,27,1,28,0,0,0
"01640 Hämevaara   (Vantaa )",1493,0,144,1349,0,0,102,0,0,42,683,71,10,43,1,3,86,100,0,0,39,309,4,0,0,0
"01650 Vapaala   (Vantaa )",1311,2,681,628,2,0,74,0,0,607,133,49,16,5,5,102,138,20,0,23,95,20,22,0,0,0
"01660 Varisto   (Vantaa )",305,0,24,281,0,0,13,0,0,11,53,15,7,1,0,1,4,32,0,55,108,1,4,0,0,0
"01670 Vantaanlaakso   (Vantaa )",1583,0,1016,567,0,0,969,0,0,47,313,40,54,5,0,3,35,7,50,0,42,1,17,0,0,0
"01680 Askisto   (Vantaa )",233,1,44,188,1,0,2,0,4,38,74,30,2,4,7,4,6,7,0,16,35,0,3,0,0,0
"01690 Ylästö   (Vantaa )",696,2,64,630,2,0,7,0,0,57,70,315,13,6,0,1,47,34,0,48,83,5,8,0,0,0
"01700 Kivistö   (Vantaa )",461,0,95,366,0,0,10,0,4,81,73,57,24,21,2,2,11,14,0,20,129,1,12,0,0,0
"01710 Pähkinärinne   (Vantaa )",425,1,28,396,1,0,0,0,0,28,36,65,16,3,0,3,22,42,0,41,120,25,23,0,0,0
"01720 Petikko   (Vantaa )",3958,0,1419,2539,0,0,608,0,0,811,1953,108,53,36,2,5,252,40,0,22,2,61,5,0,0,0
"01730 Vantaanpuisto   (Vantaa )",1275,3,365,907,3,0,97,0,0,268,564,140,7,15,0,13,43,23,0,74,14,7,7,0,0,0
"01740 Tuupakan teollisuusalue   (Vantaa )",3990,0,616,3374,0,0,374,0,48,194,1570,882,103,51,52,15,84,479,50,44,27,17,0,0,0,0
"01750 Keimola   (Vantaa )",245,4,103,138,4,0,24,0,0,79,42,43,0,2,0,0,6,18,0,0,1,18,8,0,0,0
"01760 Seutula   (Vantaa )",636,13,106,517,13,0,11,0,40,55,11,76,2,3,0,7,5,10,0,15,361,18,9,0,0,0
"01770 Martinlaakson teollisuusalue   (Vantaa )",492,0,206,286,0,0,206,0,0,0,4,4,6,272,0,0,0,0,0,0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",2577,9,591,1977,9,0,349,0,5,237,661,280,48,31,50,25,140,61,0,253,306,46,76,0,0,0
"01810 Luhtajoki   (Nurmijärvi )",120,2,51,67,2,0,16,0,0,35,6,39,0,0,4,0,0,2,0,13,2,1,0,0,0,0
"01820 Haikala   (Nurmijärvi )",292,0,53,239,0,0,2,0,0,51,22,23,0,4,2,2,21,6,0,62,76,19,2,0,0,0
"01830 Lepsämä   (Nurmijärvi )",319,22,123,174,22,0,23,0,0,100,24,47,1,5,0,1,12,13,0,24,45,1,1,0,0,0
"01840 Klaukkala   (Nurmijärvi )",422,6,85,331,6,0,20,0,11,54,60,27,2,8,0,11,26,6,0,46,126,7,12,0,0,0
"01860 Perttula   (Nurmijärvi )",331,42,83,206,42,0,16,0,0,67,16,35,5,5,0,1,16,27,3,76,19,0,3,0,0,0
"01900 Nurmijärvi Keskus   (Nurmijärvi )",4009,29,828,3152,29,2,307,36,36,447,627,340,133,40,28,14,165,206,256,243,930,77,93,0,0,0
"01940 Palojoki   (Nurmijärvi )",84,5,15,64,5,0,5,0,0,10,6,9,3,1,0,0,4,9,0,0,27,2,3,0,0,0
"02100 Tapiola   (Espoo )",6206,2,494,5710,2,0,438,0,0,56,786,57,209,349,1602,75,516,90,127,393,827,411,268,0,0,0
"02110 Otsolahti   (Espoo )",299,0,34,265,0,0,28,0,0,6,43,26,30,49,1,7,49,7,0,1,36,5,11,0,0,0
"02120 Länsikorkee-Suvikumpu   (Espoo )",214,5,3,206,5,0,1,0,0,2,18,7,18,14,0,0,34,7,0,23,32,48,5,0,0,0
"02130 Pohjois-Tapiola   (Espoo )",3399,3,283,3112,3,0,166,0,8,109,598,17,87,1218,6,41,456,217,0,248,178,29,17,0,0,1
"02140 Laajalahti   (Espoo )",413,0,32,381,0,0,1,0,0,31,21,13,27,8,3,4,51,5,0,28,189,25,7,0,0,0
"02150 Otaniemi   (Espoo )",16478,2,4066,12410,2,3,2501,1183,0,379,1384,37,285,3003,77,84,3150,370,33,3673,113,121,80,0,0,0
"02160 Westend   (Espoo )",643,12,62,569,12,0,19,0,2,41,56,21,6,54,22,8,160,41,0,43,139,7,12,0,0,0
"02170 Haukilahti   (Espoo )",990,2,131,857,2,14,50,0,0,67,150,20,66,68,35,31,105,84,0,71,145,58,24,0,0,0
"02180 Mankkaa   (Espoo )",1615,1,35,1579,1,0,3,0,0,32,332,695,22,25,1,6,126,24,0,128,171,22,27,0,0,0
"02200 Niittykumpu   (Espoo )",8467,2,2328,6137,2,2,1911,190,5,220,2415,152,270,961,566,47,714,445,0,82,252,155,78,0,0,0
"02210 Olari   (Espoo )",1946,5,109,1832,5,0,41,0,0,68,317,27,94,72,3,19,286,146,0,264,463,69,72,0,0,0
"02230 Matinkylä   (Espoo )",4343,5,767,3571,5,0,669,0,0,98,1086,119,196,65,78,99,341,197,24,327,754,195,90,0,0,0
"02240 Friisilä   (Espoo )",1391,2,170,1219,2,0,79,0,0,91,481,26,59,129,1,9,250,62,0,77,108,4,13,0,0,0
"02260 Kaitaa   (Espoo )",340,1,22,317,1,0,1,0,0,21,17,15,13,11,2,0,27,12,0,97,118,0,5,0,0,0
"02270 Finnoo-Eestinmalmi   (Espoo )",3204,1,548,2655,1,2,253,101,60,132,1377,371,51,124,24,36,211,126,0,84,196,10,45,0,0,0
"02280 Malminmäki-Eestinlaakso   (Espoo )",310,1,19,290,1,0,1,0,0,18,65,20,33,4,0,0,39,22,0,37,54,11,5,0,0,0
"02290 Puolarmetsän sairaala   (Espoo )",447,0,0,447,0,0,0,0,0,0,0,0,24,0,0,0,0,37,0,0,385,0,1,0,0,0
"02300 Nöykkiönpuro   (Espoo )",326,0,34,292,0,0,1,0,0,33,51,38,51,6,2,0,28,18,0,47,35,12,4,0,0,0
"02320 Espoonlahti   (Espoo )",2287,2,129,2156,2,0,10,0,0,119,487,74,115,27,27,76,117,87,6,146,715,121,158,0,0,0
"02330 Saunalahti-Kattilalaakso   (Espoo )",1645,2,341,1302,2,0,214,0,0,127,464,13,34,85,2,13,111,82,0,165,305,17,11,0,0,0
"02340 Latokaski   (Espoo )",382,0,23,359,0,0,10,0,0,13,39,27,20,17,4,0,36,21,0,67,107,8,13,0,0,0
"02360 Soukka   (Espoo )",1045,0,103,942,0,0,14,0,0,89,84,37,48,11,9,6,48,114,0,213,228,81,63,0,0,0
"02380 Suvisaaristo   (Espoo )",84,0,3,81,0,0,1,0,0,2,34,11,1,1,2,9,5,3,0,0,6,2,7,0,0,0
"02400 Kirkkonummi Keskus   (Kirkkonummi )",3521,13,334,3174,13,0,83,0,18,233,539,110,129,35,64,46,212,198,241,426,947,69,158,0,0,0
"02410 Gesterby   (Kirkkonummi )",77,1,17,59,1,0,0,0,0,17,10,2,1,0,0,0,1,6,0,0,30,7,2,0,0,0
"02420 Jorvas   (Kirkkonummi )",1595,12,196,1387,12,0,40,0,0,156,306,21,65,48,3,0,788,91,0,6,36,11,12,0,0,0
"02430 Masala   (Kirkkonummi )",903,3,143,757,3,0,109,0,0,34,233,34,16,8,0,10,131,12,0,95,173,18,27,0,0,0
"02440 Luoma   (Kirkkonummi )",75,4,5,66,4,0,1,0,0,4,9,2,29,0,0,7,6,5,0,0,2,3,3,0,0,0
"02450 Sundsberg   (Kirkkonummi )",179,10,12,157,10,0,0,0,0,12,5,4,19,5,1,0,22,10,0,27,48,16,0,0,0,0
"02460 Kantvik   (Kirkkonummi )",505,0,326,179,0,0,321,0,0,5,19,78,4,3,0,0,3,5,0,24,36,0,7,0,0,0
"02470 Upinniemi   (Kirkkonummi )",688,0,0,688,0,0,0,0,0,0,0,1,24,0,0,15,0,0,626,8,0,0,14,0,0,0
"02480 Porkkala   (Kirkkonummi )",550,37,226,287,37,0,115,0,1,110,19,47,15,4,2,2,27,15,64,8,37,27,20,0,0,0
"02490 Pikkala   (Siuntio )",23,2,7,14,2,0,5,0,0,2,10,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"02510 Oitmäki   (Kirkkonummi )",66,4,13,49,4,0,1,0,0,12,3,6,0,0,0,1,9,0,0,25,2,3,0,0,0,0
"02520 Lapinkylä   (Kirkkonummi )",119,8,23,88,8,0,2,0,0,21,16,51,1,2,0,0,2,3,0,0,1,5,7,0,0,0
"02540 Kylmälä   (Kirkkonummi )",119,14,34,71,14,0,15,0,0,19,6,12,0,0,0,0,35,4,0,6,0,8,0,0,0,0
"02550 Evitskog   (Kirkkonummi )",133,11,24,98,11,0,2,0,3,19,9,29,2,0,0,1,11,6,0,0,25,13,2,0,0,0
"02570 Siuntio Kirkonkylä   (Siuntio )",308,26,24,258,26,0,6,0,0,18,20,35,32,3,0,0,5,6,0,26,88,6,37,0,0,0
