"Postal code area","Aged 18 or over, total, 2014 (KO)","Basic level studies, 2014 (KO)","With education, total, 2014 (KO)","Matriculation examination, 2014 (KO)","Vocational diploma, 2014 (KO)","Academic degree - Lower level university degree, 2014 (KO)","Academic degree - Higher level university degree, 2014 (KO)"
"02480 Porkkala   (Kirkkonummi )",3153,584,2569,299,1176,467,627
"02490 Pikkala   (Siuntio )",267,79,188,23,96,24,45
"02510 Oitmäki   (Kirkkonummi )",372,88,284,37,155,39,53
"02520 Lapinkylä   (Kirkkonummi )",621,154,467,44,269,71,83
"02540 Kylmälä   (Kirkkonummi )",505,153,352,43,199,51,59
"02550 Evitskog   (Kirkkonummi )",679,193,486,44,292,80,70
"02570 Siuntio Kirkonkylä   (Siuntio )",1031,288,743,93,452,89,109
"02580 Siuntio Asemanseutu   (Siuntio )",2502,614,1888,170,1066,291,361
"02590 Lappers   (Siuntio )",173,48,125,5,69,27,24
"02600 Etelä-Leppävaara   (Espoo )",8656,1837,6819,1151,2447,1487,1734
"02610 Kilo   (Espoo )",4517,1156,3361,539,1274,648,900
"02620 Karakallio   (Espoo )",6110,1596,4514,530,2083,834,1067
"02630 Nihtisilta   (Espoo )",2310,469,1841,219,721,348,553
"02650 Pohjois-Leppävaara   (Espoo )",8452,1906,6546,961,2497,1419,1669
"02660 Lintuvaara   (Espoo )",4411,909,3502,551,1263,636,1052
"02680 Uusmäki   (Espoo )",1272,195,1077,144,390,227,316
"02700 Kauniainen   (Kauniainen )",7135,969,6166,1008,1667,1036,2455
"02710 Viherlaakso   (Espoo )",4864,1091,3773,451,1616,672,1034
"02720 Lähderanta   (Espoo )",2271,452,1819,279,837,283,420
"02730 Jupperi   (Espoo )",3327,463,2864,360,1063,470,971
"02740 Bemböle-Pakankylä   (Espoo )",2151,430,1721,148,783,374,416
"02750 Sepänkylä-Kuurinniitty   (Espoo )",4336,792,3544,407,1293,689,1155
"02760 Tuomarila-Suvela   (Espoo )",11013,3074,7939,986,3786,1486,1681
"02770 Espoon Keskus   (Espoo )",8079,2369,5710,842,2909,932,1027
"02780 Kauklahti   (Espoo )",6130,1400,4730,555,2114,888,1173
"02810 Gumböle-Karhusuo   (Espoo )",1107,185,922,93,439,158,232
"02820 Nupuri-Nuuksio   (Espoo )",1099,305,794,91,418,119,166
"02860 Siikajärvi   (Espoo )",520,116,404,58,230,49,67
"02880 Veikkola   (Kirkkonummi )",4056,851,3205,305,1613,579,708
"02920 Niipperi   (Espoo )",3466,769,2697,279,1383,456,579
"02940 Lippajärvi-Järvenperä   (Espoo )",7465,1571,5894,636,2707,1105,1446
"02970 Kalajärvi   (Espoo )",2655,616,2039,197,1111,360,371
"02980 Lakisto   (Espoo )",355,151,204,14,151,27,12
"03100 Nummela   (Vihti )",11406,2993,8413,757,5230,1370,1056
"03150 Huhmari   (Vihti )",633,157,476,44,285,66,81
"03220 Tervalampi   (Vihti )",491,124,367,31,223,57,56
"03250 Ojakkala   (Vihti )",1447,359,1088,96,668,165,159
"03300 Otalampi   (Vihti )",1784,435,1349,101,867,234,147
"03320 Selki   (Vihti )",260,68,192,12,137,25,18
"03400 Vihti Kirkonkylä   (Vihti )",4957,1394,3563,310,2391,477,385
"03430 Jokikunta   (Vihti )",389,100,289,25,200,38,26
"03600 Karkkila Keskus   (Karkkila )",5304,1894,3410,242,2566,369,233
"03620 Polari   (Karkkila )",1643,580,1063,63,800,135,65
"03710 Uusitalo   (Karkkila )",156,44,112,8,85,11,8
"03790 Vihtijärvi   (Vihti )",416,130,286,27,183,43,33
"03810 Ikkala   (Lohja )",499,173,326,21,260,32,13
"03850 Pusula   (Lohja )",1372,498,874,67,676,78,53
"03870 Hyönölä   (Lohja )",163,58,105,10,77,7,11
"04130 Sipoo   (Sipoo )",5426,1441,3985,407,2370,536,672
"04150 Martinkylä   (Sipoo )",495,114,381,38,228,52,63
"04170 Paippinen   (Sipoo )",937,239,698,60,450,111,77
"04200 Kerava Keskus   (Kerava )",9680,2899,6781,747,3974,1063,997
"04220 Ahjo-Kaskela   (Kerava )",3832,1037,2795,306,1723,425,341
"04230 Pihkaniitty   (Kerava )",5693,1197,4496,412,2523,855,706
"04240 Talma   (Sipoo )",921,225,696,71,443,99,83
"04250 Alikerava   (Kerava )",3874,1116,2758,306,1794,403,255
"04260 Savio   (Kerava )",4984,1438,3546,340,2293,535,378
"04300 Hyrylä   (Tuusula )",7819,2061,5758,523,3389,939,907
"04310 Tuusula Keskus   (Tuusula )",1961,381,1580,185,772,269,354
"04320 Riihikallio   (Tuusula )",3555,937,2618,258,1641,422,297
"04330 Lahela   (Tuusula )",1579,302,1277,127,662,236,252
"04340 Mattila   (Tuusula )",1749,402,1347,135,775,224,213
"04350 Nahkela   (Tuusula )",393,105,288,24,184,50,30
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",942,288,654,57,454,83,60
"04370 Rusutjärvi   (Tuusula )",588,142,446,43,297,62,44
"04380 Tuomala   (Tuusula )",431,87,344,33,213,48,50
"04390 Jäniksenlinna   (Tuusula )",352,81,271,17,203,36,15
"04400 Loutti   (Järvenpää )",8141,1976,6165,687,3678,908,892
"04410 Järvenpää Keskus   (Järvenpää )",7796,2118,5678,519,3661,807,691
"04420 Kyrölä   (Järvenpää )",2876,514,2362,219,1343,431,369
"04430 Kinnari-Mikonkorpi   (Järvenpää )",6941,1383,5558,521,3264,952,821
"04440 Jamppa   (Järvenpää )",3641,1268,2373,219,1630,306,218
