"Postal code area","Inhabitants, 2012 (PT)","Labour force, 2012 (PT)","Employed, 2012 (PT)","Unemployed, 2012 (PT)","Persons outside the labour force, 2012 (PT)","Children aged 0 to 14, 2012 (PT)","Students, 2012 (PT)","Pensioners, 2012 (PT)","Others, 2012 (PT)"
"02920 Niipperi  (Espoo)",5135,2608,2459,149,2527,1473,404,490,160
"02940 Lippajärvi  (Espoo)",10127,5380,5087,293,4747,2301,787,1330,329
"02970 Kalajärvi  (Espoo)",3633,1875,1789,86,1758,872,258,511,117
"02980 Lakisto  (Espoo)",432,236,224,12,196,48,25,114,9
"03100 Nummela  (Vihti)",14567,7603,7007,596,6964,2891,951,2661,461
"03150 Huhmari  (Vihti)",808,419,392,27,389,151,60,154,24
"03220 Tervalampi  (Vihti)",620,327,311,16,293,113,43,120,17
"03250 Ojakkala  (Vihti)",2034,1046,1007,39,988,506,139,291,52
"03300 Otalampi  (Vihti)",2456,1268,1178,90,1188,592,150,381,65
"03320 Selki  (Vihti)",332,178,163,15,154,62,21,57,14
"03400 Vihti Kirkonkylä  (Vihti)",6625,3264,3038,226,3361,1421,416,1337,187
"03430 Jokikunta  (Vihti)",539,268,250,18,271,146,25,85,15
"03600 Karkkila Keskus  (Karkkila)",6721,3173,2875,298,3548,1135,340,1861,212
"03620 Polari  (Karkkila)",2146,1050,964,86,1096,421,106,482,87
"03710 Uusitalo  (Karkkila)",201,109,103,6,92,39,4,44,5
"03790 Vihtijärvi  (Vihti)",531,272,250,22,259,106,31,105,17
"03810 Ikkala  (Lohja)",647,313,284,29,334,122,30,157,25
"03850 Pusula  (Lohja)",1728,793,733,60,935,263,111,505,56
"03870 Hyönölä  (Lohja)",189,98,90,8,91,26,9,48,8
"04130 Nikkilä  (Sipoo)",7091,3556,3364,192,3535,1428,524,1397,186
"04150 Martinkylä  (Sipoo)",664,338,323,15,326,136,58,114,18
"04170 Paippinen  (Sipoo)",1218,629,603,26,589,261,64,240,24
"04200 Kerava Keskus  (Kerava)",10983,5408,4997,411,5575,1387,734,3055,399
"04220 Ahjo-Kaskela  (Kerava)",5015,2760,2561,199,2255,1160,417,482,196
"04230 Pihkaniitty  (Kerava)",7385,3859,3681,178,3526,1487,458,1389,192
"04240 Talma  (Sipoo)",1266,665,630,35,601,269,98,199,35
"04250 Alikerava  (Kerava)",4789,2695,2495,200,2094,776,327,833,158
"04260 Savio  (Kerava)",6088,3332,3095,237,2756,1019,422,1102,213
"04300 Hyrylä  (Tuusula)",10160,5235,4967,268,4925,1996,684,1999,246
"04310 Tuusula Keskus  (Tuusula)",2564,1294,1243,51,1270,505,197,496,72
"04320 Riihikallio  (Tuusula)",4395,2327,2192,135,2068,812,290,829,137
"04330 Lahela  (Tuusula)",2289,1236,1196,40,1053,620,185,197,51
"04340 Mattila  (Tuusula)",2305,1227,1161,66,1078,482,152,372,72
"04350 Nahkela  (Tuusula)",517,245,236,9,272,101,44,109,18
"04360 Ruotsinkylä-Kiilinmäki  (Tuusula)",1265,655,630,25,610,285,83,207,35
"04370 Rusutjärvi  (Tuusula)",788,438,422,16,350,167,50,111,22
"04380 Tuomala  (Tuusula)",607,296,283,13,311,133,48,112,18
"04390 Jäniksenlinna  (Tuusula)",471,250,243,7,221,113,26,73,9
"04400 Loutti  (Järvenpää)",9012,4750,4421,329,4262,1086,594,2345,237
"04410 Järvenpää Keskus  (Järvenpää)",9701,4990,4613,377,4711,1678,684,2047,302
"04420 Kyrölä  (Järvenpää)",4051,2296,2178,118,1755,801,280,548,126
"04430 Kinnari-Mikonkorpi  (Järvenpää)",8915,5064,4831,233,3851,1704,683,1242,222
"04440 Jamppa  (Järvenpää)",4387,2279,1951,328,2108,691,324,912,181
"04460 Nummenkylä  (Järvenpää)",1949,1095,1016,79,854,545,117,142,50
"04480 Haarajoki  (Järvenpää)",2287,1173,1127,46,1114,687,142,239,46
"04500 Kellokoski  (Tuusula)",5887,3005,2848,157,2882,1421,418,876,167
"04530 Ohkola  (Mäntsälä)",932,449,429,20,483,231,63,160,29
"04600 Mäntsälä Keskus  (Mäntsälä)",9240,4488,4197,291,4752,1739,567,2180,266
"04620 Kaunismäki  (Mäntsälä)",1751,934,906,28,817,548,115,114,40
"04630 Sääksjärvi  (Mäntsälä)",912,428,404,24,484,205,83,158,38
"04660 Numminen  (Mäntsälä)",1745,898,851,47,847,432,107,268,40
"04680 Hirvihaara  (Mäntsälä)",655,315,301,14,340,158,39,124,19
"04740 Sälinkää  (Mäntsälä)",1223,579,543,36,644,259,67,267,51
"04770 Sahakylä  (Mäntsälä)",221,111,104,7,110,45,14,44,7
"04820 Kaukalampi  (Mäntsälä)",303,164,156,8,139,58,16,56,9
"04840 Hautjärvi  (Mäntsälä)",254,130,123,7,124,42,19,57,6
"04920 Saarentaus  (Mäntsälä)",325,171,155,16,154,68,14,62,10
"04940 Levanto  (Mäntsälä)",283,125,111,14,158,69,14,67,8
"05100 Röykkä  (Nurmijärvi)",2276,1187,1121,66,1089,550,130,327,82
"05200 Rajamäki  (Nurmijärvi)",6582,3225,3035,190,3357,1569,486,1095,207
"05250 Kiljava  (Nurmijärvi)",182,107,103,4,75,29,14,28,4
"05400 Jokela  (Tuusula)",6561,3376,3160,216,3185,1495,467,1055,168
"05430 Nuppulinna  (Tuusula)",1062,562,529,33,500,219,70,178,33
"05450 Nukari  (Nurmijärvi)",1126,559,523,36,567,270,70,188,39
"05460 Hakalanmäki-Hakala  (Hyvinkää)",3413,1899,1751,148,1514,578,222,606,108
"05470 Palopuro  (Hyvinkää)",332,162,149,13,170,69,20,71,10
"05510 Päivärinta  (Hyvinkää)",468,238,217,21,230,83,31,101,15
"05620 Noppo  (Nurmijärvi)",1350,733,693,40,617,334,76,162,45
"05720 Kytäjä  (Hyvinkää)",463,237,213,24,226,97,20,89,20
"05800 Hyvinkää Keskus  (Hyvinkää)",8982,4247,3852,395,4735,892,532,3056,255
"05810 Martti  (Hyvinkää)",5437,2877,2727,150,2560,1544,447,423,146
"05820 Mustamännistö  (Hyvinkää)",5128,2658,2442,216,2470,1022,364,927,157
"05830 Kirjavatolppa-Kruununpuisto  (Hyvinkää)",7155,3749,3484,265,3406,1081,469,1670,186
"05840 Hyvinkäänkylä-Vehkoja  (Hyvinkää)",3907,2055,1880,175,1852,779,253,678,142
"05850 Hyvinkää, sairaala-alue  (Hyvinkää)",.,.,.,.,.,.,.,.,.
"05860 Talvisilta  (Hyvinkää)",1435,730,665,65,705,256,93,300,56
"05880 Paavola-Vaivero  (Hyvinkää)",3624,1687,1423,264,1937,538,243,982,174
"05900 Vieremä  (Hyvinkää)",3923,1870,1691,179,2053,411,242,1282,118
"05950 Ridasjärvi  (Hyvinkää)",398,210,200,10,188,71,21,86,10
"06100 Porvoo Keskus  (Porvoo)",18075,8871,8171,700,9204,2746,1296,4624,538
"06150 Kevätkumpu  (Porvoo)",5687,2851,2530,321,2836,917,386,1333,200
"06200 Porvoo itäinen  (Porvoo)",2619,1347,1270,77,1272,489,168,549,66
"06400 Gammelbacka  (Porvoo)",6849,3485,3068,417,3364,1399,474,1215,276
"06450 Eestinmäki-Ernestas  (Porvoo)",2030,1165,1091,74,865,347,124,342,52
"06500 Saksala-Suomenkylä  (Porvoo)",2190,1156,1076,80,1034,405,149,414,66
"06530 Kerkkoo  (Porvoo)",826,456,425,31,370,184,42,115,29
"06650 Hamari  (Porvoo)",1483,758,698,60,725,275,115,288,47
"06750 Tolkkinen  (Porvoo)",1718,876,833,43,842,397,131,275,39
"06830 Kulloonkylä  (Porvoo)",1091,569,534,35,522,250,74,172,26
"06850 Kulloo  (Porvoo)",21,10,..,..,11,..,..,..,..
"06880 Kärrby  (Sipoo)",340,172,166,6,168,47,17,88,16
"06950 Emäsalo  (Porvoo)",383,183,174,9,200,55,16,109,20
"07110 Hinthaara  (Porvoo)",1548,741,702,39,807,446,85,243,33
"07130 Anttila  (Porvoo)",658,317,293,24,341,152,43,131,15
"07150 Laukkoski  (Pornainen)",984,495,463,32,489,242,61,166,20
"07170 Keski-Pornainen  (Pornainen)",2534,1236,1170,66,1298,637,187,390,84
"07190 Halkia  (Pornainen)",1487,753,707,46,734,374,108,205,47
"07220 Kaarenkylä  (Porvoo)",301,162,148,14,139,46,14,70,9
"07230 Monninkylä  (Askola)",1613,821,776,45,792,364,96,283,49
"07280 Ilola  (Porvoo)",945,485,450,35,460,207,76,145,32
"07310 Sannainen  (Porvoo)",404,212,204,8,192,85,28,61,18
"07320 Jakari-Sannäs  (Porvoo)",448,239,226,13,209,79,26,91,13
"07350 Gäddrag  (Porvoo)",93,47,41,6,46,12,8,21,5
"07360 Tirmo  (Porvoo)",44,26,..,..,18,..,..,..,..
"07370 Pellinki  (Porvoo)",152,65,59,6,87,15,13,59,0
"07390 Suurpellinki  (Porvoo)",123,58,56,2,65,22,10,27,6
"07410 Kråkö  (Porvoo)",334,156,146,10,178,50,20,101,7
"07450 Voolahti  (Porvoo)",420,200,188,12,220,81,22,108,9
"07500 Askola Kirkonkylä  (Askola)",1142,574,531,43,568,255,63,234,16
"07510 Vakkola  (Askola)",641,361,328,33,280,122,34,109,15
"07530 Onkimaa  (Askola)",314,151,138,13,163,50,20,88,5
"07550 Torpinkylä  (Pukkila)",319,156,148,8,163,56,28,68,11
"07560 Pukkila Keskus  (Pukkila)",1415,679,640,39,736,276,74,343,43
"07565 Kantele  (Pukkila)",282,138,126,12,144,49,19,67,9
"07580 Tiilää  (Askola)",73,41,38,3,32,18,0,12,2
"07590 Huuvari-Tiilää  (Askola)",647,336,316,20,311,129,50,110,22
"07600 Myrskylä Keskus  (Myrskylä)",1748,794,706,88,954,277,104,525,48
"07680 Juornaankylä  (Askola)",528,255,237,18,273,97,39,120,17
"07690 Kankkila  (Myrskylä)",138,71,61,10,67,16,11,36,4
"07700 Koskenkylän saha-alue  (Loviisa)",1221,639,588,51,582,267,73,202,40
"07720 Malmgård  (Loviisa)",87,40,36,4,47,10,5,29,3
"07740 Gammelby  (Loviisa)",410,211,198,13,199,71,22,95,11
"07750 Isnäs  (Loviisa)",523,266,241,25,257,85,28,127,17
"07780 Härkäpää  (Loviisa)",175,78,71,7,97,14,11,67,5
"07800 Lapinjärvi Keskus  (Lapinjärvi)",907,410,367,43,497,132,38,301,26
"07810 Ingermaninkylä  (Lapinjärvi)",261,134,121,13,127,37,9,75,6
"07820 Porlammi  (Lapinjärvi)",544,248,220,28,296,72,31,175,18
"07830 Pukaro  (Lapinjärvi)",311,154,139,15,157,57,13,78,9
"07840 Lindkoski  (Lapinjärvi)",208,105,95,10,103,37,9,50,7
"07850 Heikinkylä  (Lapinjärvi)",323,141,131,10,182,59,18,95,10
"07870 Skinnarby  (Loviisa)",453,230,213,17,223,68,25,112,18
"07880 Liljendal Keskus  (Loviisa)",1035,493,465,28,542,169,56,293,24
"07890 Mickelspiltom  (Loviisa)",212,97,88,9,115,31,18,60,6
"07900 Loviisa Keskus  (Loviisa)",4097,1822,1625,197,2275,535,219,1396,125
