"Postal code area","Workplaces, 2012 (TP)","Primary production, 2012 (TP)","Processing, 2012 (TP)","Services, 2012 (TP)","A Agriculture, forestry and fishing, 2012 (TP)","B Mining and quarrying, 2012 (TP)","C Manufacturing, 2012 (TP)","D Electricity, gas, steam and air conditioning supply, 2012 (TP)","E Water supply; sewerage, waste management and remediation activities, 2012 (TP)","F Construction, 2012 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2012 (TP)","H Transportation and storage, 2012 (TP)","I Accommodation and food service activities, 2012 (TP)","J Information and communication, 2012 (TP)","K Financial and insurance activities, 2012 (TP)","L Real estate activities, 2012 (TP)","M Professional, scientific and technical activities, 2012 (TP)","N Administrative and support service activities, 2012 (TP)","O Public administration and defence; compulsory social security, 2012 (TP)","P Education, 2012 (TP)","Q Human health and social work activities, 2012 (TP)","R Arts, entertainment and recreation, 2012 (TP)","S Other service activities, 2012 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2012 (TP)","U Activities of extraterritorial organisations and bodies, 2012 (TP)","X Industry unknown, 2012 (TP)"
"00280 Ruskeasuo  (Helsinki)",3591,1,1497,2093,1,0,80,0,0,1417,96,15,126,247,28,61,183,37,9,648,574,47,22,0,0,0
"00290 Meilahden sairaala-alue  (Helsinki)",11053,0,319,10734,0,0,10,0,0,309,132,0,128,22,3,0,390,36,15,1011,8922,67,8,0,0,0
"00300 Pikku Huopalahti  (Helsinki)",4641,0,112,4529,0,0,30,0,0,82,147,92,101,530,750,225,1100,47,184,340,946,25,42,0,0,0
"00310 Kivihaka  (Helsinki)",1634,0,280,1354,0,0,5,0,0,275,16,702,12,1,0,23,32,39,18,0,496,12,3,0,0,0
"00320 Etelä-Haaga  (Helsinki)",2011,2,350,1659,2,0,20,0,2,328,273,14,78,32,0,54,84,76,75,417,461,20,75,0,0,0
"00330 Munkkiniemi  (Helsinki)",3101,7,30,3064,7,0,9,0,0,21,731,55,187,601,30,25,267,39,80,230,607,36,176,0,0,0
"00340 Kuusisaari-Lehtisaari  (Helsinki)",269,3,29,237,3,0,0,0,0,29,12,12,6,62,8,12,43,0,0,0,59,20,3,0,0,0
"00350 Munkkivuori-Niemenmäki  (Helsinki)",1789,4,45,1739,4,0,7,0,0,38,679,42,66,141,31,64,79,40,0,181,330,30,56,0,0,1
"00360 Pajamäki  (Helsinki)",86,0,18,68,0,0,1,0,0,17,17,3,6,9,1,4,22,0,0,1,2,1,2,0,0,0
"00370 Reimarla  (Helsinki)",4761,0,1984,2777,0,0,1564,0,0,420,701,98,319,574,77,20,199,162,0,85,418,82,42,0,0,0
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",16021,5,3755,12261,5,0,3555,0,0,200,2336,50,208,4530,576,327,788,1527,595,513,400,121,290,0,0,0
"00390 Konala  (Helsinki)",5079,0,780,4299,0,0,259,0,8,513,1894,962,63,674,68,15,234,70,0,31,160,52,76,0,0,0
"00400 Pohjois-Haaga  (Helsinki)",2503,0,519,1984,0,0,16,0,7,496,151,208,62,159,13,64,195,58,0,313,585,58,118,0,0,0
"00410 Malminkartano  (Helsinki)",1489,1,245,1243,1,0,90,0,0,155,163,25,46,28,2,32,150,95,0,303,351,14,34,0,0,0
"00420 Kannelmäki  (Helsinki)",3092,0,252,2840,0,0,113,0,0,139,375,93,257,52,33,88,157,607,0,156,747,51,224,0,0,0
"00430 Maununneva  (Helsinki)",883,0,332,551,0,0,224,0,40,68,87,96,10,27,1,5,119,9,0,103,74,8,12,0,0,0
"00440 Lassila  (Helsinki)",4921,0,821,4100,0,0,143,0,2,676,413,8,66,1454,683,70,281,198,4,39,842,17,25,0,0,0
"00500 Sörnäinen  (Helsinki)",7847,1,269,7577,1,0,104,0,0,165,434,311,620,597,2388,44,250,265,993,129,788,194,564,0,0,0
"00510 Etu-Vallila  (Helsinki)",13290,2,1180,12108,2,0,1018,0,0,162,2423,304,394,2152,3342,138,1009,410,218,600,599,320,197,2,0,0
"00520 Itä-Pasila  (Helsinki)",12537,7,961,11569,7,0,177,0,117,667,525,195,350,1828,95,83,1364,1881,2560,776,471,277,1164,0,0,0
"00530 Kallio  (Helsinki)",15393,1,989,14403,1,0,636,229,0,124,854,279,696,553,283,349,1027,363,4399,896,2344,557,1803,0,0,0
"00540 Kalasatama  (Helsinki)",366,0,71,295,0,0,0,71,0,0,46,0,24,22,0,6,117,4,0,0,18,35,23,0,0,0
"00550 Vallila  (Helsinki)",3635,0,223,3412,0,0,63,0,11,149,360,569,127,30,3,52,413,699,49,602,283,127,98,0,0,0
"00560 Toukola-Vanhakaupunki  (Helsinki)",5433,1,966,4466,1,0,582,30,0,354,560,122,181,269,28,37,512,232,1,1987,311,102,124,0,0,0
"00570 Kulosaari  (Helsinki)",1154,1,14,1139,1,0,1,0,0,13,106,34,66,360,14,7,44,24,0,166,124,164,21,0,9,0
"00580 Verkkosaari  (Helsinki)",6610,0,610,6000,0,0,296,92,5,217,1220,304,95,839,264,75,496,335,1601,24,325,66,356,0,0,0
"00590 Kaitalahti  (Helsinki)",25,0,1,24,0,0,0,0,0,1,1,2,0,4,0,1,12,0,0,0,0,0,4,0,0,0
"00600 Koskela-Helsinki  (Helsinki)",1488,0,14,1474,0,0,0,0,0,14,65,4,77,6,2,1,38,45,39,83,1078,3,33,0,0,0
"00610 Käpylä  (Helsinki)",3409,0,310,3099,0,0,221,0,0,89,157,422,133,55,2,129,304,77,227,375,1057,110,51,0,0,0
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",6150,1,2504,3645,1,0,238,0,0,2266,319,901,210,484,2,22,134,633,57,13,746,7,117,0,0,0
"00630 Maunula-Suursuo  (Helsinki)",1498,0,116,1382,0,0,15,0,0,101,86,23,47,7,0,42,40,55,0,147,677,235,23,0,0,0
"00640 Oulunkylä-Patola  (Helsinki)",2210,6,188,2016,6,0,37,62,0,89,405,137,49,25,106,37,84,98,41,181,652,62,139,0,0,0
"00650 Veräjämäki  (Helsinki)",512,0,126,386,0,0,0,0,32,94,10,24,17,20,67,1,32,33,0,3,147,21,11,0,0,0
"00660 Länsi-Pakila  (Helsinki)",1401,9,164,1228,9,0,26,0,0,138,198,110,28,10,21,97,79,24,0,84,521,16,40,0,0,0
"00670 Paloheinä  (Helsinki)",562,1,45,516,1,0,2,0,0,43,40,69,7,20,3,6,40,4,0,35,231,51,10,0,0,0
"00680 Itä-Pakila  (Helsinki)",1036,4,350,682,4,0,23,0,0,327,55,81,40,20,0,5,62,96,0,133,146,18,26,0,0,0
"00690 Tuomarinkylä-Torpparinmäki  (Helsinki)",278,2,34,242,2,0,27,0,0,7,53,17,21,8,0,2,12,14,0,58,50,6,1,0,0,0
"00700 Malmi  (Helsinki)",10165,14,1563,8588,14,0,456,0,7,1100,1898,649,197,147,125,136,868,432,511,795,2145,142,542,1,0,0
"00710 Pihlajamäki  (Helsinki)",1522,0,242,1280,0,0,69,0,71,102,306,80,84,68,8,54,131,42,0,134,323,31,19,0,0,0
"00720 Pukinmäki-Savela  (Helsinki)",1696,0,244,1452,0,0,54,0,0,190,311,86,102,38,37,52,119,196,0,83,342,10,76,0,0,0
"00730 Tapanila  (Helsinki)",1228,13,224,991,13,0,36,0,0,188,148,118,52,13,1,10,83,82,0,171,168,89,56,0,0,0
"00740 Siltamäki  (Helsinki)",1276,3,157,1116,3,0,51,0,0,106,235,154,37,13,3,8,53,84,0,126,359,22,22,0,0,0
"00750 Puistola  (Helsinki)",2251,1,431,1819,1,0,138,0,4,289,647,169,138,27,8,37,93,174,0,38,445,21,22,0,0,0
"00760 Suurmetsä  (Helsinki)",1441,1,538,902,1,0,181,0,0,357,200,261,58,15,3,5,43,99,0,123,64,23,8,0,0,0
"00770 Jakomäki  (Helsinki)",1741,0,732,1009,0,0,152,0,83,497,296,179,35,1,2,21,52,67,0,76,251,8,21,0,0,0
"00780 Tapaninvainio  (Helsinki)",719,4,73,642,4,0,3,0,0,70,48,91,36,12,1,14,43,37,0,29,295,2,34,0,0,0
"00790 Viikki  (Helsinki)",4294,11,95,4188,11,0,37,0,9,49,267,17,99,35,0,14,920,41,688,1757,288,40,22,0,0,0
"00800 Länsi-Herttoniemi  (Helsinki)",1320,1,24,1295,1,0,1,0,0,23,41,12,45,30,3,29,84,34,0,116,805,24,72,0,0,0
"00810 Herttoniemi  (Helsinki)",3937,4,553,3380,4,0,346,0,0,207,911,60,156,326,87,157,246,505,48,304,405,55,120,0,0,0
"00820 Roihuvuori  (Helsinki)",985,1,65,919,1,0,4,0,0,61,51,19,46,6,0,22,31,18,0,348,312,13,53,0,0,0
"00830 Tammisalo  (Helsinki)",124,1,19,104,1,0,0,0,0,19,11,19,3,2,0,5,20,9,0,2,26,1,6,0,0,0
"00840 Laajasalo  (Helsinki)",750,5,46,699,5,0,11,0,0,35,109,38,21,7,6,16,53,27,0,109,264,33,16,0,0,0
"00850 Jollas  (Helsinki)",341,1,15,325,1,0,1,0,0,14,47,20,5,7,17,2,43,6,0,98,71,2,7,0,0,0
"00860 Santahamina  (Helsinki)",714,0,0,714,0,0,0,0,0,0,0,0,47,0,0,81,0,0,568,10,0,1,7,0,0,0
"00870 Etelä-Laajasalo  (Helsinki)",345,0,29,316,0,0,13,0,0,16,22,11,11,5,2,18,12,37,0,17,172,1,8,0,0,0
"00880 Roihupellon teollisuusalue  (Helsinki)",6829,0,2273,4556,0,0,1552,6,48,667,2135,769,115,72,298,46,796,163,20,52,22,51,17,0,0,0
"00890 Itäsalmi  (Helsinki)",415,23,70,322,23,0,19,0,0,51,90,18,9,7,1,6,30,20,0,54,39,22,25,1,0,0
"00900 Puotinharju  (Helsinki)",1059,1,34,1024,1,0,11,0,0,23,398,22,49,2,0,0,16,19,0,186,105,175,52,0,0,0
"00910 Puotila  (Helsinki)",763,1,54,708,1,0,7,0,0,47,39,33,65,9,0,21,24,29,0,78,362,37,11,0,0,0
"00920 Myllypuro  (Helsinki)",2079,0,110,1969,0,0,23,0,0,87,159,593,97,25,3,36,32,55,0,84,666,176,43,0,0,0
"00930 Itäkeskus-Marjaniemi  (Helsinki)",4550,1,168,4381,1,0,33,0,0,135,1831,299,316,55,175,66,160,165,48,30,1062,55,119,0,0,0
"00940 Kontula  (Helsinki)",3609,3,568,3038,3,0,241,0,27,300,571,356,209,16,21,82,62,223,0,315,942,72,169,0,0,0
"00950 Vartioharju  (Helsinki)",966,1,234,731,1,0,55,0,11,168,160,89,45,18,4,9,71,60,65,40,136,6,28,0,0,0
"00960 Pohjois-Vuosaari  (Helsinki)",415,7,38,370,7,1,12,0,0,25,37,38,71,5,0,3,15,26,0,18,137,9,11,0,0,0
"00970 Mellunkylä  (Helsinki)",910,1,106,803,1,0,6,0,0,100,100,59,75,8,1,38,32,44,0,83,293,8,62,0,0,0
"00980 Etelä-Vuosaari  (Helsinki)",4139,3,775,3361,3,0,557,77,0,141,488,564,193,23,40,169,124,154,0,339,977,144,146,0,0,0
"00990 Aurinkolahti  (Helsinki)",760,0,43,717,0,0,7,0,0,36,69,74,50,10,13,17,65,26,24,86,242,7,34,0,0,0
"01120 Västerskog  (Sipoo)",261,9,91,161,9,0,4,0,0,87,32,8,1,3,1,2,11,33,0,11,51,4,4,0,0,0
"01150 Söderkulla  (Sipoo)",1417,13,617,787,13,0,524,0,0,93,185,106,32,8,17,9,54,30,4,96,215,18,13,0,0,0
"01180 Kalkkiranta  (Sipoo)",59,1,22,36,1,10,2,0,0,10,8,1,6,0,0,1,5,1,0,6,7,0,1,0,0,0
"01190 Box  (Sipoo)",118,12,25,81,12,0,1,0,2,22,27,20,1,0,0,0,11,1,0,7,7,7,0,0,0,0
"01200 Hakunila  (Vantaa)",2583,11,151,2421,11,0,41,0,0,110,926,484,58,2,11,11,57,113,65,217,311,90,76,0,0,0
"01230 Vaarala  (Vantaa)",2326,0,1858,468,0,0,1754,1,0,103,140,56,133,24,0,2,13,50,0,2,25,2,21,0,0,0
"01260 Itä-Hakkila  (Vantaa)",1678,6,710,962,6,0,279,0,159,272,464,149,6,22,0,3,66,112,0,34,91,6,9,0,0,0
"01280 Länsimäki  (Vantaa)",719,0,124,595,0,0,5,0,0,119,64,98,28,10,0,6,28,39,0,95,186,20,21,0,0,0
"01300 Tikkurila  (Vantaa)",11746,175,2039,9532,175,13,931,234,3,858,998,423,814,74,343,188,775,700,1645,711,1774,401,686,0,0,0
"01340 Leinelä  (Vantaa)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"01350 Hiekkaharju  (Vantaa)",1217,0,92,1125,0,0,2,0,0,90,91,106,16,23,1,7,47,375,54,168,196,6,35,0,0,0
"01360 Koivukylä-Havukoski  (Vantaa)",1626,14,189,1423,14,0,31,0,52,106,185,136,35,5,0,55,24,77,27,209,598,38,34,0,0,0
"01370 Jokiniemi  (Vantaa)",1917,14,48,1855,14,0,19,0,0,29,55,40,16,116,0,0,323,141,665,284,118,37,60,0,0,0
"01380 Kuusikko-Hakkila  (Vantaa)",4766,0,1007,3759,0,0,881,0,33,93,1748,1668,51,9,0,1,62,85,12,39,30,16,38,0,0,0
"01390 Ruskeasanta-Ilola  (Vantaa)",910,1,351,558,1,0,57,0,4,290,113,109,54,10,4,2,37,22,0,31,147,9,20,0,0,0
"01400 Rekola  (Vantaa)",2711,0,248,2463,0,0,27,0,0,221,253,62,53,7,6,7,27,34,0,101,1841,18,54,0,0,0
"01420 Päiväkumpu  (Vantaa)",231,1,50,180,1,0,6,0,0,44,22,30,1,8,4,1,14,11,0,24,61,1,3,0,0,0
"01450 Korso  (Vantaa)",3079,4,643,2432,4,0,110,0,8,525,602,296,85,20,67,33,99,126,68,244,628,39,125,0,0,0
"01480 Mikkola  (Vantaa)",757,0,236,521,0,0,51,0,0,185,132,79,24,1,3,2,11,31,0,129,85,11,13,0,0,0
"01490 Nikinmäki  (Vantaa)",338,1,131,206,1,0,4,0,0,127,41,92,4,2,2,10,16,14,0,1,15,4,5,0,0,0
"01510 Kirkonkylä-Veromäki  (Vantaa)",15869,16,4212,11641,16,47,2683,44,352,1086,7106,629,622,525,137,48,824,606,47,109,330,131,527,0,0,0
"01520 Tammisto  (Vantaa)",652,1,180,471,1,0,144,0,3,33,54,24,88,10,3,1,20,24,0,107,123,14,3,0,0,0
"01530 Veromiehenkylä  (Vantaa)",16431,1,1923,14507,1,1,1609,12,9,292,2130,9751,1087,141,6,28,229,439,464,166,42,17,7,0,0,0
"01600 Myyrmäki  (Vantaa)",5040,2,692,4346,2,0,113,0,4,575,714,87,211,54,123,40,431,212,572,490,1082,154,176,0,0,0
"01610 Kaivoksela  (Vantaa)",2851,0,924,1927,0,0,182,0,0,742,1245,46,62,47,60,25,149,159,0,48,67,1,18,0,0,0
"01620 Martinlaakso  (Vantaa)",4495,0,1592,2902,0,0,1336,109,0,147,472,137,82,85,22,8,1252,197,41,212,317,47,30,0,0,1
"01630 Hämeenkylä  (Vantaa)",337,1,25,311,1,0,3,0,0,22,52,56,93,7,0,2,6,7,0,15,38,0,35,0,0,0
"01640 Hämevaara  (Vantaa)",1727,0,147,1580,0,0,82,0,0,65,825,98,25,96,2,11,78,104,0,0,36,300,5,0,0,0
"01650 Vapaala  (Vantaa)",1021,3,426,592,3,0,87,0,0,339,127,43,17,8,1,123,118,17,0,18,94,5,21,0,0,0
"01660 Varisto  (Vantaa)",222,0,29,193,0,0,13,0,0,16,63,14,8,4,0,1,6,1,0,48,45,0,3,0,0,0
"01670 Vantaanlaakso  (Vantaa)",1515,0,921,594,0,0,859,0,0,62,303,37,63,5,0,8,27,6,62,7,55,2,19,0,0,0
"01680 Askisto  (Vantaa)",206,1,24,181,1,0,3,0,4,17,66,22,5,4,0,6,12,6,0,17,37,0,6,0,0,0
"01690 Ylästö  (Vantaa)",681,2,55,624,2,0,14,0,0,41,51,333,10,7,4,0,26,13,0,76,91,2,11,0,0,0
"01700 Kivistö  (Vantaa)",417,2,111,304,2,0,13,0,2,96,48,51,26,17,0,3,11,16,0,20,97,2,13,0,0,0
"01710 Pähkinärinne  (Vantaa)",502,3,42,457,3,0,1,0,0,41,63,78,14,7,0,3,39,39,0,46,115,35,18,0,0,0
"01720 Petikko  (Vantaa)",3978,0,1538,2440,0,0,689,0,0,849,1987,66,30,35,0,5,188,51,0,22,3,36,17,0,0,0
"01730 Vantaanpuisto  (Vantaa)",1280,5,365,910,5,0,133,0,0,232,621,167,11,17,1,12,27,22,0,8,15,3,6,0,0,0
"01740 Tuupakan teollisuusalue  (Vantaa)",4539,2,964,3573,2,0,684,0,0,280,1562,911,52,221,36,3,97,599,16,36,24,16,0,0,0,0
"01750 Keimola  (Vantaa)",189,4,62,123,4,0,8,0,0,54,46,42,0,0,0,0,15,5,0,0,2,9,4,0,0,0
"01760 Seutula  (Vantaa)",684,22,105,557,22,0,20,0,34,51,8,79,1,12,0,3,7,8,0,19,399,13,8,0,0,0
"01770 Martinlaakson teollisuusalue  (Vantaa)",563,0,265,298,0,0,265,0,0,0,3,0,2,293,0,0,0,0,0,0,0,0,0,0,0,0
"01800 Klaukkala Keskus  (Nurmijärvi)",2851,8,639,2204,8,0,380,0,4,255,756,343,39,24,49,38,135,71,0,252,348,53,96,0,0,0
"01810 Luhtajoki  (Nurmijärvi)",108,2,40,66,2,0,15,0,0,25,1,43,0,1,0,2,0,4,0,13,1,1,0,0,0,0
"01820 Haikala  (Nurmijärvi)",307,0,39,268,0,0,4,0,0,35,22,27,0,3,0,2,29,4,0,67,106,3,5,0,0,0
"01830 Lepsämä  (Nurmijärvi)",350,27,127,196,27,0,21,0,0,106,18,58,1,3,0,1,14,23,0,24,49,1,4,0,0,0
"01840 Klaukkala  (Nurmijärvi)",484,5,132,347,5,0,19,0,0,113,66,29,6,6,0,13,23,10,0,47,119,6,22,0,0,0
"01860 Perttula  (Nurmijärvi)",343,50,75,218,50,0,16,0,0,59,21,31,7,5,0,0,20,28,2,74,23,4,3,0,0,0
"01900 Nurmijärvi Keskus  (Nurmijärvi)",3969,30,780,3159,30,0,355,37,45,343,641,274,134,42,43,15,200,232,322,242,822,79,113,0,0,0
"01940 Palojoki  (Nurmijärvi)",110,6,27,77,6,0,5,0,0,22,11,21,6,1,0,0,6,9,0,0,23,0,0,0,0,0
"02100 Tapiola  (Espoo)",6079,2,631,5444,2,0,519,63,0,49,827,28,218,258,1722,63,197,75,511,299,606,384,256,0,0,2
"02110 Otsolahti  (Espoo)",275,1,6,268,1,0,5,0,0,1,24,28,11,42,1,10,69,8,0,0,57,13,5,0,0,0
"02120 Länsikorkee-Hakalehto  (Espoo)",217,6,10,201,6,0,1,0,0,9,19,8,13,7,5,5,32,4,0,23,46,34,5,0,0,0
"02130 Pohjois-Tapiola  (Espoo)",3902,1,333,3568,1,0,274,0,0,59,751,14,76,1270,3,21,665,240,0,279,215,12,22,0,0,0
"02140 Laajalahti-Friisinmäki  (Espoo)",367,1,27,339,1,0,0,0,0,27,23,11,20,13,2,5,53,7,0,23,168,8,6,0,0,0
"02150 Otaniemi  (Espoo)",18685,0,4491,14194,0,0,2933,1041,4,513,1346,691,387,2850,46,57,4009,125,0,4326,109,118,130,0,0,0
"02160 Westend  (Espoo)",610,12,28,570,12,0,21,0,0,7,63,16,6,38,12,10,168,16,0,35,166,37,3,0,0,0
"02170 Haukilahti  (Espoo)",1085,0,125,960,0,27,44,0,0,54,211,36,61,58,80,42,96,54,0,75,191,26,30,0,0,0
"02180 Mankkaa  (Espoo)",1550,2,35,1512,2,0,8,0,1,26,313,704,26,20,1,10,101,17,0,117,171,11,21,0,0,1
"02200 Niittykumpu  (Espoo)",9794,7,2903,6884,7,0,2514,205,0,184,2974,88,183,1090,559,26,1021,450,0,64,219,141,69,0,0,0
"02210 Olari-Kuitinmäki  (Espoo)",1998,0,88,1910,0,0,26,0,1,61,339,38,78,92,7,17,295,182,1,253,492,44,72,0,0,0
"02230 Matinkylä  (Espoo)",3659,7,102,3550,7,0,22,5,0,75,1294,92,224,59,73,129,175,225,17,286,698,167,111,0,0,0
"02240 Friisilä  (Espoo)",1531,0,297,1234,0,0,110,0,0,187,600,86,18,84,3,30,177,63,0,72,90,4,7,0,0,0
"02260 Iivisniemi  (Espoo)",309,2,20,287,2,0,1,0,0,19,18,11,10,4,4,0,35,10,0,82,103,0,10,0,0,0
"02270 Suomenoja  (Espoo)",3123,0,613,2510,0,3,311,112,73,114,1240,436,50,116,4,32,204,170,0,82,156,3,17,0,0,0
"02280 Puolarmetsä  (Espoo)",362,2,42,318,2,0,5,0,0,37,52,30,12,5,3,2,51,31,0,45,71,13,3,0,0,0
"02290 Puolarmetsän sairaala  (Espoo)",423,0,0,423,0,0,0,0,0,0,0,0,24,0,0,0,0,10,0,0,388,0,1,0,0,0
"02300 Nöykkiö  (Espoo)",262,0,33,229,0,0,1,0,0,32,23,33,11,6,2,2,23,19,0,52,35,20,3,0,0,0
"02320 Kivenlahti  (Espoo)",2497,5,113,2379,5,0,8,0,0,105,465,107,209,19,25,87,132,83,14,271,761,68,138,0,0,0
"02330 Kattilalaakso  (Espoo)",1369,2,309,1057,2,0,227,0,0,82,438,29,23,88,6,6,117,49,0,93,183,18,7,0,0,1
"02340 Latokaski  (Espoo)",338,0,16,322,0,0,7,0,0,9,32,31,28,6,3,0,34,11,0,58,95,14,10,0,0,0
"02360 Espoonlahti  (Espoo)",981,1,75,904,1,0,17,0,0,58,90,39,56,17,6,4,55,120,0,132,273,56,56,0,0,1
"02380 Suvisaaristo  (Espoo)",92,0,15,77,0,0,2,8,0,5,11,29,1,1,1,7,8,6,0,0,3,3,7,0,0,0
"02400 Kirkkonummi Keskus  (Kirkkonummi)",4022,11,386,3625,11,0,81,0,22,283,644,179,139,24,79,26,221,229,319,434,1086,79,166,0,0,0
"02410 Gesterby  (Kirkkonummi)",105,1,14,90,1,0,0,0,0,14,17,4,7,0,0,0,10,6,0,6,33,4,3,0,0,0
"02420 Jorvas  (Kirkkonummi)",1480,10,205,1265,10,0,109,0,0,96,308,19,62,40,5,0,730,35,0,6,52,2,6,0,0,0
"02430 Masala  (Kirkkonummi)",1004,1,154,849,1,0,112,0,1,41,290,47,50,8,0,4,121,14,0,92,181,13,29,0,0,0
"02440 Luoma  (Kirkkonummi)",59,3,6,50,3,0,1,0,0,5,1,3,5,1,0,9,6,3,0,12,1,5,4,0,0,0
"02450 Sundsberg  (Kirkkonummi)",176,9,10,157,9,0,2,0,0,8,8,1,16,3,0,0,19,11,0,19,62,16,2,0,0,0
"02460 Kantvik  (Kirkkonummi)",506,0,309,197,0,0,302,0,0,7,11,83,2,4,0,0,16,24,0,21,33,0,3,0,0,0
"02470 Upinniemi  (Kirkkonummi)",689,0,0,689,0,0,0,0,0,0,0,3,19,0,0,21,0,1,624,1,5,0,15,0,0,0
"02480 Porkkala  (Kirkkonummi)",542,41,207,294,41,0,133,1,0,73,31,51,4,3,2,5,25,13,61,11,38,40,10,0,0,0
"02490 Pikkala  (Siuntio)",69,0,48,21,0,0,43,0,0,5,13,0,4,1,0,0,0,0,0,1,0,1,1,0,0,0
"02510 Oitmäki  (Kirkkonummi)",121,8,18,95,8,0,0,0,0,18,3,9,15,0,0,0,8,0,0,57,2,1,0,0,0,0
"02520 Lapinkylä  (Kirkkonummi)",78,6,24,48,6,0,2,0,0,22,16,7,1,2,0,0,6,2,0,0,2,5,7,0,0,0
"02540 Kylmälä  (Kirkkonummi)",112,15,27,70,15,0,9,1,0,17,5,10,1,0,0,2,29,7,0,10,0,6,0,0,0,0
"02550 Evitskog  (Kirkkonummi)",144,9,28,107,9,0,5,0,3,20,11,34,7,0,0,0,12,10,0,1,19,10,3,0,0,0
"02570 Siuntio Kirkonkylä  (Siuntio)",374,32,20,322,32,0,6,0,0,14,22,9,57,1,0,1,10,9,1,18,145,9,40,0,0,0
