"Postal code area","Free-time residences, 2016 (RA)","Buildings, total, 2016 (RA)","Other buildings, 2016 (RA)","Residential buildings, 2016 (RA)","Dwellings, 2016 (RA)","Average floor area, 2016 (RA)","Dwellings in small houses, 2016 (RA)","Dwellings in blocks of flats, 2016 (RA)"
"01180 Kalkkiranta   (Porvoo )",512,289,57,232,208,123.1,208,0
"01190 Box   (Sipoo )",61,522,78,444,426,118.1,426,0
"01200 Hakunila   (Vantaa )",18,896,95,801,6014,67.9,1247,4767
"01230 Vaarala   (Vantaa )",2,501,44,457,1473,79.5,1032,441
"01260 Itä-Hakkila   (Vantaa )",26,1465,93,1372,1890,100.9,1772,118
"01280 Länsimäki   (Vantaa )",1,911,35,876,4759,70.6,1979,2780
"01300 Tikkurila   (Vantaa )",1,1783,253,1530,10769,66.2,2589,8180
"01340 Leinelä   (Vantaa )",0,20,3,17,481,54.9,0,481
"01350 Hiekkaharju   (Vantaa )",2,1034,37,997,5322,67.4,1450,3872
"01360 Koivukylä-Havukoski   (Vantaa )",3,841,56,785,6945,63.7,1076,5869
"01370 Jokiniemi   (Vantaa )",0,456,45,411,3567,62.0,784,2783
"01380 Kuusikko-Hakkila   (Vantaa )",2,573,80,493,770,97.9,770,0
"01390 Ruskeasanta-Ilola   (Vantaa )",6,2245,66,2179,3670,92.6,3003,667
"01400 Rekola   (Vantaa )",13,1752,74,1678,3757,82.2,2154,1603
"01420 Päiväkumpu   (Vantaa )",12,1027,25,1002,1152,109.8,1152,0
"01450 Korso   (Vantaa )",15,3467,218,3249,8806,77.2,4602,4204
"01480 Mikkola   (Vantaa )",14,964,62,902,3058,75.5,1012,2046
"01490 Nikinmäki   (Sipoo )",23,1237,49,1188,1465,115.3,1429,36
"01510 Kirkonkylä-Veromäki   (Vantaa )",4,709,268,441,3146,65.0,629,2517
"01520 Tammisto   (Vantaa )",0,401,32,369,3594,68.8,871,2723
"01530 Veromiehenkylä   (Vantaa )",0,257,235,22,396,52.4,23,373
"01600 Myyrmäki   (Vantaa )",0,368,81,287,9686,61.9,124,9562
"01610 Kaivoksela   (Vantaa )",3,299,58,241,3062,61.2,341,2721
"01620 Martinlaakso   (Vantaa )",1,590,74,516,6179,69.1,893,5286
"01630 Hämeenkylä   (Vantaa )",2,373,25,348,898,90.3,855,43
"01640 Hämevaara   (Vantaa )",2,675,22,653,1583,82.7,715,868
"01650 Vapaala   (Vantaa )",3,755,37,718,2006,83.6,910,1096
"01660 Varisto   (Vantaa )",3,416,17,399,1102,80.4,951,151
"01670 Vantaanlaakso   (Vantaa )",123,526,39,487,1251,87.9,1014,237
"01680 Askisto   (Vantaa )",2,598,23,575,822,101.3,763,59
"01690 Ylästö   (Vantaa )",12,1222,40,1182,1628,106.2,1572,56
"01700 Kivistö   (Vantaa )",3,1101,45,1056,3116,75.0,1247,1869
"01710 Pähkinärinne   (Vantaa )",0,157,10,147,2963,62.5,299,2664
"01720 Petikko   (Vantaa )",4,120,106,14,32,66.9,20,12
"01730 Vantaanpuisto   (Vantaa )",246,694,91,603,1147,90.7,731,416
"01740 Tuupakan teollisuusalue   (Vantaa )",5,203,108,95,108,114.6,108,0
"01750 Keimola   (Vantaa )",26,385,47,338,337,119.2,337,0
"01760 Seutula   (Vantaa )",113,885,80,805,897,97.9,827,70
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,4,4,0,0,0.0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",86,1800,242,1558,3920,85.4,2162,1758
"01810 Luhtajoki   (Nurmijärvi )",11,296,41,255,274,120.6,271,3
"01820 Haikala   (Nurmijärvi )",6,655,31,624,1331,102.3,1261,70
"01830 Lepsämä   (Nurmijärvi )",57,1001,102,899,936,124.3,936,0
"01840 Klaukkala   (Nurmijärvi )",9,1056,90,966,1563,108.6,1420,143
"01860 Perttula   (Nurmijärvi )",108,931,114,817,837,123.1,822,15
"01900 Nurmijärvi Keskus   (Nurmijärvi )",50,2400,419,1981,4328,88.8,2581,1747
"01940 Palojoki   (Nurmijärvi )",30,348,45,303,307,115.5,307,0
"02100 Tapiola   (Espoo )",0,303,92,211,3172,65.0,299,2873
"02110 Otsolahti   (Espoo )",0,137,15,122,1698,66.0,252,1446
"02120 Länsikorkee-Suvikumpu   (Espoo )",0,136,13,123,1720,64.5,197,1523
"02130 Pohjois-Tapiola   (Espoo )",1,810,68,742,2871,88.2,1431,1440
"02140 Laajalahti   (Espoo )",46,681,28,653,1503,95.2,1077,426
"02150 Otaniemi   (Espoo )",0,181,138,43,1826,47.1,20,1806
"02160 Westend   (Espoo )",72,624,34,590,1373,128.1,916,457
"02170 Haukilahti   (Espoo )",1,520,44,476,2871,89.2,1192,1679
"02180 Mankkaa   (Espoo )",0,1437,55,1382,2560,103.5,2447,113
"02200 Niittykumpu   (Espoo )",2,956,167,789,3969,78.2,1427,2542
"02210 Olari   (Espoo )",119,759,62,697,5665,75.2,1479,4186
"02230 Matinkylä   (Espoo )",64,1461,132,1329,11006,69.6,2051,8955
"02240 Friisilä   (Espoo )",3,623,39,584,870,119.8,712,158
"02250 Henttaa   (Espoo )",10,296,25,271,1916,70.0,301,1615
"02260 Kaitaa   (Espoo )",9,558,28,530,1655,86.8,971,684
"02270 Finnoo-Eestinmalmi   (Espoo )",6,728,182,546,867,104.1,867,0
"02280 Malminmäki-Eestinlaakso   (Espoo )",3,653,29,624,1852,83.3,1275,577
"02290 Puolarmetsän sairaala   (Espoo )",0,1,1,0,0,0.0,0,0
"02300 Nöykkiönpuro   (Espoo )",5,777,28,749,900,128.4,900,0
"02320 Espoonlahti   (Espoo )",3,972,95,877,8484,71.8,1663,6821
"02330 Saunalahti-Kattilalaakso   (Espoo )",25,1825,105,1720,3837,96.5,2078,1759
"02340 Latokaski   (Espoo )",2,973,29,944,1842,91.3,1842,0
"02360 Soukka   (Espoo )",42,1134,63,1071,4741,85.2,1645,3096
"02380 Suvisaaristo   (Espoo )",332,314,32,282,279,168.9,279,0
"02390 Sarvvik   (Kirkkonummi )",27,91,12,79,257,86.0,86,171
"02400 Kirkkonummi Keskus   (Kirkkonummi )",306,2663,206,2457,5873,89.6,3466,2407
"02410 Gesterby   (Kirkkonummi )",0,174,5,169,1293,65.7,290,1003
"02420 Jorvas   (Kirkkonummi )",323,696,75,621,719,141.1,695,24
"02430 Masala   (Kirkkonummi )",7,655,75,580,1989,79.9,1227,762
"02440 Luoma   (Kirkkonummi )",49,290,19,271,261,140.5,261,0
"02450 Sundsberg   (Kirkkonummi )",4,288,11,277,643,109.4,582,61
"02460 Kantvik   (Kirkkonummi )",2,404,32,372,842,96.5,486,356
"02470 Upinniemi   (Kirkkonummi )",10,39,15,24,276,64.0,8,268
"02480 Porkkala   (Kirkkonummi )",898,1505,163,1342,1849,117.9,1600,249
"02490 Pikkala   (Siuntio )",18,108,36,72,180,85.7,72,108
"02510 Oitmäki   (Kirkkonummi )",36,229,22,207,226,110.8,221,5
"02520 Lapinkylä   (Kirkkonummi )",46,381,27,354,337,123.4,337,0
"02540 Kylmälä   (Kirkkonummi )",243,309,31,278,271,125.8,270,1
"02550 Evitskog   (Kirkkonummi )",224,398,25,373,364,123.4,364,0
"02570 Siuntio Kirkonkylä   (Siuntio )",422,681,98,583,595,114.2,589,6
"02580 Siuntio Asemanseutu   (Siuntio )",241,1351,188,1163,1519,115.5,1387,132
"02590 Lappers   (Siuntio )",8,119,11,108,100,135.1,100,0
"02600 Etelä-Leppävaara   (Espoo )",2,616,117,499,5800,64.6,547,5253
"02610 Kilo   (Espoo )",1,615,88,527,2686,70.8,793,1893
"02620 Karakallio   (Espoo )",3,1005,48,957,3748,79.6,1321,2427
"02630 Nihtisilta   (Espoo )",1,512,94,418,1556,75.1,677,879
"02650 Pohjois-Leppävaara   (Espoo )",0,551,111,440,5976,61.9,402,5574
"02660 Lintuvaara   (Espoo )",2,1300,61,1239,2321,93.6,1605,716
"02680 Uusmäki   (Espoo )",0,407,14,393,1128,79.1,542,586
"02700 Kauniainen   (Kauniainen )",0,1433,76,1357,4225,112.1,2148,2077
"02710 Viherlaakso   (Espoo )",1,936,72,864,2976,78.2,1297,1679
"02720 Lähderanta   (Espoo )",2,400,24,376,1417,80.5,729,688
"02730 Jupperi   (Espoo )",21,1444,49,1395,1709,125.8,1683,26
"02740 Bemböle-Pakankylä   (Espoo )",108,771,158,613,1318,92.6,913,405
"02750 Sepänkylä-Kuurinniitty   (Espoo )",4,1043,41,1002,2588,86.6,1413,1175
"02760 Tuomarila-Suvela   (Espoo )",0,1155,74,1081,6747,70.8,2190,4557
"02770 Espoon Keskus   (Espoo )",1,1472,174,1298,5017,70.8,1866,3151
"02780 Kauklahti   (Espoo )",55,1989,175,1814,4255,90.0,2518,1737
"02810 Gumböle-Karhusuo   (Espoo )",6,467,28,439,620,107.3,545,75
"02820 Nupuri-Nuuksio   (Espoo )",357,729,133,596,596,124.1,596,0
"02860 Siikajärvi   (Espoo )",297,315,25,290,302,103.4,302,0
"02880 Veikkola   (Kirkkonummi )",299,1751,111,1640,2263,113.1,2200,63
"02920 Niipperi   (Espoo )",43,1528,247,1281,1917,101.7,1774,143
"02940 Lippajärvi-Järvenperä   (Espoo )",67,1932,104,1828,4567,85.2,3019,1548
"02970 Kalajärvi   (Espoo )",58,1195,101,1094,1471,103.7,1325,146
"02980 Lakisto   (Espoo )",91,133,46,87,545,54.2,86,459
"03100 Nummela   (Vihti )",400,3265,462,2803,7544,84.4,4867,2677
"03150 Huhmari   (Vihti )",171,398,36,362,342,119.7,342,0
"03220 Tervalampi   (Vihti )",283,341,66,275,272,118.4,272,0
"03250 Ojakkala   (Vihti )",160,723,85,638,744,118.7,738,6
"03300 Otalampi   (Vihti )",245,1057,81,976,964,115.2,961,3
"03320 Selki   (Vihti )",17,172,21,151,152,113.1,145,7
"03400 Vihti Kirkonkylä   (Vihti )",630,2309,160,2149,2934,100.4,2549,385
"03430 Jokikunta   (Vihti )",188,243,12,231,225,117.7,225,0
"03600 Karkkila Keskus   (Karkkila )",794,2318,337,1981,3479,81.3,2245,1234
"03620 Polari   (Karkkila )",177,782,72,710,1106,87.8,866,240
"03710 Uusitalo   (Karkkila )",110,122,17,105,88,113.3,88,0
"03790 Vihtijärvi   (Vihti )",376,260,21,239,225,117.0,225,0
"03810 Ikkala   (Lohja )",189,298,34,264,318,96.0,317,1
"03850 Pusula   (Lohja )",1462,839,94,745,877,94.8,849,28
"03870 Hyönölä   (Lohja )",75,121,15,106,97,110.1,97,0
"04130 Sipoo   (Sipoo )",174,2407,409,1998,3347,95.1,2162,1185
"04150 Martinkylä   (Sipoo )",29,358,71,287,266,116.3,266,0
"04170 Paippinen   (Sipoo )",41,623,73,550,518,118.0,518,0
"04200 Kerava Keskus   (Kerava )",4,1480,180,1300,6594,69.7,1586,5008
"04220 Ahjo-Kaskela   (Kerava )",1,1034,119,915,2369,81.9,1157,1212
"04230 Pihkaniitty   (Kerava )",0,1453,49,1404,3521,87.9,2186,1335
"04240 Talma   (Sipoo )",30,607,86,521,508,116.4,508,0
"04250 Alikerava   (Kerava )",11,578,219,359,2552,65.8,552,2000
"04260 Savio   (Kerava )",9,1220,100,1120,3232,74.5,1465,1767
"04300 Hyrylä   (Tuusula )",80,2544,569,1975,4970,87.0,2881,2089
"04310 Tuusula Keskus   (Tuusula )",20,810,116,694,1097,106.1,930,167
"04320 Riihikallio   (Tuusula )",3,925,66,859,2411,83.1,1272,1139
"04330 Lahela   (Tuusula )",7,735,63,672,853,118.7,837,16
"04340 Mattila   (Tuusula )",3,573,43,530,1051,89.9,660,391
"04350 Nahkela   (Tuusula )",23,258,40,218,213,130.7,213,0
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",36,683,193,490,501,114.5,501,0
"04370 Rusutjärvi   (Tuusula )",157,381,53,328,319,121.3,319,0
"04380 Tuomala   (Tuusula )",10,284,43,241,241,132.0,238,3
"04390 Jäniksenlinna   (Tuusula )",45,229,23,206,201,118.8,201,0
"04400 Loutti   (Järvenpää )",6,1514,191,1323,5796,72.1,1761,4035
"04410 Järvenpää Keskus   (Järvenpää )",3,1691,172,1519,5650,72.6,2464,3186
"04420 Kyrölä   (Järvenpää )",3,836,39,797,1709,87.3,1581,128
"04430 Kinnari-Mikonkorpi   (Järvenpää )",18,2179,187,1992,4009,90.9,3256,753
"04440 Jamppa   (Järvenpää )",0,946,229,717,2529,70.4,992,1537
"04460 Nummenkylä   (Tuusula )",1,455,18,437,809,93.1,715,94
"04480 Haarajoki   (Mäntsälä )",95,921,123,798,865,117.3,835,30
"04500 Kellokoski   (Tuusula )",44,2025,266,1759,2573,98.7,2100,473
"04530 Ohkola   (Mäntsälä )",61,430,55,375,356,119.8,356,0
"04600 Mäntsälä Keskus   (Mäntsälä )",30,2569,447,2122,4821,82.8,3030,1791
"04620 Kaunismäki   (Mäntsälä )",15,572,69,503,777,106.5,625,152
"04630 Sääksjärvi   (Mäntsälä )",132,455,62,393,365,116.8,365,0
"04660 Numminen   (Mäntsälä )",138,843,131,712,685,120.4,685,0
"04680 Hirvihaara   (Mäntsälä )",44,364,74,290,272,117.2,271,1
"04740 Sälinkää   (Mäntsälä )",283,629,83,546,510,114.8,506,4
"04770 Sahakylä   (Mäntsälä )",40,121,12,109,101,110.7,101,0
"04820 Kaukalampi   (Mäntsälä )",23,142,12,130,122,116.6,122,0
"04840 Hautjärvi   (Mäntsälä )",135,158,24,134,119,101.8,119,0
"04920 Saarentaus   (Mäntsälä )",30,188,38,150,157,105.5,157,0
"04940 Levanto   (Mäntsälä )",91,164,29,135,127,115.7,121,6
"05100 Röykkä   (Nurmijärvi )",207,842,82,760,942,105.4,878,64
"05200 Rajamäki   (Nurmijärvi )",87,2049,255,1794,2895,93.6,2231,664
"05250 Kiljava   (Nurmijärvi )",16,79,11,68,87,98.2,74,13
"05400 Jokela   (Tuusula )",16,2026,200,1826,2858,92.3,2105,753
"05430 Nuppulinna   (Tuusula )",33,487,59,428,434,110.3,434,0
"05440 Hyvinkää   (Hyvinkää )",1,176,15,161,169,133.3,169,0
"05450 Nukari   (Nurmijärvi )",34,504,67,437,434,119.6,434,0
"05460 Hakalanmäki-Hakala   (Hyvinkää )",0,794,109,685,1596,83.5,1042,554
"05470 Palopuro   (Hyvinkää )",7,155,5,150,153,98.8,153,0
"05510 Päivärinta   (Hyvinkää )",34,199,20,179,270,79.8,219,51
"05620 Noppo   (Hyvinkää )",90,525,62,463,509,109.3,509,0
"05720 Kytäjä   (Hyvinkää )",47,264,20,244,250,130.0,245,5
"05800 Hyvinkää Keskus   (Hyvinkää )",95,1625,412,1213,6030,64.9,1304,4726
"05810 Martti   (Hyvinkää )",0,1204,133,1071,2286,95.2,1523,763
"05820 Mustamännistö   (Hyvinkää )",13,1553,126,1427,2514,84.1,1679,835
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",1,1632,107,1525,3803,78.1,2111,1692
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",7,837,124,713,1866,82.9,1228,638
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,4,4,0,0,0.0,0,0
"05860 Talvisilta   (Hyvinkää )",0,301,8,293,709,80.4,341,368
"05880 Paavola-Vaivero   (Hyvinkää )",0,428,61,367,1952,70.7,544,1408
"05900 Vieremä   (Hyvinkää )",0,561,45,516,2274,71.3,607,1667
"05950 Ridasjärvi   (Hyvinkää )",146,217,51,166,189,100.7,187,2
"06100 Porvoo Keskus   (Porvoo )",27,3697,403,3294,10253,77.0,3958,6295
"06150 Kevätkumpu   (Porvoo )",5,1315,237,1078,3054,79.5,1474,1580
"06200 Porvoo itäinen   (Porvoo )",1055,1314,145,1169,1146,117.5,1112,34
"06400 Gammelbacka   (Porvoo )",16,1444,77,1367,3713,79.8,1960,1753
"06450 Eestinmäki-Ernestas   (Porvoo )",2,565,134,431,979,87.1,536,443
"06500 Saksala-Suomenkylä   (Porvoo )",78,1007,91,916,914,116.2,906,8
"06530 Kerkkoo   (Porvoo )",18,344,35,309,337,108.8,331,6
"06650 Hamari   (Porvoo )",6,504,29,475,656,95.9,604,52
"06750 Tolkkinen   (Porvoo )",61,704,83,621,732,107.1,716,16
"06830 Kulloonkylä   (Porvoo )",87,523,67,456,454,117.8,454,0
"06850 Kulloo   (Porvoo )",16,402,384,18,12,84.2,12,0
"06880 Kärrby   (Sipoo )",543,233,36,197,176,116.2,173,3
"06950 Emäsalo   (Porvoo )",453,264,42,222,203,111.3,203,0
"07110 Hinthaara   (Porvoo )",62,614,47,567,597,114.6,597,0
"07130 Anttila   (Porvoo )",63,313,31,282,267,116.9,267,0
"07150 Laukkoski   (Pornainen )",264,492,55,437,391,114.6,391,0
"07170 Keski-Pornainen   (Pornainen )",109,935,133,802,977,108.3,930,47
"07190 Halkia   (Pornainen )",111,694,111,583,565,120.5,563,2
"07220 Kaarenkylä   (Porvoo )",26,163,10,153,144,116.8,144,0
"07230 Monninkylä   (Askola )",115,660,117,543,690,101.4,683,7
"07280 Ilola   (Porvoo )",156,443,68,375,375,112.0,364,11
"07310 Sannainen   (Porvoo )",56,192,28,164,158,124.9,158,0
"07320 Jakari-Sannäs   (Porvoo )",73,231,22,209,206,109.9,206,0
"07350 Gäddrag   (Porvoo )",55,51,3,48,41,103.9,41,0
"07360 Tirmo   (Porvoo )",134,41,8,33,30,103.7,30,0
"07370 Pellinki   (Porvoo )",497,123,33,90,80,99.7,80,0
"07390 Suurpellinki   (Porvoo )",129,63,7,56,49,116.3,49,0
"07410 Kråkö   (Porvoo )",58,207,27,180,164,116.7,164,0
"07450 Voolahti   (Porvoo )",88,233,30,203,202,110.0,192,10
"07500 Askola Kirkonkylä   (Askola )",35,411,41,370,493,98.0,493,0
"07510 Vakkola   (Askola )",58,363,57,306,293,102.7,278,15
"07530 Onkimaa   (Askola )",57,201,26,175,147,96.8,147,0
"07550 Torpinkylä   (Pukkila )",57,154,13,141,136,108.8,136,0
"07560 Pukkila Keskus   (Pukkila )",168,700,106,594,690,94.6,676,14
"07565 Kantele   (Pukkila )",69,170,20,150,122,109.8,122,0
"07580 Tiilää   (Askola )",14,53,14,39,37,113.1,37,0
"07590 Huuvari-Tiilää   (Askola )",133,325,43,282,269,116.3,269,0
"07600 Myrskylä Keskus   (Myrskylä )",409,939,146,793,856,98.1,856,0
"07680 Juornaankylä   (Askola )",170,293,31,262,255,101.5,252,3
"07690 Kankkila   (Myrskylä )",70,104,15,89,69,107.5,69,0
"07700 Koskenkylän saha-alue   (Loviisa )",61,477,67,410,595,93.3,511,84
"07720 Malmgård   (Loviisa )",8,60,13,47,50,79.6,46,4
"07740 Gammelby   (Loviisa )",130,244,31,213,198,112.9,192,6
"07750 Isnäs   (Loviisa )",612,339,64,275,308,95.4,287,21
"07780 Härkäpää   (Loviisa )",488,174,28,146,112,96.3,112,0
"07800 Lapinjärvi Keskus   (Lapinjärvi )",44,412,82,330,510,82.5,506,4
"07810 Ingermaninkylä   (Lapinjärvi )",61,195,45,150,143,95.4,134,9
"07820 Porlammi   (Lapinjärvi )",163,336,41,295,290,92.4,286,4
"07830 Pukaro   (Lapinjärvi )",57,202,28,174,146,100.9,146,0
"07840 Lindkoski   (Lapinjärvi )",21,134,13,121,100,123.6,100,0
"07850 Heikinkylä   (Lapinjärvi )",24,172,17,155,141,111.4,141,0
"07870 Skinnarby   (Loviisa )",65,279,31,248,218,104.3,218,0
"07880 Liljendal Keskus   (Loviisa )",157,545,78,467,518,93.9,518,0
"07890 Mickelspiltom   (Loviisa )",41,125,12,113,101,106.2,101,0
"07900 Loviisa Keskus   (Loviisa )",892,1564,403,1161,2557,79.6,1349,1208
"07910 Valko   (Loviisa )",173,502,85,417,680,81.6,427,253
"07920 Etelä-Harju   (Loviisa )",6,487,29,458,753,94.1,547,206
"07930 Pernaja Kirkonkylä   (Loviisa )",286,347,55,292,323,104.6,318,5
"07940 Määrlahti   (Loviisa )",25,196,19,177,598,74.6,223,375
"07945 Kuggom   (Loviisa )",30,304,52,252,237,107.9,237,0
"07955 Tesjoki   (Loviisa )",130,560,82,478,574,98.6,574,0
"07960 Ahvenkoski   (Loviisa )",30,104,11,93,86,90.9,86,0
"07970 Ruotsinpyhtää Keskus   (Loviisa )",29,275,51,224,397,80.4,310,87
"07980 Kuninkaankylä   (Loviisa )",112,218,20,198,181,91.5,181,0
