"Postal code area","Aged 18 or over, total, 2017 (KO)","Basic level studies, 2017 (KO)","With education, total, 2017 (KO)","Matriculation examination, 2017 (KO)","Vocational diploma, 2017 (KO)","Academic degree - Lower level university degree, 2017 (KO)","Academic degree - Higher level university degree, 2017 (KO)"
"00330 Munkkiniemi   (Helsinki )",7384,984,6400,1007,1652,1157,2584
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1394,206,1188,192,251,189,556
"00350 Munkkivuori-Niemenmäki   (Helsinki )",7836,1312,6524,1104,2182,1354,1884
"00360 Pajamäki   (Helsinki )",1581,310,1271,166,459,282,364
"00370 Reimarla   (Helsinki )",5371,1486,3885,531,1633,758,963
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",3760,878,2882,365,1232,608,677
"00390 Konala   (Helsinki )",5230,1342,3888,525,1863,743,757
"00400 Pohjois-Haaga   (Helsinki )",8384,2139,6245,955,2442,1289,1559
"00410 Malminkartano   (Helsinki )",6919,2098,4821,742,2418,925,736
"00420 Kannelmäki   (Helsinki )",11856,3704,8152,1199,3997,1560,1396
"00430 Maununneva   (Helsinki )",4237,720,3517,496,1472,640,909
"00440 Lassila   (Helsinki )",4004,964,3040,425,1240,644,731
"00500 Sörnäinen   (Helsinki )",12020,2095,9925,2080,3085,2381,2379
"00510 Etu-Vallila - Alppila   (Helsinki )",8922,1584,7338,1202,2331,1845,1960
"00520 Itä-Pasila   (Helsinki )",6352,1464,4888,841,1683,1042,1322
"00530 Kallio   (Helsinki )",17458,3035,14423,2746,4441,3222,4014
"00540 Kalasatama   (Helsinki )",2140,303,1837,365,525,409,538
"00550 Vallila   (Helsinki )",8558,1530,7028,1471,2276,1620,1661
"00560 Toukola-Vanhakaupunki   (Helsinki )",10899,1520,9379,1616,2711,2139,2913
"00570 Kulosaari   (Helsinki )",3196,496,2700,436,674,489,1101
"00580 Verkkosaari   (Helsinki )",2237,377,1860,348,558,429,525
"00590 Kaitalahti   (Helsinki )",742,95,647,94,228,140,185
"00600 Koskela-Helsinki   (Helsinki )",3495,1203,2292,412,1008,371,501
"00610 Käpylä   (Helsinki )",6756,1367,5389,734,1935,1074,1646
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",2806,553,2253,317,818,430,688
"00630 Maunula-Suursuo   (Helsinki )",6906,2104,4802,630,2168,782,1222
"00640 Oulunkylä-Patola   (Helsinki )",6728,1422,5306,768,2016,1011,1511
"00650 Veräjämäki   (Helsinki )",3342,799,2543,349,961,434,799
"00660 Länsi-Pakila   (Helsinki )",5234,816,4418,545,1447,765,1661
"00670 Paloheinä   (Helsinki )",4504,590,3914,467,1291,663,1493
"00680 Itä-Pakila   (Helsinki )",2778,456,2322,294,870,444,714
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2040,408,1632,191,700,298,443
"00700 Malmi   (Helsinki )",10841,3522,7319,974,4118,1198,1029
"00710 Pihlajamäki   (Helsinki )",10448,3422,7026,925,3692,1228,1181
"00720 Pukinmäki-Savela   (Helsinki )",7112,2083,5029,653,2579,926,871
"00730 Tapanila   (Helsinki )",8755,1840,6915,821,3210,1301,1583
"00740 Siltamäki   (Helsinki )",8148,2201,5947,881,3154,1054,858
"00750 Puistola   (Helsinki )",7577,2226,5351,675,2816,969,891
"00760 Suurmetsä   (Helsinki )",5842,1219,4623,548,2278,812,985
"00770 Jakomäki - Alppikylä   (Helsinki )",5757,2203,3554,472,2276,471,335
"00780 Tapaninvainio   (Helsinki )",5754,1292,4462,502,2161,823,976
"00790 Viikki   (Helsinki )",8336,1670,6666,1237,2162,1507,1760
"00800 Länsi-Herttoniemi   (Helsinki )",6046,1455,4591,642,1825,837,1287
"00810 Herttoniemi   (Helsinki )",9383,2235,7148,928,3077,1346,1797
"00820 Roihuvuori   (Helsinki )",6080,1845,4235,633,1916,732,954
"00830 Tammisalo   (Helsinki )",1731,255,1476,191,407,239,639
"00840 Laajasalo   (Helsinki )",6762,1288,5474,754,2216,987,1517
"00850 Jollas   (Helsinki )",2303,410,1893,279,649,271,694
"00860 Santahamina   (Helsinki )",274,16,258,35,99,47,77
"00870 Etelä-Laajasalo   (Helsinki )",4920,1364,3556,517,1695,602,742
"00880 Roihupellon teollisuusalue   (Helsinki )",644,154,490,75,206,104,105
"00890 Östersundom   (Helsinki )",1485,294,1191,180,498,181,332
"00900 Puotinharju   (Helsinki )",3581,1274,2307,348,1208,352,399
"00910 Puotila   (Helsinki )",5171,1704,3467,491,1732,603,641
"00920 Myllypuro   (Helsinki )",10265,3365,6900,884,3698,1050,1268
"00930 Itäkeskus-Marjaniemi   (Helsinki )",5511,1819,3692,525,1753,566,848
"00940 Kontula - Vesala   (Helsinki )",20913,8536,12377,1623,7718,1671,1365
"00950 Vartioharju   (Helsinki )",4709,1014,3695,483,1741,580,891
"00960 Pohjois-Vuosaari   (Helsinki )",5879,1784,4095,495,2389,625,586
"00970 Mellunmäki   (Helsinki )",8745,2906,5839,735,3684,787,633
"00980 Etelä-Vuosaari   (Helsinki )",18124,6001,12123,1585,6569,1930,2039
"00990 Aurinkolahti   (Helsinki )",6839,1607,5232,618,2338,999,1277
"01120 Västerskog   (Sipoo )",1119,276,843,95,444,149,155
"01150 Söderkulla   (Sipoo )",4223,905,3318,319,1642,688,669
"01180 Kalkkiranta   (Porvoo )",363,80,283,27,160,46,50
"01190 Box   (Sipoo )",800,215,585,65,352,87,81
"01200 Hakunila   (Vantaa )",9249,3743,5506,585,3705,683,533
"01230 Vaarala   (Vantaa )",2386,604,1782,223,995,314,250
"01260 Itä-Hakkila   (Vantaa )",3676,823,2853,331,1624,443,455
"01280 Länsimäki   (Vantaa )",7658,2504,5154,576,3254,760,564
"01300 Tikkurila   (Vantaa )",16413,4474,11939,1420,6668,2167,1684
"01340 Leinelä   (Vantaa )",978,214,764,122,451,121,70
"01350 Hiekkaharju   (Vantaa )",8194,2254,5940,727,3504,1004,705
"01360 Koivukylä-Havukoski   (Vantaa )",10335,3815,6520,798,4086,977,659
"01370 Jokiniemi   (Vantaa )",5258,1265,3993,634,2133,695,531
"01380 Kuusikko-Hakkila   (Vantaa )",1394,331,1063,99,600,196,168
"01390 Ruskeasanta-Ilola   (Vantaa )",6781,1453,5328,598,2977,1012,741
"01400 Rekola   (Vantaa )",6579,1833,4746,492,2810,790,654
"01420 Päiväkumpu   (Vantaa )",2393,586,1807,175,1042,309,281
"01450 Korso   (Vantaa )",14267,4264,10003,1050,6197,1651,1105
"01480 Mikkola   (Vantaa )",5023,1634,3389,384,2139,531,335
"01490 Nikinmäki   (Sipoo )",2930,590,2340,229,1272,433,406
"01510 Kirkonkylä-Veromäki   (Vantaa )",4777,1413,3364,371,1858,704,431
"01520 Tammisto   (Vantaa )",5571,971,4600,491,1979,1064,1066
"01530 Veromiehenkylä   (Vantaa )",369,169,200,28,130,28,14
"01600 Myyrmäki   (Vantaa )",14271,4507,9764,1276,5467,1708,1313
"01610 Kaivoksela   (Vantaa )",4352,1144,3208,416,1697,618,477
"01620 Martinlaakso   (Vantaa )",9818,3183,6635,812,3753,1137,933
"01630 Hämeenkylä   (Vantaa )",1579,277,1302,122,657,269,254
"01640 Hämevaara   (Vantaa )",2715,656,2059,229,1057,391,382
"01650 Vapaala   (Vantaa )",3340,785,2555,313,1319,440,483
"01660 Varisto   (Vantaa )",1843,521,1322,134,770,215,203
"01670 Vantaanlaakso   (Vantaa )",2213,408,1805,160,878,414,353
"01680 Askisto   (Vantaa )",1540,361,1179,146,636,200,197
"01690 Ylästö   (Vantaa )",3273,505,2768,253,1135,652,728
"01700 Kivistö   (Vantaa )",5354,956,4398,568,2116,979,735
"01710 Pähkinärinne   (Vantaa )",4174,1196,2978,339,1663,550,426
"01720 Petikko   (Vantaa )",62,28,34,2,28,2,2
"01730 Vantaanpuisto   (Vantaa )",1981,512,1469,156,827,273,213
"01740 Tuupakan teollisuusalue   (Vantaa )",161,51,110,6,65,18,21
"01750 Keimola   (Vantaa )",655,162,493,55,265,100,73
"01760 Seutula   (Vantaa )",1621,504,1117,116,720,155,126
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",6299,1606,4693,431,2829,795,638
"01810 Luhtajoki   (Nurmijärvi )",506,140,366,38,226,56,46
"01820 Haikala   (Nurmijärvi )",2420,475,1945,188,1079,362,316
"01830 Lepsämä   (Nurmijärvi )",1816,408,1408,134,869,230,175
"01840 Klaukkala   (Nurmijärvi )",2856,516,2340,210,1233,439,458
"01860 Perttula   (Nurmijärvi )",1530,375,1155,110,736,163,146
"01900 Nurmijärvi Keskus   (Nurmijärvi )",6959,1845,5114,425,3247,768,674
"01940 Palojoki   (Nurmijärvi )",567,146,421,31,265,72,53
"02100 Tapiola   (Espoo )",4393,608,3785,547,1034,702,1502
"02110 Otsolahti   (Espoo )",2341,313,2028,296,453,359,920
"02120 Länsikorkee-Suvikumpu   (Espoo )",2378,334,2044,310,485,385,864
"02130 Pohjois-Tapiola   (Espoo )",4809,644,4165,562,982,678,1943
"02140 Laajalahti   (Espoo )",2764,524,2240,278,648,382,932
"02150 Otaniemi   (Espoo )",3593,604,2989,1518,145,703,623
"02160 Westend   (Espoo )",2425,280,2145,333,462,330,1020
"02170 Haukilahti   (Espoo )",4491,638,3853,582,1066,646,1559
"02180 Mankkaa   (Espoo )",4835,619,4216,500,1115,722,1879
"02200 Niittykumpu   (Espoo )",6849,1005,5844,805,1787,1133,2119
"02210 Olari   (Espoo )",9099,1799,7300,1018,2670,1393,2219
"02230 Matinkylä   (Espoo )",17430,4096,13334,2010,5049,2554,3721
"02240 Friisilä   (Espoo )",1720,207,1513,178,421,250,664
"02250 Henttaa   (Espoo )",3011,746,2265,281,901,494,589
"02260 Kaitaa   (Espoo )",2795,564,2231,304,930,358,639
"02270 Finnoo-Eestinmalmi   (Espoo )",1617,290,1327,165,483,222,457
"02280 Malminmäki-Eestinlaakso   (Espoo )",3249,720,2529,269,1154,450,656
"02290 Puolarmetsän sairaala   (Espoo )",6,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",1844,282,1562,216,502,266,578
"02320 Espoonlahti   (Espoo )",13227,3429,9798,1241,4640,1686,2231
"02330 Saunalahti-Kattilalaakso   (Espoo )",6875,1176,5699,713,2133,1051,1802
"02340 Latokaski   (Espoo )",3479,537,2942,325,1176,624,817
"02360 Soukka   (Espoo )",7737,1914,5823,743,2434,1005,1641
"02380 Suvisaaristo   (Espoo )",521,90,431,64,139,66,162
"02390 Sarvvik   (Kirkkonummi )",439,77,362,53,188,66,55
"02400 Kirkkonummi Keskus   (Kirkkonummi )",9614,2347,7267,808,3820,1245,1394
"02410 Gesterby   (Kirkkonummi )",1731,651,1080,110,713,140,117
"02420 Jorvas   (Kirkkonummi )",1350,253,1097,139,460,217,281
"02430 Masala   (Kirkkonummi )",3186,910,2276,220,1229,430,397
"02440 Luoma   (Kirkkonummi )",477,85,392,41,173,63,115
"02450 Sundsberg   (Kirkkonummi )",1207,97,1110,92,314,263,441
"02460 Kantvik   (Kirkkonummi )",1336,287,1049,92,544,189,224
"02470 Upinniemi   (Kirkkonummi )",272,51,221,35,148,29,9
"02480 Porkkala   (Kirkkonummi )",3315,592,2723,298,1259,499,667
"02490 Pikkala   (Siuntio )",249,79,170,12,98,22,38
"02510 Oitmäki   (Kirkkonummi )",370,100,270,36,147,34,53
"02520 Lapinkylä   (Kirkkonummi )",623,159,464,34,272,78,80
"02540 Kylmälä   (Kirkkonummi )",507,139,368,51,202,56,59
"02550 Evitskog   (Kirkkonummi )",648,164,484,46,277,83,78
"02570 Siuntio Kirkonkylä   (Siuntio )",1000,278,722,68,441,113,100
"02580 Siuntio Asemanseutu   (Siuntio )",2562,625,1937,186,1077,309,365
"02590 Lappers   (Siuntio )",184,47,137,12,74,26,25
"02600 Etelä-Leppävaara   (Espoo )",8820,1976,6844,1013,2538,1499,1794
"02610 Kilo   (Espoo )",4775,1267,3508,530,1292,690,996
"02620 Karakallio   (Espoo )",6237,1564,4673,476,2161,880,1156
"02630 Nihtisilta   (Espoo )",2606,522,2084,252,774,437,621
"02650 Pohjois-Leppävaara   (Espoo )",8816,1864,6952,891,2613,1564,1884
"02660 Lintuvaara   (Espoo )",4402,901,3501,445,1239,689,1128
"02680 Uusmäki   (Espoo )",1942,278,1664,161,548,406,549
"02700 Kauniainen   (Kauniainen )",7331,935,6396,937,1780,1104,2575
"02710 Viherlaakso   (Espoo )",4816,1022,3794,443,1586,691,1074
"02720 Lähderanta   (Espoo )",2329,448,1881,244,860,336,441
"02730 Jupperi   (Espoo )",3422,466,2956,346,1054,530,1026
"02740 Bemböle-Pakankylä   (Espoo )",2282,442,1840,178,843,385,434
"02750 Sepänkylä-Kuurinniitty   (Espoo )",4509,787,3722,431,1326,736,1229
"02760 Tuomarila-Suvela   (Espoo )",11061,3212,7849,876,3700,1556,1717
"02770 Espoon Keskus   (Espoo )",8222,2398,5824,763,2968,1002,1091
"02780 Kauklahti   (Espoo )",7554,1625,5929,662,2635,1161,1471
"02810 Gumböle-Karhusuo   (Espoo )",1220,216,1004,98,448,195,263
"02820 Nupuri-Nuuksio   (Espoo )",1120,262,858,92,426,152,188
"02860 Siikajärvi   (Espoo )",508,109,399,51,229,47,72
"02880 Veikkola   (Kirkkonummi )",4146,805,3341,307,1652,598,784
"02920 Niipperi   (Espoo )",3648,721,2927,307,1432,537,651
"02940 Lippajärvi-Järvenperä   (Espoo )",7685,1515,6170,678,2820,1191,1481
"02970 Kalajärvi   (Espoo )",2759,619,2140,211,1126,389,414
"02980 Lakisto   (Espoo )",292,109,183,17,124,24,18
"03100 Nummela   (Vihti )",11869,3030,8839,706,5583,1453,1097
"03150 Huhmari   (Vihti )",627,143,484,49,278,73,84
"03220 Tervalampi   (Vihti )",474,117,357,27,214,58,58
"03250 Ojakkala   (Vihti )",1415,321,1094,97,653,179,165
"03300 Otalampi   (Vihti )",1754,422,1332,109,843,230,150
"03320 Selki   (Vihti )",268,75,193,10,137,28,18
"03400 Vihti Kirkonkylä   (Vihti )",4950,1269,3681,316,2442,519,404
"03430 Jokikunta   (Vihti )",387,90,297,26,207,38,26
"03600 Karkkila Keskus   (Karkkila )",5256,1818,3438,220,2596,389,233
"03620 Polari   (Karkkila )",1674,579,1095,62,827,138,68
"03710 Uusitalo   (Karkkila )",146,39,107,6,82,13,6
"03790 Vihtijärvi   (Vihti )",408,113,295,27,185,45,38
"03810 Ikkala   (Lohja )",485,155,330,22,262,29,17
"03850 Pusula   (Lohja )",1353,475,878,67,682,83,46
"03870 Hyönölä   (Lohja )",156,48,108,10,76,12,10
"04130 Sipoo   (Sipoo )",5634,1405,4229,404,2446,628,751
"04150 Martinkylä   (Sipoo )",487,98,389,41,230,52,66
"04170 Paippinen   (Sipoo )",946,223,723,51,470,122,80
"04200 Kerava Keskus   (Kerava )",9540,2706,6834,665,3972,1117,1080
"04220 Ahjo-Kaskela   (Kerava )",3901,998,2903,281,1773,457,392
"04230 Pihkaniitty   (Kerava )",5883,1203,4680,391,2644,915,730
"04240 Talma   (Sipoo )",957,223,734,78,453,115,88
"04250 Alikerava   (Kerava )",3742,1088,2654,266,1723,400,265
"04260 Savio   (Kerava )",5112,1407,3705,336,2377,600,392
"04300 Hyrylä   (Tuusula )",7929,1969,5960,543,3508,967,942
"04310 Tuusula Keskus   (Tuusula )",1971,361,1610,175,791,293,351
"04320 Riihikallio   (Tuusula )",3890,987,2903,281,1781,508,333
"04330 Lahela   (Tuusula )",1632,271,1361,137,678,274,272
"04340 Mattila   (Tuusula )",1713,368,1345,128,757,246,214
"04350 Nahkela   (Tuusula )",423,108,315,34,190,57,34
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",955,281,674,61,445,99,69
"04370 Rusutjärvi   (Tuusula )",575,135,440,35,294,72,39
"04380 Tuomala   (Tuusula )",448,75,373,40,226,51,56
"04390 Jäniksenlinna   (Tuusula )",347,77,270,19,192,41,18
"04400 Loutti   (Järvenpää )",8502,1903,6599,657,3867,1051,1024
"04410 Järvenpää Keskus   (Järvenpää )",8945,2316,6629,604,4276,992,757
"04420 Kyrölä   (Järvenpää )",3038,518,2520,218,1405,452,445
"04430 Kinnari-Mikonkorpi   (Järvenpää )",6955,1253,5702,463,3304,1045,890
"04440 Jamppa   (Järvenpää )",3636,1245,2391,204,1625,320,242
"04460 Nummenkylä   (Tuusula )",1419,264,1155,73,723,208,151
"04480 Haarajoki   (Mäntsälä )",1649,387,1262,83,766,215,198
"04500 Kellokoski   (Tuusula )",4335,1024,3311,240,2231,519,321
"04530 Ohkola   (Mäntsälä )",654,130,524,26,371,86,41
"04600 Mäntsälä Keskus   (Mäntsälä )",7313,2216,5097,332,3601,721,443
"04620 Kaunismäki   (Mäntsälä )",1352,234,1118,82,627,203,206
"04630 Sääksjärvi   (Mäntsälä )",655,188,467,33,342,56,36
"04660 Numminen   (Mäntsälä )",1256,351,905,59,673,116,57
"04680 Hirvihaara   (Mäntsälä )",489,139,350,18,255,47,30
"04740 Sälinkää   (Mäntsälä )",893,279,614,25,490,68,31
"04770 Sahakylä   (Mäntsälä )",160,44,116,11,87,8,10
"04820 Kaukalampi   (Mäntsälä )",216,41,175,10,129,21,15
"04840 Hautjärvi   (Mäntsälä )",204,71,133,6,99,17,11
"04920 Saarentaus   (Mäntsälä )",271,69,202,12,160,17,13
"04940 Levanto   (Mäntsälä )",219,65,154,14,113,16,11
"05100 Röykkä   (Nurmijärvi )",1661,418,1243,112,828,196,107
"05200 Rajamäki   (Nurmijärvi )",4902,1250,3652,257,2414,524,457
"05250 Kiljava   (Nurmijärvi )",141,37,104,8,70,17,9
"05400 Jokela   (Tuusula )",4907,1221,3686,298,2288,624,476
"05430 Nuppulinna   (Tuusula )",791,212,579,35,413,67,64
"05440 Hyvinkää   (Hyvinkää )",428,60,368,21,167,95,85
"05450 Nukari   (Nurmijärvi )",801,205,596,49,411,74,62
"05460 Hakalanmäki-Hakala   (Hyvinkää )",2612,584,2028,126,1429,318,155
"05470 Palopuro   (Hyvinkää )",259,76,183,16,122,23,22
"05510 Päivärinta   (Hyvinkää )",361,109,252,15,182,32,23
"05620 Noppo   (Hyvinkää )",986,226,760,46,513,115,86
"05720 Kytäjä   (Hyvinkää )",422,92,330,15,220,47,48
"05800 Hyvinkää Keskus   (Hyvinkää )",8418,2383,6035,524,3938,941,632
"05810 Martti   (Hyvinkää )",4106,727,3379,254,1921,659,545
"05820 Mustamännistö   (Hyvinkää )",3942,981,2961,190,1970,459,342
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",5827,1292,4535,333,2857,750,595
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",2915,680,2235,129,1532,340,234
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,0,0,0,0,0,0
"05860 Talvisilta   (Hyvinkää )",1117,283,834,58,607,108,61
"05880 Paavola-Vaivero   (Hyvinkää )",2803,997,1806,138,1391,166,111
"05900 Vieremä   (Hyvinkää )",3383,921,2462,209,1513,398,342
"05950 Ridasjärvi   (Hyvinkää )",309,66,243,15,184,28,16
"06100 Porvoo Keskus   (Porvoo )",15159,3719,11440,1113,6346,1946,2035
"06150 Kevätkumpu   (Porvoo )",4649,1536,3113,218,2169,465,261
"06200 Porvoo itäinen   (Porvoo )",2036,509,1527,114,1006,231,176
"06400 Gammelbacka   (Porvoo )",5669,1650,4019,283,2660,639,437
"06450 Eestinmäki-Ernestas   (Porvoo )",1611,397,1214,80,795,185,154
"06500 Saksala-Suomenkylä   (Porvoo )",1675,462,1213,81,804,193,135
"06530 Kerkkoo   (Porvoo )",599,132,467,33,304,71,59
"06650 Hamari   (Porvoo )",1122,266,856,67,532,129,128
"06750 Tolkkinen   (Porvoo )",1267,271,996,74,587,189,146
"06830 Kulloonkylä   (Porvoo )",832,176,656,48,415,101,92
"06850 Kulloo   (Porvoo )",16,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",275,64,211,22,128,27,34
"06950 Emäsalo   (Porvoo )",309,77,232,18,163,31,20
"07110 Hinthaara   (Porvoo )",1100,252,848,67,538,150,93
"07130 Anttila   (Porvoo )",497,144,353,25,221,60,47
"07150 Laukkoski   (Pornainen )",729,194,535,39,377,55,64
"07170 Keski-Pornainen   (Pornainen )",1783,449,1334,88,972,169,105
"07190 Halkia   (Pornainen )",1067,270,797,69,560,113,55
"07220 Kaarenkylä   (Porvoo )",236,58,178,10,123,18,27
"07230 Monninkylä   (Askola )",1153,303,850,61,600,109,80
"07280 Ilola   (Porvoo )",694,188,506,38,354,63,51
"07310 Sannainen   (Porvoo )",313,58,255,14,177,35,29
"07320 Jakari-Sannäs   (Porvoo )",342,87,255,14,188,33,20
"07350 Gäddrag   (Porvoo )",61,13,48,4,35,6,3
"07360 Tirmo   (Porvoo )",36,15,21,2,18,0,1
"07370 Pellinki   (Porvoo )",118,38,80,2,62,12,4
"07390 Suurpellinki   (Porvoo )",96,26,70,6,48,13,3
"07410 Kråkö   (Porvoo )",256,86,170,9,108,28,25
"07450 Voolahti   (Porvoo )",330,88,242,12,185,33,12
"07500 Askola Kirkonkylä   (Askola )",855,245,610,37,450,79,44
"07510 Vakkola   (Askola )",528,137,391,24,291,51,25
"07530 Onkimaa   (Askola )",234,81,153,16,110,19,8
"07550 Torpinkylä   (Pukkila )",229,58,171,11,140,13,7
"07560 Pukkila Keskus   (Pukkila )",1050,324,726,40,590,58,38
"07565 Kantele   (Pukkila )",210,57,153,7,123,17,6
"07580 Tiilää   (Askola )",60,21,39,0,32,5,2
"07590 Huuvari-Tiilää   (Askola )",478,124,354,23,272,28,31
"07600 Myrskylä Keskus   (Myrskylä )",1388,457,931,56,721,96,58
"07680 Juornaankylä   (Askola )",410,120,290,16,238,23,13
"07690 Kankkila   (Myrskylä )",119,34,85,5,71,6,3
"07700 Koskenkylän saha-alue   (Loviisa )",921,266,655,43,480,80,52
"07720 Malmgård   (Loviisa )",68,24,44,2,31,8,3
"07740 Gammelby   (Loviisa )",326,92,234,18,164,26,26
"07750 Isnäs   (Loviisa )",436,155,281,23,209,31,18
"07780 Härkäpää   (Loviisa )",142,49,93,1,76,8,8
"07800 Lapinjärvi Keskus   (Lapinjärvi )",721,274,447,28,337,50,32
"07810 Ingermaninkylä   (Lapinjärvi )",231,85,146,7,123,7,9
"07820 Porlammi   (Lapinjärvi )",416,160,256,16,198,21,21
"07830 Pukaro   (Lapinjärvi )",225,78,147,8,110,16,13
"07840 Lindkoski   (Lapinjärvi )",166,61,105,5,76,16,8
"07850 Heikinkylä   (Lapinjärvi )",245,72,173,11,129,16,17
"07870 Skinnarby   (Loviisa )",362,106,256,24,175,34,23
"07880 Liljendal Keskus   (Loviisa )",824,257,567,36,427,64,40
"07890 Mickelspiltom   (Loviisa )",163,43,120,6,92,15,7
"07900 Loviisa Keskus   (Loviisa )",3470,1158,2312,180,1563,320,249
"07910 Valko   (Loviisa )",909,302,607,43,466,65,33
"07920 Etelä-Harju   (Loviisa )",1158,369,789,54,554,117,64
"07930 Pernaja Kirkonkylä   (Loviisa )",524,165,359,23,251,46,39
"07940 Määrlahti   (Loviisa )",842,333,509,32,388,55,34
"07945 Kuggom   (Loviisa )",383,130,253,14,184,37,18
"07955 Tesjoki   (Loviisa )",937,330,607,28,446,82,51
"07960 Ahvenkoski   (Loviisa )",101,29,72,5,53,8,6
"07970 Ruotsinpyhtää Keskus   (Loviisa )",475,165,310,15,242,27,26
"07980 Kuninkaankylä   (Loviisa )",242,75,167,7,128,24,8
"07990 Ruotsinkylä-Koskisto   (Loviisa )",247,80,167,9,128,20,10
"08100 Lohja Keskus   (Lohja )",6805,2040,4765,339,3254,603,569
"08150 Keskilohja   (Lohja )",4025,960,3065,218,1938,511,398
"08200 Ojamo   (Lohja )",3008,1008,2000,140,1539,195,126
"08350 Routio   (Lohja )",1917,559,1358,77,976,171,134
"08360 Kisakallio   (Lohja )",0,0,0,0,0,0,0
"08450 Hormajärvi   (Lohja )",242,91,151,7,101,26,17
"08480 Karstu   (Lohja )",197,49,148,8,104,26,10
"08500 Ventelä-Millola   (Lohja )",4972,1292,3680,241,2518,533,388
"08680 Muijala   (Lohja )",1314,271,1043,76,618,190,159
"08700 Virkkala   (Lohja )",5816,1650,4166,254,2994,545,373
"08800 Kirkniemi   (Lohja )",1230,290,940,53,653,147,87
"09120 Karjalohja   (Lohja )",975,305,670,66,448,80,76
"09220 Sammatti   (Lohja )",1263,351,912,48,695,106,63
"09430 Saukkola   (Lohja )",1329,373,956,88,665,126,77
"09520 Millola   (Lohja )",99,32,67,7,50,4,6
"09630 Koisjärvi   (Lohja )",364,104,260,19,190,34,17
"09810 Nummi-Oinola   (Lohja )",798,258,540,41,363,74,62
"09930 Leppäkorpi   (Lohja )",252,82,170,12,128,18,12
"10120 Tähtelä   (Inkoo )",495,110,385,38,238,64,45
"10140 Päivölä   (Inkoo )",241,52,189,22,111,26,30
"10160 Degerby   (Inkoo )",680,158,522,58,292,90,82
"10210 Inkoo Keskus   (Inkoo )",2191,600,1591,135,948,251,257
"10230 Inkoo Asemanseutu   (Inkoo )",296,63,233,22,153,24,34
"10250 Fagervik   (Inkoo )",109,33,76,7,48,13,8
"10270 Barösund   (Inkoo )",112,36,76,6,55,8,7
"10300 Karjaa Keskus   (Raasepori )",5982,1909,4073,297,2670,575,531
"10320 Bäljars   (Raasepori )",1027,341,686,60,478,86,62
"10330 Pinjainen   (Raasepori )",493,111,382,37,232,60,53
"10350 Meltolan sairaala-alue   (Raasepori )",11,..,..,..,..,..,..
"10360 Mustio   (Raasepori )",1029,267,762,37,587,77,61
