"Postal code area","Aged 18 or over, total, 2015 (HR)","Average income of inhabitants, 2015 (HR)","Median income of inhabitants, 2015 (HR)","Inhabintants belonging to the lowest income category, 2015 (HR)","Inhabitants belonging to the middle income category, 2015 (HR)","Inhabintants belonging to the highest income category, 2015 (HR)","Accumulated purchasing power of inhabitants, 2015 (HR)"
"00420 Kannelmäki   (Helsinki )",11732,21675,20214,2512,7130,2090,254289889
"00430 Maununneva   (Helsinki )",3753,30592,26796,599,1671,1483,114813578
"00440 Lassila   (Helsinki )",3933,23807,21435,678,2323,932,93631960
"00500 Sörnäinen   (Helsinki )",11983,22521,20823,2385,7205,2393,269864439
"00510 Etu-Vallila - Alppila   (Helsinki )",8391,22912,21080,1553,5100,1738,192258068
"00520 Itä-Pasila   (Helsinki )",6118,23050,21225,1274,3501,1343,141019882
"00530 Kallio   (Helsinki )",17602,24258,21531,3334,10195,4073,426986838
"00540 Kalasatama   (Helsinki )",1832,27494,24357,358,878,596,50369851
"00550 Vallila   (Helsinki )",8528,21517,20039,1977,4989,1562,183501123
"00560 Toukola-Vanhakaupunki   (Helsinki )",10783,27474,23833,2151,5319,3313,296249280
"00570 Kulosaari   (Helsinki )",3101,47241,27184,568,1224,1309,146495738
"00580 Verkkosaari   (Helsinki )",2248,25583,24165,451,1117,680,57510016
"00590 Kaitalahti   (Helsinki )",292,41880,32200,58,84,150,12229032
"00600 Koskela-Helsinki   (Helsinki )",3464,22008,18263,836,2045,583,76236534
"00610 Käpylä   (Helsinki )",6734,25543,23488,995,3939,1800,172003331
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",2721,28547,24457,409,1438,874,77675821
"00630 Maunula-Suursuo   (Helsinki )",6914,23078,20517,1203,4352,1359,159562097
"00640 Oulunkylä-Patola   (Helsinki )",6668,26317,23296,1164,3586,1918,175483613
"00650 Veräjämäki   (Helsinki )",3396,28072,24193,574,1772,1050,95332776
"00660 Länsi-Pakila   (Helsinki )",5204,35369,29348,720,2079,2405,184058375
"00670 Paloheinä   (Helsinki )",4507,36104,31147,621,1603,2283,162719142
"00680 Itä-Pakila   (Helsinki )",2742,33628,28206,426,1128,1188,92207752
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2037,29407,26445,302,958,777,59902943
"00700 Malmi   (Helsinki )",10796,22279,20992,2009,6861,1926,240520215
"00710 Pihlajamäki   (Helsinki )",10295,22016,20950,1862,6681,1752,226651546
"00720 Pukinmäki-Savela   (Helsinki )",7151,22886,21441,1351,4447,1353,163656153
"00730 Tapanila   (Helsinki )",8806,26957,24994,1376,4683,2747,237379878
"00740 Siltamäki   (Helsinki )",8022,24072,22473,1538,4560,1924,193107298
"00750 Puistola   (Helsinki )",7294,23907,22184,1443,4185,1666,174374662
"00760 Suurmetsä   (Helsinki )",5860,28615,26252,934,2893,2033,167684794
"00770 Jakomäki - Alppikylä   (Helsinki )",5273,20017,19391,1087,3573,613,105549139
"00780 Tapaninvainio   (Helsinki )",5724,27825,24918,871,2985,1868,159268512
"00790 Viikki   (Helsinki )",8152,23426,22364,1858,4208,2086,190972622
"00800 Länsi-Herttoniemi   (Helsinki )",6087,23706,21171,1160,3574,1353,144299447
"00810 Herttoniemi   (Helsinki )",9264,25806,23560,1458,5342,2464,239071028
"00820 Roihuvuori   (Helsinki )",6078,21404,20136,1204,3872,1002,130094422
"00830 Tammisalo   (Helsinki )",1751,52364,30632,285,601,865,91689140
"00840 Laajasalo   (Helsinki )",6778,29348,24911,1045,3477,2256,198921884
"00850 Jollas   (Helsinki )",2287,42153,29488,369,839,1079,96403620
"00860 Santahamina   (Helsinki )",289,28889,28097,35,137,117,8348814
"00870 Etelä-Laajasalo   (Helsinki )",3843,23691,20773,765,2272,806,91042920
"00880 Roihupellon teollisuusalue   (Helsinki )",631,24440,21693,106,388,137,15421530
"00890 Itäsalmi   (Helsinki )",1449,51722,29569,296,465,688,74945400
"00900 Puotinharju   (Helsinki )",3523,21072,19452,764,2209,550,74237245
"00910 Puotila   (Helsinki )",5242,22403,20709,929,3392,921,117434585
"00920 Myllypuro   (Helsinki )",9712,23210,21353,1835,5891,1986,225412495
"00930 Itäkeskus-Marjaniemi   (Helsinki )",5532,26668,20408,1242,3018,1272,147525478
"00940 Kontula - Vesala   (Helsinki )",20713,20264,19243,4720,13254,2739,419733195
"00950 Vartioharju   (Helsinki )",4436,30393,26005,719,2075,1642,134825445
"00960 Pohjois-Vuosaari   (Helsinki )",5899,23051,22041,974,3724,1201,135978774
"00970 Mellunmäki   (Helsinki )",8744,21960,20864,1657,5663,1424,192016968
"00980 Etelä-Vuosaari   (Helsinki )",17614,22321,20825,3576,10702,3336,393155944
"00990 Aurinkolahti   (Helsinki )",6534,28400,24876,902,3535,2097,185567503
"01120 Västerskog   (Sipoo )",1064,31293,24896,197,490,377,33296278
"01150 Söderkulla   (Sipoo )",3734,31249,26075,603,1727,1404,116685412
"01180 Kalkkiranta   (Porvoo )",361,30136,25118,69,171,121,10879118
"01190 Box   (Sipoo )",779,27050,25255,121,409,249,21071704
"01200 Hakunila   (Vantaa )",9313,21615,20523,1756,6079,1478,201298410
"01230 Vaarala   (Vantaa )",2359,26369,25214,342,1308,709,62204730
"01260 Itä-Hakkila   (Vantaa )",3595,28611,25752,515,1863,1217,102858166
"01280 Länsimäki   (Vantaa )",7479,23321,22580,1279,4634,1566,174414909
"01300 Tikkurila   (Vantaa )",15475,25368,23097,2314,9434,3727,392562788
"01340 Leinelä   (Vantaa )",529,22805,21800,65,377,87,12063613
"01350 Hiekkaharju   (Vantaa )",7909,24279,22717,1153,4966,1790,192026419
"01360 Koivukylä-Havukoski   (Vantaa )",9945,21342,20144,2030,6406,1509,212246100
"01370 Jokiniemi   (Vantaa )",5197,22133,21623,1112,3130,955,115027255
"01380 Kuusikko-Hakkila   (Vantaa )",1417,29078,26499,189,726,502,41203530
"01390 Ruskeasanta-Ilola   (Vantaa )",6630,28206,26031,880,3455,2295,187004756
"01400 Rekola   (Vantaa )",6269,25364,23509,892,3738,1639,159008339
"01420 Päiväkumpu   (Vantaa )",2351,28518,26126,379,1136,836,67046127
"01450 Korso   (Vantaa )",14285,24432,23093,2348,8505,3432,349007550
"01480 Mikkola   (Vantaa )",4806,23790,22725,777,2989,1040,114332768
"01490 Nikinmäki   (Sipoo )",2738,30064,27827,398,1232,1108,82315233
"01510 Kirkonkylä-Veromäki   (Vantaa )",4629,25676,24279,630,2811,1188,118853828
"01520 Tammisto   (Vantaa )",5590,29211,27095,651,2832,2107,163287261
"01530 Veromiehenkylä   (Vantaa )",464,20691,20679,89,313,62,9600629
"01600 Myyrmäki   (Vantaa )",13349,22917,21822,2071,8684,2594,305918470
"01610 Kaivoksela   (Vantaa )",3956,24234,23021,597,2473,886,95871420
"01620 Martinlaakso   (Vantaa )",9538,23746,22402,1491,6002,2045,226491177
"01630 Hämeenkylä   (Vantaa )",1587,31800,27244,194,783,610,50467084
"01640 Hämevaara   (Vantaa )",2624,28601,25245,340,1430,854,75048641
"01650 Vapaala   (Vantaa )",3275,27746,24633,525,1711,1039,90867077
"01660 Varisto   (Vantaa )",1862,25738,23602,253,1114,495,47924069
"01670 Vantaanlaakso   (Vantaa )",2120,29825,27012,213,1125,782,63228436
"01680 Askisto   (Vantaa )",1500,29443,26477,203,750,547,44165215
"01690 Ylästö   (Vantaa )",3135,32433,29425,402,1283,1450,101678056
"01700 Kivistö   (Vantaa )",3337,30730,27090,431,1623,1283,102545710
"01710 Pähkinärinne   (Vantaa )",4140,24162,23165,593,2608,939,100030220
"01720 Petikko   (Vantaa )",59,20883,20705,13,36,10,1232102
"01730 Vantaanpuisto   (Vantaa )",1920,26542,24599,273,1091,556,50961180
"01740 Tuupakan teollisuusalue   (Vantaa )",163,27810,25797,26,88,49,4533063
"01750 Keimola   (Vantaa )",630,31772,26613,111,279,240,20016226
"01760 Seutula   (Vantaa )",1636,26910,24046,268,906,462,44023962
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",5957,27114,24433,770,3397,1790,161515202
"01810 Luhtajoki   (Nurmijärvi )",510,28557,25652,76,265,169,14564321
"01820 Haikala   (Nurmijärvi )",2438,29506,27165,278,1259,901,71934449
"01830 Lepsämä   (Nurmijärvi )",1724,28151,25724,265,878,581,48531870
"01840 Klaukkala   (Nurmijärvi )",2906,30631,27998,356,1337,1213,89012720
"01860 Perttula   (Nurmijärvi )",1557,29873,25318,257,785,515,46511960
"01900 Nurmijärvi Keskus   (Nurmijärvi )",6878,27435,23772,992,3903,1983,188698038
"01940 Palojoki   (Nurmijärvi )",565,27573,25255,83,282,200,15578910
"02100 Tapiola   (Espoo )",3733,34655,26729,565,1671,1497,129366334
"02110 Otsolahti   (Espoo )",2301,31444,26637,385,1000,916,72352458
"02120 Länsikorkee-Suvikumpu   (Espoo )",2376,30990,25797,391,1121,864,73631404
"02130 Pohjois-Tapiola   (Espoo )",4631,43145,30277,689,1680,2262,199804273
"02140 Laajalahti   (Espoo )",2698,34679,29796,433,984,1281,93563983
"02150 Otaniemi   (Espoo )",3771,12345,10738,2308,1259,204,46551429
"02160 Westend   (Espoo )",2407,69066,35386,429,628,1350,166241752
"02170 Haukilahti   (Espoo )",4502,42778,29619,717,1642,2143,192587842
"02180 Mankkaa   (Espoo )",4828,39562,32589,707,1538,2583,191006534
"02200 Niittykumpu   (Espoo )",6155,32535,27895,893,2631,2631,200251430
"02210 Olari   (Espoo )",9028,28242,25148,1529,4376,3123,254969685
"02230 Matinkylä   (Espoo )",16407,29190,23265,3071,8423,4913,478920086
"02240 Friisilä   (Espoo )",1539,43482,33566,201,484,854,66918208
"02250 Henttaa   (Espoo )",2333,27643,24011,405,1238,690,64491097
"02260 Kaitaa   (Espoo )",2788,40412,26224,469,1273,1046,112667801
"02270 Finnoo-Eestinmalmi   (Espoo )",1664,35521,29005,288,613,763,59106519
"02280 Malminmäki-Eestinlaakso   (Espoo )",3215,29123,26305,485,1547,1183,93631730
"02290 Puolarmetsän sairaala   (Espoo )",20,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",1803,38737,31986,291,561,951,69842590
"02320 Espoonlahti   (Espoo )",13278,26397,23063,2227,7308,3743,350494765
"02330 Saunalahti-Kattilalaakso   (Espoo )",6215,34898,28711,908,2497,2810,216889323
"02340 Latokaski   (Espoo )",3526,31049,27964,512,1557,1457,109480122
"02360 Soukka   (Espoo )",7612,31142,24431,1272,3798,2542,237053608
"02380 Suvisaaristo   (Espoo )",487,60722,30558,93,156,238,29571526
"02390 Sarvvik   (Kirkkonummi )",228,61232,23985,51,95,82,13960867
"02400 Kirkkonummi Keskus   (Kirkkonummi )",9441,26990,23985,1434,5166,2841,254816226
"02410 Gesterby   (Kirkkonummi )",1774,21404,19853,316,1179,279,37971512
"02420 Jorvas   (Kirkkonummi )",1361,32953,27501,215,566,580,44849508
"02430 Masala   (Kirkkonummi )",3089,25425,23635,517,1728,844,78537866
"02440 Luoma   (Kirkkonummi )",480,36159,27137,96,188,196,17356165
"02450 Sundsberg   (Kirkkonummi )",1069,38288,34849,91,329,649,40929834
"02460 Kantvik   (Kirkkonummi )",1360,28809,25950,202,672,486,39180149
"02470 Upinniemi   (Kirkkonummi )",295,23227,23221,33,216,46,6852090
"02480 Porkkala   (Kirkkonummi )",3212,31971,27841,489,1393,1330,102690649
"02490 Pikkala   (Siuntio )",267,27297,23603,35,158,74,7288312
"02510 Oitmäki   (Kirkkonummi )",389,28191,23618,78,187,124,10966210
"02520 Lapinkylä   (Kirkkonummi )",606,29221,23447,108,315,183,17708132
"02540 Kylmälä   (Kirkkonummi )",521,32919,25199,83,263,175,17150582
"02550 Evitskog   (Kirkkonummi )",678,28335,23254,145,336,197,19210809
"02570 Siuntio Kirkonkylä   (Siuntio )",1019,25605,23312,183,537,299,26091898
"02580 Siuntio Asemanseutu   (Siuntio )",2530,28220,24343,375,1391,764,71395919
"02590 Lappers   (Siuntio )",174,29455,25656,26,88,60,5125232
"02600 Etelä-Leppävaara   (Espoo )",8611,26579,23607,1479,4629,2503,228870638
"02610 Kilo   (Espoo )",4626,25749,22548,1073,2231,1322,119115574
"02620 Karakallio   (Espoo )",6238,28085,24638,936,3309,1993,175196281
"02630 Nihtisilta   (Espoo )",2552,29095,25714,404,1237,911,74251465
"02650 Pohjois-Leppävaara   (Espoo )",8569,26998,23945,1388,4592,2589,231349794
"02660 Lintuvaara   (Espoo )",4410,31397,27073,912,1673,1825,138461294
"02680 Uusmäki   (Espoo )",1514,32242,27693,197,674,643,48813854
"02700 Kauniainen   (Kauniainen )",7228,46916,29897,1362,2378,3488,339107540
"02710 Viherlaakso   (Espoo )",4859,29141,25060,741,2441,1677,141597246
"02720 Lähderanta   (Espoo )",2321,30599,25898,361,1130,830,71019298
"02730 Jupperi   (Espoo )",3342,40672,31918,474,1120,1748,135925004
"02740 Bemböle-Pakankylä   (Espoo )",2267,29679,26453,352,1084,831,67282091
"02750 Sepänkylä-Kuurinniitty   (Espoo )",4388,34613,27682,678,1865,1845,151883862
"02760 Tuomarila-Suvela   (Espoo )",11012,24770,22970,2055,6085,2872,272768622
"02770 Espoon Keskus   (Espoo )",8137,24253,21695,1734,4377,2026,197350055
"02780 Kauklahti   (Espoo )",6506,30666,25967,974,3155,2377,199515251
"02810 Gumböle-Karhusuo   (Espoo )",1095,32563,29731,141,446,508,35656741
"02820 Nupuri-Nuuksio   (Espoo )",1052,33238,26671,170,473,409,34966671
"02860 Siikajärvi   (Espoo )",527,27426,23912,86,261,180,14453659
"02880 Veikkola   (Kirkkonummi )",4091,31500,27264,553,1905,1633,128865594
"02920 Niipperi   (Espoo )",3547,30715,27310,498,1607,1442,108947359
"02940 Lippajärvi-Järvenperä   (Espoo )",7442,30559,26871,1060,3490,2892,227423104
"02970 Kalajärvi   (Espoo )",2643,29719,26206,356,1288,999,78547540
"02980 Lakisto   (Espoo )",337,24457,20975,63,214,60,8242159
"03100 Nummela   (Vihti )",11508,25854,23430,1723,6684,3101,297528383
"03150 Huhmari   (Vihti )",623,27951,25002,94,327,202,17413260
"03220 Tervalampi   (Vihti )",483,28156,25134,70,250,163,13599260
"03250 Ojakkala   (Vihti )",1417,28052,25643,213,715,489,39749361
"03300 Otalampi   (Vihti )",1787,25900,24938,265,973,549,46283756
"03320 Selki   (Vihti )",264,24338,23464,48,150,66,6425238
"03400 Vihti Kirkonkylä   (Vihti )",4917,24921,23054,764,2869,1284,122538998
"03430 Jokikunta   (Vihti )",394,24536,23929,72,216,106,9667282
"03600 Karkkila Keskus   (Karkkila )",5264,22251,20477,920,3446,898,117128547
"03620 Polari   (Karkkila )",1656,22813,21364,294,1046,316,37777521
"03710 Uusitalo   (Karkkila )",157,23546,22950,34,87,36,3696676
"03790 Vihtijärvi   (Vihti )",409,26841,23234,74,226,109,10977946
"03810 Ikkala   (Lohja )",488,22056,20108,97,308,83,10763560
"03850 Pusula   (Lohja )",1392,21645,19357,316,840,236,30129760
"03870 Hyönölä   (Lohja )",162,22489,18948,38,96,28,3643271
"04130 Sipoo   (Sipoo )",5483,26744,23956,822,3008,1653,146638145
"04150 Martinkylä   (Sipoo )",497,27696,24406,85,253,159,13765007
"04170 Paippinen   (Sipoo )",951,26545,24512,128,536,287,25244302
"04200 Kerava Keskus   (Kerava )",9682,24194,21948,1494,6012,2176,234249895
"04220 Ahjo-Kaskela   (Kerava )",3795,26264,24166,599,2085,1111,99672265
"04230 Pihkaniitty   (Kerava )",5745,26455,25025,755,3260,1730,151985128
"04240 Talma   (Sipoo )",910,27881,25753,139,465,306,25371616
"04250 Alikerava   (Kerava )",3872,23232,22298,602,2505,765,89954421
"04260 Savio   (Kerava )",4963,24742,23124,717,3067,1179,122796907
"04300 Hyrylä   (Tuusula )",7903,28004,24628,1120,4351,2432,221317332
"04310 Tuusula Keskus   (Tuusula )",2031,33805,26545,306,958,767,68658354
"04320 Riihikallio   (Tuusula )",3738,26933,24687,501,2179,1058,100674103
"04330 Lahela   (Tuusula )",1589,32929,29277,182,687,720,52323454
"04340 Mattila   (Tuusula )",1736,27836,25188,241,942,553,48322858
"04350 Nahkela   (Tuusula )",404,28355,24889,71,184,149,11455335
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",952,26820,24689,152,511,289,25532413
"04370 Rusutjärvi   (Tuusula )",599,28963,25783,93,299,207,17349113
"04380 Tuomala   (Tuusula )",443,29652,24747,86,204,153,13135752
"04390 Jäniksenlinna   (Tuusula )",339,28685,26425,42,178,119,9724248
"04400 Loutti   (Järvenpää )",8271,25117,22643,1209,5046,2016,207743225
"04410 Järvenpää Keskus   (Järvenpää )",7924,24198,22806,1180,4887,1857,191743091
"04420 Kyrölä   (Järvenpää )",2914,27446,25992,398,1562,954,79977611
"04430 Kinnari-Mikonkorpi   (Järvenpää )",6950,27700,25716,937,3743,2270,192515157
"04440 Jamppa   (Järvenpää )",3711,22369,20443,689,2349,673,83011460
"04460 Nummenkylä   (Tuusula )",1385,27352,26192,175,753,457,37883000
"04480 Haarajoki   (Mäntsälä )",1626,28395,27070,235,782,609,46169805
"04500 Kellokoski   (Tuusula )",4281,25937,25054,606,2412,1263,111037847
"04530 Ohkola   (Mäntsälä )",658,25577,23951,100,378,180,16829589
"04600 Mäntsälä Keskus   (Mäntsälä )",7219,23549,21669,1158,4552,1509,170000807
"04620 Kaunismäki   (Mäntsälä )",1267,29114,27811,145,608,514,36887998
"04630 Sääksjärvi   (Mäntsälä )",652,23449,22073,165,332,155,15288673
"04660 Numminen   (Mäntsälä )",1257,25474,24116,213,698,346,32020539
"04680 Hirvihaara   (Mäntsälä )",475,25175,24214,75,272,128,11958212
"04740 Sälinkää   (Mäntsälä )",906,22266,20769,191,528,187,20173396
"04770 Sahakylä   (Mäntsälä )",163,21611,20185,42,92,29,3522609
"04820 Kaukalampi   (Mäntsälä )",226,29042,24788,47,106,73,6563394
"04840 Hautjärvi   (Mäntsälä )",213,24549,21553,50,109,54,5228909
"04920 Saarentaus   (Mäntsälä )",262,24662,23039,46,156,60,6461422
"04940 Levanto   (Mäntsälä )",223,23203,21127,50,129,44,5174261
"05100 Röykkä   (Nurmijärvi )",1677,26286,24951,253,921,503,44082318
"05200 Rajamäki   (Nurmijärvi )",4846,25977,24518,670,2800,1376,125886316
"05250 Kiljava   (Nurmijärvi )",154,23077,21913,25,104,25,3553812
"05400 Jokela   (Tuusula )",4792,26295,24607,703,2668,1421,126005196
"05430 Nuppulinna   (Tuusula )",797,27114,24767,126,447,224,21610036
"05440 Hyvinkää   (Hyvinkää )",252,31957,29719,17,118,117,8053284
"05450 Nukari   (Nurmijärvi )",799,26110,24435,153,401,245,20862197
"05460 Hakalanmäki-Hakala   (Hyvinkää )",2630,24167,23264,378,1673,579,63559207
"05470 Palopuro   (Hyvinkää )",252,23800,23221,53,143,56,5997657
"05510 Päivärinta   (Hyvinkää )",375,24247,21303,72,223,80,9092666
"05620 Noppo   (Hyvinkää )",970,27215,25643,135,524,311,26398662
"05720 Kytäjä   (Hyvinkää )",414,28316,23441,76,207,131,11722742
"05800 Hyvinkää Keskus   (Hyvinkää )",8290,23038,20333,1396,5459,1435,190985722
"05810 Martti   (Hyvinkää )",3960,28144,25623,589,2066,1305,111450351
"05820 Mustamännistö   (Hyvinkää )",3955,26208,22841,684,2314,957,103651763
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",5914,25087,23110,910,3539,1465,148362498
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",2923,25243,23218,489,1743,691,73786255
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",.,.,.,.,.,.,.
"05860 Talvisilta   (Hyvinkää )",1136,23680,22586,188,697,251,26900347
"05880 Paavola-Vaivero   (Hyvinkää )",2838,20525,18774,567,1909,362,58250947
"05900 Vieremä   (Hyvinkää )",3414,23987,21153,527,2197,690,81891487
"05950 Ridasjärvi   (Hyvinkää )",311,24310,22747,47,195,69,7560407
"06100 Porvoo Keskus   (Porvoo )",15126,26587,22531,2414,8685,4027,402156325
"06150 Kevätkumpu   (Porvoo )",4676,23438,21220,856,2901,919,109594646
"06200 Porvoo itäinen   (Porvoo )",2048,26750,23165,361,1160,527,54783219
"06400 Gammelbacka   (Porvoo )",5444,25069,22794,876,3162,1406,136475873
"06450 Eestinmäki-Ernestas   (Porvoo )",1597,28207,24586,243,845,509,45046992
"06500 Saksala-Suomenkylä   (Porvoo )",1674,27634,24280,302,891,481,46258719
"06530 Kerkkoo   (Porvoo )",614,26338,25344,86,337,191,16171812
"06650 Hamari   (Porvoo )",1127,27836,24831,173,563,391,31370715
"06750 Tolkkinen   (Porvoo )",1281,28236,25290,185,659,437,36170518
"06830 Kulloonkylä   (Porvoo )",817,28133,25384,116,433,268,22985016
"06850 Kulloo   (Porvoo )",17,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",288,29100,23645,57,150,81,8380873
"06950 Emäsalo   (Porvoo )",317,26820,23578,58,174,85,8501938
"07110 Hinthaara   (Porvoo )",1061,28342,25509,158,565,338,30070379
"07130 Anttila   (Porvoo )",494,24455,22659,102,254,138,12080627
"07150 Laukkoski   (Pornainen )",703,29190,24752,127,362,214,20520330
"07170 Keski-Pornainen   (Pornainen )",1803,25078,23835,294,1004,505,45215435
"07190 Halkia   (Pornainen )",1058,24628,23805,194,591,273,26055916
"07220 Kaarenkylä   (Porvoo )",242,24907,22243,36,146,60,6027516
"07230 Monninkylä   (Askola )",1184,25676,23158,192,677,315,30400787
"07280 Ilola   (Porvoo )",690,24692,23742,132,362,196,17037624
"07310 Sannainen   (Porvoo )",311,24582,24124,62,159,90,7644888
"07320 Jakari-Sannäs   (Porvoo )",346,25287,24409,60,195,91,8749474
"07350 Gäddrag   (Porvoo )",71,24098,24778,18,35,18,1710979
"07360 Tirmo   (Porvoo )",42,24621,25051,8,21,13,1034101
"07370 Pellinki   (Porvoo )",120,20901,17027,36,66,18,2508176
"07390 Suurpellinki   (Porvoo )",97,23042,20046,34,40,23,2235075
"07410 Kråkö   (Porvoo )",266,29100,22188,41,167,58,7740720
"07450 Voolahti   (Porvoo )",336,23936,23271,67,188,81,8042455
"07500 Askola Kirkonkylä   (Askola )",857,24459,22764,156,486,215,20961400
"07510 Vakkola   (Askola )",527,25215,22956,100,274,153,13288505
"07530 Onkimaa   (Askola )",252,23570,20785,59,138,55,5939687
"07550 Torpinkylä   (Pukkila )",232,21609,19528,56,133,43,5013306
"07560 Pukkila Keskus   (Pukkila )",1058,23374,21211,208,640,210,24730027
"07565 Kantele   (Pukkila )",216,22926,20539,54,117,45,4951913
"07580 Tiilää   (Askola )",55,31343,24910,6,31,18,1723869
"07590 Huuvari-Tiilää   (Askola )",487,24359,22970,91,258,138,11863023
"07600 Myrskylä Keskus   (Myrskylä )",1384,21194,18866,325,846,213,29332917
"07680 Juornaankylä   (Askola )",430,22682,21063,102,245,83,9753233
"07690 Kankkila   (Myrskylä )",117,20790,18904,28,70,19,2432439
"07700 Koskenkylän saha-alue   (Loviisa )",918,24414,23062,145,543,230,22412442
"07720 Malmgård   (Loviisa )",69,19913,17183,23,36,10,1373982
"07740 Gammelby   (Loviisa )",330,24781,22930,71,180,79,8177682
"07750 Isnäs   (Loviisa )",444,21664,19871,107,261,76,9618652
"07780 Härkäpää   (Loviisa )",152,25736,18605,47,68,37,3911879
"07800 Lapinjärvi Keskus   (Lapinjärvi )",742,20698,19239,152,490,100,15358064
"07810 Ingermaninkylä   (Lapinjärvi )",227,22333,20108,50,142,35,5069701
"07820 Porlammi   (Lapinjärvi )",423,23693,17749,112,244,67,10022219
"07830 Pukaro   (Lapinjärvi )",235,25209,20924,53,137,45,5924059
"07840 Lindkoski   (Lapinjärvi )",162,24357,20767,31,94,37,3945884
"07850 Heikinkylä   (Lapinjärvi )",255,21986,18842,76,129,50,5606440
"07870 Skinnarby   (Loviisa )",373,22914,21196,99,205,69,8546964
"07880 Liljendal Keskus   (Loviisa )",827,22210,19903,193,487,147,18367548
"07890 Mickelspiltom   (Loviisa )",167,21479,20080,41,96,30,3587054
"07900 Loviisa Keskus   (Loviisa )",3451,22484,19908,652,2195,604,77593432
"07910 Valko   (Loviisa )",959,21898,19817,186,615,158,20999734
"07920 Etelä-Harju   (Loviisa )",1153,24545,21305,192,716,245,28299812
"07930 Pernaja Kirkonkylä   (Loviisa )",523,24403,21532,75,328,120,12762998
"07940 Määrlahti   (Loviisa )",850,22897,17993,167,564,119,19462775
"07945 Kuggom   (Loviisa )",389,22752,21048,83,233,73,8850363
"07955 Tesjoki   (Loviisa )",968,23017,21325,177,585,206,22280156
"07960 Ahvenkoski   (Loviisa )",109,31156,20524,16,70,23,3396001
