"Postal code area","Households, total, 2014 (TE)","Average size of households, 2014 (TE)","Occupancy rate, 2014 (TE)","Young single persons, 2014 (TE)","Young couples without children, 2014 (TE)","Households with children, 2014 (TE)","Households with small children, 2014 (TE)","Households with children under school age, 2014 (TE)","Households with school-age children, 2014 (TE)","Households with teenagers, 2014 (TE)","Adult households, 2014 (TE)","Pensioner households, 2014 (TE)","Households living in owner-occupied dwellings, 2014 (TE)","Households living in rented dwellings, 2014 (TE)","Households living in other dwellings, 2014 (TE)"
"00520 Itä-Pasila   (Helsinki )",3792,1.7,31.7,604,309,493,208,342,143,115,2485,820,1821,1888,83
"00530 Kallio   (Helsinki )",12319,1.5,31.0,3113,1196,730,298,470,183,138,9227,2375,5316,6629,374
"00540 Kalasatama   (Helsinki )",810,1.9,30.7,141,123,141,68,101,35,28,580,89,186,621,3
"00550 Vallila   (Helsinki )",5911,1.5,29.7,1399,606,531,212,344,146,124,4365,1019,2072,3722,117
"00560 Toukola-Vanhakaupunki   (Helsinki )",6362,2.0,31.1,1052,672,1415,538,906,508,295,3957,1009,2754,3513,95
"00570 Kulosaari   (Helsinki )",1881,2.0,43.6,216,105,433,113,202,188,171,882,580,1135,638,108
"00580 Verkkosaari   (Helsinki )",1230,2.0,32.0,196,135,277,110,187,106,49,726,227,420,795,15
"00590 Kaitalahti   (Helsinki )",141,2.7,38.8,2,2,53,11,23,22,19,52,39,121,9,11
"00600 Koskela-Helsinki   (Helsinki )",1986,1.9,33.2,171,84,356,94,181,139,131,961,677,597,1368,21
"00610 Käpylä   (Helsinki )",4330,1.8,30.6,445,249,919,338,556,307,243,2360,1069,1887,2362,81
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",1489,2.0,40.0,150,85,308,71,148,122,108,793,392,938,490,61
"00630 Maunula-Suursuo   (Helsinki )",4551,1.8,33.7,494,205,776,225,418,309,235,2373,1420,1665,2814,72
"00640 Oulunkylä-Patola   (Helsinki )",4219,1.9,36.1,530,249,785,207,400,323,275,2214,1238,2397,1705,117
"00650 Veräjämäki   (Helsinki )",1985,2.1,35.8,128,105,546,145,280,235,177,1026,424,812,1133,40
"00660 Länsi-Pakila   (Helsinki )",2586,2.5,39.8,71,47,816,187,356,359,338,862,941,2212,260,114
"00670 Paloheinä   (Helsinki )",2210,2.7,37.5,15,35,850,189,369,397,315,759,619,1952,159,99
"00680 Itä-Pakila   (Helsinki )",1420,2.6,39.3,39,28,492,111,217,231,206,513,424,1136,222,62
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",1056,2.6,35.3,23,26,412,100,199,179,165,388,263,758,275,23
"00700 Malmi   (Helsinki )",6958,1.9,33.1,903,356,1379,409,730,532,493,3961,1636,2671,4173,114
"00710 Pihlajamäki   (Helsinki )",6735,1.9,33.5,698,325,1332,412,733,466,407,3590,1838,2787,3804,144
"00720 Pukinmäki-Savela   (Helsinki )",4484,1.9,33.3,426,261,822,261,458,316,254,2399,1278,2132,2225,127
"00730 Tapanila   (Helsinki )",5100,2.2,34.0,367,223,1449,354,703,660,529,2618,1053,2937,2045,118
"00740 Siltamäki   (Helsinki )",4428,2.3,34.3,214,257,1256,318,602,546,478,1971,1216,2820,1501,107
"00750 Puistola   (Helsinki )",4225,2.2,33.6,368,220,1100,305,585,445,382,2224,927,2053,2089,83
"00760 Suurmetsä   (Helsinki )",3027,2.6,35.1,78,110,1043,203,482,471,434,1227,786,2284,663,80
"00770 Jakomäki - Alppikylä   (Helsinki )",3187,2.0,32.3,290,119,738,231,398,279,273,1584,869,852,2287,48
"00780 Tapaninvainio   (Helsinki )",3153,2.2,37.0,192,99,770,206,373,308,293,1467,931,2280,798,75
"00790 Viikki   (Helsinki )",4802,2.2,29.3,688,523,1486,489,881,635,403,2717,611,1397,3375,30
"00800 Länsi-Herttoniemi   (Helsinki )",4138,1.7,33.2,600,217,689,190,357,269,212,2385,1072,1424,2648,66
"00810 Herttoniemi   (Helsinki )",5792,1.9,32.9,627,436,1296,410,720,471,416,3466,1044,1738,4012,42
"00820 Roihuvuori   (Helsinki )",4097,1.7,31.3,541,190,736,217,384,269,249,2379,987,1714,2272,111
"00830 Tammisalo   (Helsinki )",916,2.4,45.9,22,8,283,62,129,143,110,289,349,774,99,43
"00840 Laajasalo   (Helsinki )",4087,2.0,38.3,326,120,842,232,402,367,309,1783,1488,3005,939,143
"00850 Jollas   (Helsinki )",1180,2.7,38.5,20,25,458,101,206,206,193,452,275,767,379,34
"00860 Santahamina   (Helsinki )",166,2.6,24.5,21,9,76,29,46,34,14,87,3,0,166,0
"00870 Etelä-Laajasalo   (Helsinki )",2380,2.0,34.7,184,118,592,171,319,237,194,1096,704,809,1542,29
"00880 Roihupellon teollisuusalue   (Helsinki )",346,1.8,31.9,43,46,60,25,36,15,18,233,53,1,341,4
"00890 Itäsalmi   (Helsinki )",659,3.1,51.5,3,2,331,40,85,160,201,205,137,585,46,28
"00900 Puotinharju   (Helsinki )",2334,1.8,33.6,293,104,379,111,183,133,149,1261,705,1016,1254,64
"00910 Puotila   (Helsinki )",3472,1.7,32.2,530,171,575,175,307,231,181,2012,892,1614,1763,95
"00920 Myllypuro   (Helsinki )",5762,2.0,33.9,467,193,1315,409,727,497,480,2700,1769,2599,3035,128
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3223,2.1,38.1,245,121,705,193,340,296,285,1582,953,1392,1764,67
"00940 Kontula - Vesala   (Helsinki )",12654,2.0,32.2,907,480,2874,793,1433,1228,1076,6228,3618,4512,7905,237
"00950 Vartioharju   (Helsinki )",2252,2.4,38.1,75,57,683,135,273,313,284,971,619,1710,445,97
"00960 Pohjois-Vuosaari   (Helsinki )",3649,1.9,33.4,311,133,737,175,343,325,299,1895,1022,1943,1559,147
"00970 Mellunmäki   (Helsinki )",5552,1.9,33.4,431,198,1117,318,541,443,436,2881,1576,2741,2708,103
"00980 Etelä-Vuosaari   (Helsinki )",10843,2.1,32.5,761,436,2808,763,1409,1254,1039,5279,2793,3974,6741,128
"00990 Aurinkolahti   (Helsinki )",4017,1.9,34.5,352,274,863,280,499,360,218,2188,974,2255,1704,58
"01120 Västerskog   (Sipoo )",532,2.5,48.6,10,8,151,32,68,74,59,212,177,472,35,25
"01150 Söderkulla   (Sipoo )",1803,2.6,44.5,61,37,698,170,347,338,228,656,467,1463,297,43
"01180 Kalkkiranta   (Porvoo )",193,2.5,50.2,4,2,66,10,23,30,31,64,63,176,11,6
"01190 Box   (Sipoo )",402,2.6,46.3,10,6,130,31,59,61,57,160,118,376,13,13
"01200 Hakunila   (Vantaa )",5757,2.1,32.6,506,205,1533,443,834,634,542,2883,1357,2460,3241,56
"01230 Vaarala   (Vantaa )",1286,2.3,36.2,116,56,346,86,170,137,140,667,277,1020,242,24
"01260 Itä-Hakkila   (Vantaa )",1796,2.6,38.2,36,58,658,134,292,311,270,733,416,1498,276,22
"01280 Länsimäki   (Vantaa )",4377,2.1,33.5,305,171,1152,316,586,481,415,2272,965,2667,1676,34
"01300 Tikkurila   (Vantaa )",9479,1.9,35.6,1063,611,1754,457,864,700,627,5187,2569,5214,4137,128
"01340 Leinelä   (Vantaa )",347,1.7,32.5,59,51,54,18,36,14,12,241,52,51,295,1
"01350 Hiekkaharju   (Vantaa )",4722,2.0,34.3,620,316,1130,287,537,491,432,2588,1020,2536,2128,58
"01360 Koivukylä-Havukoski   (Vantaa )",6400,1.9,33.8,823,295,1304,410,752,498,424,3609,1508,3139,3175,86
"01370 Jokiniemi   (Vantaa )",2936,2.0,32.1,512,310,738,236,410,288,215,1890,313,941,1975,20
"01380 Kuusikko-Hakkila   (Vantaa )",735,2.6,37.2,11,30,277,84,133,116,122,290,172,547,180,8
"01390 Ruskeasanta-Ilola   (Vantaa )",3445,2.6,36.1,154,199,1305,329,650,583,476,1567,594,2498,895,52
"01400 Rekola   (Vantaa )",3449,2.3,35.7,237,125,1077,253,502,502,451,1547,841,1774,1651,24
"01420 Päiväkumpu   (Vantaa )",1085,2.9,37.9,10,15,458,88,193,230,235,386,248,962,106,17
"01450 Korso   (Vantaa )",8290,2.2,35.1,731,409,2333,612,1150,1002,866,4248,1739,4942,3252,96
"01480 Mikkola   (Vantaa )",2922,2.2,33.9,280,106,854,252,458,398,320,1462,615,1767,1121,34
"01490 Nikinmäki   (Sipoo )",1324,3.0,39.3,15,34,660,152,329,341,245,447,226,1191,121,12
"01510 Kirkonkylä-Veromäki   (Vantaa )",2859,2.1,31.0,401,278,838,302,547,301,204,1723,303,1020,1812,27
"01520 Tammisto   (Vantaa )",3453,2.3,30.4,457,357,1294,435,789,573,269,1925,240,1677,1762,14
"01530 Veromiehenkylä   (Vantaa )",313,1.8,29.7,65,39,50,23,32,8,14,248,15,2,310,1
"01600 Myyrmäki   (Vantaa )",8751,1.8,34.6,1146,460,1496,467,838,656,454,4525,2750,4835,3793,123
"01610 Kaivoksela   (Vantaa )",2403,1.8,34.7,350,138,396,115,214,160,121,1464,550,1416,939,48
"01620 Martinlaakso   (Vantaa )",5953,2.0,34.9,581,267,1293,368,671,543,442,2901,1780,3516,2365,72
"01630 Hämeenkylä   (Vantaa )",825,2.6,35.8,16,35,307,81,152,144,105,340,184,657,161,7
"01640 Hämevaara   (Vantaa )",1282,2.3,38.6,74,57,347,93,173,145,142,634,311,876,395,11
"01650 Vapaala   (Vantaa )",1881,2.1,39.5,173,56,426,102,208,178,149,935,526,1463,391,27
"01660 Varisto   (Vantaa )",1056,2.2,36.7,56,45,282,63,133,130,101,502,276,576,477,3
"01670 Vantaanlaakso   (Vantaa )",1170,2.3,37.7,52,59,359,109,180,148,127,491,325,960,200,10
"01680 Askisto   (Vantaa )",771,2.6,38.4,18,17,299,55,123,145,135,307,174,535,228,8
"01690 Ylästö   (Vantaa )",1548,3.0,35.5,23,27,831,174,378,423,308,482,251,1274,265,9
"01700 Kivistö   (Vantaa )",1181,2.9,37.4,29,51,567,161,333,288,158,400,223,1060,108,13
"01710 Pähkinärinne   (Vantaa )",2563,1.8,34.5,309,128,502,141,272,200,166,1434,631,1595,942,26
"01720 Petikko   (Vantaa )",34,2.0,32.2,6,2,6,3,3,1,2,20,8,19,13,2
"01730 Vantaanpuisto   (Vantaa )",1026,2.3,39.3,85,46,296,71,146,134,112,440,296,889,114,23
"01740 Tuupakan teollisuusalue   (Vantaa )",89,2.3,51.2,3,1,18,2,8,11,6,46,26,73,12,4
"01750 Keimola   (Vantaa )",317,2.7,43.6,7,6,117,17,54,54,55,125,78,294,20,3
"01760 Seutula   (Vantaa )",851,2.5,39.4,22,12,258,63,118,120,119,364,236,717,120,14
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",3388,2.2,39.4,249,113,984,271,488,426,383,1546,873,2495,837,56
"01810 Luhtajoki   (Nurmijärvi )",251,2.9,43.0,4,4,93,20,44,42,51,93,66,232,11,8
"01820 Haikala   (Nurmijärvi )",1284,2.7,37.5,22,48,576,153,266,267,229,469,245,1080,196,8
"01830 Lepsämä   (Nurmijärvi )",830,2.9,42.8,9,15,341,70,139,183,164,281,217,798,18,14
"01840 Klaukkala   (Nurmijärvi )",1514,2.8,38.6,28,39,718,160,314,362,297,562,242,1244,265,5
"01860 Perttula   (Nurmijärvi )",793,2.7,45.8,13,13,277,62,141,127,110,313,206,728,39,26
"01900 Nurmijärvi Keskus   (Nurmijärvi )",3918,2.2,40.6,252,130,1089,248,481,509,496,1677,1166,2769,1084,65
"01940 Palojoki   (Nurmijärvi )",282,2.7,42.8,5,4,106,17,40,61,52,95,88,269,7,6
"02100 Tapiola   (Espoo )",2424,1.7,38.5,352,132,328,92,187,131,98,1189,917,1343,1004,77
"02110 Otsolahti   (Espoo )",1445,1.9,35.1,240,128,270,99,163,99,67,815,367,877,526,42
"02120 Länsikorkee-Hakalehto   (Espoo )",1571,1.8,36.5,291,119,268,83,150,105,60,857,456,976,556,39
"02130 Pohjois-Tapiola   (Espoo )",2606,2.3,39.6,184,110,739,206,380,319,263,1116,763,1885,645,76
"02140 Laajalahti-Friisinmäki   (Espoo )",1409,2.6,36.7,66,33,541,133,273,244,195,547,326,976,384,49
"02150 Otaniemi   (Espoo )",1814,1.8,24.8,649,335,83,34,58,28,16,1666,66,137,1659,18
"02160 Westend   (Espoo )",1232,2.5,50.8,35,30,419,91,168,192,190,435,385,1033,140,59
"02170 Haukilahti   (Espoo )",2642,2.1,42.1,205,91,676,146,289,293,287,1066,911,1814,762,66
"02180 Mankkaa   (Espoo )",2401,2.8,37.6,33,51,1019,271,540,463,392,853,537,1965,375,61
"02200 Niittykumpu   (Espoo )",4696,2.1,37.1,540,377,1241,426,729,454,347,2454,1017,2664,1916,116
"02210 Olari-Kuitinmäki   (Espoo )",5427,2.0,37.0,555,256,1261,370,650,535,419,2644,1549,3612,1678,137
"02230 Matinkylä   (Espoo )",10046,2.0,34.8,1288,748,2315,726,1276,933,727,5469,2306,4623,5233,190
"02240 Friisilä   (Espoo )",736,2.7,45.2,19,15,291,54,121,148,118,259,196,664,48,24
"02260 Iivisniemi   (Espoo )",1594,2.4,36.3,91,49,524,121,236,259,203,733,341,1061,508,25
"02270 Suomenoja   (Espoo )",823,2.8,37.3,15,31,330,90,161,158,127,312,191,606,189,28
"02280 Puolarmetsä   (Espoo )",1751,2.5,33.5,79,72,718,199,360,286,266,809,228,863,877,11
"02290 Puolarmetsän sairaala   (Espoo )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02300 Nöykkiö   (Espoo )",851,3.0,43.4,4,16,386,70,137,201,191,283,187,764,70,17
"02320 Kivenlahti   (Espoo )",8006,2.0,36.0,696,369,1766,486,893,737,639,3906,2371,4692,3159,155
"02330 Kattilalaakso   (Espoo )",3306,2.6,38.8,296,135,1332,355,732,611,426,1471,521,2017,1246,43
"02340 Latokaski   (Espoo )",1795,2.8,32.4,25,68,838,262,475,354,264,651,314,1453,328,14
"02360 Espoonlahti   (Espoo )",4342,2.2,39.6,280,133,1108,304,539,485,401,1878,1376,2991,1258,93
"02380 Suvisaaristo   (Espoo )",242,2.7,64.7,3,0,86,12,33,41,47,69,98,200,12,30
"02400 Kirkkonummi Keskus   (Kirkkonummi )",5386,2.3,39.8,308,202,1594,338,688,765,674,2280,1543,3446,1842,98
"02410 Gesterby   (Kirkkonummi )",1215,1.7,38.1,149,43,205,46,93,71,87,703,309,640,545,30
"02420 Jorvas   (Kirkkonummi )",674,2.8,51.6,6,7,263,45,106,146,122,228,190,610,41,23
"02430 Masala   (Kirkkonummi )",1723,2.4,34.1,102,66,656,175,338,303,221,789,287,981,717,25
"02440 Luoma   (Kirkkonummi )",241,2.7,53.7,5,2,81,15,35,37,34,81,83,222,12,7
"02450 Sundsberg   (Kirkkonummi )",586,3.1,38.1,4,28,361,114,235,182,61,178,49,562,16,8
"02460 Kantvik   (Kirkkonummi )",710,2.3,43.6,43,19,202,36,79,100,92,366,147,561,127,22
"02470 Upinniemi   (Kirkkonummi )",211,1.7,38.5,42,10,29,8,13,10,14,162,21,2,209,0
"02480 Porkkala   (Kirkkonummi )",1650,2.7,44.4,84,35,657,173,346,294,238,642,369,1344,240,66
"02490 Pikkala   (Siuntio )",167,1.9,44.5,20,10,32,10,21,10,8,105,31,118,44,5
"02510 Oitmäki   (Kirkkonummi )",198,2.4,46.9,6,5,59,14,27,25,34,91,51,149,40,9
"02520 Lapinkylä   (Kirkkonummi )",319,2.6,48.5,2,4,99,24,52,49,37,111,115,303,10,6
"02540 Kylmälä   (Kirkkonummi )",256,2.6,49.4,3,2,84,20,36,39,40,106,67,241,8,7
"02550 Evitskog   (Kirkkonummi )",342,2.5,48.4,14,6,109,39,61,49,40,145,94,307,23,12
"02570 Siuntio Kirkonkylä   (Siuntio )",547,2.4,47.5,22,6,164,39,76,81,57,243,146,486,40,21
"02580 Siuntio Asemanseutu   (Siuntio )",1385,2.5,47.9,38,27,475,106,220,231,196,518,403,1159,187,39
"02590 Lappers   (Siuntio )",89,2.8,49.2,0,1,39,9,22,21,14,25,25,87,1,1
"02600 Etelä-Leppävaara   (Espoo )",5392,2.0,32.2,791,660,1252,446,753,517,334,3257,894,1921,3400,71
"02610 Kilo   (Espoo )",2590,2.3,31.2,331,248,802,285,463,320,256,1535,255,930,1632,28
"02620 Karakallio   (Espoo )",3499,2.3,34.5,264,150,1151,309,607,552,396,1520,842,2111,1337,51
"02630 Nihtisilta   (Espoo )",1333,2.3,33.7,106,95,427,136,254,180,111,732,177,823,497,13
"02650 Pohjois-Leppävaara   (Espoo )",5430,1.9,33.4,800,571,985,393,644,351,232,3447,1007,2770,2571,89
"02660 Lintuvaara   (Espoo )",2179,2.8,33.6,113,81,893,214,412,450,369,958,335,1340,792,47
"02680 Uusmäki   (Espoo )",733,2.3,35.4,105,69,247,91,153,109,53,372,116,382,345,6
"02700 Suur-Kauniainen   (Kauniainen )",3784,2.4,47.2,217,114,1096,193,432,558,505,1395,1324,2457,1145,182
"02710 Viherlaakso   (Espoo )",2811,2.1,37.1,228,101,693,204,366,297,220,1299,830,2040,705,66
"02720 Laaksolahti-Lähderanta   (Espoo )",1329,2.2,37.0,158,46,368,86,179,150,155,608,362,965,318,46
"02730 Laaksolahti   (Espoo )",1610,2.8,45.2,16,24,641,102,230,321,289,551,432,1504,59,47
"02740 Karvasmäki-Kunnarla   (Espoo )",1132,2.5,36.7,82,49,443,135,256,192,141,567,133,563,547,22
"02750 Sepänkylä   (Espoo )",2428,2.5,34.8,240,145,964,291,519,434,303,1191,284,1409,999,20
"02760 Espoon Keskus Itäinen   (Espoo )",6641,2.2,32.2,658,465,1913,677,1119,720,560,3617,1122,3275,3278,88
"02770 Espoon Keskus Läntinen   (Espoo )",4560,2.2,32.5,447,280,1287,378,675,532,463,2445,843,1820,2684,56
"02780 Kauklahti   (Espoo )",3400,2.6,36.6,279,133,1407,371,736,692,479,1480,535,1784,1534,82
"02810 Kumpyöli-Karhusuo   (Espoo )",629,2.9,36.1,15,21,312,94,159,149,101,229,91,474,138,17
"02820 Nupuri-Nuuksio   (Espoo )",546,2.5,48.2,11,5,177,28,76,83,86,205,170,490,18,38
"02860 Siikajärvi   (Espoo )",267,2.6,41.1,2,1,79,17,29,44,39,108,82,240,16,11
"02880 Veikkola   (Kirkkonummi )",2145,2.7,41.5,48,48,930,208,434,476,359,756,478,1840,262,43
"02920 Niipperi   (Espoo )",1770,2.9,34.9,43,38,850,205,407,430,355,637,296,1228,507,35
"02940 Lippajärvi   (Espoo )",4134,2.4,36.0,211,130,1499,371,702,703,564,1919,734,2627,1427,80
"02970 Kalajärvi   (Espoo )",1390,2.7,38.8,32,28,549,148,268,264,203,542,309,1069,285,36
"02980 Lakisto   (Espoo )",196,1.7,40.3,21,9,21,3,7,13,10,151,24,53,139,4
"03100 Nummela   (Vihti )",6851,2.2,39.5,631,269,1908,514,1006,839,684,3263,1699,4690,2015,146
"03150 Huhmari   (Vihti )",328,2.4,49.5,4,11,84,10,21,47,46,149,96,297,6,25
"03220 Tervalampi   (Vihti )",252,2.5,48.6,4,6,71,10,22,32,36,105,79,234,14,4
"03250 Ojakkala   (Vihti )",736,2.7,43.2,7,17,295,63,136,137,120,271,174,686,34,16
"03300 Otalampi   (Vihti )",912,2.7,42.9,15,17,328,89,170,174,123,361,236,862,21,29
"03320 Selki   (Vihti )",137,2.5,47.6,4,1,41,10,19,20,18,61,35,120,12,5
"03400 Vihti Kirkonkylä   (Vihti )",2746,2.4,42.5,103,66,830,193,384,406,372,1128,813,2276,394,76
"03430 Jokikunta   (Vihti )",206,2.7,43.2,7,5,79,22,37,39,37,73,58,191,4,11
"03600 Karkkila Keskus   (Karkkila )",3207,2.0,40.2,209,76,692,154,327,361,281,1399,1131,2424,711,72
"03620 Polari   (Karkkila )",981,2.1,42.0,67,23,240,70,122,106,89,455,290,717,243,21
"03710 Uusitalo   (Karkkila )",84,2.4,48.7,1,0,26,7,14,10,9,30,29,82,1,1
"03790 Vihtijärvi   (Vihti )",213,2.5,47.1,3,4,65,14,35,30,21,81,72,182,21,10
"03810 Ikkala   (Lohja )",286,2.2,44.4,10,6,75,16,31,36,30,125,87,234,42,10
"03850 Pusula   (Lohja )",770,2.1,44.6,22,14,160,30,63,77,77,297,321,649,100,21
"03870 Hyönölä   (Lohja )",94,2.1,52.3,5,2,18,6,9,10,4,40,36,89,2,3
"04130 Sipoo   (Sipoo )",3051,2.3,41.0,156,62,930,202,408,412,417,1273,877,2267,705,79
"04150 Martinkylä   (Sipoo )",249,2.6,44.3,3,4,82,20,35,38,33,105,66,237,5,7
"04170 Paippinen   (Sipoo )",473,2.6,45.3,6,13,160,48,92,76,62,178,141,455,5,13
"04200 Kerava Keskus   (Kerava )",6157,1.9,37.7,676,296,1064,270,536,446,376,3075,2033,3606,2453,98
"04220 Ahjo-Kaskela   (Kerava )",2195,2.4,35.1,184,104,768,169,363,357,304,1136,299,1132,1051,12
"04230 Pihkaniitty   (Kerava )",3244,2.3,38.9,209,122,1004,235,508,469,356,1413,842,2465,743,36
"04240 Talma   (Sipoo )",472,2.6,45.1,9,3,161,26,64,81,72,192,122,443,20,9
"04250 Alikerava   (Kerava )",2466,1.9,34.2,371,197,532,155,283,208,192,1418,524,1071,1374,21
"04260 Savio   (Kerava )",2943,2.1,36.3,274,116,738,184,363,308,271,1564,651,1907,1008,28
"04300 Hyrylä   (Tuusula )",4578,2.2,39.3,290,123,1327,295,601,653,519,1955,1311,2938,1570,70
"04310 Tuusula Keskus   (Tuusula )",1044,2.4,43.5,54,31,356,79,155,158,154,420,275,808,213,23
"04320 Riihikallio   (Tuusula )",2043,2.3,38.1,127,67,593,171,302,235,225,956,502,1485,528,30
"04330 Lahela   (Tuusula )",793,2.9,40.7,22,15,382,72,171,201,152,287,126,731,50,12
"04340 Mattila   (Tuusula )",988,2.3,39.1,80,31,297,69,137,134,119,483,215,816,158,14
"04350 Nahkela   (Tuusula )",194,2.7,49.3,1,2,71,10,30,30,33,66,61,192,1,1
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",476,2.6,44.1,11,7,165,22,60,91,81,190,129,423,34,19
"04370 Rusutjärvi   (Tuusula )",295,2.7,46.8,2,3,97,23,44,59,42,123,81,283,5,7
"04380 Tuomala   (Tuusula )",219,2.6,51.8,2,0,77,13,32,35,36,73,74,203,8,8
"04390 Jäniksenlinna   (Tuusula )",184,2.6,45.7,3,4,62,12,28,34,32,73,49,176,3,5
"04400 Loutti   (Järvenpää )",5233,1.8,39.8,750,273,866,224,422,329,328,2815,1570,3338,1785,110
"04410 Järvenpää Keskus   (Järvenpää )",4806,2.0,36.7,476,248,1161,302,597,475,454,2381,1274,2911,1838,57
"04420 Kyrölä   (Järvenpää )",1581,2.4,37.0,64,92,513,146,260,218,187,753,322,1369,197,15
