"Postal code area","Households, total, 2016 (TE)","Average size of households, 2016 (TE)","Occupancy rate, 2016 (TE)","Young single persons, 2016 (TE)","Young couples without children, 2016 (TE)","Households with children, 2016 (TE)","Households with small children, 2016 (TE)","Households with children under school age, 2016 (TE)","Households with school-age children, 2016 (TE)","Households with teenagers, 2016 (TE)","Adult households, 2016 (TE)","Pensioner households, 2016 (TE)","Households living in owner-occupied dwellings, 2016 (TE)","Households living in rented dwellings, 2016 (TE)","Households living in other dwellings, 2016 (TE)"
"00880 Roihupellon teollisuusalue   (Helsinki )",415,1.8,32.2,43,44,62,27,42,12,16,247,106,2,409,4
"00890 Itäsalmi   (Helsinki )",665,3.1,52.9,6,2,302,26,83,140,183,228,145,591,51,23
"00900 Puotinharju   (Helsinki )",2363,1.8,33.1,293,91,388,121,202,143,146,1268,718,1005,1292,66
"00910 Puotila   (Helsinki )",3419,1.7,32.1,497,181,574,163,307,238,193,1957,898,1564,1766,89
"00920 Myllypuro   (Helsinki )",6019,2.1,33.5,426,199,1440,432,794,581,485,2771,1836,2685,3206,128
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3254,2.0,38.8,250,110,725,203,360,299,283,1560,993,1385,1797,72
"00940 Kontula - Vesala   (Helsinki )",12892,2.0,32.2,975,475,2869,793,1437,1262,1072,6416,3673,4426,8235,231
"00950 Vartioharju   (Helsinki )",2432,2.4,38.2,106,71,700,140,258,347,308,1060,695,1780,561,91
"00960 Pohjois-Vuosaari   (Helsinki )",3821,1.9,33.3,333,137,796,204,371,340,314,1942,1092,1949,1751,121
"00970 Mellunmäki   (Helsinki )",5569,1.9,33.7,443,220,1093,297,537,427,411,2872,1626,2705,2748,116
"00980 Etelä-Vuosaari   (Helsinki )",11064,2.0,32.8,846,445,2737,708,1382,1192,1067,5412,2960,3945,6979,140
"00990 Aurinkolahti   (Helsinki )",4254,1.9,34.3,368,263,946,292,529,405,251,2207,1119,2296,1880,78
"01120 Västerskog   (Sipoo )",552,2.5,49.0,15,5,152,29,62,78,70,223,185,499,35,18
"01150 Söderkulla   (Sipoo )",2268,2.4,43.4,209,92,785,188,403,379,267,974,527,1632,585,51
"01180 Kalkkiranta   (Porvoo )",187,2.5,50.1,3,1,57,5,18,27,35,63,68,175,6,6
"01190 Box   (Sipoo )",401,2.5,46.5,6,4,128,24,56,70,52,151,128,375,13,13
"01200 Hakunila   (Vantaa )",5799,2.1,32.8,569,169,1528,448,807,673,540,2868,1425,2432,3296,71
