"Postal code area","Workplaces, 2016 (TP)","Primary production, 2016 (TP)","Processing, 2016 (TP)","Services, 2016 (TP)","A Agriculture, forestry and fishing, 2016 (TP)","B Mining and quarrying, 2016 (TP)","C Manufacturing, 2016 (TP)","D Electricity, gas, steam and air conditioning supply, 2016 (TP)","E Water supply; sewerage, waste management and remediation activities, 2016 (TP)","F Construction, 2016 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2016 (TP)","H Transportation and storage, 2016 (TP)","I Accommodation and food service activities, 2016 (TP)","J Information and communication, 2016 (TP)","K Financial and insurance activities, 2016 (TP)","L Real estate activities, 2016 (TP)","M Professional, scientific and technical activities, 2016 (TP)","N Administrative and support service activities, 2016 (TP)","O Public administration and defence; compulsory social security, 2016 (TP)","P Education, 2016 (TP)","Q Human health and social work activities, 2016 (TP)","R Arts, entertainment and recreation, 2016 (TP)","S Other service activities, 2016 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2016 (TP)","U Activities of extraterritorial organisations and bodies, 2016 (TP)","X Industry unknown, 2016 (TP)"
"00240 Länsi-Pasila   (Helsinki )",12104,28,459,11617,28,0,60,66,0,333,328,845,386,4004,684,164,1839,280,1750,54,422,579,282,0,0,0
"00250 Taka-Töölö   (Helsinki )",7527,25,116,7386,25,0,14,0,0,102,277,99,275,61,58,77,457,420,583,513,3536,679,351,0,0,0
"00260 Keski-Töölö   (Helsinki )",6713,3,14,6696,3,0,7,0,0,7,172,116,518,92,12,30,1095,333,0,487,3114,574,153,0,0,0
"00270 Pohjois-Meilahti   (Helsinki )",2042,1,16,2025,1,0,6,0,0,10,127,19,119,269,6,38,393,81,0,209,620,47,97,0,0,0
"00280 Ruskeasuo   (Helsinki )",3928,0,949,2978,0,0,92,0,0,857,308,611,48,195,25,154,264,23,282,328,576,51,113,0,0,1
"00290 Meilahden sairaala-alue   (Helsinki )",10542,0,319,10223,0,0,6,0,0,313,190,0,203,48,2,0,229,432,174,1087,7760,73,25,0,0,0
"00300 Pikku Huopalahti   (Helsinki )",2581,0,74,2507,0,0,29,0,0,45,88,49,46,15,1,240,872,60,0,175,879,18,64,0,0,0
"00310 Kivihaka   (Helsinki )",2179,0,1048,1131,0,0,6,0,0,1042,109,1,18,3,7,9,87,244,0,0,653,0,0,0,0,0
"00320 Etelä-Haaga   (Helsinki )",1941,0,241,1700,0,0,19,0,1,221,276,6,131,73,2,47,90,38,54,396,501,26,60,0,0,0
"00330 Munkkiniemi   (Helsinki )",2431,2,66,2363,2,0,9,0,0,57,347,14,174,622,47,31,231,64,17,253,404,33,126,0,0,0
"00340 Kuusisaari-Lehtisaari   (Helsinki )",366,5,36,325,5,0,5,0,0,31,19,12,12,85,9,13,33,3,0,0,111,13,7,0,8,0
"00350 Munkkivuori-Niemenmäki   (Helsinki )",1918,3,123,1792,3,0,7,0,9,107,595,39,81,115,29,93,73,80,0,183,387,54,62,1,0,0
"00360 Pajamäki   (Helsinki )",83,0,8,75,0,0,0,0,0,8,20,3,7,2,0,15,21,0,0,2,0,5,0,0,0,0
"00370 Reimarla   (Helsinki )",4528,0,1632,2896,0,0,1224,1,0,407,648,218,138,905,49,3,176,164,0,76,390,79,50,0,0,0
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",16360,0,4181,12179,0,0,3529,52,271,329,1940,68,242,3498,327,230,514,2920,900,457,741,257,85,0,0,0
"00390 Konala   (Helsinki )",4968,2,1000,3966,2,0,277,0,0,723,1886,1029,97,222,16,37,284,89,1,39,130,60,76,0,0,0
"00400 Pohjois-Haaga   (Helsinki )",2095,0,150,1944,0,0,12,8,0,130,140,86,59,201,7,47,220,70,0,358,539,72,145,0,0,1
"00410 Malminkartano   (Helsinki )",1464,1,457,1006,1,0,90,0,0,367,117,33,24,40,6,44,127,76,0,261,224,15,39,0,0,0
"00420 Kannelmäki   (Helsinki )",2911,2,284,2624,2,0,144,0,0,140,620,47,560,36,28,21,152,47,0,151,723,63,176,0,0,1
"00430 Maununneva   (Helsinki )",744,2,251,491,2,0,152,0,0,99,52,75,14,25,1,1,85,16,0,101,98,16,7,0,0,0
"00440 Lassila   (Helsinki )",5296,1,1173,4122,1,0,90,0,0,1083,320,7,65,1161,783,35,321,246,4,51,1076,20,33,0,0,0
"00500 Sörnäinen   (Helsinki )",8747,1,237,8508,1,0,86,0,6,145,598,262,582,536,2892,39,416,283,917,144,997,210,632,0,0,1
"00510 Etu-Vallila - Alppila   (Helsinki )",14858,1,1384,13472,1,0,1077,0,0,307,2128,194,317,1977,4204,153,1228,368,855,883,547,295,322,1,0,1
"00520 Itä-Pasila   (Helsinki )",13899,5,1100,12794,5,0,69,0,285,746,284,375,364,1998,99,247,993,2177,3295,778,697,288,1199,0,0,0
"00530 Kallio   (Helsinki )",13538,4,589,12945,4,0,458,0,0,131,637,237,775,947,175,450,1069,218,3208,898,2306,470,1555,0,0,0
"00540 Kalasatama   (Helsinki )",614,0,204,410,0,0,12,188,2,2,36,2,29,28,1,11,37,6,0,17,122,99,22,0,0,0
"00550 Vallila   (Helsinki )",2335,0,250,2085,0,0,69,0,3,178,345,294,111,39,6,8,124,59,0,473,306,151,155,0,14,0
"00560 Toukola-Vanhakaupunki   (Helsinki )",5545,2,966,4577,2,0,549,0,9,408,450,180,199,243,33,9,974,240,5,1743,270,87,144,0,0,0
"00570 Kulosaari   (Helsinki )",1138,1,16,1121,1,0,9,0,0,7,60,35,85,289,173,7,44,17,0,163,92,133,13,0,10,0
"00580 Verkkosaari   (Helsinki )",7110,0,654,6456,0,0,314,120,0,220,1160,171,163,797,65,106,728,592,1644,34,528,56,412,0,0,0
"00590 Kaitalahti   (Helsinki )",43,0,2,41,0,0,0,0,0,2,2,6,0,0,16,1,11,0,0,0,1,2,2,0,0,0
"00600 Koskela-Helsinki   (Helsinki )",1341,0,26,1315,0,0,2,0,0,24,50,3,106,6,0,83,40,103,38,72,797,7,10,0,0,0
"00610 Käpylä   (Helsinki )",4080,0,338,3742,0,0,135,105,0,98,151,848,111,123,22,134,356,116,244,305,1207,84,41,0,0,0
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",6355,1,2663,3690,1,0,256,281,0,2126,651,216,191,878,0,39,214,494,13,36,858,9,91,0,0,1
"00630 Maunula-Suursuo   (Helsinki )",1451,0,107,1344,0,0,12,0,1,94,71,26,20,11,1,7,34,87,0,148,666,237,36,0,0,0
"00640 Oulunkylä-Patola   (Helsinki )",1965,1,137,1827,1,0,42,38,0,57,289,215,51,25,27,58,90,63,0,167,685,55,102,0,0,0
"00650 Veräjämäki   (Helsinki )",553,10,150,393,10,0,0,0,88,62,11,5,22,15,67,3,39,41,0,3,152,23,12,0,0,0
"00660 Länsi-Pakila   (Helsinki )",1237,4,131,1102,4,0,12,0,0,119,170,72,40,14,45,50,77,17,0,92,468,16,41,0,0,0
"00670 Paloheinä   (Helsinki )",601,3,20,578,3,0,3,0,0,17,39,70,17,10,2,7,52,10,0,45,242,68,16,0,0,0
"00680 Itä-Pakila   (Helsinki )",901,2,335,564,2,0,33,0,0,302,59,48,46,14,0,0,46,10,0,136,143,22,40,0,0,0
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",350,3,44,303,3,0,32,0,0,12,61,14,39,1,1,2,18,39,0,56,65,2,4,1,0,0
"00700 Malmi   (Helsinki )",10094,13,1465,8616,13,0,337,0,44,1084,1628,363,236,214,186,62,1112,669,497,718,2219,175,537,0,0,0
"00710 Pihlajamäki   (Helsinki )",1334,0,255,1079,0,0,57,0,75,123,225,67,100,36,1,14,135,46,0,150,262,18,25,0,0,0
"00720 Pukinmäki-Savela   (Helsinki )",1746,0,292,1454,0,0,34,0,0,258,215,194,98,32,17,21,176,312,0,124,210,13,42,0,0,0
"00730 Tapanila   (Helsinki )",1294,26,202,1066,26,0,44,0,1,157,157,84,56,25,4,7,84,162,0,158,179,105,45,0,0,0
"00740 Siltamäki   (Helsinki )",1097,3,146,948,3,0,17,0,0,129,254,69,21,17,1,7,51,36,0,117,320,35,20,0,0,0
"00750 Puistola   (Helsinki )",2255,2,569,1684,2,0,128,0,0,441,592,119,125,25,10,15,89,214,0,39,411,24,21,0,0,0
"00760 Suurmetsä   (Helsinki )",1314,1,565,748,1,0,142,0,1,422,175,164,19,14,3,2,56,74,0,121,62,25,33,0,0,0
"00770 Jakomäki - Alppikylä   (Helsinki )",1920,0,700,1220,0,0,99,0,75,526,277,450,42,1,0,5,57,49,0,47,273,8,11,0,0,0
"00780 Tapaninvainio   (Helsinki )",631,3,53,575,3,0,1,0,0,52,59,56,38,12,5,18,41,8,0,25,274,11,28,0,0,0
"00790 Viikki   (Helsinki )",4365,13,170,4182,13,0,31,0,0,139,256,23,100,34,1,22,957,23,616,1771,327,32,20,0,0,0
"00800 Länsi-Herttoniemi   (Helsinki )",1120,1,27,1092,1,0,2,0,0,25,47,38,35,35,1,12,74,48,0,127,564,23,88,0,0,0
"00810 Herttoniemi   (Helsinki )",3379,0,327,3052,0,0,40,0,0,287,656,114,159,190,61,202,206,698,0,198,417,67,84,0,0,0
"00820 Roihuvuori   (Helsinki )",1005,0,40,965,0,0,3,0,0,37,45,29,64,8,0,20,22,9,0,359,351,12,46,0,0,0
"00830 Tammisalo   (Helsinki )",149,1,11,137,1,0,0,0,0,11,13,12,10,3,3,3,20,10,0,4,52,3,4,0,0,0
"00840 Laajasalo   (Helsinki )",792,2,60,730,2,0,21,0,0,39,106,29,30,13,4,23,59,13,0,111,289,41,12,0,0,0
"00850 Jollas   (Helsinki )",303,2,32,269,2,0,1,0,0,31,23,16,9,6,29,6,33,2,0,84,50,4,7,0,0,0
"00860 Santahamina   (Helsinki )",776,0,13,763,0,0,13,0,0,0,0,0,58,0,0,81,0,0,602,13,2,0,7,0,0,0
"00870 Etelä-Laajasalo   (Helsinki )",341,2,39,300,2,0,5,0,0,34,15,16,15,10,0,1,17,4,0,16,200,0,6,0,0,0
"00880 Roihupellon teollisuusalue   (Helsinki )",6982,4,2313,4665,4,0,1544,0,2,767,2105,795,135,102,206,40,696,318,49,67,40,58,54,0,0,0
"00890 Östersundom   (Helsinki )",421,4,58,359,4,0,15,0,0,43,84,28,13,7,3,8,22,29,0,69,78,2,16,0,0,0
"00900 Puotinharju   (Helsinki )",1083,0,35,1048,0,0,19,0,0,16,324,11,45,10,1,0,34,11,0,282,122,144,64,0,0,0
"00910 Puotila   (Helsinki )",710,3,45,662,3,0,12,0,0,33,46,27,66,6,1,28,20,14,0,73,333,40,8,0,0,0
"00920 Myllypuro   (Helsinki )",1667,0,70,1597,0,0,2,0,0,68,130,94,88,8,0,8,37,84,0,96,831,188,33,0,0,0
"00930 Itäkeskus-Marjaniemi   (Helsinki )",4310,1,115,4194,1,0,19,0,0,96,1473,462,327,28,134,52,152,342,19,13,957,106,129,0,0,0
"00940 Kontula - Vesala   (Helsinki )",3278,3,413,2862,3,0,126,0,25,262,496,267,179,14,22,40,57,201,0,295,1051,105,135,0,0,0
"00950 Vartioharju   (Helsinki )",1081,1,208,872,1,0,35,0,7,166,199,110,24,39,3,19,58,39,72,47,224,7,31,0,0,0
"00960 Pohjois-Vuosaari   (Helsinki )",406,7,83,316,7,0,16,0,0,67,39,29,35,8,0,11,21,10,0,20,127,6,10,0,0,0
"00970 Mellunmäki   (Helsinki )",755,2,84,669,2,0,5,0,0,79,99,44,41,17,2,3,19,16,0,73,295,11,49,0,0,0
"00980 Etelä-Vuosaari   (Helsinki )",5054,3,1056,3995,3,0,821,70,0,165,391,1540,210,35,11,40,131,105,78,337,819,169,129,0,0,0
"00990 Aurinkolahti   (Helsinki )",994,0,57,937,0,0,5,0,0,52,70,110,125,24,0,6,58,18,29,81,367,23,26,0,0,0
"01120 Västerskog   (Sipoo )",258,6,120,132,6,0,10,0,0,110,31,7,11,8,1,0,19,10,0,8,31,4,2,0,0,0
"01150 Söderkulla   (Sipoo )",1446,24,642,780,24,0,486,0,0,156,175,76,37,7,10,9,84,29,12,95,193,21,32,0,0,0
"01180 Kalkkiranta   (Porvoo )",46,5,17,24,5,8,2,0,0,7,1,3,4,0,0,1,7,1,0,7,0,0,0,0,0,0
"01190 Box   (Sipoo )",120,11,18,91,11,0,1,0,0,17,16,38,3,0,0,0,8,8,0,6,6,6,0,0,0,0
"01200 Hakunila   (Vantaa )",2684,5,264,2415,5,0,35,0,112,117,932,395,37,5,2,25,68,145,172,181,328,51,74,0,0,0
"01230 Vaarala   (Vantaa )",1828,6,1468,354,6,0,1353,0,0,115,129,54,40,1,1,1,15,50,0,1,22,29,11,0,0,0
"01260 Itä-Hakkila   (Vantaa )",2055,5,880,1170,5,0,388,0,142,350,453,260,17,76,1,2,39,134,0,47,108,20,13,0,0,0
"01280 Länsimäki   (Vantaa )",783,0,261,522,0,0,149,0,0,112,55,35,31,11,0,11,19,51,0,99,165,17,28,0,0,0
"01300 Tikkurila   (Vantaa )",12053,165,1943,9945,165,2,716,204,2,1019,1207,475,396,94,288,232,982,468,1643,847,2130,452,731,0,0,0
"01340 Leinelä   (Vantaa )",35,0,3,32,0,0,0,0,0,3,1,0,0,0,0,0,3,2,0,1,22,0,3,0,0,0
"01350 Hiekkaharju   (Vantaa )",985,0,124,861,0,0,2,0,0,122,65,72,43,11,0,0,60,20,60,172,290,25,43,0,0,0
"01360 Koivukylä-Havukoski   (Vantaa )",1631,10,190,1431,10,0,29,0,35,126,215,119,42,16,0,11,14,80,7,166,666,53,42,0,0,0
"01370 Jokiniemi   (Vantaa )",1451,4,64,1383,4,0,18,0,0,46,30,18,12,117,0,0,73,26,599,295,127,44,42,0,0,0
"01380 Kuusikko-Hakkila   (Vantaa )",4077,0,978,3099,0,0,877,0,30,71,1427,1359,66,2,7,0,22,59,26,36,24,29,42,0,0,0
"01390 Ruskeasanta-Ilola   (Vantaa )",1161,0,436,725,0,0,57,0,1,378,148,147,81,13,10,5,38,39,0,29,168,21,26,0,0,0
"01400 Rekola   (Vantaa )",2631,2,286,2343,2,0,16,0,0,270,277,57,69,4,0,3,37,223,0,106,1504,7,56,0,0,0
"01420 Päiväkumpu   (Vantaa )",253,1,66,186,1,0,1,0,0,65,23,15,3,7,2,1,25,17,0,24,62,0,7,0,0,0
"01450 Korso   (Vantaa )",3066,8,693,2365,8,0,68,0,24,601,619,186,85,18,60,30,120,157,100,254,553,76,107,0,0,0
"01480 Mikkola   (Vantaa )",808,1,276,531,1,0,63,0,0,213,137,60,15,2,3,1,14,23,6,125,125,0,20,0,0,0
"01490 Nikinmäki   (Sipoo )",483,2,144,337,2,0,6,0,10,128,56,125,9,4,2,10,32,26,0,2,60,1,10,0,0,0
"01510 Kirkonkylä-Veromäki   (Vantaa )",17945,16,4688,13241,16,57,2910,73,308,1340,7237,767,989,594,155,63,1104,1309,11,118,379,130,385,0,0,0
"01520 Tammisto   (Vantaa )",863,0,314,549,0,0,243,0,2,69,91,59,32,15,0,1,27,18,0,129,152,12,13,0,0,0
"01530 Veromiehenkylä   (Vantaa )",16631,0,1576,15055,0,1,1084,14,20,457,1710,9633,1133,223,130,54,277,1090,575,124,78,19,9,0,0,0
"01600 Myyrmäki   (Vantaa )",4995,0,479,4515,0,0,69,0,0,410,542,114,157,43,96,50,466,229,725,515,1204,195,179,0,0,1
"01610 Kaivoksela   (Vantaa )",2672,1,1010,1661,1,0,27,0,0,983,1031,69,37,29,1,24,109,146,0,54,128,1,32,0,0,0
"01620 Martinlaakso   (Vantaa )",4739,2,2216,2521,2,0,1834,55,0,327,509,79,81,85,19,8,952,154,35,230,276,49,44,0,0,0
"01630 Hämeenkylä   (Vantaa )",343,0,11,332,0,0,0,0,0,11,85,110,45,5,0,4,4,4,0,9,27,6,33,0,0,0
"01640 Hämevaara   (Vantaa )",1337,1,177,1159,1,0,102,0,0,75,533,59,3,50,3,3,72,66,0,1,35,327,7,0,0,0
"01650 Vapaala   (Vantaa )",1398,2,768,628,2,0,49,0,0,719,144,57,2,7,3,97,149,15,0,23,103,5,23,0,0,0
"01660 Varisto   (Vantaa )",374,0,26,348,0,0,10,0,0,16,38,13,11,1,0,1,6,135,0,59,78,0,6,0,0,0
"01670 Vantaanlaakso   (Vantaa )",1744,0,1136,608,0,0,1017,0,0,119,294,43,43,10,0,4,67,13,66,0,45,10,13,0,0,0
"01680 Askisto   (Vantaa )",201,1,41,159,1,0,3,0,3,35,45,25,2,1,0,1,8,10,0,18,45,1,3,0,0,0
"01690 Ylästö   (Vantaa )",647,3,57,587,3,0,4,0,0,53,27,251,43,8,0,2,63,25,0,49,98,9,12,0,0,0
"01700 Kivistö   (Vantaa )",613,0,129,484,0,0,9,0,0,120,62,90,37,12,1,7,17,13,21,25,181,2,16,0,0,0
"01710 Pähkinärinne   (Vantaa )",463,1,36,426,1,0,0,0,0,36,54,71,15,1,1,0,23,45,0,43,117,30,26,0,0,0
"01720 Petikko   (Vantaa )",4116,0,1671,2445,0,0,607,0,0,1064,1854,156,39,34,4,5,250,40,0,18,2,39,4,0,0,0
"01730 Vantaanpuisto   (Vantaa )",1258,5,403,850,5,0,119,0,0,284,544,99,7,13,0,18,47,21,0,71,10,13,7,0,0,0
"01740 Tuupakan teollisuusalue   (Vantaa )",3974,0,637,3337,0,0,364,0,0,273,1520,916,83,45,52,16,104,524,7,33,18,19,0,0,0,0
"01750 Keimola   (Vantaa )",243,4,88,151,4,0,20,0,0,68,38,48,6,2,0,0,6,12,0,1,2,25,11,0,0,0
"01760 Seutula   (Vantaa )",648,14,125,509,14,0,11,0,36,78,11,67,4,2,0,6,8,13,0,12,357,20,9,0,0,0
"01770 Martinlaakson teollisuusalue   (Vantaa )",422,0,149,273,0,0,149,0,0,0,3,4,2,197,0,0,0,0,0,0,67,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",2426,10,549,1867,10,0,354,0,3,192,550,277,75,22,43,36,108,58,0,245,307,60,86,0,0,0
"01810 Luhtajoki   (Nurmijärvi )",136,2,55,79,2,0,25,0,0,30,7,43,0,0,4,0,1,1,2,16,3,1,1,0,0,0
"01820 Haikala   (Nurmijärvi )",277,2,50,225,2,0,6,0,0,44,16,21,1,2,0,0,21,4,0,65,69,25,1,0,0,0
"01830 Lepsämä   (Nurmijärvi )",325,25,119,181,25,0,17,0,0,102,21,58,3,3,0,2,15,9,0,21,44,2,3,0,0,0
"01840 Klaukkala   (Nurmijärvi )",446,4,101,341,4,0,23,0,12,66,61,24,3,9,0,10,36,11,0,45,122,8,12,0,0,0
"01860 Perttula   (Nurmijärvi )",283,39,72,172,39,0,20,0,0,52,16,27,7,4,1,0,20,20,1,54,20,1,1,0,0,0
"01900 Nurmijärvi Keskus   (Nurmijärvi )",4229,34,912,3283,34,1,301,35,41,534,687,447,151,21,21,16,177,196,203,244,937,72,111,0,0,0
"01940 Palojoki   (Nurmijärvi )",95,5,16,74,5,0,5,0,0,11,8,13,6,1,0,0,5,6,0,12,18,2,3,0,0,0
"02100 Tapiola   (Espoo )",5529,0,472,5057,0,0,413,4,1,54,631,49,180,316,1234,60,499,67,245,440,715,364,257,0,0,0
"02110 Otsolahti   (Espoo )",277,0,24,253,0,0,18,0,0,6,37,25,29,56,0,7,53,3,0,3,31,5,4,0,0,0
"02120 Länsikorkee-Suvikumpu   (Espoo )",166,4,6,156,4,0,5,0,0,1,21,8,3,16,0,0,31,9,0,28,25,9,6,0,0,0
"02130 Pohjois-Tapiola   (Espoo )",3658,2,248,3408,2,0,151,0,4,93,597,17,90,1199,9,77,512,346,0,243,254,35,29,0,0,0
"02140 Laajalahti   (Espoo )",418,0,56,362,0,0,3,0,0,53,17,15,19,9,5,2,53,17,0,30,176,15,4,0,0,0
"02150 Otaniemi   (Espoo )",16750,2,2766,13982,2,12,1440,957,1,356,1452,15,258,4655,65,111,3131,349,68,3539,126,125,88,0,0,0
"02160 Westend   (Espoo )",700,11,38,651,11,3,18,0,1,16,60,16,17,91,11,9,175,44,0,46,166,8,8,0,0,0
"02170 Haukilahti   (Espoo )",1092,1,163,928,1,15,71,0,0,77,129,24,64,113,49,29,93,110,0,70,158,69,20,0,0,0
"02180 Mankkaa   (Espoo )",1668,1,114,1552,1,0,74,0,2,38,326,613,47,63,11,8,102,45,0,130,170,15,22,0,0,1
"02200 Niittykumpu   (Espoo )",7898,2,2106,5790,2,0,1818,82,7,199,2311,120,244,548,628,57,597,521,42,92,369,176,85,0,0,0
"02210 Olari   (Espoo )",1744,6,111,1627,6,0,27,0,0,84,263,28,74,84,7,26,175,154,0,222,483,70,41,0,0,0
"02230 Matinkylä   (Espoo )",4297,6,773,3518,6,0,657,0,0,116,1002,91,225,62,107,86,347,206,13,293,802,190,94,0,0,0
"02240 Friisilä   (Espoo )",1265,1,244,1020,1,0,84,0,0,160,414,21,33,81,2,7,206,25,0,69,148,3,11,0,0,0
"02250 Henttaa   (Espoo )",252,1,33,218,1,0,2,0,0,31,37,6,14,9,2,0,45,11,0,3,81,6,4,0,0,0
"02260 Kaitaa   (Espoo )",377,3,30,344,3,0,0,0,0,30,20,20,16,6,1,2,27,7,0,91,144,6,4,0,0,0
"02270 Finnoo-Eestinmalmi   (Espoo )",3150,0,481,2669,0,0,259,83,53,86,1309,336,53,168,18,49,231,173,0,73,215,3,41,0,0,0
"02280 Malminmäki-Eestinlaakso   (Espoo )",343,1,22,320,1,0,0,0,0,22,55,9,17,5,0,3,57,43,0,42,62,19,8,0,0,0
"02290 Puolarmetsän sairaala   (Espoo )",357,0,0,357,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,335,0,1,0,0,0
"02300 Nöykkiönpuro   (Espoo )",307,0,36,271,0,0,2,0,0,34,51,32,30,7,2,2,43,14,0,45,26,15,4,0,0,0
"02320 Espoonlahti   (Espoo )",2313,4,143,2166,4,0,10,0,0,133,392,114,122,30,31,60,131,68,0,113,796,171,138,0,0,0
"02330 Saunalahti-Kattilalaakso   (Espoo )",1898,1,372,1525,1,0,204,0,0,168,451,27,55,85,2,14,131,70,0,200,442,25,23,0,0,0
"02340 Latokaski   (Espoo )",319,0,12,307,0,0,6,0,0,6,37,25,11,25,2,2,32,9,0,57,85,10,12,0,0,0
"02360 Soukka   (Espoo )",1091,2,119,970,2,0,15,0,0,104,97,19,41,18,10,5,45,99,39,221,247,82,47,0,0,0
"02380 Suvisaaristo   (Espoo )",87,0,3,84,0,0,0,0,0,3,31,10,6,2,4,2,9,3,0,0,7,4,6,0,0,0
"02390 Sarvvik   (Kirkkonummi )",68,14,13,41,14,0,0,0,0,13,2,1,13,2,0,1,5,2,0,1,3,10,1,0,0,0
"02400 Kirkkonummi Keskus   (Kirkkonummi )",3604,8,335,3261,8,0,73,0,16,246,524,127,153,32,67,53,235,209,178,440,1032,74,137,0,0,0
"02410 Gesterby   (Kirkkonummi )",73,1,19,53,1,0,0,0,0,19,8,2,4,0,0,0,3,2,0,0,25,6,3,0,0,0
"02420 Jorvas   (Kirkkonummi )",1508,8,109,1391,8,0,54,0,0,55,432,22,62,49,2,1,570,175,0,6,47,17,8,0,0,0
"02430 Masala   (Kirkkonummi )",859,1,156,702,1,0,135,0,0,21,209,26,12,10,0,8,124,14,0,99,151,28,21,0,0,0
"02440 Luoma   (Kirkkonummi )",77,3,5,69,3,0,0,0,0,5,11,1,34,1,0,6,6,5,0,0,0,1,4,0,0,0
"02450 Sundsberg   (Kirkkonummi )",137,0,9,128,0,0,0,0,0,9,4,1,12,16,1,0,11,2,0,26,53,1,1,0,0,0
"02460 Kantvik   (Kirkkonummi )",453,0,299,154,0,0,294,0,0,5,16,59,9,4,0,4,4,3,0,25,26,0,4,0,0,0
"02470 Upinniemi   (Kirkkonummi )",676,0,20,656,0,0,20,0,0,0,6,0,19,0,0,17,1,0,589,8,3,0,13,0,0,0
"02480 Porkkala   (Kirkkonummi )",522,26,212,284,26,0,113,0,2,97,32,35,7,9,3,3,27,18,39,3,48,40,20,0,0,0
"02490 Pikkala   (Siuntio )",379,3,362,14,3,0,359,0,0,3,10,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"02510 Oitmäki   (Kirkkonummi )",70,4,16,50,4,0,2,0,0,14,2,9,1,0,0,0,6,2,0,11,17,2,0,0,0,0
"02520 Lapinkylä   (Kirkkonummi )",91,5,14,72,5,0,0,0,0,14,11,44,0,2,0,0,2,4,0,1,0,4,4,0,0,0
"02540 Kylmälä   (Kirkkonummi )",112,10,41,61,10,0,16,1,0,24,4,6,0,0,0,1,21,7,0,8,1,12,1,0,0,0
