"Postal code area","Households, total, 2015 (TR)","Average income of households, 2015 (TR)","Median income of households, 2015 (TR)","Households belonging to the lowest income category, 2015 (TR)","Households belonging to the middle income category, 2015 (TR)","Households belonging to the highest income category, 2015 (TR)","Accumulated purchasing power of households, 2015 (TR)"
"01810 Luhtajoki   (Nurmijärvi )",253,58071,51921,19,154,80,14691910
"01820 Haikala   (Nurmijärvi )",1286,56266,52450,88,735,463,72358275
"01830 Lepsämä   (Nurmijärvi )",844,57821,54161,85,481,278,48801013
"01840 Klaukkala   (Nurmijärvi )",1520,58948,55743,137,757,626,89601128
"01860 Perttula   (Nurmijärvi )",795,58824,51248,107,428,260,46765169
"01900 Nurmijärvi Keskus   (Nurmijärvi )",3991,47139,38235,602,2344,1045,188131678
"01940 Palojoki   (Nurmijärvi )",287,53959,52880,28,154,105,15486118
"02100 Tapiola   (Espoo )",2480,52288,36902,366,1100,1014,129673408
"02110 Otsolahti   (Espoo )",1475,49159,38102,226,666,583,72509707
"02120 Länsikorkee-Suvikumpu   (Espoo )",1569,47070,35066,246,773,550,73853393
"02130 Pohjois-Tapiola   (Espoo )",2598,76778,53406,285,987,1326,199468613
"02140 Laajalahti   (Espoo )",1378,67596,59815,137,553,688,93147325
"02150 Otaniemi   (Espoo )",1871,22682,18411,1160,592,119,42438765
"02160 Westend   (Espoo )",1251,133002,73825,104,290,857,166386012
"02170 Haukilahti   (Espoo )",2644,72920,50945,298,980,1366,192800492
"02180 Mankkaa   (Espoo )",2453,78011,66457,168,834,1451,191360858
"02200 Niittykumpu   (Espoo )",3577,55642,46898,384,1551,1642,199031964
"02210 Olari   (Espoo )",5425,46767,38533,916,2720,1789,253710705
"02230 Matinkylä   (Espoo )",10221,46979,34049,1936,5389,2896,480171291
"02240 Friisilä   (Espoo )",783,85646,71398,43,245,495,67061146
"02250 Henttaa   (Espoo )",1405,46097,36961,227,784,394,64766305
"02260 Kaitaa   (Espoo )",1580,71668,45473,213,790,577,113235107
"02270 Finnoo-Eestinmalmi   (Espoo )",830,71489,58993,68,339,423,59335817
"02280 Malminmäki-Eestinlaakso   (Espoo )",1788,52423,45755,228,937,623,93732564
"02290 Puolarmetsän sairaala   (Espoo )",.,.,.,.,.,.,.
"02300 Nöykkiönpuro   (Espoo )",851,82489,71063,28,290,533,70198077
"02320 Espoonlahti   (Espoo )",8085,42938,35027,1525,4372,2188,347151296
"02330 Saunalahti-Kattilalaakso   (Espoo )",3411,63700,53314,384,1486,1541,217281207
"02340 Latokaski   (Espoo )",1797,61149,56622,109,941,747,109884839
"02360 Soukka   (Espoo )",4394,54054,40798,682,2220,1492,237514473
"02380 Suvisaaristo   (Espoo )",243,122892,67348,19,77,147,29862723
"02390 Sarvvik   (Kirkkonummi )",130,107618,46414,25,50,55,13990294
"02400 Kirkkonummi Keskus   (Kirkkonummi )",5428,46920,39637,843,3081,1504,254684270
"02410 Gesterby   (Kirkkonummi )",1220,31283,25835,375,692,153,38165110
"02420 Jorvas   (Kirkkonummi )",670,67258,59452,50,318,302,45063159
"02430 Masala   (Kirkkonummi )",1823,43265,37974,335,1065,423,78872158
"02440 Luoma   (Kirkkonummi )",242,71997,54641,28,110,104,17423385
"02450 Sundsberg   (Kirkkonummi )",552,74547,70035,14,201,337,41150066
"02460 Kantvik   (Kirkkonummi )",769,51135,43587,108,395,266,39322751
"02470 Upinniemi   (Kirkkonummi )",207,33233,28905,30,154,23,6879132
"02480 Porkkala   (Kirkkonummi )",1672,61732,54288,175,824,673,103215943
"02490 Pikkala   (Siuntio )",165,44262,33996,21,101,43,7303211
"02510 Oitmäki   (Kirkkonummi )",199,55379,47349,30,104,65,11020458
"02520 Lapinkylä   (Kirkkonummi )",316,56151,48780,46,172,98,17743746
"02540 Kylmälä   (Kirkkonummi )",259,65837,53162,35,130,94,17051706
"02550 Evitskog   (Kirkkonummi )",342,55677,48078,48,180,114,19041368
"02570 Siuntio Kirkonkylä   (Siuntio )",551,47324,43745,101,280,170,26075374
"02580 Siuntio Asemanseutu   (Siuntio )",1399,51183,44275,211,779,409,71605656
"02590 Lappers   (Siuntio )",93,55414,54181,10,48,35,5153507
"02600 Etelä-Leppävaara   (Espoo )",5378,42711,35431,893,3031,1454,229699570
"02610 Kilo   (Espoo )",2621,44915,35388,603,1308,710,117721657
"02620 Karakallio   (Espoo )",3551,48564,39776,494,2025,1032,172450565
"02630 Nihtisilta   (Espoo )",1483,50287,41765,222,755,506,74575389
"02650 Pohjois-Leppävaara   (Espoo )",5517,42038,34559,1014,2852,1651,231924291
"02660 Lintuvaara   (Espoo )",2185,63456,56715,293,940,952,138651244
"02680 Uusmäki   (Espoo )",879,55711,47145,98,447,334,48969932
"02700 Kauniainen   (Kauniainen )",3825,88708,57783,388,1367,2070,339309866
"02710 Viherlaakso   (Espoo )",2818,49415,40750,424,1439,955,139251825
"02720 Lähderanta   (Espoo )",1348,52495,41803,185,712,451,70762644
"02730 Jupperi   (Espoo )",1608,84823,69941,62,549,997,136394938
"02740 Bemböle-Pakankylä   (Espoo )",1244,54400,48249,130,693,421,67673574
"02750 Sepänkylä-Kuurinniitty   (Espoo )",2461,61875,48831,328,1109,1024,152273618
