"Postal code area","Workplaces, 2015 (TP)","Primary production, 2015 (TP)","Processing, 2015 (TP)","Services, 2015 (TP)","A Agriculture, forestry and fishing, 2015 (TP)","B Mining and quarrying, 2015 (TP)","C Manufacturing, 2015 (TP)","D Electricity, gas, steam and air conditioning supply, 2015 (TP)","E Water supply; sewerage, waste management and remediation activities, 2015 (TP)","F Construction, 2015 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2015 (TP)","H Transportation and storage, 2015 (TP)","I Accommodation and food service activities, 2015 (TP)","J Information and communication, 2015 (TP)","K Financial and insurance activities, 2015 (TP)","L Real estate activities, 2015 (TP)","M Professional, scientific and technical activities, 2015 (TP)","N Administrative and support service activities, 2015 (TP)","O Public administration and defence; compulsory social security, 2015 (TP)","P Education, 2015 (TP)","Q Human health and social work activities, 2015 (TP)","R Arts, entertainment and recreation, 2015 (TP)","S Other service activities, 2015 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2015 (TP)","U Activities of extraterritorial organisations and bodies, 2015 (TP)","X Industry unknown, 2015 (TP)"
"00370 Reimarla   (Helsinki )",4165,1,1596,2568,1,0,1172,0,0,424,664,164,161,467,119,2,199,190,0,71,404,76,51,0,0,0
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",15171,3,3860,11308,3,0,3647,0,3,210,2360,69,261,3920,339,248,868,683,914,518,694,181,253,0,0,0
"00390 Konala   (Helsinki )",4783,0,907,3876,0,0,277,0,1,629,1866,977,75,326,12,29,221,92,1,31,111,64,71,0,0,0
"00400 Pohjois-Haaga   (Helsinki )",2031,2,127,1902,2,0,11,6,7,103,150,115,58,198,8,58,191,45,0,359,512,63,145,0,0,0
"00410 Malminkartano   (Helsinki )",1387,1,329,1057,1,0,81,0,0,248,167,41,30,17,3,48,123,68,0,279,229,16,36,0,0,0
"00420 Kannelmäki   (Helsinki )",2763,1,272,2490,1,0,154,0,0,118,643,53,315,45,40,24,135,46,0,154,781,63,191,0,0,0
"00430 Maununneva   (Helsinki )",755,1,249,505,1,2,167,0,0,80,53,88,14,22,0,3,86,10,0,96,110,17,6,0,0,0
"00440 Lassila   (Helsinki )",6899,0,1460,5439,0,0,140,0,87,1233,286,7,60,1268,802,57,362,1366,4,58,1117,20,32,0,0,0
"00500 Sörnäinen   (Helsinki )",8467,1,203,8262,1,0,64,4,0,135,570,268,580,562,2747,40,330,346,918,158,893,209,641,0,0,1
"00510 Etu-Vallila - Alppila   (Helsinki )",13824,1,1394,12429,1,0,1065,0,0,329,1941,191,413,2120,3875,149,1249,383,262,692,580,310,262,2,0,0
"00520 Itä-Pasila   (Helsinki )",14153,5,1146,13002,5,0,178,0,296,672,295,368,402,1823,77,269,1484,2027,3375,746,652,297,1187,0,0,0
"00530 Kallio   (Helsinki )",14303,4,544,13755,4,0,451,0,0,93,690,213,747,856,208,352,1079,252,4068,950,2243,504,1593,0,0,0
"00540 Kalasatama   (Helsinki )",316,0,23,293,0,0,13,6,2,2,27,2,18,27,1,6,61,9,0,0,40,77,25,0,0,0
"00550 Vallila   (Helsinki )",2856,0,251,2605,0,0,59,0,20,172,394,608,118,30,5,26,114,168,0,518,332,160,132,0,0,0
"00560 Toukola-Vanhakaupunki   (Helsinki )",5771,4,938,4829,4,0,474,37,0,427,453,165,188,298,54,10,1082,164,6,1905,262,103,139,0,0,0
"00570 Kulosaari   (Helsinki )",964,6,9,949,6,0,5,0,0,4,61,38,93,303,8,5,34,10,0,156,109,109,14,0,9,0
"00580 Verkkosaari   (Helsinki )",6956,0,678,6278,0,0,278,199,0,201,1296,197,151,786,228,95,534,425,1591,8,554,45,368,0,0,0
"00590 Kaitalahti   (Helsinki )",24,0,2,22,0,0,0,0,0,2,0,1,0,0,3,2,14,0,0,0,0,0,2,0,0,0
"00600 Koskela-Helsinki   (Helsinki )",1478,0,16,1462,0,0,2,0,0,14,62,48,116,8,0,62,29,179,40,74,823,12,9,0,0,0
"00610 Käpylä   (Helsinki )",3662,1,254,3407,1,0,143,0,0,111,145,537,114,95,13,123,375,125,221,313,1232,74,40,0,0,0
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",6246,1,2687,3558,1,0,282,263,0,2142,566,231,106,899,0,42,207,573,17,78,721,14,104,0,0,0
"00630 Maunula-Suursuo   (Helsinki )",1455,0,122,1333,0,0,10,0,2,110,77,27,49,5,1,2,30,113,0,142,645,213,29,0,0,0
"00640 Oulunkylä-Patola   (Helsinki )",1925,6,172,1747,6,0,50,67,0,55,294,175,48,27,32,50,85,63,0,182,649,45,97,0,0,0
"00650 Veräjämäki   (Helsinki )",541,0,150,391,0,0,1,0,89,60,28,8,10,17,62,3,40,42,0,3,138,27,13,0,0,0
"00660 Länsi-Pakila   (Helsinki )",1259,7,146,1106,7,0,16,0,0,130,178,68,29,14,25,52,87,15,0,84,495,18,41,0,0,0
"00670 Paloheinä   (Helsinki )",542,2,23,517,2,0,3,0,0,20,37,64,23,9,2,7,45,6,0,42,204,67,11,0,0,0
"00680 Itä-Pakila   (Helsinki )",1107,4,406,697,4,0,30,75,0,301,64,44,92,16,5,3,42,10,0,135,231,21,34,0,0,0
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",338,3,28,307,3,0,21,0,0,7,73,15,35,3,1,5,18,39,0,56,56,2,3,1,0,0
"00700 Malmi   (Helsinki )",10020,12,1221,8787,12,0,324,0,1,896,1658,395,230,170,301,108,1106,687,451,747,2243,205,486,0,0,0
"00710 Pihlajamäki   (Helsinki )",1474,1,277,1196,1,0,77,0,75,125,238,63,124,112,11,14,111,28,0,151,290,23,31,0,0,0
"00720 Pukinmäki-Savela   (Helsinki )",1811,1,250,1560,1,0,34,0,0,216,234,196,43,31,19,19,127,300,0,151,387,6,47,0,0,0
"00730 Tapanila   (Helsinki )",1232,24,180,1028,24,0,33,0,0,147,169,81,70,24,3,11,73,118,0,154,201,79,45,0,0,0
"00740 Siltamäki   (Helsinki )",1106,5,140,961,5,0,42,0,0,98,237,71,22,18,1,14,54,36,0,119,335,36,18,0,0,0
"00750 Puistola   (Helsinki )",2093,2,496,1595,2,0,119,0,0,377,520,110,117,27,4,10,81,186,0,42,442,32,24,0,0,0
"00760 Suurmetsä   (Helsinki )",1295,0,579,716,0,0,177,0,0,402,168,178,17,14,3,3,41,58,0,143,60,18,13,0,0,0
"00770 Jakomäki - Alppikylä   (Helsinki )",1759,0,688,1071,0,0,128,3,84,473,257,340,38,1,2,2,51,38,0,47,277,8,10,0,0,0
"00780 Tapaninvainio   (Helsinki )",656,1,53,602,1,0,1,0,0,52,69,73,36,8,3,20,39,11,0,16,291,7,29,0,0,0
"00790 Viikki   (Helsinki )",4328,17,134,4177,17,0,17,0,0,117,269,17,97,42,1,21,824,30,584,1874,352,41,25,0,0,0
"00800 Länsi-Herttoniemi   (Helsinki )",1157,0,26,1131,0,0,2,0,0,24,44,47,31,43,0,6,79,49,0,123,614,20,75,0,0,0
"00810 Herttoniemi   (Helsinki )",3450,2,362,3086,2,0,78,0,0,284,709,88,176,226,74,207,198,676,0,204,379,72,77,0,0,0
"00820 Roihuvuori   (Helsinki )",992,0,38,954,0,0,2,0,0,36,41,23,74,6,0,22,26,2,0,365,332,14,49,0,0,0
"00830 Tammisalo   (Helsinki )",141,0,10,131,0,0,0,0,0,10,13,10,7,4,3,6,20,10,0,3,50,2,3,0,0,0
"00840 Laajasalo   (Helsinki )",790,3,60,727,3,0,18,0,0,42,117,34,28,12,4,22,55,5,0,108,288,43,11,0,0,0
"00850 Jollas   (Helsinki )",306,2,28,276,2,0,1,0,0,27,23,22,14,6,23,5,35,3,0,83,52,2,8,0,0,0
"00860 Santahamina   (Helsinki )",752,0,15,737,0,0,15,0,0,0,0,0,59,0,0,80,0,0,584,9,0,0,5,0,0,0
"00870 Etelä-Laajasalo   (Helsinki )",308,0,36,272,0,0,4,0,0,32,11,16,17,7,1,3,15,5,0,14,181,0,2,0,0,0
"00880 Roihupellon teollisuusalue   (Helsinki )",6770,3,2161,4606,3,0,1497,1,2,661,2032,750,174,91,305,41,685,231,71,58,58,48,62,0,0,0
"00890 Itäsalmi   (Helsinki )",391,1,53,337,1,0,14,0,0,39,84,23,12,10,1,6,18,26,0,70,68,6,13,0,0,0
"00900 Puotinharju   (Helsinki )",1069,0,20,1049,0,0,7,0,0,13,334,13,43,8,2,0,24,14,0,228,138,170,75,0,0,0
"00910 Puotila   (Helsinki )",681,4,42,635,4,0,11,0,0,31,46,26,57,7,1,48,23,20,0,73,290,35,9,0,0,0
"00920 Myllypuro   (Helsinki )",1653,2,84,1567,2,0,3,1,0,80,103,105,89,6,0,9,31,109,0,93,803,193,26,0,0,0
"00930 Itäkeskus-Marjaniemi   (Helsinki )",4565,1,93,4471,1,0,23,0,0,70,1532,524,306,29,175,69,138,447,25,9,986,105,126,0,0,0
"00940 Kontula - Vesala   (Helsinki )",3271,1,465,2805,1,0,166,0,24,275,480,205,201,12,14,16,53,231,0,314,1009,118,152,0,0,0
"00950 Vartioharju   (Helsinki )",1050,2,231,817,2,0,52,0,10,169,195,108,23,36,6,12,52,36,72,51,190,7,29,0,0,0
"00960 Pohjois-Vuosaari   (Helsinki )",427,7,58,362,7,0,11,0,0,47,31,79,29,7,0,7,21,11,0,19,145,4,9,0,0,0
"00970 Mellunmäki   (Helsinki )",659,2,85,572,2,0,4,0,0,81,81,42,35,21,2,3,26,23,0,79,195,12,53,0,0,0
"00980 Etelä-Vuosaari   (Helsinki )",4790,5,1019,3766,5,0,795,51,0,173,421,1459,224,23,19,63,123,91,76,338,634,151,144,0,0,0
"00990 Aurinkolahti   (Helsinki )",960,0,83,877,0,0,4,0,0,79,71,99,88,20,1,7,57,21,23,77,366,25,22,0,0,0
"01120 Västerskog   (Sipoo )",250,8,91,151,8,0,9,0,0,82,45,9,9,6,1,1,13,14,0,12,32,5,4,0,0,0
"01150 Söderkulla   (Sipoo )",1431,25,575,831,25,0,445,0,0,130,181,81,47,6,22,19,90,37,11,88,202,14,33,0,0,0
"01180 Kalkkiranta   (Porvoo )",43,9,17,17,9,8,2,0,0,7,1,1,0,0,0,0,4,1,0,7,2,0,1,0,0,0
"01190 Box   (Sipoo )",122,12,19,91,12,0,1,0,0,18,17,33,4,0,0,0,9,8,0,6,5,7,2,0,0,0
"01200 Hakunila   (Vantaa )",2550,5,268,2277,5,0,36,0,109,123,856,460,49,5,0,12,65,117,97,180,290,61,85,0,0,0
"01230 Vaarala   (Vantaa )",2047,5,1658,384,5,0,1537,0,0,121,127,60,68,1,0,2,17,50,0,1,23,27,8,0,0,0
"01260 Itä-Hakkila   (Vantaa )",2010,8,864,1138,8,0,377,0,128,359,442,230,7,73,1,1,54,140,0,52,103,19,16,0,0,0
"01280 Länsimäki   (Vantaa )",799,0,272,527,0,0,148,0,3,121,67,36,34,8,0,4,20,36,0,100,174,21,27,0,0,0
"01300 Tikkurila   (Vantaa )",12278,161,1903,10214,161,2,761,212,5,923,1214,513,407,117,323,214,886,533,1721,872,2169,415,830,0,0,0
"01340 Leinelä   (Vantaa )",36,0,1,35,0,0,0,0,0,1,1,1,1,0,0,0,2,1,0,1,27,0,1,0,0,0
"01350 Hiekkaharju   (Vantaa )",955,1,107,847,1,0,2,0,0,105,74,60,36,21,1,1,54,24,61,182,276,19,38,0,0,0
"01360 Koivukylä-Havukoski   (Vantaa )",1530,14,136,1380,14,0,30,0,0,106,149,123,31,10,0,10,26,107,20,169,651,48,36,0,0,0
"01370 Jokiniemi   (Vantaa )",1705,4,50,1651,4,0,17,0,0,33,40,20,17,133,0,0,279,28,628,281,130,44,51,0,0,0
"01380 Kuusikko-Hakkila   (Vantaa )",4386,0,983,3403,0,0,888,0,30,65,1315,1784,63,7,4,1,21,51,30,39,36,6,46,0,0,0
"01390 Ruskeasanta-Ilola   (Vantaa )",1028,1,386,641,1,0,50,0,1,335,163,102,61,17,5,4,28,18,0,30,162,24,27,0,0,0
"01400 Rekola   (Vantaa )",2634,1,264,2369,1,0,17,0,0,247,262,59,67,2,0,7,29,226,0,112,1546,11,48,0,0,0
"01420 Päiväkumpu   (Vantaa )",253,4,68,181,4,0,3,0,0,65,19,15,4,9,3,0,21,11,0,22,69,1,7,0,0,0
"01450 Korso   (Vantaa )",2846,6,581,2259,6,0,60,0,26,495,564,219,85,12,69,30,95,131,64,255,553,56,126,0,0,0
"01480 Mikkola   (Vantaa )",735,0,254,481,0,0,51,0,0,203,126,56,10,2,2,2,10,25,2,121,104,3,18,0,0,0
"01490 Nikinmäki   (Sipoo )",452,1,163,288,1,0,7,0,7,149,46,117,5,2,2,7,24,22,0,2,51,1,9,0,0,0
"01510 Kirkonkylä-Veromäki   (Vantaa )",17789,15,4473,13301,15,57,2708,56,345,1307,6968,746,1013,609,187,63,1131,1545,42,117,338,97,445,0,0,0
"01520 Tammisto   (Vantaa )",873,1,305,567,1,0,238,0,1,66,76,89,27,19,2,3,26,37,0,124,139,14,11,0,0,0
"01530 Veromiehenkylä   (Vantaa )",15941,0,1581,14360,0,1,1126,11,25,418,1480,9511,990,186,47,62,163,1128,518,148,107,15,5,0,0,0
"01600 Myyrmäki   (Vantaa )",5004,2,577,4425,2,0,66,0,0,511,517,107,141,68,103,55,469,186,755,488,1167,204,165,0,0,0
"01610 Kaivoksela   (Vantaa )",2846,0,1144,1702,0,0,31,0,0,1113,1154,53,56,30,7,22,95,108,0,48,102,2,25,0,0,0
"01620 Martinlaakso   (Vantaa )",4730,2,2092,2636,2,0,1830,60,0,202,500,86,100,76,29,13,1011,155,34,232,322,36,42,0,0,0
"01630 Hämeenkylä   (Vantaa )",338,1,15,322,1,0,1,0,0,14,77,93,69,5,0,3,3,6,0,10,24,1,31,0,0,0
"01640 Hämevaara   (Vantaa )",1341,2,150,1189,2,0,104,0,0,46,531,83,7,43,1,2,81,82,0,0,37,320,2,0,0,0
"01650 Vapaala   (Vantaa )",1368,3,726,639,3,0,74,0,0,652,145,59,12,8,7,103,143,10,0,24,97,8,23,0,0,0
"01660 Varisto   (Vantaa )",367,0,21,346,0,0,10,0,0,11,34,12,12,1,0,1,3,127,0,57,93,1,5,0,0,0
"01670 Vantaanlaakso   (Vantaa )",1616,0,1045,571,0,0,985,0,0,60,302,41,40,9,0,1,60,8,54,0,39,3,14,0,0,0
"01680 Askisto   (Vantaa )",186,1,17,168,1,0,2,0,5,10,56,22,1,3,3,3,11,8,0,17,41,0,3,0,0,0
"01690 Ylästö   (Vantaa )",648,2,59,587,2,0,5,0,0,54,33,271,32,5,1,1,60,28,0,49,85,7,15,0,0,0
"01700 Kivistö   (Vantaa )",485,1,102,382,1,0,7,0,0,95,48,74,42,6,3,0,11,31,0,21,134,0,12,0,0,0
"01710 Pähkinärinne   (Vantaa )",475,1,33,441,1,0,0,0,0,33,53,64,20,2,0,0,32,39,0,45,119,37,30,0,0,0
"01720 Petikko   (Vantaa )",4035,0,1508,2527,0,0,592,0,0,916,1957,146,55,32,3,3,217,50,0,19,3,39,3,0,0,0
"01730 Vantaanpuisto   (Vantaa )",1310,3,406,901,3,0,116,0,0,290,613,99,7,17,0,14,32,21,0,76,8,7,7,0,0,0
"01740 Tuupakan teollisuusalue   (Vantaa )",4097,0,687,3410,0,0,361,0,44,282,1661,892,72,43,51,16,90,484,9,50,23,19,0,0,0,0
"01750 Keimola   (Vantaa )",256,4,112,140,4,0,20,0,0,92,41,48,7,1,0,0,4,13,0,0,2,10,14,0,0,0
"01760 Seutula   (Vantaa )",646,20,117,509,20,0,13,0,39,65,8,66,3,2,0,8,8,11,0,13,358,17,15,0,0,0
"01770 Martinlaakson teollisuusalue   (Vantaa )",464,0,177,287,0,0,177,0,0,0,3,0,8,221,0,0,0,0,0,0,55,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",2457,9,573,1875,9,0,347,0,5,221,558,295,48,35,54,30,121,61,0,258,282,56,77,0,0,0
"01810 Luhtajoki   (Nurmijärvi )",135,3,55,77,3,0,30,0,0,25,9,41,0,0,4,0,1,1,2,15,2,1,1,0,0,0
"01820 Haikala   (Nurmijärvi )",292,1,61,230,1,0,6,0,0,55,20,21,0,2,0,0,22,5,0,66,70,23,1,0,0,0
"01830 Lepsämä   (Nurmijärvi )",337,25,139,173,25,0,26,0,0,113,24,42,1,3,1,2,13,7,0,23,53,1,3,0,0,0
"01840 Klaukkala   (Nurmijärvi )",431,5,98,328,5,0,20,0,10,68,58,26,6,10,0,10,26,7,0,44,124,7,10,0,0,0
"01860 Perttula   (Nurmijärvi )",320,47,71,202,47,0,13,0,0,58,20,33,7,3,0,1,14,28,3,69,22,2,0,0,0,0
"01900 Nurmijärvi Keskus   (Nurmijärvi )",4101,37,897,3167,37,2,275,39,39,542,657,399,154,21,27,14,149,190,218,234,923,72,109,0,0,0
"01940 Palojoki   (Nurmijärvi )",86,6,13,67,6,0,4,0,0,9,6,13,2,0,0,0,5,5,0,11,22,2,1,0,0,0
"02100 Tapiola   (Espoo )",5486,3,466,5017,3,0,414,0,0,52,736,46,203,333,1118,77,563,87,159,383,750,365,197,0,0,0
"02110 Otsolahti   (Espoo )",308,1,29,278,1,0,23,0,0,6,45,22,47,46,0,10,67,4,0,0,26,6,5,0,0,0
"02120 Länsikorkee-Suvikumpu   (Espoo )",168,5,2,161,5,0,1,0,0,1,22,6,6,17,0,0,33,5,0,28,31,7,6,0,0,0
"02130 Pohjois-Tapiola   (Espoo )",3661,1,235,3424,1,0,139,0,5,91,617,13,89,1257,8,54,489,378,0,266,211,22,20,0,0,1
"02140 Laajalahti   (Espoo )",371,0,36,335,0,0,2,0,0,34,19,13,18,8,4,6,50,4,0,29,156,22,6,0,0,0
"02150 Otaniemi   (Espoo )",15243,2,3022,12219,2,7,1799,854,0,362,1484,8,245,2837,74,89,3022,382,76,3665,129,124,84,0,0,0
"02160 Westend   (Espoo )",778,15,77,685,15,3,18,0,0,56,30,18,6,52,24,9,319,40,0,34,135,8,10,0,0,1
"02170 Haukilahti   (Espoo )",1088,2,186,900,2,10,70,0,0,106,149,19,101,76,43,26,103,95,0,72,135,64,17,0,0,0
"02180 Mankkaa   (Espoo )",1658,1,116,1541,1,0,76,0,2,38,308,679,18,39,10,6,118,29,0,122,163,28,21,0,0,0
"02200 Niittykumpu   (Espoo )",8120,1,2343,5776,1,1,1938,192,20,192,2302,138,219,557,618,53,712,441,38,92,293,234,79,0,0,0
"02210 Olari   (Espoo )",1820,8,92,1720,8,0,28,0,0,64,258,30,83,63,4,20,254,159,0,229,488,77,55,0,0,0
"02230 Matinkylä   (Espoo )",4351,4,808,3539,4,0,738,0,0,70,934,122,237,62,130,87,334,185,31,308,870,159,80,0,0,0
"02240 Friisilä   (Espoo )",1302,2,192,1108,2,0,89,0,0,103,457,24,47,76,1,6,208,60,0,69,146,2,12,0,0,0
"02250 Henttaa   (Espoo )",191,0,33,158,0,0,2,0,0,31,29,9,8,8,0,0,31,7,0,2,51,9,4,0,0,0
"02260 Kaitaa   (Espoo )",334,4,27,303,4,0,0,0,0,27,14,20,8,7,4,0,25,5,0,91,124,1,4,0,0,0
"02270 Finnoo-Eestinmalmi   (Espoo )",3214,1,509,2704,1,0,282,84,55,88,1386,357,40,158,18,37,212,172,0,80,195,6,43,0,0,0
"02280 Malminmäki-Eestinlaakso   (Espoo )",320,1,23,296,1,0,1,0,0,22,64,14,17,6,0,1,41,39,0,45,52,10,7,0,0,0
"02290 Puolarmetsän sairaala   (Espoo )",371,0,0,371,0,0,0,0,0,0,0,0,21,0,0,0,0,4,0,0,343,0,3,0,0,0
"02300 Nöykkiönpuro   (Espoo )",296,1,40,255,1,0,1,0,0,39,51,33,27,6,2,2,34,10,0,46,21,17,6,0,0,0
"02320 Espoonlahti   (Espoo )",2283,3,137,2143,3,0,13,0,0,124,384,77,108,29,34,87,131,97,1,108,804,131,152,0,0,0
"02330 Saunalahti-Kattilalaakso   (Espoo )",1804,2,326,1476,2,0,185,0,0,141,466,15,52,84,1,11,153,127,0,186,337,27,17,0,0,0
"02340 Latokaski   (Espoo )",340,0,15,325,0,0,6,0,0,9,38,21,12,19,2,0,35,12,0,65,101,8,12,0,0,0
"02360 Soukka   (Espoo )",1134,1,107,1026,1,0,13,0,0,94,89,30,35,10,12,7,42,115,44,242,249,88,63,0,0,0
"02380 Suvisaaristo   (Espoo )",87,0,4,83,0,0,1,0,0,3,38,11,1,0,3,3,5,3,0,0,9,3,7,0,0,0
"02390 Sarvvik   (Kirkkonummi )",53,12,12,29,12,0,0,0,0,12,2,1,5,2,0,1,5,0,0,1,0,12,0,0,0,0
"02400 Kirkkonummi Keskus   (Kirkkonummi )",3587,9,321,3257,9,0,80,0,15,226,520,112,160,29,85,47,212,197,227,450,1013,79,126,0,0,0
"02410 Gesterby   (Kirkkonummi )",74,0,18,56,0,0,0,0,0,18,8,3,3,0,0,0,1,2,0,0,29,8,2,0,0,0
"02420 Jorvas   (Kirkkonummi )",1480,9,119,1352,9,0,54,0,0,65,424,21,62,42,3,0,574,145,0,6,52,15,8,0,0,0
"02430 Masala   (Kirkkonummi )",832,2,126,704,2,0,99,0,0,27,213,27,16,9,1,10,113,14,0,94,158,24,25,0,0,0
"02440 Luoma   (Kirkkonummi )",79,3,5,71,3,0,0,0,0,5,10,4,33,0,0,7,6,3,0,0,0,5,3,0,0,0
"02450 Sundsberg   (Kirkkonummi )",118,0,4,114,0,0,0,0,0,4,3,4,10,3,2,0,11,3,0,26,49,3,0,0,0,0
"02460 Kantvik   (Kirkkonummi )",491,0,313,178,0,0,309,0,0,4,23,65,11,5,0,3,4,5,0,26,29,0,7,0,0,0
"02470 Upinniemi   (Kirkkonummi )",652,0,19,633,0,0,19,0,0,0,0,1,21,0,0,18,1,0,568,9,0,0,15,0,0,0
"02480 Porkkala   (Kirkkonummi )",558,30,227,301,30,0,118,0,1,108,27,41,17,6,3,1,28,19,46,9,50,32,22,0,0,0
"02490 Pikkala   (Siuntio )",313,1,295,17,1,0,291,0,0,4,10,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0
"02510 Oitmäki   (Kirkkonummi )",58,4,19,35,4,0,2,0,0,17,3,9,0,0,0,1,6,1,0,10,2,3,0,0,0,0
"02520 Lapinkylä   (Kirkkonummi )",120,7,18,95,7,0,1,0,0,17,15,59,0,2,0,0,2,6,0,1,0,5,5,0,0,0
"02540 Kylmälä   (Kirkkonummi )",126,14,43,69,14,0,17,1,0,25,6,8,0,0,0,0,30,5,0,6,0,14,0,0,0,0
