"Postal code area","Free-time residences, 2015 (RA)","Buildings, total, 2015 (RA)","Other buildings, 2015 (RA)","Residential buildings, 2015 (RA)","Dwellings, 2015 (RA)","Average floor area, 2015 (RA)","Dwellings in small houses, 2015 (RA)","Dwellings in blocks of flats, 2015 (RA)"
"01280 Länsimäki   (Vantaa )",1,901,33,868,4623,71.2,1975,2648
"01300 Tikkurila   (Vantaa )",1,1770,249,1521,10468,66.5,2555,7913
"01340 Leinelä   (Vantaa )",0,14,3,11,361,56.1,0,361
"01350 Hiekkaharju   (Vantaa )",2,1027,37,990,5266,67.6,1435,3831
"01360 Koivukylä-Havukoski   (Vantaa )",3,835,55,780,6692,63.9,1074,5618
"01370 Jokiniemi   (Vantaa )",0,455,45,410,3408,62.4,726,2682
"01380 Kuusikko-Hakkila   (Vantaa )",2,572,78,494,767,97.6,767,0
"01390 Ruskeasanta-Ilola   (Vantaa )",6,2218,66,2152,3584,92.9,2973,611
"01400 Rekola   (Vantaa )",13,1726,71,1655,3648,82.8,2115,1533
"01420 Päiväkumpu   (Vantaa )",12,1016,24,992,1131,109.6,1131,0
"01450 Korso   (Vantaa )",17,3456,222,3234,8709,77.2,4523,4186
"01480 Mikkola   (Vantaa )",14,953,62,891,2985,75.7,998,1987
"01490 Nikinmäki   (Sipoo )",23,1207,49,1158,1410,116.2,1374,36
"01510 Kirkonkylä-Veromäki   (Vantaa )",4,685,264,421,3099,64.6,586,2513
"01520 Tammisto   (Vantaa )",0,400,31,369,3589,68.8,868,2721
"01530 Veromiehenkylä   (Vantaa )",0,243,221,22,396,52.4,23,373
"01600 Myyrmäki   (Vantaa )",0,358,82,276,9346,62.3,114,9232
"01610 Kaivoksela   (Vantaa )",3,290,59,231,2786,61.3,326,2460
"01620 Martinlaakso   (Vantaa )",1,595,75,520,6184,69.2,919,5265
"01630 Hämeenkylä   (Vantaa )",2,372,25,347,863,91.1,843,20
"01640 Hämevaara   (Vantaa )",2,663,22,641,1553,82.2,685,868
"01650 Vapaala   (Vantaa )",3,745,37,708,1986,83.3,891,1095
"01660 Varisto   (Vantaa )",3,411,17,394,1087,80.4,936,151
"01670 Vantaanlaakso   (Vantaa )",125,513,37,476,1220,88.3,983,237
"01680 Askisto   (Vantaa )",2,588,23,565,803,101.0,744,59
"01690 Ylästö   (Vantaa )",12,1215,40,1175,1608,105.9,1552,56
"01700 Kivistö   (Vantaa )",3,1066,39,1027,2025,88.1,1220,805
"01710 Pähkinärinne   (Vantaa )",0,156,10,146,2871,62.7,299,2572
"01720 Petikko   (Vantaa )",4,119,105,14,32,66.9,20,12
"01730 Vantaanpuisto   (Vantaa )",246,687,88,599,1131,90.5,715,416
"01740 Tuupakan teollisuusalue   (Vantaa )",5,198,103,95,108,113.8,108,0
"01750 Keimola   (Vantaa )",26,383,47,336,330,119.3,330,0
"01760 Seutula   (Vantaa )",111,883,80,803,892,97.1,822,70
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,4,4,0,0,0.0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",87,1772,243,1529,3725,86.6,2088,1637
"01810 Luhtajoki   (Nurmijärvi )",12,295,42,253,271,120.0,268,3
"01820 Haikala   (Nurmijärvi )",6,658,34,624,1331,102.2,1261,70
"01830 Lepsämä   (Nurmijärvi )",58,967,101,866,902,122.6,902,0
"01840 Klaukkala   (Nurmijärvi )",9,1050,89,961,1562,108.3,1419,143
"01860 Perttula   (Nurmijärvi )",108,931,114,817,835,122.8,820,15
"01900 Nurmijärvi Keskus   (Nurmijärvi )",48,2395,422,1973,4228,89.4,2551,1677
"01940 Palojoki   (Nurmijärvi )",31,347,45,302,308,114.4,308,0
"02100 Tapiola   (Espoo )",0,295,86,209,2977,65.6,299,2678
"02110 Otsolahti   (Espoo )",0,138,16,122,1697,65.8,252,1445
"02120 Länsikorkee-Suvikumpu   (Espoo )",0,137,14,123,1720,64.5,197,1523
"02130 Pohjois-Tapiola   (Espoo )",1,812,77,735,2769,89.1,1414,1355
"02140 Laajalahti   (Espoo )",46,676,27,649,1485,95.3,1060,425
"02150 Otaniemi   (Espoo )",0,189,146,43,1824,47.1,21,1803
"02160 Westend   (Espoo )",70,622,36,586,1365,127.7,908,457
"02170 Haukilahti   (Espoo )",1,520,43,477,2866,89.3,1188,1678
"02180 Mankkaa   (Espoo )",0,1429,59,1370,2526,103.4,2413,113
"02200 Niittykumpu   (Espoo )",11,1224,182,1042,5338,77.3,1700,3638
"02210 Olari   (Espoo )",113,767,63,704,5665,75.1,1480,4185
"02230 Matinkylä   (Espoo )",62,1445,135,1310,10883,69.6,2029,8854
"02240 Friisilä   (Espoo )",4,623,42,581,855,119.5,708,147
"02260 Kaitaa   (Espoo )",10,559,28,531,1658,86.9,974,684
"02270 Finnoo-Eestinmalmi   (Espoo )",6,729,184,545,866,104.0,866,0
"02280 Malminmäki-Eestinlaakso   (Espoo )",3,654,33,621,1845,83.1,1269,576
"02290 Puolarmetsän sairaala   (Espoo )",0,1,1,0,0,0.0,0,0
"02300 Nöykkiönpuro   (Espoo )",5,770,30,740,886,128.6,886,0
"02320 Espoonlahti   (Espoo )",3,974,96,878,8483,71.8,1667,6816
"02330 Saunalahti-Kattilalaakso   (Espoo )",26,1805,101,1704,3581,98.8,2057,1524
"02340 Latokaski   (Espoo )",2,973,29,944,1841,91.2,1841,0
"02360 Soukka   (Espoo )",43,1125,64,1061,4683,85.2,1630,3053
"02380 Suvisaaristo   (Espoo )",333,310,32,278,273,167.7,273,0
"02400 Kirkkonummi Keskus   (Kirkkonummi )",304,2651,202,2449,5784,90.0,3439,2345
"02410 Gesterby   (Kirkkonummi )",0,174,5,169,1293,65.7,290,1003
"02420 Jorvas   (Kirkkonummi )",329,693,74,619,716,141.2,692,24
"02430 Masala   (Kirkkonummi )",7,654,76,578,1940,80.3,1221,719
"02440 Luoma   (Kirkkonummi )",49,287,18,269,264,139.8,264,0
"02450 Sundsberg   (Kirkkonummi )",31,360,23,337,786,107.2,649,137
"02460 Kantvik   (Kirkkonummi )",2,405,33,372,840,96.1,484,356
"02470 Upinniemi   (Kirkkonummi )",10,39,15,24,276,64.0,8,268
"02480 Porkkala   (Kirkkonummi )",893,1477,160,1317,1762,119.6,1585,177
"02490 Pikkala   (Siuntio )",18,106,35,71,179,84.4,71,108
"02510 Oitmäki   (Kirkkonummi )",36,228,23,205,222,110.8,217,5
"02520 Lapinkylä   (Kirkkonummi )",45,381,27,354,335,123.5,335,0
"02540 Kylmälä   (Kirkkonummi )",245,306,31,275,268,125.9,267,1
"02550 Evitskog   (Kirkkonummi )",222,393,25,368,364,122.4,363,1
"02570 Siuntio Kirkonkylä   (Siuntio )",423,677,97,580,591,114.1,585,6
"02580 Siuntio Asemanseutu   (Siuntio )",239,1342,189,1153,1503,116.6,1371,132
"02590 Lappers   (Siuntio )",8,119,11,108,100,135.1,100,0
"02600 Etelä-Leppävaara   (Espoo )",2,620,122,498,5760,64.3,509,5251
"02610 Kilo   (Espoo )",1,616,91,525,2666,70.8,796,1870
"02620 Karakallio   (Espoo )",3,982,49,933,3705,79.1,1278,2427
"02630 Nihtisilta   (Espoo )",1,506,95,411,1542,75.1,664,878
"02650 Pohjois-Leppävaara   (Espoo )",0,551,111,440,5884,62.0,411,5473
"02660 Lintuvaara   (Espoo )",2,1291,60,1231,2297,93.9,1604,693
"02680 Uusmäki   (Espoo )",0,371,13,358,964,80.8,488,476
"02700 Kauniainen   (Kauniainen )",0,1428,79,1349,4176,112.1,2147,2029
"02710 Viherlaakso   (Espoo )",1,934,74,860,2975,78.2,1296,1679
"02720 Lähderanta   (Espoo )",2,402,26,376,1418,80.4,730,688
"02730 Jupperi   (Espoo )",21,1427,50,1377,1686,125.6,1660,26
"02740 Bemböle-Pakankylä   (Espoo )",107,765,156,609,1306,92.1,901,405
"02750 Sepänkylä-Kuurinniitty   (Espoo )",5,1022,37,985,2565,86.0,1390,1175
"02760 Tuomarila-Suvela   (Espoo )",0,1150,72,1078,6734,70.8,2245,4489
"02770 Espoon Keskus   (Espoo )",1,1465,179,1286,4987,70.9,1837,3150
"02780 Kauklahti   (Espoo )",55,1920,175,1745,3842,91.8,2367,1475
"02810 Gumböle-Karhusuo   (Espoo )",6,460,27,433,605,107.9,530,75
"02820 Nupuri-Nuuksio   (Espoo )",354,726,136,590,582,123.6,582,0
"02860 Siikajärvi   (Espoo )",296,318,25,293,303,103.9,303,0
"02880 Veikkola   (Kirkkonummi )",299,1734,109,1625,2241,112.9,2179,62
"02920 Niipperi   (Espoo )",44,1500,243,1257,1875,101.6,1732,143
"02940 Lippajärvi-Järvenperä   (Espoo )",68,1920,104,1816,4352,87.5,3018,1334
"02970 Kalajärvi   (Espoo )",59,1182,94,1088,1457,103.3,1311,146
"02980 Lakisto   (Espoo )",91,134,47,87,527,54.0,84,443
"03100 Nummela   (Vihti )",402,3243,461,2782,7401,84.7,4816,2585
"03150 Huhmari   (Vihti )",173,396,36,360,344,119.3,344,0
"03220 Tervalampi   (Vihti )",284,341,66,275,271,118.1,271,0
"03250 Ojakkala   (Vihti )",160,719,84,635,744,118.2,738,6
"03300 Otalampi   (Vihti )",246,1057,82,975,966,114.8,961,5
"03320 Selki   (Vihti )",17,171,21,150,151,112.2,144,7
"03400 Vihti Kirkonkylä   (Vihti )",637,2296,163,2133,2923,99.8,2538,385
"03430 Jokikunta   (Vihti )",190,242,12,230,223,117.0,222,1
"03600 Karkkila Keskus   (Karkkila )",734,2310,334,1976,3480,81.2,2257,1223
"03620 Polari   (Karkkila )",174,779,72,707,1112,87.6,866,246
"03710 Uusitalo   (Karkkila )",108,122,17,105,90,112.3,90,0
"03790 Vihtijärvi   (Vihti )",378,259,20,239,225,116.4,224,1
"03810 Ikkala   (Lohja )",186,297,34,263,321,95.7,320,1
"03850 Pusula   (Lohja )",1484,835,99,736,867,94.5,851,16
"03870 Hyönölä   (Lohja )",74,121,15,106,100,109.8,98,2
"04130 Sipoo   (Sipoo )",169,2393,411,1982,3304,94.7,2150,1154
"04150 Martinkylä   (Sipoo )",28,356,71,285,261,116.4,261,0
"04170 Paippinen   (Sipoo )",43,620,75,545,515,117.8,515,0
"04200 Kerava Keskus   (Kerava )",4,1456,174,1282,6574,69.5,1565,5009
"04220 Ahjo-Kaskela   (Kerava )",1,1027,118,909,2285,82.8,1143,1142
"04230 Pihkaniitty   (Kerava )",0,1435,52,1383,3424,88.3,2145,1279
"04240 Talma   (Sipoo )",28,606,86,520,508,116.7,508,0
"04250 Alikerava   (Kerava )",11,572,214,358,2547,65.8,547,2000
"04260 Savio   (Kerava )",9,1196,98,1098,3072,76.1,1433,1639
"04300 Hyrylä   (Tuusula )",81,2528,562,1966,4894,87.2,2861,2033
"04310 Tuusula Keskus   (Tuusula )",20,804,117,687,1086,106.2,919,167
"04320 Riihikallio   (Tuusula )",3,912,60,852,2337,83.6,1258,1079
"04330 Lahela   (Tuusula )",9,720,63,657,833,117.7,817,16
"04340 Mattila   (Tuusula )",3,571,44,527,1046,89.6,655,391
"04350 Nahkela   (Tuusula )",23,256,38,218,215,129.3,215,0
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",35,679,192,487,504,113.8,504,0
"04370 Rusutjärvi   (Tuusula )",158,380,53,327,317,120.9,317,0
"04380 Tuomala   (Tuusula )",11,281,44,237,237,132.3,234,3
"04390 Jäniksenlinna   (Tuusula )",45,226,22,204,200,117.9,200,0
"04400 Loutti   (Järvenpää )",6,1481,189,1292,5700,71.7,1715,3985
"04410 Järvenpää Keskus   (Järvenpää )",3,1661,167,1494,5130,74.8,2422,2708
"04420 Kyrölä   (Järvenpää )",3,824,40,784,1659,87.7,1543,116
"04430 Kinnari-Mikonkorpi   (Järvenpää )",18,2156,182,1974,3973,90.7,3222,751
"04440 Jamppa   (Järvenpää )",0,937,225,712,2449,71.7,990,1459
"04460 Nummenkylä   (Tuusula )",0,448,16,432,798,93.4,704,94
"04480 Haarajoki   (Mäntsälä )",96,908,120,788,856,116.8,826,30
"04500 Kellokoski   (Tuusula )",44,2014,269,1745,2526,99.2,2053,473
"04530 Ohkola   (Mäntsälä )",60,429,55,374,355,119.6,355,0
"04600 Mäntsälä Keskus   (Mäntsälä )",31,2552,452,2100,4657,83.8,3002,1655
"04620 Kaunismäki   (Mäntsälä )",15,562,69,493,691,112.3,599,92
"04630 Sääksjärvi   (Mäntsälä )",133,452,61,391,365,117.6,365,0
"04660 Numminen   (Mäntsälä )",134,840,131,709,682,120.2,682,0
"04680 Hirvihaara   (Mäntsälä )",44,362,75,287,273,116.9,272,1
"04740 Sälinkää   (Mäntsälä )",282,629,84,545,509,115.2,505,4
"04770 Sahakylä   (Mäntsälä )",41,119,12,107,103,109.4,103,0
"04820 Kaukalampi   (Mäntsälä )",22,143,12,131,122,117.8,121,1
"04840 Hautjärvi   (Mäntsälä )",135,156,24,132,120,105.3,120,0
"04920 Saarentaus   (Mäntsälä )",29,186,38,148,157,104.6,153,4
"04940 Levanto   (Mäntsälä )",91,165,30,135,131,115.0,124,7
"05100 Röykkä   (Nurmijärvi )",208,840,83,757,939,104.8,875,64
"05200 Rajamäki   (Nurmijärvi )",86,2041,252,1789,2878,93.3,2214,664
"05250 Kiljava   (Nurmijärvi )",15,79,11,68,89,96.3,75,14
"05400 Jokela   (Tuusula )",16,2016,206,1810,2797,92.5,2039,758
"05430 Nuppulinna   (Tuusula )",35,487,59,428,433,109.7,433,0
"05440 Hyvinkää   (Hyvinkää )",1,145,15,130,130,131.2,130,0
"05450 Nukari   (Nurmijärvi )",35,505,66,439,441,118.1,437,4
"05460 Hakalanmäki-Hakala   (Hyvinkää )",0,794,109,685,1592,83.6,1042,550
"05470 Palopuro   (Hyvinkää )",8,152,5,147,151,98.9,151,0
"05510 Päivärinta   (Hyvinkää )",33,200,21,179,270,80.0,220,50
"05620 Noppo   (Hyvinkää )",90,524,62,462,507,109.2,507,0
"05720 Kytäjä   (Hyvinkää )",48,258,20,238,248,129.5,243,5
"05800 Hyvinkää Keskus   (Hyvinkää )",83,1615,406,1209,5956,64.9,1302,4654
"05810 Martti   (Hyvinkää )",0,1196,132,1064,2187,96.8,1500,687
"05820 Mustamännistö   (Hyvinkää )",14,1537,125,1412,2473,84.3,1636,837
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",1,1629,105,1524,3785,77.9,2097,1688
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",6,833,123,710,1847,83.1,1209,638
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,4,4,0,0,0.0,0,0
"05860 Talvisilta   (Hyvinkää )",0,302,8,294,709,80.4,341,368
"05880 Paavola-Vaivero   (Hyvinkää )",0,428,61,367,1927,71.3,544,1383
"05900 Vieremä   (Hyvinkää )",0,562,46,516,2268,71.2,601,1667
"05950 Ridasjärvi   (Hyvinkää )",145,215,51,164,184,100.4,180,4
"06100 Porvoo Keskus   (Porvoo )",27,3694,411,3283,10216,76.8,3923,6293
"06150 Kevätkumpu   (Porvoo )",5,1299,235,1064,3036,79.1,1456,1580
"06200 Porvoo itäinen   (Porvoo )",1050,1303,145,1158,1135,117.4,1101,34
"06400 Gammelbacka   (Porvoo )",17,1418,76,1342,3503,81.3,1911,1592
"06450 Eestinmäki-Ernestas   (Porvoo )",2,565,135,430,977,87.0,534,443
"06500 Saksala-Suomenkylä   (Porvoo )",78,1006,92,914,920,114.4,910,10
"06530 Kerkkoo   (Porvoo )",19,342,34,308,336,108.8,330,6
"06650 Hamari   (Porvoo )",6,503,29,474,656,96.1,604,52
"06750 Tolkkinen   (Porvoo )",61,695,82,613,729,105.9,713,16
"06830 Kulloonkylä   (Porvoo )",86,522,67,455,455,116.2,454,1
"06850 Kulloo   (Porvoo )",16,395,377,18,13,84.7,13,0
"06880 Kärrby   (Sipoo )",535,231,36,195,177,114.6,174,3
"06950 Emäsalo   (Porvoo )",449,266,42,224,207,112.0,207,0
"07110 Hinthaara   (Porvoo )",61,610,47,563,591,114.0,591,0
"07130 Anttila   (Porvoo )",63,310,30,280,266,116.7,265,1
"07150 Laukkoski   (Pornainen )",265,490,56,434,391,114.5,391,0
"07170 Keski-Pornainen   (Pornainen )",119,932,135,797,968,108.5,921,47
"07190 Halkia   (Pornainen )",108,684,108,576,558,120.3,556,2
"07220 Kaarenkylä   (Porvoo )",26,161,10,151,146,116.4,146,0
"07230 Monninkylä   (Askola )",115,660,118,542,687,101.4,680,7
"07280 Ilola   (Porvoo )",151,438,67,371,369,111.6,358,11
"07310 Sannainen   (Porvoo )",56,192,29,163,158,124.3,158,0
"07320 Jakari-Sannäs   (Porvoo )",73,230,22,208,205,110.0,205,0
"07350 Gäddrag   (Porvoo )",55,51,3,48,41,104.0,41,0
"07360 Tirmo   (Porvoo )",130,42,8,34,31,103.7,31,0
"07370 Pellinki   (Porvoo )",496,120,33,87,77,101.0,77,0
"07390 Suurpellinki   (Porvoo )",127,63,7,56,51,111.6,51,0
"07410 Kråkö   (Porvoo )",57,205,26,179,165,116.4,165,0
"07450 Voolahti   (Porvoo )",88,231,29,202,202,109.6,192,10
"07500 Askola Kirkonkylä   (Askola )",33,413,41,372,494,98.1,494,0
"07510 Vakkola   (Askola )",57,362,59,303,295,101.2,280,15
"07530 Onkimaa   (Askola )",57,201,26,175,149,96.6,149,0
"07550 Torpinkylä   (Pukkila )",57,153,13,140,134,107.6,134,0
"07560 Pukkila Keskus   (Pukkila )",169,697,105,592,690,94.6,676,14
"07565 Kantele   (Pukkila )",69,170,20,150,123,109.1,123,0
"07580 Tiilää   (Askola )",14,53,14,39,37,115.5,37,0
"07590 Huuvari-Tiilää   (Askola )",132,325,43,282,273,116.8,273,0
"07600 Myrskylä Keskus   (Myrskylä )",410,934,145,789,857,98.2,857,0
"07680 Juornaankylä   (Askola )",169,294,32,262,258,101.7,255,3
"07690 Kankkila   (Myrskylä )",71,103,15,88,68,107.7,68,0
"07700 Koskenkylän saha-alue   (Loviisa )",60,469,64,405,590,93.2,508,82
"07720 Malmgård   (Loviisa )",8,60,13,47,49,80.1,45,4
"07740 Gammelby   (Loviisa )",129,243,31,212,197,113.7,191,6
"07750 Isnäs   (Loviisa )",600,334,63,271,304,93.8,283,21
"07780 Härkäpää   (Loviisa )",480,171,27,144,113,96.2,113,0
"07800 Lapinjärvi Keskus   (Lapinjärvi )",44,412,82,330,510,82.6,507,3
"07810 Ingermaninkylä   (Lapinjärvi )",60,195,45,150,143,95.4,134,9
"07820 Porlammi   (Lapinjärvi )",164,334,41,293,291,92.6,287,4
"07830 Pukaro   (Lapinjärvi )",57,201,28,173,148,101.8,148,0
"07840 Lindkoski   (Lapinjärvi )",21,133,13,120,100,123.4,100,0
"07850 Heikinkylä   (Lapinjärvi )",24,172,17,155,142,112.2,142,0
"07870 Skinnarby   (Loviisa )",65,279,31,248,220,103.6,220,0
"07880 Liljendal Keskus   (Loviisa )",158,543,78,465,519,93.9,519,0
"07890 Mickelspiltom   (Loviisa )",42,124,12,112,100,106.3,100,0
"07900 Loviisa Keskus   (Loviisa )",893,1557,401,1156,2551,79.5,1346,1205
"07910 Valko   (Loviisa )",171,502,84,418,683,81.4,431,252
"07920 Etelä-Harju   (Loviisa )",6,483,29,454,747,94.0,543,204
"07930 Pernaja Kirkonkylä   (Loviisa )",284,343,55,288,321,104.5,316,5
"07940 Määrlahti   (Loviisa )",25,195,18,177,599,74.5,224,375
"07945 Kuggom   (Loviisa )",30,303,52,251,237,107.6,237,0
"07955 Tesjoki   (Loviisa )",131,561,83,478,572,98.8,572,0
"07960 Ahvenkoski   (Loviisa )",30,105,11,94,87,91.5,87,0
"07970 Ruotsinpyhtää Keskus   (Loviisa )",28,274,51,223,396,79.9,309,87
"07980 Kuninkaankylä   (Loviisa )",111,218,20,198,186,92.0,186,0
"07990 Ruotsinkylä-Koskisto   (Loviisa )",44,172,25,147,142,116.3,142,0
