"Postal code area","Inhabitants, 2015 (PT)","Labour force, 2015 (PT)","Employed, 2015 (PT)","Unemployed, 2015 (PT)","Persons outside the labour force, 2015 (PT)","Children aged 0 to 14, 2015 (PT)","Students, 2015 (PT)","Pensioners, 2015 (PT)","Others, 2015 (PT)"
"01380 Kuusikko-Hakkila   (Vantaa )",1924,1021,935,86,903,409,155,288,51
"01390 Ruskeasanta-Ilola   (Vantaa )",8957,4985,4585,400,3972,1964,654,1123,231
"01400 Rekola   (Vantaa )",8266,4058,3558,500,4208,1641,629,1649,289
"01420 Päiväkumpu   (Vantaa )",3212,1677,1548,129,1535,683,284,485,83
"01450 Korso   (Vantaa )",18357,9783,8594,1189,8574,3421,1438,3077,638
"01480 Mikkola   (Vantaa )",6256,3312,2860,452,2944,1209,469,1058,208
"01490 Nikinmäki   (Sipoo )",4018,2107,1949,158,1911,1090,294,429,98
"01510 Kirkonkylä-Veromäki   (Vantaa )",6113,3633,3226,407,2480,1346,320,583,231
"01520 Tammisto   (Vantaa )",7801,4642,4283,359,3159,1997,465,482,215
"01530 Veromiehenkylä   (Vantaa )",524,364,290,74,160,53,32,32,43
"01600 Myyrmäki   (Vantaa )",16018,7718,6590,1128,8300,2314,1032,4323,631
"01610 Kaivoksela   (Vantaa )",4703,2671,2352,319,2032,652,269,919,192
"01620 Martinlaakso   (Vantaa )",11769,5853,5019,834,5916,1872,815,2782,447
"01630 Hämeenkylä   (Vantaa )",2109,1134,1047,87,975,444,130,346,55
"01640 Hämevaara   (Vantaa )",3312,1815,1662,153,1497,576,215,589,117
"01650 Vapaala   (Vantaa )",4005,2105,1905,200,1900,626,241,901,132
"01660 Varisto   (Vantaa )",2318,1172,1021,151,1146,385,132,560,69
"01670 Vantaanlaakso   (Vantaa )",2708,1475,1369,106,1233,495,161,529,48
"01680 Askisto   (Vantaa )",2043,1055,957,98,988,443,162,317,66
"01690 Ylästö   (Vantaa )",4625,2459,2305,154,2166,1263,349,457,97
"01700 Kivistö   (Vantaa )",4601,2675,2484,191,1926,1139,254,457,76
"01710 Pähkinärinne   (Vantaa )",5070,2711,2359,352,2359,800,313,1059,187
"01720 Petikko   (Vantaa )",67,40,38,2,27,..,..,..,..
"01730 Vantaanpuisto   (Vantaa )",2452,1314,1223,91,1138,454,138,480,66
"01740 Tuupakan teollisuusalue   (Vantaa )",199,114,98,16,85,30,9,44,2
"01750 Keimola   (Vantaa )",843,441,405,36,402,175,65,134,28
"01760 Seutula   (Vantaa )",2117,1106,1010,96,1011,397,134,409,71
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",7825,4021,3687,334,3804,1567,519,1528,190
"01810 Luhtajoki   (Nurmijärvi )",723,371,350,21,352,166,58,108,20
"01820 Haikala   (Nurmijärvi )",3449,1851,1721,130,1598,827,263,432,76
"01830 Lepsämä   (Nurmijärvi )",2474,1222,1133,89,1252,606,196,383,67
"01840 Klaukkala   (Nurmijärvi )",4233,2235,2082,153,1998,1103,333,458,104
"01860 Perttula   (Nurmijärvi )",2147,1058,980,78,1089,494,149,373,73
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8991,4343,3952,391,4648,1706,663,2024,255
"01940 Palojoki   (Nurmijärvi )",773,379,355,24,394,171,48,161,14
"02100 Tapiola   (Espoo )",4332,2137,1930,207,2195,521,265,1266,143
"02110 Otsolahti   (Espoo )",2730,1549,1441,108,1181,383,161,526,111
"02120 Länsikorkee-Suvikumpu   (Espoo )",2814,1528,1395,133,1286,388,184,631,83
"02130 Pohjois-Tapiola   (Espoo )",5983,3025,2794,231,2958,1154,444,1208,152
"02140 Laajalahti   (Espoo )",3689,1874,1697,177,1815,837,295,576,107
"02150 Otaniemi   (Espoo )",3895,1844,1780,64,2051,112,1478,91,370
"02160 Westend   (Espoo )",3194,1461,1365,96,1733,625,273,662,173
"02170 Haukilahti   (Espoo )",5679,2728,2492,236,2951,968,438,1362,183
"02180 Mankkaa   (Espoo )",6786,3433,3184,249,3353,1656,549,940,208
"02200 Niittykumpu   (Espoo )",7641,4078,3761,317,3563,1301,449,1558,255
"02210 Olari   (Espoo )",11186,5545,4953,592,5641,1852,853,2540,396
"02230 Matinkylä   (Espoo )",20397,10837,9439,1398,9560,3384,1572,3704,900
"02240 Friisilä   (Espoo )",2084,1041,972,69,1043,453,170,370,50
"02250 Henttaa   (Espoo )",3087,1813,1598,215,1274,674,242,252,106
"02260 Kaitaa   (Espoo )",3709,1953,1756,197,1756,782,276,568,130
"02270 Finnoo-Eestinmalmi   (Espoo )",2279,1159,1053,106,1120,515,180,345,80
"02280 Malminmäki-Eestinlaakso   (Espoo )",4435,2490,2214,276,1945,1021,371,421,132
"02290 Puolarmetsän sairaala   (Espoo )",20,0,0,0,20,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",2526,1292,1221,71,1234,571,261,341,61
"02320 Espoonlahti   (Espoo )",16322,8025,6934,1091,8297,2569,1112,3998,618
"02330 Saunalahti-Kattilalaakso   (Espoo )",8731,4691,4313,378,4040,2181,619,988,252
"02340 Latokaski   (Espoo )",5041,2652,2474,178,2389,1329,356,557,147
"02360 Soukka   (Espoo )",9582,4683,4103,580,4899,1659,681,2180,379
"02380 Suvisaaristo   (Espoo )",642,270,253,17,372,118,56,154,44
"02390 Sarvvik   (Kirkkonummi )",272,165,150,15,107,36,20,32,19
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12347,6125,5485,640,6222,2371,925,2567,359
"02410 Gesterby   (Kirkkonummi )",2116,1084,837,247,1032,277,148,513,94
"02420 Jorvas   (Kirkkonummi )",1856,896,830,66,960,405,153,344,58
"02430 Masala   (Kirkkonummi )",4319,2208,1904,304,2111,1060,305,601,145
"02440 Luoma   (Kirkkonummi )",620,295,274,21,325,117,48,134,26
"02450 Sundsberg   (Kirkkonummi )",1755,948,902,46,807,639,69,63,36
"02460 Kantvik   (Kirkkonummi )",1756,972,865,107,784,326,135,263,60
"02470 Upinniemi   (Kirkkonummi )",341,220,199,21,121,31,28,52,10
"02480 Porkkala   (Kirkkonummi )",4449,2334,2154,180,2115,1068,290,636,121
"02490 Pikkala   (Siuntio )",315,187,164,23,128,42,12,59,15
"02510 Oitmäki   (Kirkkonummi )",502,260,238,22,242,85,45,93,19
"02520 Lapinkylä   (Kirkkonummi )",792,373,346,27,419,157,48,193,21
"02540 Kylmälä   (Kirkkonummi )",668,355,328,27,313,120,49,124,20
"02550 Evitskog   (Kirkkonummi )",871,464,424,40,407,168,40,153,46
"02570 Siuntio Kirkonkylä   (Siuntio )",1324,701,640,61,623,256,72,246,49
"02580 Siuntio Asemanseutu   (Siuntio )",3434,1664,1543,121,1770,761,230,687,92
"02590 Lappers   (Siuntio )",246,122,118,4,124,59,18,44,3
"02600 Etelä-Leppävaara   (Espoo )",10829,6126,5438,688,4703,1931,903,1456,413
"02610 Kilo   (Espoo )",6111,3264,2840,424,2847,1277,685,557,328
"02620 Karakallio   (Espoo )",8365,4128,3688,440,4237,1841,593,1502,301
"02630 Nihtisilta   (Espoo )",3354,1943,1743,200,1411,700,254,337,120
"02650 Pohjois-Leppävaara   (Espoo )",10310,6037,5304,733,4273,1558,696,1612,407
"02660 Lintuvaara   (Espoo )",6137,3171,2852,319,2966,1454,650,636,226
"02680 Uusmäki   (Espoo )",2099,1181,1093,88,918,528,127,208,55
"02700 Kauniainen   (Kauniainen )",9366,4273,3970,303,5093,1727,914,2115,337
"02710 Viherlaakso   (Espoo )",6072,3039,2688,351,3033,1036,373,1435,189
"02720 Lähderanta   (Espoo )",3008,1513,1374,139,1495,553,259,593,90
"02730 Jupperi   (Espoo )",4484,2282,2148,134,2202,924,393,782,103
"02740 Bemböle-Pakankylä   (Espoo )",3181,1818,1687,131,1363,792,224,243,104
"02750 Sepänkylä-Kuurinniitty   (Espoo )",6146,3389,3049,340,2757,1522,481,537,217
"02760 Tuomarila-Suvela   (Espoo )",14360,7854,6829,1025,6506,2924,1085,1832,665
"02770 Espoon Keskus   (Espoo )",10401,5485,4750,735,4916,1890,1064,1516,446
"02780 Kauklahti   (Espoo )",9304,4850,4403,447,4454,2415,708,1024,307
"02810 Gumböle-Karhusuo   (Espoo )",1664,841,788,53,823,493,130,164,36
"02820 Nupuri-Nuuksio   (Espoo )",1388,698,647,51,690,264,110,286,30
"02860 Siikajärvi   (Espoo )",683,345,312,33,338,132,42,148,16
"02880 Veikkola   (Kirkkonummi )",5836,2990,2745,245,2846,1474,408,832,132
"02920 Niipperi   (Espoo )",5244,2679,2441,238,2565,1423,432,563,147
"02940 Lippajärvi-Järvenperä   (Espoo )",10140,5369,4880,489,4771,2276,738,1479,278
"02970 Kalajärvi   (Espoo )",3685,1908,1738,170,1777,879,257,553,88
"02980 Lakisto   (Espoo )",372,214,192,22,158,22,18,111,7
"03100 Nummela   (Vihti )",15019,7658,6776,882,7361,2954,987,3026,394
"03150 Huhmari   (Vihti )",782,434,394,40,348,119,54,155,20
"03220 Tervalampi   (Vihti )",600,320,294,26,280,89,39,142,10
"03250 Ojakkala   (Vihti )",1964,1028,939,89,936,445,143,307,41
"03300 Otalampi   (Vihti )",2459,1268,1158,110,1191,573,153,412,53
"03320 Selki   (Vihti )",346,178,159,19,168,69,21,64,14
"03400 Vihti Kirkonkylä   (Vihti )",6519,3203,2874,329,3316,1296,467,1396,157
"03430 Jokikunta   (Vihti )",563,270,242,28,293,129,49,102,13
"03600 Karkkila Keskus   (Karkkila )",6585,3012,2609,403,3573,1107,339,1922,205
"03620 Polari   (Karkkila )",2114,1022,881,141,1092,383,109,523,77
"03710 Uusitalo   (Karkkila )",202,104,88,16,98,38,8,47,5
"03790 Vihtijärvi   (Vihti )",521,278,249,29,243,95,25,115,8
"03810 Ikkala   (Lohja )",618,296,246,50,322,107,36,159,20
"03850 Pusula   (Lohja )",1694,779,675,104,915,244,95,545,31
"03870 Hyönölä   (Lohja )",194,91,78,13,103,29,7,57,10
"04130 Sipoo   (Sipoo )",7173,3584,3295,289,3589,1354,540,1480,215
"04150 Martinkylä   (Sipoo )",653,343,319,24,310,133,36,123,18
"04170 Paippinen   (Sipoo )",1259,674,645,29,585,263,69,235,18
"04200 Kerava Keskus   (Kerava )",11506,5527,4819,708,5979,1516,719,3360,384
"04220 Ahjo-Kaskela   (Kerava )",5080,2852,2537,315,2228,1074,421,567,166
"04230 Pihkaniitty   (Kerava )",7497,3870,3547,323,3627,1495,493,1500,139
"04240 Talma   (Sipoo )",1204,645,603,42,559,238,85,210,26
"04250 Alikerava   (Kerava )",4781,2604,2228,376,2177,777,335,907,158
"04260 Savio   (Kerava )",6266,3375,2965,410,2891,1107,410,1171,203
"04300 Hyrylä   (Tuusula )",10277,5184,4738,446,5093,1986,681,2195,231
"04310 Tuusula Keskus   (Tuusula )",2657,1294,1204,90,1363,500,198,568,97
"04320 Riihikallio   (Tuusula )",4816,2497,2250,247,2319,907,322,971,119
"04330 Lahela   (Tuusula )",2301,1271,1200,71,1030,589,177,228,36
"04340 Mattila   (Tuusula )",2272,1224,1138,86,1048,443,163,388,54
"04350 Nahkela   (Tuusula )",516,271,254,17,245,87,39,105,14
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",1253,656,602,54,597,246,91,226,34
"04370 Rusutjärvi   (Tuusula )",800,420,397,23,380,166,55,135,24
"04380 Tuomala   (Tuusula )",585,281,267,14,304,113,59,119,13
"04390 Jäniksenlinna   (Tuusula )",477,234,223,11,243,111,37,86,9
"04400 Loutti   (Järvenpää )",9753,5052,4523,529,4701,1217,661,2598,225
"04410 Järvenpää Keskus   (Järvenpää )",10061,5084,4478,606,4977,1761,738,2201,277
"04420 Kyrölä   (Järvenpää )",3804,2098,1940,158,1706,747,264,603,92
"04430 Kinnari-Mikonkorpi   (Järvenpää )",9002,5009,4637,372,3993,1728,638,1430,197
"04440 Jamppa   (Järvenpää )",4595,2336,1866,470,2259,750,366,965,178
"04460 Nummenkylä   (Tuusula )",1954,1106,1014,92,848,487,128,181,52
"04480 Haarajoki   (Mäntsälä )",2441,1235,1159,76,1206,691,178,279,58
"04500 Kellokoski   (Tuusula )",5942,3046,2765,281,2896,1388,434,946,128
"04530 Ohkola   (Mäntsälä )",921,452,422,30,469,220,65,166,18
"04600 Mäntsälä Keskus   (Mäntsälä )",9272,4350,3939,411,4922,1692,606,2389,235
"04620 Kaunismäki   (Mäntsälä )",1956,1036,968,68,920,604,138,144,34
"04630 Sääksjärvi   (Mäntsälä )",879,427,372,55,452,170,87,160,35
"04660 Numminen   (Mäntsälä )",1749,893,817,76,856,388,149,277,42
"04680 Hirvihaara   (Mäntsälä )",657,328,295,33,329,152,41,120,16
"04740 Sälinkää   (Mäntsälä )",1203,577,516,61,626,248,65,283,30
"04770 Sahakylä   (Mäntsälä )",214,104,96,8,110,46,9,47,8
"04820 Kaukalampi   (Mäntsälä )",301,158,151,7,143,68,12,55,8
"04840 Hautjärvi   (Mäntsälä )",264,136,123,13,128,38,25,56,9
"04920 Saarentaus   (Mäntsälä )",344,178,158,20,166,68,21,64,13
"04940 Levanto   (Mäntsälä )",300,137,120,17,163,68,17,72,6
"05100 Röykkä   (Nurmijärvi )",2321,1225,1104,121,1096,549,149,343,55
"05200 Rajamäki   (Nurmijärvi )",6742,3305,2973,332,3437,1610,455,1187,185
"05250 Kiljava   (Nurmijärvi )",192,104,99,5,88,33,12,39,4
"05400 Jokela   (Tuusula )",6480,3278,2968,310,3202,1395,492,1168,147
"05430 Nuppulinna   (Tuusula )",1048,546,496,50,502,204,72,201,25
"05440 Hyvinkää   (Hyvinkää )",395,220,205,15,175,129,17,28,1
"05450 Nukari   (Nurmijärvi )",1101,540,493,47,561,255,82,193,31
"05460 Hakalanmäki-Hakala   (Hyvinkää )",3314,1736,1537,199,1578,600,174,695,109
"05470 Palopuro   (Hyvinkää )",323,166,141,25,157,57,22,70,8
"05510 Päivärinta   (Hyvinkää )",458,246,209,37,212,68,30,103,11
"05620 Noppo   (Hyvinkää )",1342,714,658,56,628,305,95,185,43
"05720 Kytäjä   (Hyvinkää )",556,298,266,32,258,127,29,89,13
"05800 Hyvinkää Keskus   (Hyvinkää )",9461,4496,3886,610,4965,954,536,3206,269
"05810 Martti   (Hyvinkää )",5739,2945,2666,279,2794,1463,534,635,162
"05820 Mustamännistö   (Hyvinkää )",5202,2623,2305,318,2579,1012,421,972,174
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",7221,3722,3329,393,3499,1092,453,1776,178
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",3784,1955,1719,236,1829,702,295,714,118
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",.,.,.,.,.,.,.,.,.
"05860 Talvisilta   (Hyvinkää )",1434,704,611,93,730,246,109,330,45
"05880 Paavola-Vaivero   (Hyvinkää )",3437,1532,1227,305,1905,492,246,992,175
"05900 Vieremä   (Hyvinkää )",3952,1813,1561,252,2139,447,216,1354,122
"05950 Ridasjärvi   (Hyvinkää )",391,207,184,23,184,67,21,89,7
"06100 Porvoo Keskus   (Porvoo )",18512,8991,8061,930,9521,2779,1346,4930,466
"06150 Kevätkumpu   (Porvoo )",5828,2823,2409,414,3005,986,385,1443,191
"06200 Porvoo itäinen   (Porvoo )",2626,1339,1229,110,1287,472,157,597,61
"06400 Gammelbacka   (Porvoo )",7133,3622,3035,587,3511,1402,548,1329,232
"06450 Eestinmäki-Ernestas   (Porvoo )",2025,1088,999,89,937,360,144,386,47
"06500 Saksala-Suomenkylä   (Porvoo )",2155,1136,1036,100,1019,387,136,438,58
"06530 Kerkkoo   (Porvoo )",829,438,410,28,391,188,46,139,18
"06650 Hamari   (Porvoo )",1468,737,660,77,731,288,89,326,28
"06750 Tolkkinen   (Porvoo )",1804,904,837,67,900,457,111,293,39
"06830 Kulloonkylä   (Porvoo )",1105,570,520,50,535,240,73,199,23
"06850 Kulloo   (Porvoo )",22,13,..,..,9,..,..,..,..
"06880 Kärrby   (Sipoo )",350,174,155,19,176,51,23,87,15
"06950 Emäsalo   (Porvoo )",383,185,167,18,198,53,18,115,12
"07110 Hinthaara   (Porvoo )",1551,756,699,57,795,415,106,245,29
"07130 Anttila   (Porvoo )",669,320,287,33,349,146,45,144,14
"07150 Laukkoski   (Pornainen )",994,480,439,41,514,237,78,183,16
"07170 Keski-Pornainen   (Pornainen )",2528,1261,1162,99,1267,576,208,423,60
"07190 Halkia   (Pornainen )",1460,772,712,60,688,339,98,218,33
"07220 Kaarenkylä   (Porvoo )",308,155,142,13,153,61,14,72,6
"07230 Monninkylä   (Askola )",1619,791,721,70,828,360,117,312,39
"07280 Ilola   (Porvoo )",940,488,442,46,452,206,67,155,24
"07310 Sannainen   (Porvoo )",423,229,208,21,194,95,22,63,14
"07320 Jakari-Sannäs   (Porvoo )",442,232,222,10,210,86,20,95,9
"07350 Gäddrag   (Porvoo )",87,39,35,4,48,15,5,21,7
"07360 Tirmo   (Porvoo )",44,25,..,..,19,..,..,..,..
"07370 Pellinki   (Porvoo )",135,57,50,7,78,13,7,55,3
"07390 Suurpellinki   (Porvoo )",126,56,55,1,70,25,10,27,8
"07410 Kråkö   (Porvoo )",318,153,139,14,165,42,15,102,6
"07450 Voolahti   (Porvoo )",424,196,185,11,228,77,16,122,13
"07500 Askola Kirkonkylä   (Askola )",1170,553,500,53,617,263,74,255,25
"07510 Vakkola   (Askola )",695,361,320,41,334,145,40,127,22
"07530 Onkimaa   (Askola )",307,155,132,23,152,47,10,89,6
"07550 Torpinkylä   (Pukkila )",305,141,133,8,164,58,26,71,9
"07560 Pukkila Keskus   (Pukkila )",1361,645,584,61,716,244,79,361,32
"07565 Kantele   (Pukkila )",268,141,120,21,127,42,16,64,5
"07580 Tiilää   (Askola )",70,39,34,5,31,13,3,14,1
"07590 Huuvari-Tiilää   (Askola )",637,320,288,32,317,132,35,134,16
"07600 Myrskylä Keskus   (Myrskylä )",1718,783,678,105,935,279,100,517,39
"07680 Juornaankylä   (Askola )",554,281,250,31,273,102,29,126,16
"07690 Kankkila   (Myrskylä )",135,67,52,15,68,14,9,41,4
"07700 Koskenkylän saha-alue   (Loviisa )",1225,643,577,66,582,265,67,223,27
"07720 Malmgård   (Loviisa )",80,41,39,2,39,8,4,24,3
"07740 Gammelby   (Loviisa )",413,214,195,19,199,76,15,92,16
"07750 Isnäs   (Loviisa )",548,272,232,40,276,86,31,150,9
"07780 Härkäpää   (Loviisa )",175,78,70,8,97,19,9,67,2
"07800 Lapinjärvi Keskus   (Lapinjärvi )",903,387,342,45,516,131,51,315,19
"07810 Ingermaninkylä   (Lapinjärvi )",280,141,121,20,139,44,12,74,9
"07820 Porlammi   (Lapinjärvi )",505,212,173,39,293,67,25,183,18
"07830 Pukaro   (Lapinjärvi )",290,146,124,22,144,39,23,75,7
"07840 Lindkoski   (Lapinjärvi )",207,102,90,12,105,35,14,52,4
