lat	lon
60.414462	25.053068
60.414496	25.054166
60.407106	25.079626
60.39496	25.069391
60.412355	25.047274
60.407775	25.079545
60.395141	25.07203
60.410369	25.07738
60.411005	25.076163
60.414239	25.068257
60.415137	25.064932
60.414541	25.062168
60.414242	25.060548
60.404691	25.079211
60.412498	25.072411
60.412982	25.071106
60.15914	24.90949
60.15946	24.90916
60.15746	24.91093
60.15701	24.91141
60.159893	24.921266
60.1599	24.92135
60.15407	24.919259
60.154273	24.919559
60.160225	24.920807
60.15704	24.911354
60.158836	24.91513
60.15129	24.916163
60.151329	24.915588
60.151217	24.916251
60.158854	24.915203
60.160216	24.920807
60.17285	24.92295
60.17643	24.92226
60.17625	24.92218
60.17341	24.92265
60.171727	24.920245
60.171232	24.920375
60.17511	24.93235
60.1748	24.93261
60.171298	24.925017
60.17119	24.925518
60.17831	24.9292
60.17805	24.92931
60.171159	24.930751
60.171155	24.931459
60.433934	24.987427
60.420316	24.988401
60.420053	24.9876
60.426939	24.966471
60.426842	24.995887
60.427683	24.995212
60.426718	24.964944
60.426796	24.964657
60.432069	24.968641
60.437584	24.970678
60.435641	24.967833
60.419096	24.976312
60.421918	24.971439
60.421423	24.972399
60.419439	24.975251
60.19152	24.92539
60.1926	24.93078
60.19255	24.93023
60.19866	24.92539
60.19975	24.925266
60.199865	24.925524
60.19268	24.92923
60.19285	24.92925
60.19124	24.9406
60.19117	24.94101
60.19244	24.936076
60.19225	24.93641
60.190835	24.948841
60.18603	24.94126
60.19081	24.94525
60.19058	24.94568
60.19615	24.92756
60.19633	24.92751
60.19886	24.9252
60.20398	24.96878
60.206955	24.974597
60.20709	24.97442
60.208016	24.978066
60.2041	24.969158
60.19854	24.961785
60.198317	24.961737
60.19668	24.94305
60.19508	24.9559
60.1948	24.95635
60.193432	24.954775
60.19296	24.9534
60.19633	24.9528
60.19601	24.95343
60.1967	24.96246
60.19645	24.96245
60.200092	24.945157
60.1943	24.94499
60.20028	24.94501
60.19438	24.94526
60.19781	24.9491
60.19755	24.94961
60.1929	24.94387
60.19304	24.94361
60.19951	24.93424
60.18983	24.9519
60.191078	24.948312
60.181274	24.949995
60.18376	24.95233
60.1835	24.95273
60.18533	24.95146
60.19498	24.90246
60.19115	24.92384
60.19345	24.90648
60.19511	24.90231
60.194881	24.90245
60.1935	24.90646
60.19186	24.91111
60.19141	24.91231
60.383973	25.010521
60.386849	25.01417
60.382054	25.014925
60.383909	25.010676
60.386483	25.013222
60.381872	25.01535
