Postal code	Surface area (2013)	Surface area (2014)	Surface area (2015)	Surface area (2016)	Surface area (2017)
21100	103382659.0	66974634.0	67084037.0	39728271.0	39728271.0
21110	13178224.0	12551787.0	12551787.0	11546591.0	11546591.0
21120	8780681.0	8094761.0	8094761.0	7132258.0	7132258.0
21130	52475245.0	42682428.0	42864009.0	29863577.0	29863577.0
21140	112333752.0	79378801.0	79087817.0	49114037.0	49114037.0
21150	223309441.0	228414413.0	228326779.0	69143015.0	69143015.0
21160	127520519.0	82279577.0	82279577.0	47681707.0	47681707.0
21180	85179940.0	49643099.0	49643099.0	27498445.0	27498445.0
21195	133150350.0	125689339.0	125689339.0	26610792.0	26610792.0
21200	22308509.0	22103814.0	22103814.0	21924994.0	21924994.0
21210	4416373.0	4453714.0	4453714.0	4453714.0	4453714.0
21220	7134163.0	7108900.0	7108900.0	7108900.0	7108900.0
21230	53031040.0	49931306.0	49931306.0	43734387.0	43734387.0
21240	63558837.0	52566097.0	52566097.0	38312993.0	38312993.0
21250	98248521.0	93062933.0	93062933.0	83247900.0	83247900.0
21260	3670823.0	3651856.0	3651856.0	3651856.0	3651856.0
21270	216222430.0	216868469.0	216868469.0	216868469.0	216868469.0
21280	3305342.0	3276335.0	3276335.0	3276335.0	3276335.0
21290	56190023.0	55513791.0	55513791.0	55513791.0	55513791.0
21310	58927339.0	59319100.0	59319100.0	59319100.0	59319100.0
21330	42210485.0	41934900.0	41934900.0	41934900.0	41934900.0
21340	45099523.0	46807250.0	46807250.0	46807250.0	46807250.0
21350	12619598.0	12433036.0	12433036.0	12433036.0	12433036.0
21360	52262305.0	50562718.0	50562718.0	50562718.0	50562718.0
21370	30865500.0	31836435.0	31836435.0	31836435.0	31836435.0
21380	71324652.0	72230599.0	72230599.0	72230599.0	72230599.0
21410	6415019.0	6491775.0	6491775.0	6491775.0	6491775.0
21420	65224500.0	64751675.0	64751675.0	64751675.0	64751675.0
21430	48395496.0	48696089.0	48696089.0	48696089.0	48696089.0
21450	98559979.0	99917322.0	99223123.0	99223123.0	99223123.0
21480	39708085.0	40542856.0	39197729.0	39197729.0	39197729.0
21490	58091631.0	59409609.0	59285768.0	59285768.0	59285768.0
21500	119372629.0	104143766.0	104142676.0	84189986.0	84189986.0
21510	42359403.0	41709413.0	41709413.0	39208613.0	39208613.0
21520	228870.0	201944.0	201944.0	201944.0	201944.0
21530	131528551.0	131266803.0	131267893.0	131267893.0	131267893.0
21540	32335183.0	32725583.0	31927055.0	31927055.0	31927055.0
21555	26283344.0	25905264.0	28553004.0	28553004.0	28553004.0
21560	88391979.0	89893665.0	88116760.0	88116760.0	88116760.0
21570	215386786.0	202691683.0	202691683.0	185136347.0	185136347.0
21590	127658627.0	97782558.0	97782558.0	66285632.0	66285632.0
21600	642188596.0	352883420.0	351229042.0	183486856.0	183486856.0
21610	40958452.0	36083714.0	36083714.0	28148260.0	28148260.0
21620	36023785.0	29096300.0	29096300.0	20702657.0	20702657.0
21630	129802861.0	91747287.0	91747287.0	57682203.0	57682203.0
21650	597940553.0	607540869.0	615259697.0	81507888.0	81507888.0
21660	380720678.0	377361808.0	371096650.0	89340712.0	89340712.0
21670	135761499.0	76116135.0	76975239.0	38758873.0	38758873.0
21680	84244358.0	136897082.0	136897082.0	13304194.0	13304194.0
21710	1038700937.0	1001124051.0	1000553290.0	102773308.0	102773308.0
21720	19052578.0	20640293.0	20640293.0	2054867.0	2054867.0
21740	1712175131.0	2079069802.0	2079069802.0	3654170.0	3654170.0
