"Year","Quarter","Building type","Postal code","Year of construction","Mean"
"2005","Whole year","Building types total","02700","Year of construction, total",2772
"2005","Whole year","Building types total","02710","Year of construction, total",1983
"2005","Whole year","Building types total","02720","Year of construction, total",1990
"2005","Whole year","Building types total","02730","Year of construction, total",2316
"2005","Whole year","Building types total","02740","Year of construction, total",.
"2005","Whole year","Building types total","02750","Year of construction, total",2427
"2005","Whole year","Building types total","02760","Year of construction, total",1944
"2005","Whole year","Building types total","02770","Year of construction, total",1980
"2005","Whole year","Building types total","02780","Year of construction, total",1809
"2005","Whole year","Building types total","02810","Year of construction, total",.
"2005","Whole year","Building types total","02820","Year of construction, total",.
"2005","Whole year","Building types total","02860","Year of construction, total",.
"2005","Whole year","Building types total","02880","Year of construction, total",1801
"2005","Whole year","Building types total","02920","Year of construction, total",2193
"2005","Whole year","Building types total","02940","Year of construction, total",2360
"2005","Whole year","Building types total","02970","Year of construction, total",2152
"2005","Whole year","Building types total","03100","Year of construction, total",1663
"2005","Whole year","Building types total","03150","Year of construction, total",.
"2005","Whole year","Building types total","03250","Year of construction, total",1646
"2005","Whole year","Building types total","03300","Year of construction, total",.
"2005","Whole year","Building types total","03320","Year of construction, total",.
"2005","Whole year","Building types total","03400","Year of construction, total",1539
"2005","Whole year","Building types total","03600","Year of construction, total",1253
"2005","Whole year","Building types total","03620","Year of construction, total",1224
"2005","Whole year","Building types total","03710","Year of construction, total",.
"2005","Whole year","Building types total","04130","Year of construction, total",1997
"2005","Whole year","Building types total","04200","Year of construction, total",1704
"2005","Whole year","Building types total","04220","Year of construction, total",1715
"2005","Whole year","Building types total","04230","Year of construction, total",1688
"2005","Whole year","Building types total","04240","Year of construction, total",.
"2005","Whole year","Building types total","04250","Year of construction, total",1716
"2005","Whole year","Building types total","04260","Year of construction, total",1605
"2005","Whole year","Building types total","04300","Year of construction, total",1825
"2005","Whole year","Building types total","04310","Year of construction, total",2019
"2005","Whole year","Building types total","04320","Year of construction, total",1613
"2005","Whole year","Building types total","04330","Year of construction, total",2063
"2005","Whole year","Building types total","04340","Year of construction, total",1429
"2005","Whole year","Building types total","04350","Year of construction, total",.
"2005","Whole year","Building types total","04360","Year of construction, total",.
"2005","Whole year","Building types total","04380","Year of construction, total",.
"2005","Whole year","Building types total","04390","Year of construction, total",.
"2005","Whole year","Building types total","04400","Year of construction, total",1803
"2005","Whole year","Building types total","04410","Year of construction, total",.
"2005","Whole year","Building types total","04420","Year of construction, total",1900
"2005","Whole year","Building types total","04430","Year of construction, total",2003
"2005","Whole year","Building types total","04440","Year of construction, total",1465
"2005","Whole year","Building types total","04460","Year of construction, total",1953
"2005","Whole year","Building types total","04480","Year of construction, total",.
"2005","Whole year","Building types total","04500","Year of construction, total",1567
"2005","Whole year","Building types total","04600","Year of construction, total",1539
"2005","Whole year","Building types total","04620","Year of construction, total",.
"2005","Whole year","Building types total","04660","Year of construction, total",.
"2005","Whole year","Building types total","04680","Year of construction, total",.
"2005","Whole year","Building types total","04740","Year of construction, total",.
"2005","Whole year","Building types total","04840","Year of construction, total",.
"2005","Whole year","Building types total","04920","Year of construction, total",.
"2005","Whole year","Building types total","05100","Year of construction, total",1459
"2005","Whole year","Building types total","05200","Year of construction, total",1465
"2005","Whole year","Building types total","05400","Year of construction, total",1467
"2005","Whole year","Building types total","05430","Year of construction, total",.
"2005","Whole year","Building types total","05450","Year of construction, total",.
"2005","Whole year","Building types total","05460","Year of construction, total",1586
"2005","Whole year","Building types total","05510","Year of construction, total",.
"2005","Whole year","Building types total","05620","Year of construction, total",.
"2005","Whole year","Building types total","05720","Year of construction, total",.
"2005","Whole year","Building types total","05800","Year of construction, total",1542
"2005","Whole year","Building types total","05810","Year of construction, total",.
"2005","Whole year","Building types total","05820","Year of construction, total",1408
"2005","Whole year","Building types total","05830","Year of construction, total",1608
"2005","Whole year","Building types total","05840","Year of construction, total",1457
"2005","Whole year","Building types total","05860","Year of construction, total",1311
"2005","Whole year","Building types total","05880","Year of construction, total",1277
"2005","Whole year","Building types total","05900","Year of construction, total",1474
"2005","Whole year","Building types total","06100","Year of construction, total",1996
"2005","Whole year","Building types total","06150","Year of construction, total",1662
"2005","Whole year","Building types total","06200","Year of construction, total",.
"2005","Whole year","Building types total","06400","Year of construction, total",1486
"2005","Whole year","Building types total","06450","Year of construction, total",1635
"2005","Whole year","Building types total","06500","Year of construction, total",.
"2005","Whole year","Building types total","06530","Year of construction, total",1802
"2005","Whole year","Building types total","06650","Year of construction, total",1734
"2005","Whole year","Building types total","06750","Year of construction, total",.
"2005","Whole year","Building types total","06830","Year of construction, total",.
"2005","Whole year","Building types total","06880","Year of construction, total",.
"2005","Whole year","Building types total","07110","Year of construction, total",.
"2005","Whole year","Building types total","07150","Year of construction, total",.
"2005","Whole year","Building types total","07170","Year of construction, total",1472
"2005","Whole year","Building types total","07190","Year of construction, total",.
"2005","Whole year","Building types total","07230","Year of construction, total",1416
"2005","Whole year","Building types total","07280","Year of construction, total",.
"2005","Whole year","Building types total","07310","Year of construction, total",.
"2005","Whole year","Building types total","07500","Year of construction, total",.
"2005","Whole year","Building types total","07510","Year of construction, total",.
"2005","Whole year","Building types total","07550","Year of construction, total",.
"2005","Whole year","Building types total","07560","Year of construction, total",.
"2005","Whole year","Building types total","07600","Year of construction, total",.
"2005","Whole year","Building types total","07700","Year of construction, total",.
"2005","Whole year","Building types total","07750","Year of construction, total",.
"2005","Whole year","Building types total","07800","Year of construction, total",.
"2005","Whole year","Building types total","07820","Year of construction, total",.
"2005","Whole year","Building types total","07830","Year of construction, total",.
"2005","Whole year","Building types total","07870","Year of construction, total",.
"2005","Whole year","Building types total","07880","Year of construction, total",.
"2005","Whole year","Building types total","07890","Year of construction, total",.
"2005","Whole year","Building types total","07900","Year of construction, total",1044
"2005","Whole year","Building types total","07910","Year of construction, total",598
"2005","Whole year","Building types total","07920","Year of construction, total",1120
"2005","Whole year","Building types total","07930","Year of construction, total",.
"2005","Whole year","Building types total","07940","Year of construction, total",749
"2005","Whole year","Building types total","07955","Year of construction, total",.
"2005","Whole year","Building types total","07970","Year of construction, total",.
"2005","Whole year","Building types total","07990","Year of construction, total",.
"2005","Whole year","Building types total","08100","Year of construction, total",1684
"2005","Whole year","Building types total","08150","Year of construction, total",1658
"2005","Whole year","Building types total","08200","Year of construction, total",1368
"2005","Whole year","Building types total","08350","Year of construction, total",1305
