	Bus stops
33210	22
33230	36
33240	7
33250	15
33270	39
33300	37
33310	36
33330	32
33340	26
33380	6
33400	74
33410	11
33420	28
33430	18
33450	19
33470	62
33480	51
33500	34
33520	20
33530	12
33540	26
33560	57
33580	83
33610	15
33680	74
33700	18
33710	62
33720	80
33730	26
33800	47
33820	60
33840	27
33850	11
33870	14
33880	25
33900	53
33920	9
33950	26
33960	51
33980	42
34110	42
34130	19
34140	23
34150	27
34180	2
34240	45
34260	28
34270	21
34300	74
34320	13
34330	18
34410	29
34420	2
34430	19
34450	32
34510	19
34530	14
34550	2
34600	64
34640	31
34710	29
34730	3
34740	24
34770	43
34800	104
34870	21
34910	0
34930	19
34950	13
34970	19
34980	39
35100	39
35220	20
35240	7
35260	0
35270	4
35300	72
35320	27
35400	43
35420	10
35480	0
35500	34
35520	9
35530	10
35540	11
35550	12
35600	46
35610	0
35630	19
35700	71
35740	9
35750	17
35800	11
35820	76
35990	18
36100	14
36110	37
36120	33
36200	146
36220	20
36240	21
36270	55
36280	1
36340	31
36420	36
36430	5
36450	6
36520	12
36570	14
36600	69
36640	16
36660	25
36720	20
36760	17
36810	24
36840	22
36880	17
36910	27
36930	17
37100	42
37120	80
37130	18
37140	30
37150	25
37180	10
37200	51
37210	3
37240	7
37310	35
37350	10
37370	35
37380	5
37420	16
37470	29
37500	84
37530	28
37550	31
37560	32
37570	11
37600	122
37630	60
37700	25
37720	8
37740	4
37770	38
37800	102
37830	48
37850	15
37860	21
37900	5
37910	26
37960	13
38100	43
38120	4
38130	0
38140	7
38200	81
38210	112
38220	31
38250	56
38270	14
38280	26
38300	71
38360	50
38420	33
38460	35
38470	4
38490	3
38510	42
38600	75
38650	1
38670	4
38680	2
38700	48
38710	0
38720	25
38740	21
38750	16
38760	15
38770	8
38800	33
38840	48
38860	11
38910	40
38920	14
38950	22
38970	15
39100	47
39110	10
39130	27
39150	17
39160	22
39170	1
39180	3
39195	1
39200	26
39230	5
39290	1
39310	63
39340	26
39360	16
39380	6
39410	18
39430	12
39450	1
39500	50
39530	36
39580	24
39590	18
39610	10
39620	13
39660	16
39700	89
39750	36
39770	4
39780	15
39810	20
39820	33
39880	2
39920	19
39930	27
39940	20
39960	26
39965	0
39980	18
39990	0
40100	55
40200	25
40250	29
40270	161
40320	54
40340	25
40400	17
40420	31
40500	40
40520	65
40530	43
40600	20
40620	7
40630	32
40640	47
40660	18
40700	20
40720	9
40740	18
40800	72
40820	8
40900	45
40930	17
40950	71
41120	58
41140	29
41160	56
41180	20
41210	14
41220	17
41230	52
41240	21
41260	0
41270	30
41290	33
41310	43
41325	3
41330	66
41340	42
41350	37
41360	8
41370	43
41390	26
41400	55
41410	6
41440	16
41450	36
41490	20
41500	45
41520	48
41530	5
41540	14
41550	14
41560	1
41580	14
41630	31
41660	60
41710	15
41730	7
41750	3
41770	39
41800	71
41820	12
41840	0
41860	9
41870	16
41880	2
41900	55
41920	19
41925	8
41930	18
41940	35
41970	8
41980	2
42100	183
42140	19
42220	23
42300	70
42330	14
42440	72
42520	15
42560	8
42600	62
