	Bus stops
95540	25
95560	20
95590	28
95600	36
95610	23
95615	15
95620	34
95630	17
95635	25
95640	21
95645	27
95655	4
95660	13
95670	2
95675	1
95680	2
95690	14
95700	50
95710	0
95720	4
95750	20
95760	11
95770	18
95780	10
95790	19
95800	35
95830	0
95840	0
95850	14
95860	0
95900	71
95920	17
95930	10
95940	8
95950	9
95970	28
95980	17
95990	9
96100	69
96190	41
96200	25
96300	44
96320	9
96400	48
96440	32
96460	23
96500	35
96600	41
96700	8
96800	23
96900	96
96910	27
96930	8
96960	2
97110	12
97130	28
97140	45
97145	0
97160	13
97170	16
97220	23
97240	22
97250	22
97280	45
97290	28
97310	38
97320	0
97330	7
97335	7
97340	58
97370	10
97380	0
97390	10
97420	54
97430	0
97470	16
97510	45
97520	15
97530	22
97540	22
97580	10
97590	0
97610	38
97615	6
97620	7
97625	15
97630	10
97635	7
97645	2
97650	24
97655	30
97665	18
97670	27
97675	14
97680	20
97685	0
97690	0
97700	138
97715	75
97720	19
97760	29
97765	3
97770	2
97780	9
97785	14
97810	2
97815	13
97820	23
97840	13
97850	4
97870	0
97880	5
97890	21
97895	15
97900	74
97920	5
97925	3
97940	9
97950	5
97960	7
97965	0
97970	4
97980	2
97999	4
98100	80
98120	23
98230	14
98310	21
98350	13
98360	26
98400	41
98420	11
98440	18
98450	34
98500	37
98510	10
98530	40
98550	0
98560	14
98570	7
98580	0
98600	37
98620	0
98630	2
98660	21
98710	24
98720	9
98760	1
98770	0
98780	13
98790	14
98800	32
98810	7
98820	2
98830	16
98840	0
98850	12
98900	50
98920	33
98930	24
98950	27
98960	0
98970	5
98980	9
98995	34
99100	54
99110	20
99120	6
99130	70
99135	4
99140	10
99150	4
99160	0
99170	0
99180	0
99190	0
99195	0
99230	0
99240	9
99250	12
99270	4
99280	6
99290	3
99300	79
99310	17
99320	20
99330	1
99340	7
99360	10
99400	34
99410	14
99420	15
99430	2
99440	17
99450	20
99460	8
99470	19
99490	16
99510	23
99520	0
99530	12
99540	24
99550	25
99555	8
99560	20
99600	101
99610	2
99620	8
99640	3
99645	1
99650	18
99655	0
99660	8
99665	0
99670	11
99690	20
99695	4
99710	27
99720	14
99740	12
99750	2
99760	3
99770	13
99800	70
99830	29
99860	0
99870	27
99885	0
99910	23
99930	5
99940	2
99950	5
99980	12
99990	7
