Postal code	Free-time residences	Buildings, total	Other buildings	Residential buildings	Dwellings	Average floor area	Dwellings in small houses	Dwellings in blocks of flats	Aged 18 or over, total	Basic level studies	With education, total	Matriculation examination	Vocational diploma	Academic degree - Lower level university degree	Academic degree - Higher level university degree	Inhabitants, total, 2017	Inhabitants aged 18-64, 2017	Employment rate %, 2017	Unemployment rate %, 2017	Economic dependency ratio, 2017	Inhabitants, total	Females	Males	Average age of inhabitants	Households, total	Average size of households	Occupancy rate	Young single persons	Young couples without children	Households with children	Households with small children	Households with children under school age	Households with school-age children	Households with teenagers	Adult households	Pensioner households	Households living in owner-occupied dwellings	Households living in rented dwellings	Households living in other dwellings	Area	Density	Surface area	0-15 years	16-34 years	35-64 years	65 years or over
02860	307.0	310.0	26.0	284.0	294.0	104.3	294.0	0.0	508.0	109.0	399.0	51.0	229.0	47.0	72.0	654.0	382.0	74.3	9.8	130.0	654.0	329.0	325.0	43.0	257.0	2.5	42.0	0.0	1.0	68.0	7.0	26.0	39.0	37.0	104.0	88.0	236.0	14.0	7.0	 Siikajärvi   (Espoo )	4.1588452501949216e-05	4.1588452501949216e-05	127.0	89.0	312.0	126.0
02880	303.0	1777.0	112.0	1665.0	2285.0	113.3	2221.0	64.0	4146.0	805.0	3341.0	307.0	1652.0	598.0	784.0	5833.0	3368.0	83.3	5.8	106.0	5833.0	2909.0	2924.0	37.0	2168.0	2.7	42.3	23.0	49.0	882.0	161.0	368.0	447.0	397.0	764.0	542.0	1869.0	264.0	35.0	 Veikkola   (Kirkkonummi )	0.00014530839957782094	0.00014530839957782094	1496.0	928.0	2631.0	778.0
02920	42.0	1602.0	260.0	1342.0	1960.0	102.4	1817.0	143.0	3648.0	721.0	2927.0	307.0	1432.0	537.0	651.0	5347.0	3150.0	80.3	6.4	109.0	5347.0	2676.0	2671.0	34.0	1850.0	2.9	35.8	52.0	37.0	865.0	201.0	416.0	433.0	360.0	665.0	337.0	1302.0	507.0	41.0	 Niipperi   (Espoo )	0.00041375514949893615	0.00041375514949893615	1506.0	1028.0	2315.0	498.0
02940	68.0	1957.0	104.0	1853.0	4710.0	83.9	3028.0	1682.0	7685.0	1515.0	6170.0	678.0	2820.0	1191.0	1481.0	10340.0	6463.0	78.5	7.5	102.0	10335.0	5237.0	5098.0	37.0	4413.0	2.3	36.6	370.0	144.0	1480.0	330.0	652.0	692.0	600.0	2109.0	839.0	2692.0	1664.0	57.0	 Lippajärvi-Järvenperä   (Espoo )	0.00045503360952647967	0.00045503360952647967	2336.0	2171.0	4604.0	1224.0
02970	60.0	1231.0	110.0	1121.0	1514.0	104.2	1368.0	146.0	2759.0	619.0	2140.0	211.0	1126.0	389.0	414.0	3823.0	2288.0	79.4	7.3	108.0	3823.0	1868.0	1955.0	37.0	1423.0	2.7	38.7	40.0	29.0	555.0	128.0	273.0	276.0	219.0	544.0	332.0	1067.0	328.0	28.0	 Kalajärvi   (Espoo )	0.0001383570865030364	0.0001383570865030364	955.0	658.0	1739.0	471.0
02980	91.0	136.0	47.0	89.0	545.0	54.2	88.0	457.0	292.0	109.0	183.0	17.0	124.0	24.0	18.0	319.0	247.0	60.3	13.9	111.0	318.0	160.0	158.0	47.0	159.0	1.7	45.9	17.0	1.0	17.0	2.0	5.0	5.0	9.0	114.0	29.0	55.0	101.0	3.0	 Lakisto   (Espoo )	1.0239064775414807e-05	1.0239064775414807e-05	20.0	62.0	191.0	45.0
03100	391.0	3320.0	479.0	2841.0	7776.0	83.7	4939.0	2837.0	11869.0	3030.0	8839.0	706.0	5583.0	1453.0	1097.0	15394.0	9062.0	75.7	9.2	122.0	15394.0	7888.0	7506.0	40.0	7304.0	2.1	40.4	667.0	244.0	1908.0	439.0	926.0	940.0	701.0	3379.0	2039.0	4776.0	2375.0	153.0	 Nummela   (Vihti )	0.00019695573274691004	0.00019695573274691004	3167.0	3228.0	6192.0	2807.0
03150	166.0	400.0	37.0	363.0	343.0	119.5	343.0	0.0	627.0	143.0	484.0	49.0	278.0	73.0	84.0	766.0	479.0	80.4	6.6	97.0	766.0	378.0	388.0	45.0	330.0	2.3	51.7	6.0	9.0	76.0	10.0	21.0	38.0	47.0	153.0	104.0	309.0	6.0	15.0	 Huhmari   (Vihti )	3.2101940340178306e-05	3.2101940340178306e-05	115.0	121.0	382.0	148.0
03220	281.0	338.0	65.0	273.0	271.0	118.6	271.0	0.0	474.0	117.0	357.0	27.0	214.0	58.0	58.0	583.0	349.0	79.9	6.1	107.0	579.0	290.0	289.0	46.0	242.0	2.4	50.5	1.0	3.0	61.0	9.0	21.0	25.0	31.0	97.0	85.0	229.0	10.0	3.0	 Tervalampi   (Vihti )	2.044596209904815e-05	2.044596209904815e-05	88.0	71.0	293.0	127.0
03250	159.0	731.0	89.0	642.0	746.0	118.7	739.0	7.0	1415.0	321.0	1094.0	97.0	653.0	179.0	165.0	1926.0	1137.0	83.1	6.0	101.0	1930.0	938.0	992.0	38.0	728.0	2.7	44.4	16.0	18.0	265.0	51.0	117.0	141.0	114.0	278.0	188.0	683.0	29.0	16.0	 Ojakkala   (Vihti )	5.379985744989066e-05	5.379985744989066e-05	456.0	341.0	857.0	276.0
